"id","author","year","treatment1","treatment2","treatment3","n1","resp1","remi1","loss1","loss.ae1","ae1","n2","resp2","remi2","loss2","loss.ae2","ae2","n3","resp3","remi3","loss3","loss.ae3","ae3"
57,"Ravindran",1997,"TCA","SSRI","",506,317,185,142,85,368,513,328,187,103,57,334,NA,NA,NA,NA,NA,NA
61,"Bjerkenstedt",2005,"SSRI","Hypericum","Placebo",56,20,15,8,4,31,57,22,13,9,4,20,57,21,4,5,2,18
64,"Schrader",2000,"SSRI","Hypericum","",114,45,13,1,1,28,126,75,20,1,0,18,NA,NA,NA,NA,NA,NA
65,"Harrer",1991,"Hypericum","Placebo","",60,35,22,7,1,1,60,10,8,19,0,0,NA,NA,NA,NA,NA,NA
66,"Huebner",1993,"Hypericum","Placebo","",20,14,13,0,0,0,20,9,5,1,0,0,NA,NA,NA,NA,NA,NA
67,"Harrer",1999,"SSRI","Hypericum","",84,57,51,16,8,17,77,50,46,8,6,12,NA,NA,NA,NA,NA,NA
68,"Schmidt",1989,"Hypericum","Placebo","",20,10,9,2,0,0,20,4,2,1,0,0,NA,NA,NA,NA,NA,NA
70,"van Gurp",2002,"SSRI","Hypericum","",45,23,13,17,7,32,45,25,17,16,3,34,NA,NA,NA,NA,NA,NA
71,"Witte",1995,"Hypericum","Placebo","",48,34,18,9,0,0,49,25,11,13,0,1,NA,NA,NA,NA,NA,NA
72,"Wheatley",1997,"TCA","Hypericum","",78,40,29,24,13,50,87,42,25,21,7,32,NA,NA,NA,NA,NA,NA
73,"König",1993,"Hypericum","Placebo","",55,32,NA,6,2,12,57,29,NA,7,5,22,NA,NA,NA,NA,NA,NA
74,"Laakmann",1998,"Hypericum","Placebo","",98,43,24,2,0,28,49,16,8,3,1,15,NA,NA,NA,NA,NA,NA
76,"Montgomery",2004,"SSRI","SNRI","",148,113,102,21,11,98,145,113,99,19,16,101,NA,NA,NA,NA,NA,NA
83,"Blacker",1988,"TCA","Low-dose SARI","NaSSa",79,56,33,14,10,NA,112,58,31,28,18,NA,36,14,7,9,8,NA
88,"Beaumont",1984,"Low-dose SARI","NaSSa","",61,38,27,12,5,NA,64,25,18,31,22,NA,NA,NA,NA,NA,NA,NA
90,"Fairwheather",1999,"TCA","SSRI","",42,21,NA,NA,NA,NA,42,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,"Gachoud",1994,"TCA","rMAO-A","",64,35,18,9,5,NA,66,31,13,12,5,NA,NA,NA,NA,NA,NA,NA
94,"GSK-PAR2906",1985,"TCA","SSRI","",80,36,43,26,16,74,82,29,34,36,22,71,NA,NA,NA,NA,NA,NA
95,"GSK-2906",1991,"TCA","SSRI","",67,35,16,8,3,34,67,29,20,12,9,37,NA,NA,NA,NA,NA,NA
96,"GSK-PARMDUK",1986,"TCA","SSRI","",30,11,0,10,10,26,29,15,0,10,9,23,NA,NA,NA,NA,NA,NA
100,"Guelfi",1999,"TCA","SSRI","",115,57,32,24,16,75,122,72,42,28,19,93,NA,NA,NA,NA,NA,NA
105,"Kyle",1998,"TCA","SSRI","",186,124,99,56,48,146,179,122,96,44,31,112,NA,NA,NA,NA,NA,NA
112,"McPartlin",1998,"SSRI","SNRI","",178,113,84,52,29,NA,183,130,94,47,22,NA,NA,NA,NA,NA,NA,NA
113,"Moon",1990,"TCA","Low-dose SARI","",114,52,34,17,13,NA,114,54,34,11,7,NA,NA,NA,NA,NA,NA,NA
114,"Moon",1988,"Low-dose SARI","NaSSa","",20,15,16,1,0,9,20,15,14,1,0,6,NA,NA,NA,NA,NA,NA
116,"Moon",1991,"SSRI","NaSSa","",31,28,27,NA,3,13,31,25,26,NA,7,9,NA,NA,NA,NA,NA,NA
120,"Peveler",2005,"TCA","SSRI","",218,63,98,NA,NA,NA,109,31,49,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,"Richards",1982,"Low-dose SARI","NaSSa","",43,27,NA,8,2,20,40,15,NA,15,10,28,NA,NA,NA,NA,NA,NA
123,"Wade",2003,"SSRI","NaSSa","",98,35,23,55,24,83,99,43,30,53,21,78,NA,NA,NA,NA,NA,NA
128,"Serrano-Blanco",2006,"TCA","SSRI","",50,22,21,10,NA,NA,53,21,19,12,NA,NA,NA,NA,NA,NA,NA,NA
130,"Murphy",1976,"TCA","NaSSa","Placebo",35,NA,NA,8,NA,NA,36,NA,NA,5,NA,NA,34,NA,NA,6,NA,NA
131,"Thase",2011,"SSRI","SNRI","",697,NA,165,348,82,547,688,NA,200,327,104,534,NA,NA,NA,NA,NA,NA
132,"Trick",2004,"TCA","SNRI","",43,21,13,14,14,NA,45,19,12,20,17,NA,NA,NA,NA,NA,NA,NA
135,"Wiles",2012,"SSRI","NRI","",298,117,60,44,93,NA,303,107,61,70,162,NA,NA,NA,NA,NA,NA,NA
