article_no	article_author	exp	design	dep_var	sample_id	condition	mean	st_dev	reprt_est_means	raw_stats	cond_collapsed_over	cond_type	pairing	part_per_cond	stimuli_per_cond	memory_test	learning_type	stimuli_type	stimuli_relation	encode_type	manip_design	gen_task	gen_diff	memory_type	present_style	divided_attn	self_pace	filler_task	age_grp	retention_delay	gen_difficulty	gen_constraint_cons	gen_constraint_AF	gen_constraint_AS	gen_constraint_MPM	gen_task_orig	Notes
13	mcfarland_etal_1980	3b	2x2	item_cued_recall	1	rhyme_generate	0.819		2	1	1	1	19	20	8	2	1	9	5	1	1	8		1	2	2	1	2	1	3		2	2	2	2	9	
13	mcfarland_etal_1980	3b	2x2	item_cued_recall	1	rhyme_read	0.346		2	1	1	2	19	20	8	2	1	9	5	1	1	8		1	2	2	1	2	1	3						9	
13	mcfarland_etal_1980	3b	2x2	item_cued_recall	1	sentence_generate	0.906		2	1	1	1	20	20	8	2	1	9	1	1	1	4		1	2	2	1	2	1	3		2	2	2	2	7	
13	mcfarland_etal_1980	3b	2x2	item_cued_recall	1	sentence_read	0.727		2	1	1	2	20	20	8	2	1	9	1	1	1	4		1	2	2	1	2	1	3						7	
13	mcfarland_etal_1980	4	2x2	item_recognition	1	rhyme_generate	0.783		2	1	1	1	21	20	8	1	1	1	5	1	1	8		1	2	2	1	2	1	3		2	2	2	2	9	
13	mcfarland_etal_1980	4	2x2	item_recognition	1	rhyme_read	0.542		2	1	1	2	21	20	8	1	1	1	5	1	1	8		1	2	2	1	2	1	3						9	
13	mcfarland_etal_1980	4	2x2	item_recognition	1	sentence_generate	0.785		2	1	1	1	22	20	8	1	1	1	1	1	1	4		1	2	2	1	2	1	3		2	2	2	2	7	
13	mcfarland_etal_1980	4	2x2	item_recognition	1	sentence_read	0.684		2	1	1	2	22	20	8	1	1	1	1	1	1	4		1	2	2	1	2	1	3						7	
17	johnson_etal_1981	1	2x2x2x2	item_free_recall	1	overt_generate	0.41		1	1	2	1	23	48	18	3	1	2	99	4	1	99		1	2	2	2	2	1	1		99	2	99	99	3	
17	johnson_etal_1981	1	2x2x2x2	item_free_recall	1	overt_read	0.31		1	1	2	2	23	48	18	3	1	2	99	4	1	99		1	2	2	2	2	1	1		99				3	
17	johnson_etal_1981	1	2x2x2x2	item_free_recall	2	covert_generate	0.33		1	1	2	1	24	48	18	3	1	2	99	3	1	99		1	2	2	2	2	1	1		99	2	99	99	3	
17	johnson_etal_1981	1	2x2x2x2	item_free_recall	2	covert_read	0.2		1	1	2	2	24	48	18	3	1	2	99	3	1	99		1	2	2	2	2	1	1		99				3	
17	johnson_etal_1981	1	2x2x2x2	item_cued_recall	1	category_generate	0.99		1	1	2	1	25	48	18	2	1	2	2	99	1	99		1	2	2	2	2	1	1		99	3	99	99	10	
17	johnson_etal_1981	1	2x2x2x2	item_cued_recall	1	category_read	0.96		1	1	2	2	25	48	18	2	1	2	2	99	1	99		1	2	2	2	2	1	1		99				10	
17	johnson_etal_1981	1	2x2x2x2	item_cued_recall	2	opposite_generate	0.97		1	1	2	1	26	48	18	2	1	2	3	99	1	99		1	2	2	2	2	1	1		99	3	99	99	4	
17	johnson_etal_1981	1	2x2x2x2	item_cued_recall	2	opposite_read	0.83		1	1	2	2	26	48	18	2	1	2	3	99	1	99		1	2	2	2	2	1	1		99				4	
17	johnson_etal_1981	1	2x2x2x2	item_cued_recall	1	overt_generate	0.98		1	1	2	1	27	48	18	2	1	2	99	4	1	99		1	2	2	2	2	1	1		99	1	99	99	3	
17	johnson_etal_1981	1	2x2x2x2	item_cued_recall	1	overt_read	0.9		1	1	2	2	27	48	18	2	1	2	99	4	1	99		1	2	2	2	2	1	1		99				3	
17	johnson_etal_1981	1	2x2x2x2	item_cued_recall	2	covert_generate	0.98		1	1	2	1	28	48	18	2	1	2	99	3	1	99		1	2	2	2	2	1	1		99	1	99	99	3	
17	johnson_etal_1981	1	2x2x2x2	item_cued_recall	2	covert_read	0.89		1	1	2	2	28	48	18	2	1	2	99	3	1	99		1	2	2	2	2	1	1		99				3	
17	johnson_etal_1981	1	2x2x2x2	source_recognition	1	category_overt_generate	0.96		1	3	1	1	29	24	18	1	1	2	2	4	1	99		2	2	2	2	2	1	1		99	99	99	99	10	
17	johnson_etal_1981	1	2x2x2x2	source_recognition	1	categroy_overt_read	0.92		1	3	1	2	29	24	18	1	1	2	2	4	1	99		2	2	2	2	2	1	1		99				10	
17	johnson_etal_1981	1	2x2x2x2	source_recognition	2	category_covert_generate	0.95		1	3	1	1	30	24	18	1	1	2	2	3	1	99		2	2	2	2	2	1	1		99	99	99	99	10	
17	johnson_etal_1981	1	2x2x2x2	source_recognition	2	category_covert_read	0.81		1	3	1	2	30	24	18	1	1	2	2	3	1	99		2	2	2	2	2	1	1		99				10	
17	johnson_etal_1981	1	2x2x2x2	source_recognition	3	opposite_overt_generate	0.76		1	3	1	1	31	24	18	1	1	2	3	4	1	99		2	2	2	2	2	1	1		99	99	99	99	4	
17	johnson_etal_1981	1	2x2x2x2	source_recognition	3	opposite_overt_read	0.8		1	3	1	2	31	24	18	1	1	2	3	4	1	99		2	2	2	2	2	1	1		99				4	
17	johnson_etal_1981	1	2x2x2x2	source_recognition	4	opposite_covert_generate	0.64		1	3	1	1	32	24	18	1	1	2	3	3	1	99		2	2	2	2	2	1	1		99	99	99	99	4	
17	johnson_etal_1981	1	2x2x2x2	source_recognition	4	opposite_covert_read	0.71		1	3	1	2	32	24	18	1	1	2	3	3	1	99		2	2	2	2	2	1	1		99				4	
22	gardiner_arthurs_1982	1	2x2	item_free_recall	1	synonym_generate	0.207		2	1	0	1	33	40	10	3	2	2	4	1	1	5		1	2	2	2	2	1	1		3		2	3	5	
22	gardiner_arthurs_1982	1	2x2	item_free_recall	1	synonym_read	0.138		2	1	0	2	33	40	10	3	2	2	4	1	1	5		1	2	2	2	2	1	1			3			5	
22	gardiner_arthurs_1982	1	2x2	item_free_recall	1	rhyme_generate	0.227		2	1	0	1	34	40	10	3	2	2	5	1	1	5		1	2	2	2	2	1	1		3		2	3	9	
22	gardiner_arthurs_1982	1	2x2	item_free_recall	1	rhyme_read	0.125		2	1	0	2	34	40	10	3	2	2	5	1	1	5		1	2	2	2	2	1	1			3			9	
24	slamecka_fevreiski_1983	1	3-way	item_free_recall	1	highinfo_generate	0.23	0.11	1	1	0	1	35	24	16	3	2	2	3	1	1	3	1	1	1	2	2	2	1	1	1	3	3	2	2	4	
24	slamecka_fevreiski_1983	1	3-way	item_free_recall	1	lowinfo_generate	0.27	0.15	1	1	0	1	35	24	16	3	2	2	3	1	1	5	2	1	1	2	2	2	1	1	2	2	3	2	2	4	
24	slamecka_fevreiski_1983	1	3-way	item_free_recall	1	read	0.09	0.08	1	1	0	2	35	24	16	3	2	2	3	1	1	3	0	1	1	2	2	2	1	1	1					4	
24	slamecka_fevreiski_1983	2	3x2x2x2	item_free_recall	1	highinfo_immediate_recall_generate	0.319		2	1	1	1	36	36	8	3	2	2	3	1	1	3	1	1	1	2	2	2	1	1	1	3	3	2	2	4	
24	slamecka_fevreiski_1983	2	3x2x2x2	item_free_recall	1	lowinfo_immediate_recall_generate	0.332		2	1	1	1	36	36	8	3	2	2	3	1	1	5	2	1	1	2	2	2	1	1	2	2	3	2	2	4	
24	slamecka_fevreiski_1983	2	3x2x2x2	item_free_recall	1	immediate_recall_read	0.092		2	1	1	2	36	36	8	3	2	2	3	1	1	3	0	1	1	2	2	2	1	1	1					4	
24	slamecka_fevreiski_1983	2	3x2x2x2	item_recognition	1	highinfo_immediate_recognition_generate	0.772		2	1	1	1	37	36	8	1	2	2	3	1	1	3	1	1	1	2	2	2	1	1	1	3	3	2	2	4	
24	slamecka_fevreiski_1983	2	3x2x2x2	item_recognition	1	lowinfo_immediate_recognition_generate	0.694		2	1	1	1	37	36	8	1	2	2	3	1	1	5	2	1	1	2	2	2	1	1	2	2	3	2	2	4	
24	slamecka_fevreiski_1983	2	3x2x2x2	item_recognition	1	immediate_recognition_read	0.348		2	1	1	2	37	36	8	1	2	2	3	1	1	3	0	1	1	2	2	2	1	1	1					4	
24	slamecka_fevreiski_1983	2	3x2x2x2	item_free_recall	2	highinfo_delayed_recall_generate	0.111		2	1	1	1	38	36	8	3	2	2	3	1	1	3	1	1	1	2	2	2	1	3	1	3	3	2	2	4	
24	slamecka_fevreiski_1983	2	3x2x2x2	item_free_recall	2	lowinfo_delayed_recall_generate	0.123		2	1	1	1	38	36	8	3	2	2	3	1	1	5	2	1	1	2	2	2	1	3	2	2	3	2	2	4	
24	slamecka_fevreiski_1983	2	3x2x2x2	item_free_recall	2	delayed_recall_read	0.022		2	1	1	2	38	36	8	3	2	2	3	1	1	3	0	1	1	2	2	2	1	3	1					4	
24	slamecka_fevreiski_1983	2	3x2x2x2	item_recognition	2	highinfo_delayed_recognition_generate	0.61		2	1	1	1	39	36	8	1	2	2	3	1	1	3	1	1	1	2	2	2	1	3	1	3	3	2	2	4	
24	slamecka_fevreiski_1983	2	3x2x2x2	item_recognition	2	lowinfo_delayed_recognition_generate	0.437		2	1	1	1	39	36	8	1	2	2	3	1	1	5	2	1	1	2	2	2	1	3	2	2	3	2	2	4	
24	slamecka_fevreiski_1983	2	3x2x2x2	item_recognition	2	delayed_recognition_read	0.13		2	1	1	2	39	36	8	1	2	2	3	1	1	3	0	1	1	2	2	2	1	3	1					4	
33	nairne_etal_1985	1	2x2x5	item_free_recall	1	nolexicon_generate	0.28		1	1	1	1	40	16	75	3	2	3	5	4	1	5		1	1	2	2	1	1	1		3	3	2	2	9	
33	nairne_etal_1985	1	2x2x5	item_free_recall	1	nolexicon_read	0.26		1	1	1	2	40	16	75	3	2	3	5	4	1	5		1	1	2	2	1	1	1						9	
33	nairne_etal_1985	1	2x2x5	item_free_recall	2	lexicon_generate	0.253		1	1	1	1	41	16	75	3	2	3	5	4	1	5		1	1	2	2	1	1	1		3	3	2	2	9	
33	nairne_etal_1985	1	2x2x5	item_free_recall	2	lexicon_read	0.253		1	1	1	2	41	16	75	3	2	3	5	4	1	5		1	1	2	2	1	1	1						9	
33	nairne_etal_1985	3	2x4	item_recognition	1	nonword_generate	0.645		2	1	0	1	42	30	12	1	2	3	9	4	1	2		1	1	2	2	1	1	1		2	2	1	2	2	
33	nairne_etal_1985	3	2x4	item_recognition	1	lowfreq_generate	0.783		2	1	0	1	43	30	12	1	2	1	9	4	1	2		1	1	2	2	1	1	1		2	2	1	2	2	
33	nairne_etal_1985	3	2x4	item_recognition	1	medfreq_generate	0.798		2	1	0	1	44	30	12	1	2	1	9	4	1	2		1	1	2	2	1	1	1		2	2	1	2	2	
33	nairne_etal_1985	3	2x4	item_recognition	1	highfreq_generate	0.727		2	1	0	1	45	30	12	1	2	1	9	4	1	2		1	1	2	2	1	1	1		2	2	1	2	2	
33	nairne_etal_1985	3	2x4	item_recognition	1	nonword_read	0.719		2	1	0	2	42	30	12	1	2	3	9	4	1	2		1	1	2	2	1	1	1						2	
33	nairne_etal_1985	3	2x4	item_recognition	1	lowfreq_read	0.764		2	1	0	2	43	30	12	1	2	1	9	4	1	2		1	1	2	2	1	1	1						0	
33	nairne_etal_1985	3	2x4	item_recognition	1	medfreq_read	0.623		2	1	0	2	44	30	12	1	2	1	9	4	1	2		1	1	2	2	1	1	1						0	
33	nairne_etal_1985	3	2x4	item_recognition	1	highfreq_read	0.525		2	1	0	2	45	30	12	1	2	1	9	4	1	2		1	1	2	2	1	1	1						0	
34	glisky_rabinowitz_1985	1	2x2	item_recognition	1	generate_generate	0.86	0.1	1	1	0	1	46	16	30	4	1	1	9	4	1	3		1	1	2	2	1	1	2		1	1	1	2	3	
34	glisky_rabinowitz_1985	1	2x2	item_recognition	1	read_generate	0.59	0.19	1	1	0	2	46	16	30	4	1	1	9	4	1	3		1	1	2	2	1	1	2						3	
34	glisky_rabinowitz_1985	1	2x2	item_recognition	1	generate_read	0.76	0.16	1	1	0	1	47	16	30	1	1	1	9	4	1	3		1	1	2	2	1	1	2		1	1	1	2	3	
34	glisky_rabinowitz_1985	1	2x2	item_recognition	1	read_read	0.6	0.22	1	1	0	2	47	16	30	1	1	1	9	4	1	3		1	1	2	2	1	1	2						3	
34	glisky_rabinowitz_1985	4	2-way	source_recognition	1	generate	0.78	0.11	1	1	0	1	48	18	64	1	2	1	9	4	1	3		2	1	2	2	2	1	3		1	1	1	2	3	
34	glisky_rabinowitz_1985	4	2-way	source_recognition	1	read	0.59	0.18	1	1	0	2	48	18	32	1	2	1	9	4	1	3		2	1	2	2	2	1	3						3	
34	glisky_rabinowitz_1985	5	2x2x2	item_recognition	1	alone_generate_generate	0.83		1	1	0	1	49	15	48	4	2	1	9	4	1	3		1	1	2	2	1	1	2		1	1	1	2	3	
34	glisky_rabinowitz_1985	5	2x2x2	item_recognition	1	alone_read_generate	0.59		1	1	0	2	49	15	48	4	2	1	9	4	1	3		1	1	2	2	1	1	2						3	
34	glisky_rabinowitz_1985	5	2x2x2	item_recognition	1	alone_generate_read	0.69		1	1	0	1	50	15	48	1	2	1	9	4	1	3		1	1	2	2	1	1	2		1	1	1	2	3	
34	glisky_rabinowitz_1985	5	2x2x2	item_recognition	1	alone_read_read	0.59		1	1	0	2	50	15	48	1	2	1	9	4	1	3		1	1	2	2	1	1	2						3	
34	glisky_rabinowitz_1985	5	2x2x2	item_recognition	2	pairs_generate_generate	0.81		1	1	0	1	51	15	48	4	2	2	1	4	1	3		1	1	2	2	1	1	2		2	2	2	3	3	
34	glisky_rabinowitz_1985	5	2x2x2	item_recognition	2	pairs_read_generate	0.6		1	1	0	2	51	15	48	4	2	2	1	4	1	3		1	1	2	2	1	1	2						3	
34	glisky_rabinowitz_1985	5	2x2x2	item_recognition	2	pairs_generate_read	0.78		1	1	0	1	52	15	48	1	2	2	1	4	1	3		1	1	2	2	1	1	2		2	2	2	3	3	
34	glisky_rabinowitz_1985	5	2x2x2	item_recognition	2	pairs_read_read	0.63		1	1	0	2	52	15	48	1	2	2	1	4	1	3		1	1	2	2	1	1	2						3	
39	payne_neely_burns_1986	1	2x2x2	item_recognition	1	word_word_generate	0.86		1	1	0	1	53	42	32	1	2	2	5	1	1	5		1	2	2	2	1	1	1		3	3	3	3	9	
39	payne_neely_burns_1986	1	2x2x2	item_recognition	1	word_word_read	0.77		1	1	0	2	53	42	32	1	2	2	5	1	1	5		1	2	2	2	1	1	1						9	
39	payne_neely_burns_1986	1	2x2x2	item_recognition	2	word_nonword_generate	0.72		1	1	0	1	54	42	32	1	2	3	5	1	1	5		1	2	2	2	1	1	1		3	3	3	3	9	
39	payne_neely_burns_1986	1	2x2x2	item_recognition	2	word_nonword_read	0.7		1	1	0	2	54	42	32	1	2	3	5	1	1	5		1	2	2	2	1	1	1						9	
39	payne_neely_burns_1986	1	2x2x2	item_recognition	3	nonword_nonword_generate	0.68		1	1	0	1	55	42	32	1	2	3	5	1	1	5		1	2	2	2	1	1	1		3	3	3	3	9	
39	payne_neely_burns_1986	1	2x2x2	item_recognition	3	nonword_nonword_read	0.67		1	1	0	2	55	42	32	1	2	3	5	1	1	5		1	2	2	2	1	1	1						9	
39	payne_neely_burns_1986	1	2x2x2	item_recognition	4	nonword_word_generate	0.82		1	1	0	1	56	42	32	1	2	3	5	1	1	5		1	2	2	2	1	1	1		3	3	3	3	9	
39	payne_neely_burns_1986	1	2x2x2	item_recognition	4	nonword_word_read	0.74		1	1	0	2	56	42	32	1	2	3	5	1	1	5		1	2	2	2	1	1	1						9	
39	payne_neely_burns_1986	2	2x2x2	item_recognition	1	word_word_generate	0.88		1	1	0	1	57	48	8	1	2	2	5	1	1	5		1	2	2	2	1	1	1		3	3	3	3	9	
39	payne_neely_burns_1986	2	2x2x2	item_recognition	1	word_word_read	0.74		1	1	0	2	57	48	8	1	2	2	5	1	1	5		1	2	2	2	1	1	1						9	
39	payne_neely_burns_1986	2	2x2x2	item_recognition	1	word_nonword_generate	0.74		1	1	0	1	58	48	8	1	2	3	5	1	1	5		1	2	2	2	1	1	1		3	3	3	3	9	
39	payne_neely_burns_1986	2	2x2x2	item_recognition	1	word_nonword_read	0.69		1	1	0	2	58	48	8	1	2	3	5	1	1	5		1	2	2	2	1	1	1						9	
39	payne_neely_burns_1986	2	2x2x2	item_recognition	1	nonword_nonword_generate	0.76		1	1	0	1	59	48	8	1	2	3	5	1	1	5		1	2	2	2	1	1	1		3	3	3	3	9	
39	payne_neely_burns_1986	2	2x2x2	item_recognition	1	nonword_nonword_read	0.73		1	1	0	2	59	48	8	1	2	3	5	1	1	5		1	2	2	2	1	1	1						9	
39	payne_neely_burns_1986	2	2x2x2	item_recognition	1	nonword_word_generate	0.84		1	1	0	1	60	48	8	1	2	3	5	1	1	5		1	2	2	2	1	1	1		3	3	3	3	9	
39	payne_neely_burns_1986	2	2x2x2	item_recognition	1	nonword_word_read	0.73		1	1	0	2	60	48	8	1	2	3	5	1	1	5		1	2	2	2	1	1	1						9	
39	payne_neely_burns_1986	3	2x2x2	item_recognition	1	word_word_generate	0.86		1	1	0	1	61	48	8	1	2	2	5	1	1	5		1	2	2	2	1	1	1		3	3	3	3	9	
39	payne_neely_burns_1986	3	2x2x2	item_recognition	1	word_word_read	0.81		1	1	0	2	61	48	8	1	2	2	5	1	1	5		1	2	2	2	1	1	1						9	
39	payne_neely_burns_1986	3	2x2x2	item_recognition	1	word_nonword_generate	0.73		1	1	0	1	62	48	8	1	2	3	5	1	1	5		1	2	2	2	1	1	1		3	3	3	3	9	
39	payne_neely_burns_1986	3	2x2x2	item_recognition	1	word_nonword_read	0.74		1	1	0	2	62	48	8	1	2	3	5	1	1	5		1	2	2	2	1	1	1						9	
39	payne_neely_burns_1986	3	2x2x2	item_recognition	1	nonword_nonword_generate	0.74		1	1	0	1	63	48	8	1	2	3	5	1	1	5		1	2	2	2	1	1	1		3	3	3	3	9	
39	payne_neely_burns_1986	3	2x2x2	item_recognition	1	nonword_nonword_read	0.71		1	1	0	2	63	48	8	1	2	3	5	1	1	5		1	2	2	2	1	1	1						9	
39	payne_neely_burns_1986	3	2x2x2	item_recognition	1	nonword_word_generate	0.9		1	1	0	1	64	48	8	1	2	3	5	1	1	5		1	2	2	2	1	1	1		3	3	3	3	9	
39	payne_neely_burns_1986	3	2x2x2	item_recognition	1	nonword_word_read	0.79		1	1	0	2	64	48	8	1	2	3	5	1	1	5		1	2	2	2	1	1	1						9	
46	slamecka_katsaiti_1987	3	2x2x2	item_free_recall	1	pure_synonym_generate	0.389		2	1	0	1	65	32	30	3	2	2	4	1	1	5		1	2	2	2	1	1	1		3	3	3	3	5	
46	slamecka_katsaiti_1987	3	2x2x2	item_free_recall	1	pure_synonym_read	0.373		2	1	0	2	65	32	30	3	2	2	4	1	1	5		1	2	2	2	1	1	1						5	
46	slamecka_katsaiti_1987	3	2x2x2	item_free_recall	1	pure_antonym_generate	0.398		2	1	0	1	66	32	30	3	2	2	3	1	1	5		1	2	2	2	1	1	1		3	3	3	3	4	
46	slamecka_katsaiti_1987	3	2x2x2	item_free_recall	1	pure_antonym_read	0.373		2	1	0	2	66	32	30	3	2	2	3	1	1	5		1	2	2	2	1	1	1						4	
46	slamecka_katsaiti_1987	3	2x2x2	item_free_recall	2	mixed_synonym_generate	0.425		2	1	0	1	67	32	30	3	2	2	4	1	1	5		1	1	2	2	1	1	1		3	3	3	3	5	
46	slamecka_katsaiti_1987	3	2x2x2	item_free_recall	2	mixed_synonym_read	0.243		2	1	0	2	67	32	30	3	2	2	4	1	1	5		1	1	2	2	1	1	1						5	
46	slamecka_katsaiti_1987	3	2x2x2	item_free_recall	2	mixed_antonym_generate	0.449		2	1	0	1	68	32	30	3	2	2	3	1	1	5		1	1	2	2	1	1	1		3	3	3	3	4	
46	slamecka_katsaiti_1987	3	2x2x2	item_free_recall	2	mixed_antonym_read	0.24		2	1	0	2	68	32	30	3	2	2	3	1	1	5		1	1	2	2	1	1	1						4	
46	slamecka_katsaiti_1987	4	2x2	item_free_recall	1	synonym_generate	0.376		2	1	0	1	69	16	30	3	2	2	4	1	1	5		1	1	2	2	1	1	1		3	3	3	3	5	
46	slamecka_katsaiti_1987	4	2x2	item_free_recall	1	synonym_read	0.379		2	1	0	2	69	16	30	3	2	2	4	1	1	5		1	1	2	2	1	1	1						5	
46	slamecka_katsaiti_1987	4	2x2	item_free_recall	1	antonym_generate	0.359		2	1	0	1	70	16	30	3	2	2	3	1	1	5		1	1	2	2	1	1	1		3	3	3	3	4	
46	slamecka_katsaiti_1987	4	2x2	item_free_recall	1	antonym_read	0.344		2	1	0	2	70	16	30	3	2	2	3	1	1	5		1	1	2	2	1	1	1						4	
52	gregory_etal_1988	1	2x2	source_recognition	1	young_generate	0.376	0.155	1	1	0	1	71	20	20	1	1	1	2	3	1	4		2	1	2	2	2	1	1		1	2	1	2	7	
52	gregory_etal_1988	1	2x2	source_recognition	1	young_listen	0.565	0.151	1	1	0	2	71	20	20	1	1	1	2	2	1	4		2	1	2	2	2	1	1						7	
