"Article","Amniotes","animal","Type","Parameters","Statistics","Estimate","df","df.1","SE","Correlation","Direction","Adjusted","Formula","N","Maternal","Offspring","Propagule","Reproduction..0...itero..1...semel.","Environment","Comments","Author","Date","Species","Data.Extraction","Phylum","Class","Order","Family","Genus","X","r","Zr"
96,"Y","Chamaeleo_montium","r",NA,0.31,NA,NA,NA,NA,"","+","N",NA,49,"Fecundity","Volume","Egg","0","Captive","","Herrmann, P. A. & Herrmann, H. W.","2005","Chamaeleo_montium",2,"Chordata","Reptilia","Squamata","Chamaeleonidae","Chamaeleo",NA,0.31,0.320545409301946
175,"Y","Chen_canagica","r",NA,-0.036,NA,NA,NA,NA,"","-","N",NA,277,"Fecundity","Mass","Egg","0","Wild","","Rohwer, F. C. & Eisenhaur, D. I.","1989","Chen_canagica",2,"Chordata","Aves","Anseriformes","Anatidae","Chen",NA,-0.036,-0.0360155641044414
27,"N","Chorthippus_brunneus","r",NA,-0.406,NA,NA,NA,NA,"-0.406","+","N",NA,27,"Fecundity","Mass","Egg","0","Wild","","Hassal, M., Walters, R.J., Telfer, M. & Hassall, M.R.J.","2006","Chorthippus_brunneus",1,"Arthropoda","Insecta","Orthoptera","Acrididae","Chorthippus",NA,-0.406,-0.430812376503983
27,"N","Chorthippus_brunneus","r",NA,-0.433,NA,NA,NA,NA,"-0.433","+","N",NA,131,"Fecundity","Mass","Egg","0","Captive","","Hassal, M., Walters, R.J., Telfer, M. & Hassall, M.R.J.","2006","Chorthippus_brunneus",1,"Arthropoda","Insecta","Orthoptera","Acrididae","Chorthippus",NA,-0.433,-0.46358306205021
62,"Y","Chrysemys_picta","t",NA,-1.61,NA,128,NA,NA,"-0.003","-","N",NA,130,"Fecundity","Mass","Egg","0","Wild","","Rollison, N., Brooks, R.J.","2008","Chrysemys_picta",1,"Chordata","Reptilia","Testudines","Emydidae","Chrysemys",NA,-0.140885865140639,-0.141829265848549
100,"Y","Chrysemys_picta","r",NA,0.03,NA,NA,NA,NA,"","+","N",NA,202,"Fecundity","Mass","Egg","0","Wild","","Iverson, J. B. & Smith, G. R.","1993","Chrysemys_picta",2,"Chordata","Reptilia","Testudines","Emydidae","Chrysemys",NA,0.03,0.0300090048631265
173,"Y","Ciconia_ciconia","r",NA,0.098,NA,NA,NA,NA,"","+","N",NA,96,"Fecundity","Length","Offspring","0","Wild","High/Low density?","Sasvari, L., Hegyi, Z. & Hahn, I.","1999","Ciconia_ciconia",2,"Chordata","Aves","Ciconiiformes","Ciconiidae","Ciconia",NA,0.098,0.0983155510034261
173,"Y","Ciconia_ciconia","r",NA,0.12,NA,NA,NA,NA,"","+","N",NA,109,"Fecundity","Length","Offspring","0","Wild","High/Low density?","Sasvari, L., Hegyi, Z. & Hahn, I.","1999","Ciconia_ciconia",2,"Chordata","Aves","Ciconiiformes","Ciconiidae","Ciconia",NA,0.12,0.120581028408444
70,"Y","Clemmys_insculpta","r",NA,0.5,NA,NA,NA,NA,"","+","N",NA,21,"Fecundity","Mass","Egg","0","Wild","","Brooks, R. J., Shilton, C. M., Brown, G. P. & Quinn, N. W. S.","1992","Clemmys_insculpta",2,"Chordata","Reptilia","Testudines","Emydidae","Clemmys",NA,0.5,0.549306144334055
162,"N","Copidosoma_bakeri","r2",2,0.61,-0.86,NA,NA,NA,"","-","N",NA,25,"Fecundity","Mass","Offspring","0","Captive","","Saeki, Y., Crowley, P., Fox, C. & Potter, D.","2009","Copidosoma_bakeri",2,"Arthropoda","Insecta","Hymenoptera","Encyrtidae","Copidosoma",NA,-0.757987766751848,-0.991468422056486
36,"Y","Coronella_austriaca","r",NA,0.4,NA,NA,NA,NA,"0.4","+","N",NA,28,"Fecundity","Length","Offspring","0","Wild","","Luiselli, L., Capula, M. & Shine, R.","1996","Coronella_austriaca",1,"Chordata","Reptilia","Squamata","Colubridae","Coronella",NA,0.4,0.423648930193602
21,"Y","Crocidura_russula","r",NA,-0.64,NA,NA,NA,NA,"-0.64","+","N",NA,62,"Fecundity","Mass","Offspring","0","Captive","","Genoud, M. & Perrin, N.","1994","Crocidura_russula",1,"Chordata","Mammalia","Soricomorpha","Soricidae","Crocidura",NA,-0.64,-0.758173744684044
180,"Y","Ctenophorus_fordi","F",NA,4.61,NA,1,301,NA,"","-","N",NA,178,"Fecundity","Mass","Egg","0","Captive","","Uller, T. & Olsson, M.","2011","Ctenophorus_fordi",2,"Chordata","Reptilia","Squamata","Agamidae","Ctenophorus",NA,0.122819318221946,0.123442528017138
77,"Y","Ctenosaura_pectinata","r",NA,0.408,NA,NA,NA,NA,"","+","N",NA,25,"Fecundity","Mass","Egg","0","Captive","","Castro-Franco, R., Bustos-Zagal, M. G. & Mendez-De la Cruz, F. R.","2011","Ctenosaura_pectinata",2,"Chordata","Reptilia","Squamata","Iguanidae","Ctenosaura",NA,0.408,0.433209450916991
103,"Y","Cyclura_cychlura","r",NA,0.06,NA,NA,NA,NA,"","+","N",NA,78,"Fecundity","Mass","Egg","0","Wild","Cyclura_cychlura_inornata","Iverson, J. B., Hines, K. N. & Valiulis, J. M.","2004","Cyclura_cychlura",2,"Chordata","Reptilia","Squamata","Iguanidae","Cyclura",NA,0.06,0.0600721559210317
119,"Y","Cygnus_olor","t",NA,2.14,11.94,389,NA,NA,"","+","N",NA,390,"Fecundity","Volume","Egg","0","Wild","df assumed to be n-1","Czapulak, A.","2002","Cygnus_olor",2,"Chordata","Aves","Anseriformes","Anatidae","Cygnus",NA,0.107869206332702,0.10829053200526
175,"Y","Cygnus_buccinator","r",NA,-0.226,NA,NA,NA,NA,"","-","N",NA,21,"Fecundity","Mass","Egg","0","Wild","Montana","Rohwer, F. C. & Eisenhaur, D. I.","1989","Cygnus_buccinator",2,"Chordata","Aves","Anseriformes","Anatidae","Cygnus",NA,-0.226,-0.229970121453215
175,"Y","Cygnus_buccinator","r",NA,0.334,NA,NA,NA,NA,"","+","N",NA,29,"Fecundity","Mass","Egg","0","Wild","Alaska","Rohwer, F. C. & Eisenhaur, D. I.","1989","Cygnus_buccinator",2,"Chordata","Aves","Anseriformes","Anatidae","Cygnus",NA,0.334,0.34732377796759
15,"N","Daphnia_magna","r",NA,0.03,NA,NA,NA,NA,"0.03","+","N",NA,215,"Fecundity","Length","Offspring","0","Captive","","Ebert, D.","1993","Daphnia_magna",1,"Arthropoda","Branchiopoda","Cladocera","Daphniidae","Daphnia",NA,0.03,0.0300090048631265
23,"N","Daphnia_magna","r",NA,0.752,NA,NA,NA,NA,"0.752","+","N",NA,43,"Fecundity","Mass","Egg","0","Captive","High food","Glazier, D.S.","1992","Daphnia_magna",1,"Arthropoda","Branchiopoda","Cladocera","Daphniidae","Daphnia",NA,0.752,0.977542262665677
23,"N","Daphnia_magna","r",NA,0.168,NA,NA,NA,NA,"0.168","+","N",NA,43,"Fecundity","Mass","Egg","0","Captive","Low food","Glazier, D.S.","1992","Daphnia_magna",1,"Arthropoda","Branchiopoda","Cladocera","Daphniidae","Daphnia",NA,0.168,0.169607861283482
154,"Y","Dermochelys_coriacea","r2",2,0.016,NA,NA,NA,NA,"","+","N",NA,137,"Fecundity","Mass","Egg","0","Wild","t also present but taking r2, n assumed to df on t +1","Wallace, B. P., Sotherland, P. R., Tomillo, P. S., Reina, R. D., Spotila, J. R. & Paladino, F. V.","2007","Dermochelys_coriacea",2,"Chordata","Reptilia","Testudines","Dermochelyidae","Dermochelys",NA,0.0362413139361799,0.0362571932958554
79,"Y","Diadophis_punctatus","r",NA,-0.23,NA,NA,NA,NA,"","-","N",NA,47,"Fecundity","Mass","Offspring","0","Captive","","Clark, D. R., Bunck, C. M. & Hall, R. J.","1997","Diadophis_punctatus",2,"Chordata","Reptilia","Squamata","Colubridae","Diadophis",NA,-0.23,-0.234189466759367
146,"Y","Elaphe_quadrivirgata","r",NA,-0.69,NA,NA,NA,NA,"","-","N",NA,43,"Fecundity","Length","Offspring","0","Captive","Only length given in paper","Tanaka, K. & Mori, A.","2011","Elaphe_quadrivirgata",2,"Chordata","Reptilia","Squamata","Colubridae","Elaphe",NA,-0.69,-0.847955755218963
146,"Y","Elaphe_quadrivirgata","r",NA,-0.8,NA,NA,NA,NA,"","-","N",NA,12,"Fecundity","Length","Offspring","0","Captive","Only length given in paper","Tanaka, K. & Mori, A.","2011","Elaphe_quadrivirgata",2,"Chordata","Reptilia","Squamata","Colubridae","Elaphe",NA,-0.8,-1.09861228866811
81,"Y","Emydoidea_blandingii","r2",2,0.2,NA,NA,NA,NA,"","+","N",NA,219,"Fecundity","Diameter","Egg","0","Wild","Width","Congdon, J. D. & Sels, R. C. V.","1991","Emydoidea_blandingii",2,"Chordata","Reptilia","Testudines","Emydidae","Emydoidea",NA,0.438853725736255,0.47081022090311
137,"Y","Emydoidea_blandingii","r2",NA,0.36,-0.09,NA,NA,NA,"","-","N",NA,17,"Fecundity","Mass","Egg","0","Wild","","Rowe, J.","1992","Emydoidea_blandingii",2,"Chordata","Reptilia","Testudines","Emydidae","Emydoidea",NA,-0.6,-0.693147180559945
147,"N","Epidalea_calamita","r2",2,0.185,NA,NA,NA,NA,"","+","N",NA,94,"Fecundity","Diameter","Egg","0","Captive","","Tejedo, M.","1992","Epidalea_calamita",2,"Chordata","Amphibia","Anura","Bufonidae","Epidalea",NA,0.408763883052199,0.434126230748625
139,"Y","Eulamprus_tympanum","r2",2,0.003,NA,NA,NA,NA,"","-","N",NA,45,"Fecundity","Mass","Egg","0","Captive","1989","Schwarzkopf, L.","1992","Eulamprus_tympanum",2,"Chordata","Reptilia","Squamata","Scincidae","Eulamprus",NA,-0.0547722557505166,-0.054827126808086
139,"Y","Eulamprus_tympanum","r2",2,0.13,NA,NA,NA,NA,"","-","N",NA,48,"Fecundity","Mass","Egg","0","Captive","","Schwarzkopf, L.","1992","Eulamprus_tympanum",2,"Chordata","Reptilia","Squamata","Scincidae","Eulamprus",NA,-0.30221405217715,-0.311954410564454
92,"Y","Eurolophosaurus_nanuzae","r",NA,0.19,NA,NA,NA,NA,"","+","N",NA,12,"Fecundity","Volume","Egg","0","Wild","","Galdino, C. A. B. & Van Sluys, M.","2011","Eurolophosaurus_nanuzae",2,"Chordata","Reptilia","Squamata","Tropiduridae","Eurolophosaurus",NA,0.19,0.192337169219545
83,"Y","Falco_tinnunculus","F",NA,22.44,NA,1,1352.5,NA,"","+","N",NA,1368,"Fecundity","Volume","Egg","0","Wild","","Costantini, D., Carello, L. & Dell'Omo, G.","2010","Falco_tinnunculus",2,"Chordata","Aves","Falconiformes","Falconidae","Falco",NA,0.127752542739984,0.128454433037804
106,"Y","Ficedula_hypoleuca","r",NA,-0.033,NA,NA,NA,NA,"","-","N",NA,567,"Fecundity","Volume","Egg","0","Wild","","Jarvinen, A.","1996","Ficedula_hypoleuca",2,"Chordata","Aves","Passeriformes","Muscicapidae","Ficedula",NA,-0.033,-0.0330119868331721
133,"Y","Ficedula_hypoleuca","r",NA,-0.06,NA,NA,NA,NA,"","-","N",NA,103,"Fecundity","Volume","Egg","0","Wild","","Potti, J.","1993","Ficedula_hypoleuca",2,"Chordata","Aves","Passeriformes","Muscicapidae","Ficedula",NA,-0.06,-0.0600721559210317
165,"Y","Ficedula_hypoleuca","r",NA,0.32,NA,NA,NA,NA,"","+","N",NA,262,"Fecundity","Volume","Egg","0","Wild","","Jarvinen, A.","1991","Ficedula_hypoleuca",2,"Chordata","Aves","Passeriformes","Muscicapidae","Ficedula",NA,0.32,0.331647108705132
153,"Y","Fulica_atra","r",NA,-0.54,NA,NA,NA,NA,"","-","N",NA,9,"Fecundity","Mass","Egg","0","Wild","","Uzun, A., Uzun, B. & Kopij, G.","2010","Fulica_atra",2,"Chordata","Aves","Gruiformes","Rallidae","Fulica",NA,-0.54,-0.604155602962267
178,"N","Galaxias_anomalus","r",NA,-0.166,NA,NA,NA,NA,"","","N",NA,25,"Fecundity","Diameter","Egg","0","Wild","","Jones","Unpublished","Galaxias_anomalus",2,"Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias",NA,-0.166,-0.167550482275845
178,"N","Galaxias_depressiceps","r",NA,0.237,NA,NA,NA,NA,"","","N",NA,19,"Fecundity","Diameter","Egg","0","Wild","","Jones","Unpublished","Galaxias_depressiceps",2,"Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias",NA,0.237,0.241593170554016
178,"N","Galaxias_eldoni","r",NA,0.395,NA,NA,NA,NA,"","","N",NA,22,"Fecundity","Diameter","Egg","0","Wild","","Jones","Unpublished","Galaxias_eldoni",2,"Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias",NA,0.395,0.417710618112312
178,"N","Galaxias_pullus","r",NA,0.284,NA,NA,NA,NA,"","","N",NA,17,"Fecundity","Diameter","Egg","0","Wild","","Jones","Unpublished","Galaxias_pullus",2,"Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias",NA,0.284,0.29202765864463
178,"N","Galaxias_gollumoides","r",NA,0.096,NA,NA,NA,NA,"","","N",NA,18,"Fecundity","Diameter","Egg","0","Wild","","Jones","Unpublished","Galaxias_gollumoides",2,"Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias",NA,0.096,0.0962965535578922
178,"N","Galaxias_southern","r",NA,0.541,NA,NA,NA,NA,"","","N",NA,20,"Fecundity","Diameter","Egg","0","Wild","","Jones","Unpublished","Galaxias_southern",2,"Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias",NA,0.541,0.605568312629785
178,"N","Galaxias_D.","r",NA,0.214,NA,NA,NA,NA,"","","N",NA,8,"Fecundity","Diameter","Egg","0","Wild","","Jones","Unpublished","Galaxias_D.",2,"Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias",NA,0.214,0.217359589595118
178,"N","Galaxias_vulgaris","r",NA,-0.387,NA,NA,NA,NA,"","","N",NA,15,"Fecundity","Diameter","Egg","0","Wild","","Jones","Unpublished","Galaxias_vulgaris",2,"Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias",NA,-0.387,-0.40826674218931
16,"N","Gambusia_holbrooki","r",NA,-0.32,NA,NA,NA,NA,"-0.32","+","N",NA,240,"Fecundity","Mass","Egg","0","Wild","","Edwards, T.M., Miller, H.D. & Guillette Jr., L.J.","2006","Gambusia_holbrooki",1,"Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","Gambusia",NA,-0.32,-0.331647108705132
39,"N","Gambusia_affinis","r",NA,-0.393,NA,NA,NA,NA,"-0.393","+","N",NA,23,"Fecundity","Mass","Egg","0","Captive","","Marsh-Matthews, E., Brooks, M., Deaton, R. & Tan, H.","2005","Gambusia_affinis",1,"Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","Gambusia",NA,-0.393,-0.415343091360154
39,"N","Gambusia_geiseri","r",NA,0.088,NA,NA,NA,NA,"0.088","+","N",NA,26,"Fecundity","Mass","Egg","0","Captive","","Marsh-Matthews, E., Brooks, M., Deaton, R. & Tan, H.","2005","Gambusia_geiseri",1,"Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","Gambusia",NA,0.088,0.0882282186707782
64,"N","Gambusia_affinis","r",NA,0.208,NA,NA,NA,NA,"0.208","+","N",NA,23,"Fecundity","Mass","Egg","0","Captive","","Lim, J.N.",NA,"Gambusia_affinis",1,"Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","Gambusia",NA,0.208,0.211079993340167
163,"Y","Hirundo_rustica","r",NA,-0.47,NA,NA,NA,NA,"","-","N",NA,32,"Fecundity","Mass","Offspring","0","Wild","Older Hatchlings","Saino, N., Incagli, M., Martinelli, R., Ambrosini, R & Moller, A.","2001","Hirundo_rustica",2,"Chordata","Aves","Passeriformes","Hirundinidae","Hirundo",NA,-0.47,-0.510070336613307
57,"N","Hogna_helluo","r",NA,-0.118,NA,NA,NA,NA,"-0.118","+","N",NA,17,"Fecundity","Length","Offspring","0","Wild","","Walker, S.E., Rypstra, A.L. & Marshall, S.D.","2003","Hogna_helluo",1,"Arthropoda","Arachnida","Araneae","Lycosidae","Hogna",NA,-0.118,-0.118552298854127
115,"N","Hyla_labialis","r2",2,0.2,NA,NA,NA,NA,"","-","N",NA,85,"Fecundity","Mass","Egg","?","Captive","","Luddecke, H.","2002","Hyla_labialis",2,"Chordata","Amphibia","Anura","Hylidae","Hyla",NA,-0.424838563313229,-0.453581518267519
115,"N","Hyla_labialis","r2",2,0.31,NA,NA,NA,NA,"","-","N",NA,25,"Fecundity","Mass","Egg","?","Captive","","Luddecke, H.","2002","Hyla_labialis",2,"Chordata","Amphibia","Anura","Hylidae","Hyla",NA,-0.497265248406449,-0.545666428586647
115,"N","Hyla_labialis","r2",2,0.24,NA,NA,NA,NA,"","-","N",NA,15,"Fecundity","Mass","Egg","?","Captive","","Luddecke, H.","2002","Hyla_labialis",2,"Chordata","Amphibia","Anura","Hylidae","Hyla",NA,-0.336650164612069,-0.350309689834654
41,"N","Hynobius_retardatus","r2",2,0.44,NA,NA,NA,NA,"-0.658","-","N",NA,154,"Fecundity","Volume","Egg","0","Captive","","Michimae, H.","2007","Hynobius_retardatus",1,"Chordata","Amphibia","Caudata","Hynobiidae","Hynobius",NA,-0.65771025646325,-0.788767491932155
167,"Y","Iberolacerta_monticola","r",NA,-0.36,NA,NA,NA,NA,"","-","N",NA,54,"Fecundity","Mass","Egg","0","Captive","Lacerta_monticola_cantabrica","Rua, M. & P., Galan","2002","Iberolacerta_monticola",2,"Chordata","Reptilia","Squamata","Lacertidae","Iberolacerta",NA,-0.36,-0.37688590118819
65,"Y","Iguana_iguana","r",NA,0.26,NA,NA,NA,NA,"","+","N",NA,137,"Fecundity","Length","Offspring","0","Captive","","Arcos-Garcia, J. L., Martinez, G. D. M., Gama, R. B., Barros, O. V. E. & Morales, G. E. L.","2010","Iguana_iguana",2,"Chordata","Reptilia","Squamata","Iguanidae","Iguana",NA,0.26,0.266108406873654
58,"Y","Kinosternon_subrubrum","r2",2,0.01,NA,NA,NA,NA,"-0.04","+","N",NA,635,"Fecundity","Diameter","Egg","0","Wild","Width","Wilkinson, L.R. & Gibbons, J.W.","2005","Kinosternon_subrubrum",1,"Chordata","Reptilia","Testudines","Kinosternidae","Kinosternon",NA,0.0828678985349272,0.0830583710151744
