"study"	"obs"	"doctype"	"gender"	"year"	"org"	"country"	"type"	"discipline"	"waward"	"wtotal"	"maward"	"mtotal"
"Grant (1997)"	2	"Letter"	"M"	1995.5	"WT"	"United Kingdom"	"Fellowship"	"Life Sciences / Biology"	9	105	12	220
"Grant (1997)"	3	"Letter"	"M"	1996	"MRC"	"United Kingdom"	"Grant"	"Life Sciences / Biology"	49	167	163	617
"Grant (1997)"	4	"Letter"	"M"	1995	"MRC"	"United Kingdom"	"Fellowship"	"Life Sciences / Biology"	11	107	28	169
"Jayasinghe (2001)"	1	"Article"	"M"	1996	"ARC"	"Australia"	"Grant"	"Multidisciplinary"	98	461	537	2520
"NSF (2005)"	1	"Grey"	NA	1997	"NSF"	"United States"	"Grant"	"Multidisciplinary"	1950	5396	7859	24532
"NSF (2005)"	2	"Grey"	NA	1998	"NSF"	"United States"	"Grant"	"Multidisciplinary"	1938	5627	7323	22513
"NSF (2005)"	3	"Grey"	NA	1999	"NSF"	"United States"	"Grant"	"Multidisciplinary"	1682	5315	7428	23022
"NSF (2005)"	4	"Grey"	NA	2000	"NSF"	"United States"	"Grant"	"Multidisciplinary"	1949	5509	7778	23671
"NSF (2005)"	5	"Grey"	NA	2001	"NSF"	"United States"	"Grant"	"Multidisciplinary"	1894	5839	7867	25510
"NSF (2005)"	6	"Grey"	NA	2002	"NSF"	"United States"	"Grant"	"Multidisciplinary"	2012	6704	8203	27500
"NSF (2005)"	7	"Grey"	NA	2003	"NSF"	"United States"	"Grant"	"Multidisciplinary"	2090	7335	8495	31238
"NSF (2005)"	8	"Grey"	NA	2004	"NSF"	"United States"	"Grant"	"Multidisciplinary"	2118	8427	7923	33300
"Over (1996)"	1	"Article"	"M"	1993	"ARC"	"Australia"	"Grant"	"Multidisciplinary"	12	39	62	217
"Sigelman (1987)"	1	"Article"	"M"	1985.5	"NSF"	"United States"	"Grant"	"Social Sciences / Biology"	2	17	31	129
"Taplick (2005)"	1	"Grey"	"M"	2002.5	"EMBO"	"Europe"	"Fellowship"	"Life Sciences / Biology"	307	578	274	492
"Taplick (2005)"	2	"Grey"	"M"	2000	"EMBO"	"Europe"	"Fellowship"	"Life Sciences / Biology"	544	3263	954	4440
"Taplick (2005)"	3	"Grey"	"M"	2002	"EMBO"	"Europe"	"Fellowship"	"Life Sciences / Biology"	32	268	110	800
"Viner (2004)"	1	"Article"	"M"	1994	"EPSRC"	"United Kingdom"	"Grant"	"Physical Sciences"	122	181	3256	5500
"Viner (2004)"	2	"Article"	"M"	1998	"EPSRC"	"United Kingdom"	"Grant"	"Physical Sciences"	129	199	3327	5232
"Ward (1998)"	1	"Article"	"M&F"	1995.5	"NHMRC"	"Australia"	"Fellowship"	"Life Sciences / Biology"	43	120	102	301
"Wellcome Trust (1997)"	1	"Grey"	"M&F"	1995	"WT"	"United Kingdom"	"Grant"	"Life Sciences / Biology"	15	23	55	115
"Wenneras (1997)"	1	"Commentary"	"F"	1995	"MRC"	"Europe"	"Fellowship"	"Physical Sciences"	4	52	16	62
"Willems (2001)"	1	"Grey"	"F"	1997	"DFG"	"Europe"	"Grant"	"Life Sciences / Biology"	392	725	2219	3962
"Willems (2001)"	2	"Grey"	"F"	1998	"DFG"	"Europe"	"Grant"	"Life Sciences / Biology"	443	837	2370	4269
"Willems (2001)"	3	"Grey"	"F"	1999	"DFG"	"Europe"	"Grant"	"Life Sciences / Biology"	424	761	2467	4287
"Willems (2001)"	4	"Grey"	"F"	2000	"DFG"	"Europe"	"Grant"	"Life Sciences / Biology"	483	885	2388	4217
"Wood (1997)"	1	"Book"	"F"	1995	"ARC"	"Australia"	"Grant"	"Life Sciences / Biology"	10	51	58	241
"Wood (1997)"	2	"Book"	"F"	1995	"ARC"	"Australia"	"Grant"	"Life Sciences / Biology"	9	56	64	281
"Wood (1997)"	3	"Book"	"F"	1995	"ARC"	"Australia"	"Grant"	"Physical Sciences"	2	13	48	198
"Wood (1997)"	4	"Book"	"F"	1995	"ARC"	"Australia"	"Grant"	"Physical Sciences"	1	14	45	177
"Wood (1997)"	5	"Book"	"F"	1995	"ARC"	"Australia"	"Grant"	"Physical Sciences"	5	25	66	291
"Wood (1997)"	6	"Book"	"F"	1995	"ARC"	"Australia"	"Grant"	"Social Sciences / Biology"	25	104	57	259
"Wood (1997)"	7	"Book"	"F"	1995	"ARC"	"Australia"	"Grant"	"Physical Sciences"	3	13	63	240
"Wood (1997)"	8	"Book"	"F"	1995	"ARC"	"Australia"	"Grant"	"Social Sciences / Biology"	32	122	92	358
"Wood (1997)"	9	"Book"	"F"	1995	"ARC"	"Australia"	"Grant"	"Physical Sciences"	6	17	76	346
