"Article","Datapoint","Amniotes","animal","Species","Common.Name","Parameters","Statistics","Estimate","df","df.1","SE","Type","Direction","Formula","Process","N","Maternal","Offspring","Fecundity","Reproduction","Propagule","Environment","Comments","Author","year","Data.Extraction","Phylum","Class","Order","Family","Genus","X","r","Zr","RU"
15,408,"N","Litoria_fallax","Litoria_fallax","Eastern dwarf tree frog",NA,0.557,NA,NA,NA,NA,"r","+","r",0,28,"Weight","Number","Clutch","it","Egg","Wild","","Dziminski, M.A. & Alford, R.A.","2005",1,"Chordata","Amphibia","Anura","Hylidae","Litoria",NA,0.557,0.628473200894431,"Single"
15,409,"N","Litoria_gracilenta","Litoria_gracilenta","Dainty green tree frog",NA,0.283,NA,NA,NA,NA,"r","+","r",0,9,"Weight","Number","Clutch","it","Egg","Wild","","Dziminski, M.A. & Alford, R.A.","2005",1,"Chordata","Amphibia","Anura","Hylidae","Litoria",NA,0.283,0.290940262008008,"Single"
15,410,"N","Litoria_nasuta","Litoria_nasuta","Striped rocket frog",NA,0.261,NA,NA,NA,NA,"r","+","r",0,10,"Weight","Number","Clutch","it","Egg","Wild","","Dziminski, M.A. & Alford, R.A.","2005",1,"Chordata","Amphibia","Anura","Hylidae","Litoria",NA,0.261,0.267181207508359,"Single"
15,411,"N","Litoria_rothii","Litoria_rothii","Roth's tree frog",NA,0.697,NA,NA,NA,NA,"r","+","r",0,11,"Weight","Number","Clutch","it","Egg","Wild","","Dziminski, M.A. & Alford, R.A.","2005",1,"Chordata","Amphibia","Anura","Hylidae","Litoria",NA,0.697,0.861442229862428,"Single"
15,412,"N","Litoria_rubella","Litoria_rubella","Desert tree frog",NA,0.036,NA,NA,NA,NA,"r","+","r",0,8,"Weight","Number","Clutch","it","Egg","Wild","","Dziminski, M.A. & Alford, R.A.","2005",1,"Chordata","Amphibia","Anura","Hylidae","Litoria",NA,0.036,0.0360155641044415,"Single"
16,432,"Y","Ovophis_okinavensis","Ovophis_okinavensis","Okinawa pitviper",2,0.25,NA,NA,NA,NA,"r2","+","13",1,23,"Size","Number","Clutch","it","Egg","Captive","","Ford, N.B. & Seigel, R.A.","1989",1,"Chordata","Reptilia","Squamata","Viperidae","Ovophis",NA,0.418330013267038,0.445666078855916,"Single"
16,430,"Y","Pantherophis_guttatus","Pantherophis_guttatus","Corn snake",2,0.62,NA,NA,NA,NA,"r2","+","13",1,21,"Size","Number","Clutch","it","Egg","Captive","","Ford, N.B. & Seigel, R.A.","1989",1,"Chordata","Reptilia","Squamata","Colubridae","Pantherophis",NA,0.760116950066092,0.996492011045558,"Single"
16,431,"Y","Trimeresurus_flavoviridis","Trimeresurus_flavoviridis","Yellow-green tree viper",2,0.17,NA,NA,NA,NA,"r2","+","13",1,15,"Size","Number","Clutch","it","Egg","Captive","","Ford, N.B. & Seigel, R.A.","1989",1,"Chordata","Reptilia","Squamata","Viperidae","Trimeresurus",NA,0.177951304200522,0.179866195866528,"Single"
17,59,"N","Poecilia_reticulata","Poecilia_reticulata","Trinidadian guppy",2,0.262,NA,NA,NA,NA,"r2","+","13",1,140,"Size","Number","Clutch","it","Egg","Captive","Female-biased sex ratio","Barbosa, M. & Magurran, A.E.","2010",1,"Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","Poecilia",NA,0.501224777292846,0.550940516673309,"Single"
21,66,"Y","Sigmodon_hispidus","Sigmodon_hispidus","Cotton rats",2,0.32,NA,NA,NA,NA,"r2","+","13",1,29,"Weight","Number","Clutch","it","Offspring","Wild","","Campbell, M.T. & Slade, N.A.","1995",1,"Chordata","Mammalia","Rodentia","Cricetidae","Sigmodon",NA,0.517389899101546,0.572768941514397,"Single"
22,71,"N","Engraulis_ringens","Engraulis_ringens","Anchoveta",2,0.61,NA,NA,NA,NA,"r2","+","13",1,168,"Weight","Number","Clutch","it","Egg","Wild","South population","Castro, L.R., Claramunt, G., Krautz, M.C., Llanos-Rivera, A. & Morena, P.","2009",1,"Chordata","Actinopterygii","Clupeiformes","Engraulidae","Engraulis",NA,0.777992755282931,1.04026516311053,"Single"
22,72,"N","Engraulis_ringens","Engraulis_ringens","Anchoveta",2,0.26,NA,NA,NA,NA,"r2","+","13",1,195,"Weight","Number","Clutch","it","Egg","Wild","North population","Castro, L.R., Claramunt, G., Krautz, M.C., Llanos-Rivera, A. & Morena, P.","2009",1,"Chordata","Actinopterygii","Clupeiformes","Engraulidae","Engraulis",NA,0.502286438863988,0.552359393003616,"Single"
27,79,"Y","Nerodia_harteri","Nerodia_harteri","Concho Water Snake",2,0.44,NA,NA,NA,NA,"r2","+","13",1,268,"Size","Number","Clutch","it","Offspring","Wild","","Greene, B.D., Dixon, J.R., Whiting, M.J. & Mueller, J.M.","1999",1,"Chordata","Reptilia","Squamata","Colubridae","Nerodia",NA,0.660131490618089,0.793046641866583,"Single"
28,82,"Y","Urocitellus_richardsonii","Urocitellus_richardsonii","Richardson's ground squirrels",NA,0.21,NA,NA,NA,NA,"r","+","r",0,38,"Weight","Number","Clutch","it","Offspring","Wild","Subsequent breeders","Dobson, F.S. & Michener, G.R.","1995",1,"Chordata","Mammalia","Rodentia","Sciuridae","Urocitellus",NA,0.21,0.21317134656486,"Single"
28,83,"Y","Urocitellus_richardsonii","Urocitellus_richardsonii","Richardson's ground squirrels",NA,0.23,NA,NA,NA,NA,"r","+","r",0,51,"Weight","Number","Clutch","it","Offspring","Wild","First breeders","Dobson, F.S. & Michener, G.R.","1995",1,"Chordata","Mammalia","Rodentia","Sciuridae","Urocitellus",NA,0.23,0.234189466759367,"Single"
29,86,"Y","Urocitellus_columbianus","Urocitellus_columbianus","Columbian ground squirrels",NA,-0.26,NA,NA,NA,NA,"r","-","r",0,44,"Weight","Number","Clutch","it","Offspring","Wild","First breeders","Dobson, F.S., Risch, T.S. & Murie, J.O.","1999",1,"Chordata","Mammalia","Rodentia","Sciuridae","Urocitellus",NA,-0.26,-0.266108406873654,"Single"
29,87,"Y","Urocitellus_columbianus","Urocitellus_columbianus","Columbian ground squirrels",NA,0.29,NA,NA,NA,NA,"r","+","r",0,129,"Weight","Number","Clutch","it","Offspring","Wild","Subsequent breeders","Dobson, F.S., Risch, T.S. & Murie, J.O.","1999",1,"Chordata","Mammalia","Rodentia","Sciuridae","Urocitellus",NA,0.29,0.298566263660178,"Single"
30,88,"N","Stator_limbatus","Stator_limbatus","Bean weevil",NA,0.465,NA,NA,NA,NA,"r","+","r",0,46,"Weight","Number","Lifetime","it","Egg","Captive","Apache Junction, Acacia greggii","Fox, C.W., Thakar, M.S. & Mousseau, T.A.","1997",1,"Arthropoda","Insecta","Coleoptera","Chrysomelidae","Stator",NA,0.465,0.503671887277581,"Life"
30,90,"N","Stator_limbatus","Stator_limbatus","Bean weevil",NA,0.605,NA,NA,NA,NA,"r","+","r",0,53,"Weight","Number","Lifetime","it","Egg","Captive","Scottsdale, Acacia greggii","Fox, C.W., Thakar, M.S. & Mousseau, T.A.","1997",1,"Arthropoda","Insecta","Coleoptera","Chrysomelidae","Stator",NA,0.605,0.700996635331497,"Life"
33,104,"Y","Thamnophis_sirtalis","Thamnophis_sirtalis","Common garter snake",NA,0.36,NA,NA,NA,NA,"r","+","r",0,35,"Size","Number","Clutch","it","Egg","Wild","","Dunlap, K.D. & Lang, J.W.","1990",1,"Chordata","Reptilia","Squamata","Colubridae","Thamnophis",NA,0.36,0.37688590118819,"Single"
35,109,"Y","Sus_scrofa","Sus_scrofa","Wild boar",NA,0.306,NA,NA,NA,NA,"r","+","r",0,46,"Size","Number","Clutch","it","Offspring","Wild","","Fernandez-Llario, P., Carranza, J. & Mateos-Quesada, P.","1999",1,"Chordata","Mammalia","Artiodactyla","Suidae","Sus",NA,0.306,0.316126174664786,"Single"
36,111,"Y","Anguis_fragilis","Anguis_fragilis","Slow worm",2,0.294,NA,NA,NA,NA,"r2","+","13",1,68,"Size","Number","Clutch","it","Offspring","Captive","","Ferreiro, R. & Galin, P.","2004",1,"Chordata","Reptilia","Squamata","Anguidae","Anguis",NA,0.52180161275807,0.578812250526562,"Single"
37,115,"Y","Lamprophis_fuliginosus","Lamprophis_fuliginosus","Cape house snakes",2,0.224,NA,NA,NA,NA,"r2","+","13",1,14,"Size","Number","Clutch","it","Egg","Captive","Clutch 1","Ford, N.B. & Seigel, R.A.","2006",1,"Chordata","Reptilia","Squamata","Scincidae","Lampropholis",NA,0.287939387561151,0.29631790429578,"Single"
38,119,"Y","Crocidura_russula","Crocidura_russula","Greater white-toothed shrew ",NA,0.58,NA,NA,NA,NA,"r","+","r",0,29,"Weight","Number","Clutch","it","Offspring","Wild","","Genoud, M. & Perrin, N.","1994",1,"Chordata","Mammalia","Soricomorpha","Soricidae","Crocidura",NA,0.58,0.662462707371799,"Single"
39,122,"Y","Thamnophis_ordinoides","Thamnophis_ordinoides","Northwestern garter snakes",2,0.23,NA,NA,NA,NA,"r2","+","13",1,22,"Size","Number","Clutch","it","Offspring","Wild","Best models of multiple regressions testing effects of predictors ","Gignac, A. & Gregory, P.T.","2005",1,"Chordata","Reptilia","Squamata","Colubridae","Thamnophis",NA,0.385937000585656,0.407017098400451,"Single"
44,164,"N","Gammarus_minus","Gammarus_minus","Amphipod ",NA,0.476,NA,NA,NA,NA,"r","+","r",0,41,"Size","Number","Clutch","it","Egg","Wild","G","Glazier, D.S.","2000",1,"Arthropoda","Malacostraca","Amphiipoda","Gammaridae","Gammarus",NA,0.476,0.517799660419688,"Single"
44,165,"N","Gammarus_minus","Gammarus_minus","Amphipod ",NA,0.533,NA,NA,NA,NA,"r","+","r",0,45,"Size","Number","Clutch","it","Egg","Wild","C","Glazier, D.S.","2000",1,"Arthropoda","Malacostraca","Amphiipoda","Gammaridae","Gammarus",NA,0.533,0.594326310601458,"Single"
44,166,"N","Gammarus_minus","Gammarus_minus","Amphipod ",NA,0.464,NA,NA,NA,NA,"r","+","r",0,40,"Size","Number","Clutch","it","Egg","Wild","W","Glazier, D.S.","2000",1,"Arthropoda","Malacostraca","Amphiipoda","Gammaridae","Gammarus",NA,0.464,0.502396766725227,"Single"
44,167,"N","Gammarus_minus","Gammarus_minus","Amphipod ",NA,0.105,NA,NA,NA,NA,"r","+","r",0,35,"Size","Number","Clutch","it","Egg","Wild","P","Glazier, D.S.","2000",1,"Arthropoda","Malacostraca","Amphiipoda","Gammaridae","Gammarus",NA,0.105,0.105388447838499,"Single"
44,168,"N","Gammarus_minus","Gammarus_minus","Amphipod ",NA,0.535,NA,NA,NA,NA,"r","+","r",0,40,"Size","Number","Clutch","it","Egg","Wild","E","Glazier, D.S.","2000",1,"Arthropoda","Malacostraca","Amphiipoda","Gammaridae","Gammarus",NA,0.535,0.597124127216971,"Single"
44,169,"N","Gammarus_minus","Gammarus_minus","Amphipod ",NA,0.419,NA,NA,NA,NA,"r","+","r",0,44,"Size","Number","Clutch","it","Egg","Wild","LH","Glazier, D.S.","2000",1,"Arthropoda","Malacostraca","Amphiipoda","Gammaridae","Gammarus",NA,0.419,0.446478460154066,"Single"
44,170,"N","Gammarus_minus","Gammarus_minus","Amphipod ",NA,0.368,NA,NA,NA,NA,"r","+","r",0,36,"Size","Number","Clutch","it","Egg","Wild","R","Glazier, D.S.","2000",1,"Arthropoda","Malacostraca","Amphiipoda","Gammaridae","Gammarus",NA,0.368,0.386107852017819,"Single"
44,171,"N","Gammarus_minus","Gammarus_minus","Amphipod ",NA,0.323,NA,NA,NA,NA,"r","+","r",0,45,"Size","Number","Clutch","it","Egg","Wild","B","Glazier, D.S.","2000",1,"Arthropoda","Malacostraca","Amphiipoda","Gammaridae","Gammarus",NA,0.323,0.33499294560134,"Single"
44,172,"N","Gammarus_minus","Gammarus_minus","Amphipod ",NA,0.705,NA,NA,NA,NA,"r","+","r",0,43,"Size","Number","Clutch","it","Egg","Wild","K","Glazier, D.S.","2000",1,"Arthropoda","Malacostraca","Amphiipoda","Gammaridae","Gammarus",NA,0.705,0.877172516688899,"Single"
44,173,"N","Gammarus_minus","Gammarus_minus","Amphipod ",NA,0.663,NA,NA,NA,NA,"r","+","r",0,38,"Size","Number","Clutch","it","Egg","Wild","EL","Glazier, D.S.","2000",1,"Arthropoda","Malacostraca","Amphiipoda","Gammaridae","Gammarus",NA,0.663,0.798147774420283,"Single"
44,174,"N","Gammarus_minus","Gammarus_minus","Amphipod ",NA,0.413,NA,NA,NA,NA,"r","+","r",0,38,"Size","Number","Clutch","it","Egg","Wild","G (same location as above)","Glazier, D.S.","2000",1,"Arthropoda","Malacostraca","Amphiipoda","Gammaridae","Gammarus",NA,0.413,0.439222781428215,"Single"
44,175,"N","Gammarus_minus","Gammarus_minus","Amphipod ",NA,0.549,NA,NA,NA,NA,"r","+","r",0,44,"Size","Number","Clutch","it","Egg","Wild","P (same location as above)","Glazier, D.S.","2000",1,"Arthropoda","Malacostraca","Amphiipoda","Gammaridae","Gammarus",NA,0.549,0.616948750457095,"Single"
44,176,"N","Gammarus_minus","Gammarus_minus","Amphipod ",NA,0.407,NA,NA,NA,NA,"r","+","r",0,37,"Size","Number","Clutch","it","Egg","Wild","K (same location as above)","Glazier, D.S.","2000",1,"Arthropoda","Malacostraca","Amphiipoda","Gammaridae","Gammarus",NA,0.407,0.432010329058332,"Single"
44,177,"N","Gammarus_minus","Gammarus_minus","Amphipod ",NA,0.285,NA,NA,NA,NA,"r","+","r",0,44,"Size","Number","Clutch","it","Egg","Wild","EL (same location as above)","Glazier, D.S.","2000",1,"Arthropoda","Malacostraca","Amphiipoda","Gammaridae","Gammarus",NA,0.285,0.293115727317656,"Single"
45,193,"N","Microgadus_tomcod","Microgadus_tomcod","Atlantic tomcod ",NA,0.93,NA,NA,NA,NA,"r","+","r",0,9,"Size","Number","Clutch","it","Egg","Wild","Location 1","Green, B.S & Chambers, R.C.","2007",1,"Chordata","Actinopterygii","Gadiformes","Gadidae","Microgadus",NA,0.93,1.65839001992479,"Single"
45,197,"N","Microgadus_tomcod","Microgadus_tomcod","Atlantic tomcod ",NA,0.67,NA,NA,NA,NA,"r","+","r",0,14,"Size","Number","Clutch","it","Egg","Wild","Location 2","Green, B.S & Chambers, R.C.","2007",1,"Chordata","Actinopterygii","Gadiformes","Gadidae","Microgadus",NA,0.67,0.810743125475137,"Single"
46,201,"N","Salmo_trutta","Salmo_trutta","Brown trout",NA,0.78,NA,NA,NA,NA,"r","+","r",0,149,"Size","Number","Clutch","it","Egg","Wild","","Gregerson, F, Haugen, T.O. & Larsen, ¿.N.","2006",1,"Chordata","Actinopterygii","Salmoniformes","Salmonidae","Salmo",NA,0.78,1.04537054846688,"Single"
48,204,"N","Elasmucha_putoni","Elasmucha_putoni","Shield bug",NA,0.772,NA,NA,NA,NA,"r","+","r",0,28,"Size","Number","Clutch","it","Egg","Wild","","Kudo, S.","2001",1,"Arthropoda","Insecta","Hemiptera","Acanthosomatidae","Elasmucha",NA,0.772,1.02525925110529,"Single"
48,205,"N","Elasmucha_putoni","Elasmucha_putoni","Shield bug",NA,0.705,NA,NA,NA,NA,"r","+","r",0,28,"Size","Number","Clutch","it","Egg","Captive","","Kudo, S.","2001",1,"Arthropoda","Insecta","Hemiptera","Acanthosomatidae","Elasmucha",NA,0.705,0.877172516688899,"Single"
48,206,"N","Sastragala_scutellata","Sastragala_scutellata","Shield bug",NA,0.666,NA,NA,NA,NA,"r","+","r",0,28,"Size","Number","Clutch","it","Egg","Wild","","Kudo, S.","2001",1,"Arthropoda","Insecta","Hemiptera","Acanthosomatidae","Sastragala",NA,0.666,0.803519914875044,"Single"
49,210,"N","Haminoea_callidegenita","Haminoea_callidegenita","Bubble sea snail",NA,0.135,NA,NA,NA,NA,"r","+","13",1,19,"Weight","Number","Clutch","it","Egg","Wild","Graphclick for corrleation","Ito, K.","1997",1,"Mollusca","Gastropoda","Heterobranchia","Haminoeidae","Haminoea",NA,0.135,0.135829211491812,"Single"
50,211,"N","Buccinum_isaotakii","Buccinum_isaotakii","Whelk",2,0.865,NA,NA,NA,NA,"r2","+","13",1,15,"Size","Number","Clutch","it","Egg","Wild","","Ilano, A.S., Fujinaga, K. & Nakao, S.","2004",1,"Mollusca","Gastropoda","Caenogastropoda","Buccinidae","Buccinum",NA,0.917877987534291,1.57538427037174,"Single"
51,216,"N","Gadus_morhua","Gadus_morhua","Atlantic cod",2,0.33,NA,NA,NA,NA,"r2","+","13",1,28,"Size","Number","Clutch","it","Egg","Wild","Location 1, 1998","Koops, M.A., Hutchings, J.A. & McIntyre, T.M.","2004",1,"Chordata","Actinopterygii","Gadiformes","Gadidae","Gadus",NA,0.525737577123797,0.584236212995822,"Single"
51,217,"N","Gadus_morhua","Gadus_morhua","Atlantic cod",2,0.6,NA,NA,NA,NA,"r2","+","13",1,16,"Size","Number","Clutch","it","Egg","Wild","Location 1, 1999","Koops, M.A., Hutchings, J.A. & McIntyre, T.M.","2004",1,"Chordata","Actinopterygii","Gadiformes","Gadidae","Gadus",NA,0.733799385705343,0.936910121263707,"Single"
51,218,"N","Gadus_morhua","Gadus_morhua","Atlantic cod",2,0.72,NA,NA,NA,NA,"r2","+","13",1,55,"Size","Number","Clutch","it","Egg","Wild","Location 2, 2000","Koops, M.A., Hutchings, J.A. & McIntyre, T.M.","2004",1,"Chordata","Actinopterygii","Gadiformes","Gadidae","Gadus",NA,0.842158399133304,1.22855060106577,"Single"
51,219,"N","Gadus_morhua","Gadus_morhua","Atlantic cod",2,0.86,NA,NA,NA,NA,"r2","+","13",1,41,"Size","Number","Clutch","it","Egg","Wild","Location 2, 2001","Koops, M.A., Hutchings, J.A. & McIntyre, T.M.","2004",1,"Chordata","Actinopterygii","Gadiformes","Gadidae","Gadus",NA,0.923380516876639,1.61149410471519,"Single"
51,220,"N","Gadus_morhua","Gadus_morhua","Atlantic cod",2,0.81,NA,NA,NA,NA,"r2","+","13",1,30,"Size","Number","Clutch","it","Egg","Wild","Location 3, 1980","Koops, M.A., Hutchings, J.A. & McIntyre, T.M.","2004",1,"Chordata","Actinopterygii","Gadiformes","Gadidae","Gadus",NA,0.892146807384259,1.43234818279409,"Single"
51,221,"N","Gadus_morhua","Gadus_morhua","Atlantic cod",2,0.39,NA,NA,NA,NA,"r2","+","13",1,35,"Size","Number","Clutch","it","Egg","Wild","Location 3, 1998","Koops, M.A., Hutchings, J.A. & McIntyre, T.M.","2004",1,"Chordata","Actinopterygii","Gadiformes","Gadidae","Gadus",NA,0.593190525885234,0.682574475712087,"Single"
51,222,"N","Gadus_morhua","Gadus_morhua","Atlantic cod",2,0.69,NA,NA,NA,NA,"r2","+","13",1,30,"Size","Number","Clutch","it","Egg","Wild","Location 3, 1999","Koops, M.A., Hutchings, J.A. & McIntyre, T.M.","2004",1,"Chordata","Actinopterygii","Gadiformes","Gadidae","Gadus",NA,0.816723354041647,1.14689653234023,"Single"
51,223,"N","Salvelinus_fontinalis","Salvelinus_fontinalis","Brook trout",2,0.22,NA,NA,NA,NA,"r2","+","13",1,50,"Size","Number","Clutch","it","Egg","Wild","Location 4","Koops, M.A., Hutchings, J.A. & McIntyre, T.M.","2004",1,"Chordata","Actinopterygii","Salmoniformes","Salmonidae","Salvelinus",NA,0.432213501221674,0.462615481906053,"Single"
51,224,"N","Salvelinus_fontinalis","Salvelinus_fontinalis","Brook trout",2,0.6,NA,NA,NA,NA,"r2","+","13",1,40,"Size","Number","Clutch","it","Egg","Wild","Location 5, 1987","Koops, M.A., Hutchings, J.A. & McIntyre, T.M.","2004",1,"Chordata","Actinopterygii","Salmoniformes","Salmonidae","Salvelinus",NA,0.760511918630062,0.997428128810016,"Single"
51,225,"N","Salvelinus_fontinalis","Salvelinus_fontinalis","Brook trout",2,0.7,NA,NA,NA,NA,"r2","+","13",1,48,"Size","Number","Clutch","it","Egg","Wild","Location 5, 1988","Koops, M.A., Hutchings, J.A. & McIntyre, T.M.","2004",1,"Chordata","Actinopterygii","Salmoniformes","Salmonidae","Salvelinus",NA,0.828653526310404,1.18382376425651,"Single"
51,226,"N","Salvelinus_fontinalis","Salvelinus_fontinalis","Brook trout",2,0.68,NA,NA,NA,NA,"r2","+","13",1,51,"Size","Number","Clutch","it","Egg","Wild","Location 6","Koops, M.A., Hutchings, J.A. & McIntyre, T.M.","2004",1,"Chordata","Actinopterygii","Salmoniformes","Salmonidae","Salvelinus",NA,0.816496580927726,1.14621583478059,"Single"
51,227,"N","Salvelinus_fontinalis","Salvelinus_fontinalis","Brook trout",2,0.69,NA,NA,NA,NA,"r2","+","13",1,56,"Size","Number","Clutch","it","Egg","Wild","Location 7, 1987","Koops, M.A., Hutchings, J.A. & McIntyre, T.M.","2004",1,"Chordata","Actinopterygii","Salmoniformes","Salmonidae","Salvelinus",NA,0.823590849143222,1.16787840623832,"Single"
51,228,"N","Salvelinus_fontinalis","Salvelinus_fontinalis","Brook trout",2,0.42,NA,NA,NA,NA,"r2","+","13",1,58,"Size","Number","Clutch","it","Egg","Wild","Location 7, 1988","Koops, M.A., Hutchings, J.A. & McIntyre, T.M.","2004",1,"Chordata","Actinopterygii","Salmoniformes","Salmonidae","Salvelinus",NA,0.63159250384175,0.744061080510218,"Single"
51,229,"N","Salvelinus_fontinalis","Salvelinus_fontinalis","Brook trout",2,0.22,NA,NA,NA,NA,"r2","+","13",1,66,"Size","Number","Clutch","it","Egg","Wild","Location 8, 1987","Koops, M.A., Hutchings, J.A. & McIntyre, T.M.","2004",1,"Chordata","Actinopterygii","Salmoniformes","Salmonidae","Salvelinus",NA,0.441857550844268,0.474536656058032,"Single"
51,230,"N","Salvelinus_fontinalis","Salvelinus_fontinalis","Brook trout",2,0.53,NA,NA,NA,NA,"r2","+","13",1,52,"Size","Number","Clutch","it","Egg","Wild","Location 8, 1988","Koops, M.A., Hutchings, J.A. & McIntyre, T.M.","2004",1,"Chordata","Actinopterygii","Salmoniformes","Salmonidae","Salvelinus",NA,0.714714157219942,0.896755019383759,"Single"
51,231,"N","Salvelinus_fontinalis","Salvelinus_fontinalis","Brook trout",2,0.41,NA,NA,NA,NA,"r2","+","13",1,50,"Size","Number","Clutch","it","Egg","Wild","Location 9","Koops, M.A., Hutchings, J.A. & McIntyre, T.M.","2004",1,"Chordata","Actinopterygii","Salmoniformes","Salmonidae","Salvelinus",NA,0.620397950529558,0.725651790393584,"Single"
