"Article","Datapoint","Amniotes","animal","Species","Common.Name","Parameters","Statistics","Estimate","df","df.1","SE","Type","Direction","Formula","Process","N","Maternal","Offspring","Fecundity","Reproduction","Propagule","Environment","Comments","Author","year","Data.Extraction","Phylum","Class","Order","Family","Genus","X","r","Zr","RU"
7,37,"N","Salmo_salar","Salmo_salar","Atlantic salmon",NA,0.8,NA,NA,NA,NA,"r","+","r",0,6,"Weight","Mass","Clutch","it","Egg","Wild","","Berg, O.K., Hendry, A.P., Svendsen, D., Bech, C., Arnekleiv, J.V. & Lohrmann, A.","2001",1,"Chordata","Actinopterygii","Salmoniformes","Salmonidae","Salmo",NA,0.8,1.09861228866811,"Single"
9,44,"Y","Pantherophis_obsoletus","Pantherophis_obsoletus","Black ratsnakes",2,0.003,NA,NA,NA,NA,"r2","EMAIL","SQRT R2",1,51,"Size","Mass","Clutch","it","Egg","Wild","","Blouin-Demers, G. & Weatherhead, P.J.","2007",1,"Chordata","Reptilia","Squamata","Colubridae","Pantherophis",NA,0.0547722557505166,0.054827126808086,"Single"
10,45,"N","Daphnia_galeata","Daphnia_galeata","Zooplankton",NA,0.44,NA,NA,NA,NA,"r","+","r",0,484,"Size","Mass","Clutch","it","Egg","Captive","Egg carbon value","Boersma, M.","1995",1,"Arthropoda","Branchiopoda","Cladocera","Daphniidae","Daphnia",NA,0.44,0.472230804420426,"Single"
11,46,"Y","Callorhinus_ursinus","Callorhinus_ursinus","Northern fur seals",NA,8.332,NA,1,254,NA,"F","+","11",1,252,"Weight","Mass","Clutch","it","Offspring","Wild","","Boltnev , A.I. & York, A.E.","2001",1,"Chordata","Mammalia","Carnivora","Otariidae","Callorhinus",NA,0.178216945321976,0.180140537446463,"Single"
12,50,"Y","Cervus_elaphus","Cervus_elaphus","Red deer",2,0.85,NA,NA,NA,NA,"r2","+","13",1,111,"Weight","Mass","Clutch","it","Offspring","Wild","Standardised fetus mass to remove effect of gestation length","Bonenfant, C., Gaillard, J.M., Loison, A. & Klein, F.","2003",1,"Chordata","Mammalia","Artiodactyla","Carvidae","Cervus",NA,0.920446751432272,1.59194326511967,"Single"
13,52,"Y","Vipera_aspis","Vipera_aspis","Aspic vipers",NA,0.22,NA,NA,NA,NA,"r","+","r",0,132,"Size","Mass","Clutch","it","Offspring","Wild","","Bonnet, X., Naulleau, G., Shine, R. & Lourdais, O.","2001",1,"Chordata","Reptilia","Squamata","Viperidae","Vipera",NA,0.22,0.223656109021832,"Single"
15,393,"N","Limnodynastes_ornatus","Limnodynastes_ornatus","Ornate burrowing frog",NA,0.021,NA,NA,NA,NA,"r","+","r",0,24,"Mass","Volume","Clutch","it","Egg","Wild","","Dziminski, M.A. & Alford, R.A.","2005",1,"Chordata","Amphibia","Anura","Myobatrachidae","Limnodynastes",NA,0.021,0.0210030878170775,"Single"
15,394,"N","Cyclorana_alboguttata","Cyclorana_alboguttata","Striped burrowing frog",NA,0.057,NA,NA,NA,NA,"r","+","r",0,21,"Mass","Volume","Clutch","it","Egg","Wild","","Dziminski, M.A. & Alford, R.A.","2005",1,"Chordata","Amphibia","Anura","Hylidae","Litoria",NA,0.057,0.0570618516183901,"Single"
15,395,"N","Cyclorana_brevipes","Cyclorana_brevipes","Short-footed frog",NA,0.314,NA,NA,NA,NA,"r","+","r",0,8,"Mass","Volume","Clutch","it","Egg","Wild","","Dziminski, M.A. & Alford, R.A.","2005",1,"Chordata","Amphibia","Anura","Hylidae","Litoria",NA,0.314,0.324976785659335,"Single"
15,396,"N","Cyclorana_novaehollandiae","Cyclorana_novaehollandiae","New Holland frog",NA,-0.357,NA,NA,NA,NA,"r","-","r",0,8,"Mass","Volume","Clutch","it","Egg","Wild","","Dziminski, M.A. & Alford, R.A.","2005",1,"Chordata","Amphibia","Anura","Hylidae","Litoria",NA,-0.357,-0.373443467798625,"Single"
15,397,"N","Litoria_caerulea","Litoria_caerulea","Australian green tree frog",NA,0.556,NA,NA,NA,NA,"r","+","r",0,15,"Mass","Volume","Clutch","it","Egg","Wild","","Dziminski, M.A. & Alford, R.A.","2005",1,"Chordata","Amphibia","Anura","Hylidae","Litoria",NA,0.556,0.627024571153056,"Single"
15,398,"N","Litoria_fallax","Litoria_fallax","Eastern dwarf tree frog",NA,0.32,NA,NA,NA,NA,"r","+","r",0,28,"Mass","Volume","Clutch","it","Egg","Wild","","Dziminski, M.A. & Alford, R.A.","2005",1,"Chordata","Amphibia","Anura","Hylidae","Litoria",NA,0.32,0.331647108705132,"Single"
15,399,"N","Litoria_gracilenta","Litoria_gracilenta","Dainty green tree frog",NA,0.15,NA,NA,NA,NA,"r","+","r",0,9,"Mass","Volume","Clutch","it","Egg","Wild","","Dziminski, M.A. & Alford, R.A.","2005",1,"Chordata","Amphibia","Anura","Hylidae","Litoria",NA,0.15,0.151140435936467,"Single"
15,400,"N","Litoria_nasuta","Litoria_nasuta","Striped rocket frog",NA,0.2,NA,NA,NA,NA,"r","+","r",0,10,"Mass","Volume","Clutch","it","Egg","Wild","","Dziminski, M.A. & Alford, R.A.","2005",1,"Chordata","Amphibia","Anura","Hylidae","Litoria",NA,0.2,0.202732554054082,"Single"
15,401,"N","Litoria_rothii","Litoria_rothii","Roth's tree frog",NA,0.139,NA,NA,NA,NA,"r","+","r",0,11,"Mass","Volume","Clutch","it","Egg","Wild","","Dziminski, M.A. & Alford, R.A.","2005",1,"Chordata","Amphibia","Anura","Hylidae","Litoria",NA,0.139,0.139905729509726,"Single"
15,402,"N","Litoria_rubella","Litoria_rubella","Desert tree frog",NA,-0.107,NA,NA,NA,NA,"r","-","r",0,8,"Mass","Volume","Clutch","it","Egg","Wild","","Dziminski, M.A. & Alford, R.A.","2005",1,"Chordata","Amphibia","Anura","Hylidae","Litoria",NA,-0.107,-0.107411175916069,"Single"
16,429,"Y","Ovophis_okinavensis","Ovophis_okinavensis","Okinawa pitviper",2,0.2,NA,NA,NA,NA,"r2","+","13",1,23,"Length","Mass","Clutch","it","Egg","Captive","","Ford, N.B. & Seigel, R.A.","1989",1,"Chordata","Reptilia","Squamata","Viperidae","Ovophis",NA,0.346410161513775,0.361358596793958,"Single"
16,427,"Y","Pantherophis_guttatus","Pantherophis_guttatus","Corn snake",2,0.08,NA,NA,NA,NA,"r2","+","13",1,21,"Length","Mass","Clutch","it","Egg","Captive","","Ford, N.B. & Seigel, R.A.","1989",1,"Chordata","Reptilia","Squamata","Colubridae","Pantherophis",NA,0.282842712474619,0.290769289037252,"Single"
16,428,"Y","Trimeresurus_flavoviridis","Trimeresurus_flavoviridis","Yellow-green tree viper",2,0.11,NA,NA,NA,NA,"r2","+","13",1,15,"Length","Mass","Clutch","it","Egg","Captive","","Ford, N.B. & Seigel, R.A.","1989",1,"Chordata","Reptilia","Squamata","Viperidae","Trimeresurus",NA,0.33166247903554,0.344695054018997,"Single"
17,61,"N","Poecilia_reticulata","Poecilia_reticulata","Trinidadian guppy",2,0.03,NA,NA,NA,NA,"r2","+","13",1,140,"Length","Length","Clutch","it","Offspring","Captive","Female-biased sex ratio","Barbosa, M. & Magurran, A.E.","2010",1,"Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","Poecilia",NA,0.125854741898723,0.126525617844542,"Single"
18,62,"Y","Diomedea_exulans","Diomedea_exulans","Wandering albatross",2,0.4,NA,NA,NA,NA,"r2","+","13",1,24,"Size","Size","Clutch","it","Offspring","Wild","Principal components analysis using a covariance matrix on six measurements; Male offsprings","Blanchard, P., Hanuise, N., Dana, S. & Weimerskirch, H.","2007",1,"Chordata","Aves","Procellariiformes","Diomedeidae","Diomedea",NA,0.58554004376912,0.670851993697842,"Single"
18,63,"Y","Diomedea_exulans","Diomedea_exulans","Wandering albatross",2,0.325,NA,NA,NA,NA,"r2","+","13",1,24,"Size","Size","Clutch","it","Offspring","Wild","Principal components analysis using a covariance matrix onsix measurements;Female offsprings","Blanchard, P., Hanuise, N., Dana, S. & Weimerskirch, H.","2007",1,"Chordata","Aves","Procellariiformes","Diomedeidae","Diomedea",NA,0.510601885733186,0.563543576182269,"Single"
19,64,"Y","Anas_platyrhynchos","Anas_platyrhynchos","Mallard",2,0.001,NA,NA,NA,NA,"r2","+","SQRT R2",1,49,"Weight","Mass","Clutch","it","Egg","Wild","","Bluhm, C.K. & Gowaty, P.A.","2004",1,"Chordata","Aves","Anseriformes","Anatidae","Anas",NA,0.0316227766016838,0.0316333238562941,"Single"
20,65,"N","Squalus_megalops","Squalus_megalops","Shortnose spurdog ",2,0.64,NA,NA,NA,NA,"r2","+","13",1,72,"Size","Mass","Clutch","it","Egg","Wild","","Braccini, J.M., Hamlett, W.C., Gillanders, B.M. & Walker, T.I.","2007",1,"Chordata","Chondrichthyes","Squaliformes","Squalidae","Squalus",NA,0.793451458749245,1.08068089007129,"Single"
21,70,"Y","Sigmodon_hispidus","Sigmodon_hispidus","Cotton rats",2,0.23,NA,NA,NA,NA,"r2","+","13",1,29,"Weight","Mass","Clutch","it","Offspring","Wild","","Campbell, M.T. & Slade, N.A.","1995",1,"Chordata","Mammalia","Rodentia","Cricetidae","Sigmodon",NA,0.413242339032717,0.43951499173357,"Single"
23,73,"Y","Mungos_mungo","Mungos_mungo","Banded mongooses",NA,10.22,NA,NA,NA,NA,"Wald statistic","+","ES Cal",1,39,"Weight","Mass","Clutch","it","Offspring","Wild","p=0.004","Hodge, S.J., Bell, M.B., Mwanguhya, F., Kyabulima, S., Waldick, R.C. & Russell, A.F.","2009",1,"Chordata","Mammalia","Carnivora","Herpestidae","Mungos",NA,0.511909447120565,0.565313858828582,"Single"
24,74,"N","Callosobruchus_maculatus","Callosobruchus_maculatus","Cowpea weevil",NA,0.208,NA,NA,NA,NA,"r","+","r",0,195,"Weight","Diameter","Clutch","it","Egg","Captive","","Fox, C.W.","1994",1,"Arthropoda","Insecta","Coleoptera","Chrysomelidae","Callosobruchus",NA,0.208,0.211079993340167,"Single"
25,76,"N","Plethodon_cinereus","Plethodon_cinereus","Redbacked salamander",NA,0.07,NA,NA,NA,NA,"r","+","r",0,10,"Length","Length","Clutch","it","Offspring","Wild","Standardised starting clutch size","Crespi, E.J. & Lessig, H.","2004",1,"Chordata","Amphibia","Caudata","Plethodontidae","Plethodon",NA,0.07,0.0701146706543252,"Single"
26,77,"Y","Macaca_mulatta","Macaca_mulatta","Rhesus macaques",NA,0.507,NA,NA,NA,NA,"r","+","r",0,31,"Weight","Mass","Clutch","it","Offspring","Wild","","Bowman, J.E. & Lee, P.C.","1995",1,"Chordata","Mammalia","Primates","Cercopithecidae","Macaca",NA,0.507,0.558683512291903,"Single"
26,78,"Y","Macaca_mulatta","Macaca_mulatta","Rhesus macaques",NA,0.52,NA,NA,NA,NA,"r","+","r",0,31,"Size","Mass","Clutch","it","Offspring","Wild","","Bowman, J.E. & Lee, P.C.","1995",1,"Chordata","Mammalia","Primates","Cercopithecidae","Macaca",NA,0.52,0.576339754969193,"Single"
30,94,"N","Stator_limbatus","Stator_limbatus","Bean weevil",NA,0.293,NA,NA,NA,NA,"r","+","r",0,69,"Weight","Diameter","Clutch","it","Egg","Captive","Scottsdale, Acacia greggii","Fox, C.W., Thakar, M.S. & Mousseau, T.A.","1997",1,"Arthropoda","Insecta","Coleoptera","Chrysomelidae","Stator",NA,0.293,0.301844856437642,"Single"
30,98,"N","Stator_limbatus","Stator_limbatus","Bean weevil",NA,0.132,NA,NA,NA,NA,"r","+","r",0,55,"Weight","Diameter","Clutch","it","Egg","Captive","Scottsdale, Acacia greggii","Fox, C.W., Thakar, M.S. & Mousseau, T.A.","1997",1,"Arthropoda","Insecta","Coleoptera","Chrysomelidae","Stator",NA,0.132,0.132774772051389,"Single"
31,392,"N","Sander_vitreus","Sander_vitreus","Walleye",NA,95.1,NA,1,1116,NA,"F","+","11",1,1100,"Length","Mass","Clutch","it","Egg","Wild","","Johnston, T.A. & Leggett, W.C.","2002",1,"Chordata","Actinopterygii","Perciformes","Percidae","Sander",NA,0.280220727606528,0.287921593300339,"Single"
32,103,"Y","Takydromus_septentrionalis","Takydromus_septentrionalis","Northern grass lizard",2,0.244,NA,NA,NA,NA,"r2","+","13",1,276,"Size","Mass","Clutch","it","Egg","Wild","Combined data from 5 different locations","Du, W.G., Ji, X., Zhang, Y.P., Lin, Z.H. & Xu, X.F.","2010",1,"Chordata","Reptilia","Squamata","Lacertidae","Takydromus",NA,0.488325238403196,0.533858786883233,"Single"
34,105,"N","Crinia_georgiana","Crinia_georgiana","Quacking frog",NA,0.15,NA,NA,NA,NA,"r","+","r",0,33,"Length","Volume","Clutch","it","Egg","Wild","","Dziminski, M.A. & Roberts, J.D.","2009",1,"Chordata","Amphibia","Anura","Myobatrachidae","Crinia",NA,0.15,0.151140435936467,"Single"
36,113,"Y","Anguis_fragilis","Anguis_fragilis","Slow worm",2,0.273,NA,NA,NA,NA,"r2","+","13",1,68,"Length","Length","Clutch","it","Offspring","Captive","","Ferreiro, R. & Galin, P.","2004",1,"Chordata","Reptilia","Squamata","Anguidae","Anguis",NA,0.500630371862085,0.550146993713445,"Single"
39,120,"Y","Thamnophis_ordinoides","Thamnophis_ordinoides","Northwestern garter snakes",2,0.08,NA,NA,NA,NA,"r2","+","13",1,22,"Size","Mass","Clutch","it","Offspring","Wild","Best models of multiple regressions testing effects of predictors ","Gignac, A. & Gregory, P.T.","2005",1,"Chordata","Reptilia","Squamata","Colubridae","Thamnophis",NA,0.282842712474619,0.290769289037252,"Single"
42,153,"N","Gammarus_minus","Gammarus_minus","Amphipod ",NA,0.464,NA,NA,NA,NA,"r","+","r",0,50,"Weight","Mass","Clutch","it","Egg","Captive","Location 1","Glazier, D.S.","2000",1,"Arthropoda","Malacostraca","Amphiipoda","Gammaridae","Gammarus",NA,0.464,0.502396766725227,"Single"
42,154,"N","Gammarus_minus","Gammarus_minus","Amphipod ",NA,0.326,NA,NA,NA,NA,"r","+","r",0,50,"Weight","Mass","Clutch","it","Egg","Captive","Location 2","Glazier, D.S.","2000",1,"Arthropoda","Malacostraca","Amphiipoda","Gammaridae","Gammarus",NA,0.326,0.33834602991675,"Single"
42,155,"N","Gammarus_minus","Gammarus_minus","Amphipod ",NA,0.235,NA,NA,NA,NA,"r","+","r",0,50,"Weight","Mass","Clutch","it","Egg","Captive","Location 3","Glazier, D.S.","2000",1,"Arthropoda","Malacostraca","Amphiipoda","Gammaridae","Gammarus",NA,0.235,0.239475207617771,"Single"
42,156,"N","Gammarus_minus","Gammarus_minus","Amphipod ",NA,0.332,NA,NA,NA,NA,"r","+","r",0,50,"Weight","Mass","Clutch","it","Egg","Captive","Location 4","Glazier, D.S.","2000",1,"Arthropoda","Malacostraca","Amphiipoda","Gammaridae","Gammarus",NA,0.332,0.345074338781844,"Single"
42,157,"N","Gammarus_minus","Gammarus_minus","Amphipod ",NA,0.331,NA,NA,NA,NA,"r","+","r",0,50,"Weight","Mass","Clutch","it","Egg","Captive","Location 5","Glazier, D.S.","2000",1,"Arthropoda","Malacostraca","Amphiipoda","Gammaridae","Gammarus",NA,0.331,0.343950879133442,"Single"
42,158,"N","Gammarus_minus","Gammarus_minus","Amphipod ",NA,-0.09,NA,NA,NA,NA,"r","-","r",0,50,"Weight","Mass","Clutch","it","Egg","Captive","Location 6","Glazier, D.S.","2000",1,"Arthropoda","Malacostraca","Amphiipoda","Gammaridae","Gammarus",NA,-0.09,-0.0902441878561468,"Single"
42,159,"N","Gammarus_minus","Gammarus_minus","Amphipod ",NA,-0.13,NA,NA,NA,NA,"r","-","r",0,50,"Weight","Mass","Clutch","it","Egg","Captive","Location 7","Glazier, D.S.","2000",1,"Arthropoda","Malacostraca","Amphiipoda","Gammaridae","Gammarus",NA,-0.13,-0.130739850028878,"Single"
42,160,"N","Gammarus_minus","Gammarus_minus","Amphipod ",NA,0.263,NA,NA,NA,NA,"r","+","r",0,50,"Weight","Mass","Clutch","it","Egg","Captive","Location 8","Glazier, D.S.","2000",1,"Arthropoda","Malacostraca","Amphiipoda","Gammaridae","Gammarus",NA,0.263,0.269328615080577,"Single"
42,161,"N","Gammarus_minus","Gammarus_minus","Amphipod ",NA,0.111,NA,NA,NA,NA,"r","+","r",0,50,"Weight","Mass","Clutch","it","Egg","Captive","Location 9","Glazier, D.S.","2000",1,"Arthropoda","Malacostraca","Amphiipoda","Gammaridae","Gammarus",NA,0.111,0.111459277062863,"Single"
42,162,"N","Gammarus_minus","Gammarus_minus","Amphipod ",NA,0.182,NA,NA,NA,NA,"r","+","r",0,50,"Weight","Mass","Clutch","it","Egg","Captive","Location 10","Glazier, D.S.","2000",1,"Arthropoda","Malacostraca","Amphiipoda","Gammaridae","Gammarus",NA,0.182,0.184050430681648,"Single"
43,163,"Y","Vipera_ursinii","Vipera_ursinii","Italian meadow viper",NA,19.02,NA,1,83,NA,"F","+","11",1,22,"Size","Mass","Clutch","it","Offspring","Wild","","Baron, J.P., Tully, T. & Le Galliard, J.F.","2010",1,"Chordata","Reptilia","Squamata","Viperidae","Vipera",NA,0.431780074276985,0.462082609677506,"Single"
44,178,"N","Gammarus_minus","Gammarus_minus","Amphipod ",NA,0.199,NA,NA,NA,NA,"r","+","r",0,41,"Size","Mass","Clutch","it","Egg","Wild","G","Glazier, D.S.","2000",1,"Arthropoda","Malacostraca","Amphiipoda","Gammaridae","Gammarus",NA,0.199,0.201691103979578,"Single"
44,179,"N","Gammarus_minus","Gammarus_minus","Amphipod ",NA,-0.107,NA,NA,NA,NA,"r","-","r",0,45,"Size","Mass","Clutch","it","Egg","Wild","C","Glazier, D.S.","2000",1,"Arthropoda","Malacostraca","Amphiipoda","Gammaridae","Gammarus",NA,-0.107,-0.107411175916069,"Single"
44,180,"N","Gammarus_minus","Gammarus_minus","Amphipod ",NA,0.345,NA,NA,NA,NA,"r","+","r",0,40,"Size","Mass","Clutch","it","Egg","Wild","W","Glazier, D.S.","2000",1,"Arthropoda","Malacostraca","Amphiipoda","Gammaridae","Gammarus",NA,0.345,0.359757028200344,"Single"
44,181,"N","Gammarus_minus","Gammarus_minus","Amphipod ",NA,0.218,NA,NA,NA,NA,"r","+","r",0,35,"Size","Mass","Clutch","it","Egg","Wild","P","Glazier, D.S.","2000",1,"Arthropoda","Malacostraca","Amphiipoda","Gammaridae","Gammarus",NA,0.218,0.221555353862266,"Single"
44,182,"N","Gammarus_minus","Gammarus_minus","Amphipod ",NA,0.225,NA,NA,NA,NA,"r","+","r",0,40,"Size","Mass","Clutch","it","Egg","Wild","E","Glazier, D.S.","2000",1,"Arthropoda","Malacostraca","Amphiipoda","Gammaridae","Gammarus",NA,0.225,0.22891654681274,"Single"
44,183,"N","Gammarus_minus","Gammarus_minus","Amphipod ",NA,0.281,NA,NA,NA,NA,"r","+","r",0,44,"Size","Mass","Clutch","it","Egg","Wild","LH","Glazier, D.S.","2000",1,"Arthropoda","Malacostraca","Amphiipoda","Gammaridae","Gammarus",NA,0.281,0.288767472087844,"Single"
44,184,"N","Gammarus_minus","Gammarus_minus","Amphipod ",NA,0.248,NA,NA,NA,NA,"r","+","r",0,36,"Size","Mass","Clutch","it","Egg","Wild","R","Glazier, D.S.","2000",1,"Arthropoda","Malacostraca","Amphiipoda","Gammaridae","Gammarus",NA,0.248,0.253280612489767,"Single"
44,185,"N","Gammarus_minus","Gammarus_minus","Amphipod ",NA,0.317,NA,NA,NA,NA,"r","+","r",0,45,"Size","Mass","Clutch","it","Egg","Wild","B","Glazier, D.S.","2000",1,"Arthropoda","Malacostraca","Amphiipoda","Gammaridae","Gammarus",NA,0.317,0.328308421086245,"Single"
44,186,"N","Gammarus_minus","Gammarus_minus","Amphipod ",NA,0.042,NA,NA,NA,NA,"r","+","r",0,43,"Size","Mass","Clutch","it","Egg","Wild","K","Glazier, D.S.","2000",1,"Arthropoda","Malacostraca","Amphiipoda","Gammaridae","Gammarus",NA,0.042,0.0420247221712259,"Single"
44,187,"N","Gammarus_minus","Gammarus_minus","Amphipod ",NA,0.284,NA,NA,NA,NA,"r","+","r",0,38,"Size","Mass","Clutch","it","Egg","Wild","EL","Glazier, D.S.","2000",1,"Arthropoda","Malacostraca","Amphiipoda","Gammaridae","Gammarus",NA,0.284,0.29202765864463,"Single"
44,188,"N","Gammarus_minus","Gammarus_minus","Amphipod ",NA,-0.087,NA,NA,NA,NA,"r","-","r",0,38,"Size","Mass","Clutch","it","Egg","Wild","G (same location as above)","Glazier, D.S.","2000",1,"Arthropoda","Malacostraca","Amphiipoda","Gammaridae","Gammarus",NA,-0.087,-0.0872205032631204,"Single"
44,189,"N","Gammarus_minus","Gammarus_minus","Amphipod ",NA,-0.123,NA,NA,NA,NA,"r","-","r",0,44,"Size","Mass","Clutch","it","Egg","Wild","P (same location as above)","Glazier, D.S.","2000",1,"Arthropoda","Malacostraca","Amphiipoda","Gammaridae","Gammarus",NA,-0.123,-0.12362598118313,"Single"
44,190,"N","Gammarus_minus","Gammarus_minus","Amphipod ",NA,0.266,NA,NA,NA,NA,"r","+","r",0,37,"Size","Mass","Clutch","it","Egg","Wild","K (same location as above)","Glazier, D.S.","2000",1,"Arthropoda","Malacostraca","Amphiipoda","Gammaridae","Gammarus",NA,0.266,0.272554287044803,"Single"
44,191,"N","Gammarus_minus","Gammarus_minus","Amphipod ",NA,0.367,NA,NA,NA,NA,"r","+","r",0,44,"Size","Mass","Clutch","it","Egg","Wild","EL (same location as above)","Glazier, D.S.","2000",1,"Arthropoda","Malacostraca","Amphiipoda","Gammaridae","Gammarus",NA,0.367,0.384951707289887,"Single"
45,192,"N","Microgadus_tomcod","Microgadus_tomcod","Atlantic tomcod ",NA,-0.36,NA,NA,NA,NA,"r","-","r",0,9,"Length","Volume","Clutch","it","Egg","Wild","Location 1","Green, B.S & Chambers, R.C.","2007",1,"Chordata","Actinopterygii","Gadiformes","Gadidae","Microgadus",NA,-0.36,-0.37688590118819,"Single"
45,196,"N","Microgadus_tomcod","Microgadus_tomcod","Atlantic tomcod ",NA,0.15,NA,NA,NA,NA,"r","+","r",0,14,"Length","Volume","Clutch","it","Egg","Wild","Location 2","Green, B.S & Chambers, R.C.","2007",1,"Chordata","Actinopterygii","Gadiformes","Gadidae","Microgadus",NA,0.15,0.151140435936467,"Single"
46,200,"N","Salmo_trutta","Salmo_trutta","Brown trout",NA,0.59,NA,NA,NA,NA,"r","+","r",0,149,"Length","Mass","Clutch","it","Egg","Wild","","Gregerson, F, Haugen, T.O. & Larsen, ¿.N.","2006",1,"Chordata","Actinopterygii","Salmoniformes","Salmonidae","Salmo",NA,0.59,0.677666067757962,"Single"
47,202,"N","Acanthopagrus_schlegelii","Acanthopagrus_schlegelii","Black porgy ",NA,0.749,NA,NA,NA,NA,"r","+","r",0,16,"Weight","Volume","Clutch","it","Egg","Captive","2 yrs old","Huang, W.B., Chiu, T.S. & Shih, C.T.","1999",1,"Chordata","Actinopterygii","Perciformes","Sparidae","Acanthopagrus",NA,0.749,0.970673267943409,"Single"
47,203,"N","Acanthopagrus_schlegelii","Acanthopagrus_schlegelii","Black porgy ",NA,0.592,NA,NA,NA,NA,"r","+","r",0,14,"Weight","Volume","Clutch","it","Egg","Captive","3 yrs old","Huang, W.B., Chiu, T.S. & Shih, C.T.","1999",1,"Chordata","Actinopterygii","Perciformes","Sparidae","Acanthopagrus",NA,0.592,0.680739596000083,"Single"
48,208,"N","Elasmucha_dorsalis","Elasmucha_dorsalis","Shield bug",NA,0.493,NA,NA,NA,NA,"r","+","r",0,28,"Size","Mass","Clutch","it","Egg","Wild","","Kudo, S.","2001",1,"Arthropoda","Insecta","Hemiptera","Acanthosomatidae","Elasmucha",NA,0.493,0.540015896974004,"Single"
