"article" "author" "year" "species" "amniotes" "environment" "reprounit" "ri" "ni"
22 "Castro, L.R., Claramunt, G., Krautz, M.C., Llanos-Rivera, A. & Morena, P." "2009" "Engraulis_ringens" "no" "wild" "single" 0.502 195
27 "Greene, B.D., Dixon, J.R., Whiting, M.J. & Mueller, J.M." "1999" "Nerodia_harteri" "yes" "wild" "single" 0.66 268
28 "Dobson, F.S. & Michener, G.R." "1995" "Urocitellus_richardsonii" "yes" "wild" "single" 0.21 38
28 "Dobson, F.S. & Michener, G.R." "1995" "Urocitellus_richardsonii" "yes" "wild" "single" 0.23 51
29 "Dobson, F.S., Risch, T.S. & Murie, J.O." "1999" "Urocitellus_columbianus" "yes" "wild" "single" -0.26 44
29 "Dobson, F.S., Risch, T.S. & Murie, J.O." "1999" "Urocitellus_columbianus" "yes" "wild" "single" 0.29 129
30 "Fox, C.W., Thakar, M.S. & Mousseau, T.A." "1997" "Stator_limbatus" "no" "captive" "life" 0.465 46
30 "Fox, C.W., Thakar, M.S. & Mousseau, T.A." "1997" "Stator_limbatus" "no" "captive" "life" 0.605 53
33 "Dunlap, K.D. & Lang, J.W." "1990" "Thamnophis_sirtalis" "yes" "wild" "single" 0.36 35
35 "Fernandez-Llario, P., Carranza, J. & Mateos-Quesada, P." "1999" "Sus_scrofa" "yes" "wild" "single" 0.306 46
36 "Ferreiro, R. & Galin, P." "2004" "Anguis_fragilis" "yes" "captive" "single" 0.522 68
37 "Ford, N.B. & Seigel, R.A." "2006" "Lamprophis_fuliginosus" "yes" "captive" "single" 0.288 14
38 "Genoud, M. & Perrin, N." "1994" "Crocidura_russula" "yes" "wild" "single" 0.58 29
39 "Gignac, A. & Gregory, P.T." "2005" "Thamnophis_ordinoides" "yes" "wild" "single" 0.386 22
44 "Glazier, D.S." "2000" "Gammarus_minus" "no" "wild" "single" 0.476 41
44 "Glazier, D.S." "2000" "Gammarus_minus" "no" "wild" "single" 0.533 45
44 "Glazier, D.S." "2000" "Gammarus_minus" "no" "wild" "single" 0.464 40
44 "Glazier, D.S." "2000" "Gammarus_minus" "no" "wild" "single" 0.105 35
44 "Glazier, D.S." "2000" "Gammarus_minus" "no" "wild" "single" 0.535 40
44 "Glazier, D.S." "2000" "Gammarus_minus" "no" "wild" "single" 0.419 44
44 "Glazier, D.S." "2000" "Gammarus_minus" "no" "wild" "single" 0.368 36
44 "Glazier, D.S." "2000" "Gammarus_minus" "no" "wild" "single" 0.323 45
44 "Glazier, D.S." "2000" "Gammarus_minus" "no" "wild" "single" 0.705 43
44 "Glazier, D.S." "2000" "Gammarus_minus" "no" "wild" "single" 0.663 38
44 "Glazier, D.S." "2000" "Gammarus_minus" "no" "wild" "single" 0.413 38
44 "Glazier, D.S." "2000" "Gammarus_minus" "no" "wild" "single" 0.549 44
44 "Glazier, D.S." "2000" "Gammarus_minus" "no" "wild" "single" 0.407 37
44 "Glazier, D.S." "2000" "Gammarus_minus" "no" "wild" "single" 0.285 44
45 "Green, B.S & Chambers, R.C." "2007" "Microgadus_tomcod" "no" "wild" "single" 0.93 9
45 "Green, B.S & Chambers, R.C." "2007" "Microgadus_tomcod" "no" "wild" "single" 0.67 14
46 "Gregerson, F, Haugen, T.O. & Larsen, O.N." "2006" "Salmo_trutta" "no" "wild" "single" 0.78 149
48 "Kudo, S." "2001" "Elasmucha_putoni" "no" "wild" "single" 0.772 28
48 "Kudo, S." "2001" "Elasmucha_putoni" "no" "captive" "single" 0.705 28
48 "Kudo, S." "2001" "Sastragala_scutellata" "no" "wild" "single" 0.666 28
49 "Ito, K." "1997" "Haminoea_callidegenita" "no" "wild" "single" 0.135 19
50 "Ilano, A.S., Fujinaga, K. & Nakao, S." "2004" "Buccinum_isaotakii" "no" "wild" "single" 0.918 15
51 "Koops, M.A., Hutchings, J.A. & McIntyre, T.M." "2004" "Gadus_morhua" "no" "wild" "single" 0.526 28
51 "Koops, M.A., Hutchings, J.A. & McIntyre, T.M." "2004" "Gadus_morhua" "no" "wild" "single" 0.734 16
51 "Koops, M.A., Hutchings, J.A. & McIntyre, T.M." "2004" "Gadus_morhua" "no" "wild" "single" 0.842 55
51 "Koops, M.A., Hutchings, J.A. & McIntyre, T.M." "2004" "Gadus_morhua" "no" "wild" "single" 0.923 41
51 "Koops, M.A., Hutchings, J.A. & McIntyre, T.M." "2004" "Gadus_morhua" "no" "wild" "single" 0.892 30
51 "Koops, M.A., Hutchings, J.A. & McIntyre, T.M." "2004" "Gadus_morhua" "no" "wild" "single" 0.593 35
51 "Koops, M.A., Hutchings, J.A. & McIntyre, T.M." "2004" "Gadus_morhua" "no" "wild" "single" 0.817 30
51 "Koops, M.A., Hutchings, J.A. & McIntyre, T.M." "2004" "Salvelinus_fontinalis" "no" "wild" "single" 0.432 50
51 "Koops, M.A., Hutchings, J.A. & McIntyre, T.M." "2004" "Salvelinus_fontinalis" "no" "wild" "single" 0.761 40
51 "Koops, M.A., Hutchings, J.A. & McIntyre, T.M." "2004" "Salvelinus_fontinalis" "no" "wild" "single" 0.829 48
51 "Koops, M.A., Hutchings, J.A. & McIntyre, T.M." "2004" "Salvelinus_fontinalis" "no" "wild" "single" 0.816 51
51 "Koops, M.A., Hutchings, J.A. & McIntyre, T.M." "2004" "Salvelinus_fontinalis" "no" "wild" "single" 0.824 56
51 "Koops, M.A., Hutchings, J.A. & McIntyre, T.M." "2004" "Salvelinus_fontinalis" "no" "wild" "single" 0.632 58
51 "Koops, M.A., Hutchings, J.A. & McIntyre, T.M." "2004" "Salvelinus_fontinalis" "no" "wild" "single" 0.442 66
51 "Koops, M.A., Hutchings, J.A. & McIntyre, T.M." "2004" "Salvelinus_fontinalis" "no" "wild" "single" 0.715 52
51 "Koops, M.A., Hutchings, J.A. & McIntyre, T.M." "2004" "Salvelinus_fontinalis" "no" "wild" "single" 0.62 50
51 "Koops, M.A., Hutchings, J.A. & McIntyre, T.M." "2004" "Salvelinus_fontinalis" "no" "wild" "single" 0.479 52
51 "Koops, M.A., Hutchings, J.A. & McIntyre, T.M." "2004" "Salvelinus_fontinalis" "no" "wild" "single" 0.955 24
51 "Koops, M.A., Hutchings, J.A. & McIntyre, T.M." "2004" "Salvelinus_fontinalis" "no" "wild" "single" 0.939 32
51 "Koops, M.A., Hutchings, J.A. & McIntyre, T.M." "2004" "Salvelinus_fontinalis" "no" "wild" "single" 0.956 31
51 "Koops, M.A., Hutchings, J.A. & McIntyre, T.M." "2004" "Salvelinus_fontinalis" "no" "wild" "single" 0.884 25
53 "Macip-Rios, R., Robleda, P.B., Casas-Andreu, Arias-Cisneros, M.L & Sustauta-Rodrigues, V.H." "2012" "Kinosternon_integrum" "yes" "wild" "single" 0.59 57
56 "Molumby, A." "1996" "Trypoxylon_politum" "no" "wild" "single" 0.46 22
56 "Molumby, A." "1996" "Trypoxylon_politum" "no" "wild" "single" 0.39 29
57 "Nasution, S., Roberts, D., Farnsworth, K., Parker, G.A. & Elwood, R.W." "2010" "Buccinum_undatum" "no" "captive" "single" 0.827 39
58 "Parker, T.H." "2002" "Gallus_gallus" "yes" "captive" "single" 0.1 66
60 "Hartmann, M.T., Marques, O.A.V. & Almeida-Santos, S.M." "2004" "Bothrops_neuwiedi" "yes" "wild" "single" 0.776 13
61 "Heyer, C.J., Miller, T.J., Binkowski, F.P., Caldarone, E.M. & Rice, J.A." "2001" "Perca_flavescens" "no" "captive" "single" 0.453 10
62 "Higashitani, T., Takatsu, T., Nakaya, M., Joh, M. & Takahashi, T." "2007" "Pseudopleuronectes_yokohamae" "no" "wild" "single" 0.84 20
63 "Ji, X. & Du, W.G., Qu, Y.F. & Lin, L.H." "2009" "Naja_atra" "yes" "wild" "single" 0.714 50
65 "Kudo S" "2006" "Elasmucha_signoreti" "no" "wild" "single" 0.324 24
66 "Lardies, M.A., Carter, M.J, Bozinovic, F" "2004" "Porcellio_laevis" "no" "wild" "single" 0.801 80
68 "Madsen, T. & Shine, R." "1996" "Liasis_fuscus" "yes" "wild" "single" 0.74 55
68 "Madsen, T. & Shine, R." "1996" "Liasis_fuscus" "yes" "wild" "single" 0.69 55
69 "Marsh-Matthews, E., Brooks, M., Deaton, R. & Tan, H." "2005" "Gambusia_geiseri" "no" "wild" "single" 0.442 26
69 "Marsh-Matthews, E., Brooks, M., Deaton, R. & Tan, H." "2005" "Gambusia_affinis" "no" "wild" "single" 0.671 23
73 "Outeda-Jorge, S., Mello, T. & Pinto-da-Rocha, R." "2009" "Tityus_sp" "no" "wild" "single" 0.379 35
73 "Outeda-Jorge, S., Mello, T. & Pinto-da-Rocha, R." "2009" "Tityus_sp" "no" "wild" "single" 0.316 10
73 "Outeda-Jorge, S., Mello, T. & Pinto-da-Rocha, R." "2009" "Tityus_sp" "no" "wild" "single" 0.802 9
74 "Radder, R.S. & Shanbhag, B.A." "2004" "Calotes_versicolor" "yes" "wild" "single" 0.71 25
75 "Rowe, J.W." "1994" "Chrysemys_picta" "yes" "wild" "single" 0.47 88
75 "Rowe, J.W." "1994" "Chrysemys_picta" "yes" "wild" "single" 0.3 69
75 "Rowe, J.W." "1994" "Chrysemys_picta" "yes" "wild" "single" 0.52 35
75 "Rowe, J.W." "1994" "Chrysemys_picta" "yes" "wild" "single" 0.22 40
79 "Stuart-Smith, J., Swain, R., Stuart-Smith, R.D. & Wapstra, E." "2007" "Rankinia_diemensis" "yes" "wild" "single" 0.489 90
80 "Sugiura, N." "1994" "Anthidium_septemspinosum" "no" "captive" "life" 0.018 14
81 "Weatherhead, P.J., Brown, G.P., Prosser, M.R. & Kissner, K.J." "1999" "Nerodia_sipedon" "yes" "wild" "single" 0.73 49
81 "Weatherhead, P.J., Brown, G.P., Prosser, M.R. & Kissner, K.J." "1999" "Nerodia_sipedon" "yes" "captive" "single" 0.6 28
82 "Wilkinson, L.R. & Gibbons, J.W." "2005" "Kinosternon_subrubrum" "yes" "wild" "single" 0.259 635
82 "Wilkinson, L.R. & Gibbons, J.W." "2005" "Sternotherus_odoratus" "yes" "wild" "single" 0.537 46
82 "Wilkinson, L.R. & Gibbons, J.W." "2005" "Pseudemys_floridana" "yes" "wild" "single" 0.586 79
83 "Hendry, A.P., Day, T. & Cooper, A.B." "2001" "Oncorhynchus_nerka" "no" "captive" "life" 0.557 4731
83 "Hendry, A.P., Day, T. & Cooper, A.B." "2001" "Oncorhynchus_nerka" "no" "captive" "life" 0.778 160
83 "Hendry, A.P., Day, T. & Cooper, A.B." "2001" "Oncorhynchus_kisutch" "no" "captive" "life" 0.823 330
83 "Hendry, A.P., Day, T. & Cooper, A.B." "2001" "Oncorhynchus_masou" "no" "wild" "life" 0.584 149
83 "Hendry, A.P., Day, T. & Cooper, A.B." "2001" "Oncorhynchus_nerka" "no" "wild" "life" 0.572 488
83 "Hendry, A.P., Day, T. & Cooper, A.B." "2001" "Oncorhynchus_nerka" "no" "captive" "life" 0.582 863
83 "Hendry, A.P., Day, T. & Cooper, A.B." "2001" "Oncorhynchus_nerka" "no" "captive" "life" 0.67 1581
83 "Hendry, A.P., Day, T. & Cooper, A.B." "2001" "Oncorhynchus_nerka" "no" "captive" "life" 0.793 1512
83 "Hendry, A.P., Day, T. & Cooper, A.B." "2001" "Oncorhynchus_tshawytscha" "no" "captive" "life" 0.632 1902
83 "Hendry, A.P., Day, T. & Cooper, A.B." "2001" "Salmo_trutta" "no" "captive" "life" 0.959 135
84 "Valentinsson, D." "2002" "Buccinum_undatum" "no" "wild" "single" 0.544 27
85 "Walker, S.E., Rypstra, A.L. & Marshall, S.D." "2003" "Hogna_helluo" "no" "captive" "single" 0.608 17
86 "Brown, G.P. & Shine, R." "2005" "Tropidonophis_mairii" "yes" "wild" "single" 0.68 318
88 "Ji, X. & Wang, Z.W." "2005" "Naja_atra" "yes" "wild" "single" 0.701 125
91 "Luiselli, L., Capula, M. & Shine, R." "1996" "Coronella_austriaca" "yes" "wild" "single" 0.77 28
94 "Helle, S. Laaksonen, T., Adamsson, A., PAranko, J. & Huitus, O." "2008" "Microtus_agrestis" "yes" "captive" "single" 0.278 28
95 "Herbinnger, C.M., Doyle, R.W., Pitman, E.R., Paquet, D., Mesa, K.A., Morris, D.B., Wright, J.M. & Cook, D." "1995" "Oncorhynchus_mykiss" "no" "captive" "single" -0.18 10
97 "Rollison, N." "2012" "Chelydra_serpentina" "yes" "wild" "single" 0.646 23
97 "Rollison, N." "2012" "Glyptemys_inscupta" "yes" "wild" "single" 0.51 25
98 "Shibata, F. & Kawamichi, T." "2009" "Apodemus_argenteus" "yes" "wild" "single" 0.75 44
99 "Rowe, J.W., Coval, K.A. & Campbell, K.C." "2003" "Chrysemys_picta" "yes" "wild" "single" 0.57 144
99 "Rowe, J.W., Coval, K.A. & Campbell, K.C." "2003" "Chrysemys_picta" "yes" "wild" "single" 0.56 144
100 "Uller, T. & Olsson, M." "2010" "Ctenophorus_fordi" "yes" "wild" "life" 0.51 89
101 "Rollison, N., Brooks, R.J." "2008" "Chrysemys_picta" "yes" "wild" "single" 0.326 87
104 "Kasparian, K., Gei_ler, E. & Trillmich, F." "2005" "Cavia_aperea" "yes" "captive" "single" 0.24 243
105 "Dziminski, M.A., Vercoe, P.E. & Roberts, J.D. " "2006" "Crinia_georgiana" "no" "wild" "single" 0.799 33
106 "Lampert, W." "1993" "Daphnia_magna" "no" "captive" "single" 0.834 345
107 "Zuniga-Vega, J.J., Suarez-Rodriguez, M., Espinosa-Perez, H. & Johnson, J.B." "2011" "Poecilia_butleri" "no" "wild" "single" 0.306 220
108 "Cox, R.M., Duryea, M.C., Najarro, M. & Calsbeek, R." "2010" "Anolis_sagrei" "yes" "captive" "single" 0.071 96
109 "Wehrtmann, I.S., Magalhes, C., Hernandez, P & Mantelatto, F.L." "2010" "Kingsleyini_ytupora" "no" "wild" "single" 0.643 20
110 "Ivanova, M.B. & Vassilenko, S.V." "1987" "Holopedium_gibberum" "no" "wild" "single" 0.81 20
110 "Ivanova, M.B. & Vassilenko, S.V." "1987" "Bosmina_longirostris" "no" "wild" "single" 0.96 41
110 "Ivanova, M.B. & Vassilenko, S.V." "1987" "Bosmina_obtusirostris" "no" "wild" "single" 0.83 42
110 "Ivanova, M.B. & Vassilenko, S.V." "1987" "Daphnia_cristata" "no" "wild" "single" 0.94 25
110 "Ivanova, M.B. & Vassilenko, S.V." "1987" "Ceriodaphnia_pulchella" "no" "wild" "single" 0.71 20
110 "Ivanova, M.B. & Vassilenko, S.V." "1987" "Caprella_sp" "no" "wild" "single" 0.99 37
110 "Ivanova, M.B. & Vassilenko, S.V." "1987" "Caprella_sp" "no" "wild" "single" 0.94 102
110 "Ivanova, M.B. & Vassilenko, S.V." "1987" "Caprella_sp" "no" "wild" "single" 0.56 28
110 "Ivanova, M.B. & Vassilenko, S.V." "1987" "Caprella_sp" "no" "wild" "single" 0.24 14
110 "Ivanova, M.B. & Vassilenko, S.V." "1987" "Caprella_sp" "no" "wild" "single" 0.27 6
110 "Ivanova, M.B. & Vassilenko, S.V." "1987" "Caprella_sp" "no" "wild" "single" 0.6 9
110 "Ivanova, M.B. & Vassilenko, S.V." "1987" "Pandalus_montagui" "no" "wild" "single" 0.72 294
110 "Ivanova, M.B. & Vassilenko, S.V." "1987" "Spirontocaris_spinus" "no" "wild" "single" 0.85 478
110 "Ivanova, M.B. & Vassilenko, S.V." "1987" "Spirontocaris_turgida" "no" "wild" "single" 0.83 57
110 "Ivanova, M.B. & Vassilenko, S.V." "1987" "Hetairus_polaris" "no" "wild" "single" 0.84 344
110 "Ivanova, M.B. & Vassilenko, S.V." "1987" "Heptacarpus_pusiola" "no" "wild" "single" 0.67 22
110 "Ivanova, M.B. & Vassilenko, S.V." "1987" "Sabinea_sarsi" "no" "wild" "single" 0.8 64
110 "Ivanova, M.B. & Vassilenko, S.V." "1987" "Sabinea_septemcarinata" "no" "wild" "single" 0.84 50
110 "Ivanova, M.B. & Vassilenko, S.V." "1987" "Crangon_allmani" "no" "wild" "single" 0.75 38
110 "Ivanova, M.B. & Vassilenko, S.V." "1987" "Hyas_coarctatus" "no" "wild" "single" 0.91 25
110 "Ivanova, M.B. & Vassilenko, S.V." "1987" "Oregonia_gracilis" "no" "wild" "single" 0.95 14
110 "Ivanova, M.B. & Vassilenko, S.V." "1987" "Pagurus_pubescens" "no" "wild" "single" 0.97 112
111 "Frynta, D., Frankov, M. B., Skarlandtov, H., Galetokov, K., Prov, K. milauer, P. & umbera, R." "2011" "Acomys_cahirinus" "yes" "captive" "single" 0.101 968
112 "Halstead, B.J., Wylie, G.D., Casazza, M.L. & Coates, P.S." "2011" "Thamnophis_gigas" "yes" "wild" "single" 0.157 11
113 "Lim, J.N." NA "Gambusia_affinis" "no" "captive" "single" 0.757 66
114 "Arcos-Garcia, J. L., Martinez, G. D. M., Gama, R. B., Barros, O. V. E. & Morales, G. E. L." "2010" "Iguana_iguana" "yes" "captive" "single" 0.73 137
115 "Bager, A., De Freitas, T. R. O. & Krause, L." "2007" "Trachemys_dorbignyi" "yes" "wild" "single" 0.446 40
116 "Bai, B. R., Luck, R. F., Forster, L., Stephens, B. & Janssen, J. A. M." "1992" "Trichogramma_pretiosum" "no" "captive" "life" 0.48 208
116 "Bai, B. R., Luck, R. F., Forster, L., Stephens, B. & Janssen, J. A. M." "1992" "Trichogramma_pretiosum" "no" "captive" "life" 0.73 67
117 "Baker, J. A., Foster, S. A., Heins, D. C., Bell, M. A. & King, R. W." "1998" "Gasterosteus_aculeatus" "no" "wild" "single" 0.546 69
117 "Baker, J. A., Foster, S. A., Heins, D. C., Bell, M. A. & King, R. W." "1998" "Gasterosteus_aculeatus" "no" "wild" "single" 0.698 63
117 "Baker, J. A., Foster, S. A., Heins, D. C., Bell, M. A. & King, R. W." "1998" "Gasterosteus_aculeatus" "no" "wild" "single" 0.842 40
117 "Baker, J. A., Foster, S. A., Heins, D. C., Bell, M. A. & King, R. W." "1998" "Gasterosteus_aculeatus" "no" "wild" "single" 0.866 33
117 "Baker, J. A., Foster, S. A., Heins, D. C., Bell, M. A. & King, R. W." "1998" "Gasterosteus_aculeatus" "no" "wild" "single" 0.532 57
117 "Baker, J. A., Foster, S. A., Heins, D. C., Bell, M. A. & King, R. W." "1998" "Gasterosteus_aculeatus" "no" "wild" "single" 0.657 69
117 "Baker, J. A., Foster, S. A., Heins, D. C., Bell, M. A. & King, R. W." "1998" "Gasterosteus_aculeatus" "no" "wild" "single" 0.743 65
117 "Baker, J. A., Foster, S. A., Heins, D. C., Bell, M. A. & King, R. W." "1998" "Gasterosteus_aculeatus" "no" "wild" "single" 0.817 57
117 "Baker, J. A., Foster, S. A., Heins, D. C., Bell, M. A. & King, R. W." "1998" "Gasterosteus_aculeatus" "no" "wild" "single" 0.81 39
117 "Baker, J. A., Foster, S. A., Heins, D. C., Bell, M. A. & King, R. W." "1998" "Gasterosteus_aculeatus" "no" "wild" "single" 0.591 59
117 "Baker, J. A., Foster, S. A., Heins, D. C., Bell, M. A. & King, R. W." "1998" "Gasterosteus_aculeatus" "no" "wild" "single" 0.608 64
117 "Baker, J. A., Foster, S. A., Heins, D. C., Bell, M. A. & King, R. W." "1998" "Gasterosteus_aculeatus" "no" "wild" "single" 0.567 44
118 "Baker, J. A. & Foster, S. A." "2002" "Gasterosteus_aculeatus" "no" "wild" "single" 0.591 59
118 "Baker, J. A. & Foster, S. A." "2002" "Gasterosteus_aculeatus" "no" "wild" "single" 0.826 41
118 "Baker, J. A. & Foster, S. A." "2002" "Gasterosteus_aculeatus" "no" "wild" "single" 0.838 40
118 "Baker, J. A. & Foster, S. A." "2002" "Gasterosteus_aculeatus" "no" "wild" "single" 0.469 30
118 "Baker, J. A. & Foster, S. A." "2002" "Gasterosteus_aculeatus" "no" "wild" "single" 0.645 29
118 "Baker, J. A. & Foster, S. A." "2002" "Gasterosteus_aculeatus" "no" "wild" "single" 0.813 45
119 "Bauerfeind, S. S. & Fischer, K." "2008" "Araschnia_levana" "no" "captive" "life" 0.9 55
119 "Bauerfeind, S. S. & Fischer, K." "2008" "Pararge_aegeria" "no" "captive" "life" -0.28 39
119 "Bauerfeind, S. S. & Fischer, K." "2008" "Pieris_napi" "no" "captive" "life" 0.39 77
120 "Bidwell, M. T. & Dawson, R. D." "2005" "Tachycineta_bicolor" "yes" "wild" "single" 0.463 38
121 "Bishop, C. A.,Brown, G. P., Brooks, R. J., Lean, D. R. S. & Carey, J. H." "1994" "Chelydra_serpentina" "yes" "wild" "single" 0.77 15
123 "Bradshaw, W. E., Holzapfel, C. M. & Oneill, T." "1993" "Wyeomyia_smithii" "no" "captive" "life" 0.766 41
124 "Brana, F., Bea, A. & Arrayago, M. J." "1991" "Zootoca_vivipara" "yes" "captive" "single" 0.66 14
124 "Brana, F., Bea, A. & Arrayago, M. J." "1991" "Podarcis_muralis" "yes" "captive" "single" 0.88 9
125 "Brooks, R. J., Shilton, C. M., Brown, G. P. & Quinn, N. W. S." "1992" "Clemmys_insculpta" "yes" "wild" "single" 0.54 15
126 "Broussard, D. R., Dobson, F. S. & Murie, J. O." "2005" "Urocitellus_columbianus" "yes" "wild" "single" 0.3 115
127 "Brown, C. A., Sanford, B. M. & Swerdon, R. R." "2003" "Pirata_sedentarius" "no" "captive" "single" 0.1 17
127 "Brown, C. A., Sanford, B. M. & Swerdon, R. R." "2003" "Pirata_sedentarius" "no" "captive" "single" 0.511 16
127 "Brown, C. A., Sanford, B. M. & Swerdon, R. R." "2003" "Pirata_sedentarius" "no" "captive" "single" 0.584 20
128 "Brown, C. A." "2004" "Centruroides_exilicauda" "no" "captive" "single" 0.467 18
128 "Brown, C. A." "2004" "Centruroides_exilicauda" "no" "captive" "single" 0.443 14
128 "Brown, C. A." "2004" "Diplocentrus_peloncillensis" "no" "captive" "single" 0.342 6
128 "Brown, C. A." "2004" "Pseudouroctonus_apacheanus" "no" "captive" "single" -0.608 4
128 "Brown, C. A." "2004" "Vaejovis_sp" "no" "captive" "single" 0.191 18
129 "Castellano, S., Cucco, M. & Giacoma, C." "2004" "Bufo_viridis" "no" "captive" "single" 0.748 26
130 "Casten, L. R. & Johnston, C. E." "2008" "Cyprinella_venusta" "no" "wild" "single" 0.717 119
130 "Casten, L. R. & Johnston, C. E." "2008" "Cyprinella_venusta" "no" "wild" "single" 0.704 93
130 "Casten, L. R. & Johnston, C. E." "2008" "Cyprinella_venusta" "no" "wild" "single" 0.57 114
130 "Casten, L. R. & Johnston, C. E." "2008" "Cyprinella_venusta" "no" "wild" "single" 0.682 82
131 "Castilla, A. M., Barbadillo, L. J. & Bauwens, D." "1992" "Acanthodactylus_erythrurus" "yes" "captive" "single" 0.376 40
132 "Castilla, A. M. & Bauwens, D." "2000a" "Podarcis_atrata" "yes" "captive" "single" 0.4 82
133 "Castilla, A. M. & Bauwens, D." "2000b" "Podarcis_lilfordi" "yes" "captive" "single" 0.24 11
134 "Castro-Franco, R., Bustos-Zagal, M. G. & Mendez-De la Cruz, F. R." "2011" "Ctenosaura_pectinata" "yes" "captive" "single" 0.372 28
135 "Christians, J. K., Evanson, M. & Aiken, J. J." "2001" "Sturnus_vulgaris" "yes" "captive" "single" 0.19 95
135 "Christians, J. K., Evanson, M. & Aiken, J. J." "2001" "Sturnus_vulgaris" "yes" "captive" "single" 0.27 28
135 "Christians, J. K., Evanson, M. & Aiken, J. J." "2001" "Sturnus_vulgaris" "yes" "captive" "single" 0.11 121
135 "Christians, J. K., Evanson, M. & Aiken, J. J." "2001" "Sturnus_vulgaris" "yes" "captive" "single" 0.32 57
135 "Christians, J. K., Evanson, M. & Aiken, J. J." "2001" "Sturnus_vulgaris" "yes" "captive" "single" 0.29 114
135 "Christians, J. K., Evanson, M. & Aiken, J. J." "2001" "Sturnus_vulgaris" "yes" "captive" "single" 0.06 58
136 "Clark, D. R., Bunck, C. M. & Hall, R. J." "1997" "Diadophis_punctatus" "yes" "captive" "single" 0.71 47
137 "Clark, P. J., Ewert, M. A. & Nelson, C. E." "2001" "Sternotherus_odoratus" "yes" "wild" "single" 0.803 70
138 "Colli, G. R., Mesquita, D. O., Rodrigues, P. V. V. & Kitayama, K." "2003" "Gymnodactylus_geckoides" "yes" "wild" "single" 0.113 54
139 "Congdon, J. D. & Sels, R. C. V." "1991" "Emydoidea_blandingii" "yes" "wild" "single" 0.505 275
140 "Congdon, J. D., Nagle, R. D., Kinney, O. M. & Sels, R. C. V." "2001" "Emydoidea_blandingii" "yes" "wild" "single" 0.534 46
140 "Congdon, J. D., Nagle, R. D., Kinney, O. M. & Sels, R. C. V." "2001" "Emydoidea_blandingii" "yes" "wild" "single" 0.536 35
140 "Congdon, J. D., Nagle, R. D., Kinney, O. M. & Sels, R. C. V." "2001" "Emydoidea_blandingii" "yes" "wild" "single" 0.513 11
