,species,animal,reference,unit,Trait,trait_details,male_mean,male_SD,male_n,female_mean,female_SD,female_n
206,Sterna_hirundo,Sterna_hirundo,Wendeln et al. 1997,mm,length,Flôgell_nge,270.3,6.5,23,268.9,7.4,23
207,Sterna_hirundo,Sterna_hirundo,Wendeln et al. 1997,g,mass,weight,126.4,6.8,41,124.5,10.3,45
211,Taeniopygia_guttata,Taeniopygia_guttata,RËnning et al. 2007,mm,length,head length,23.36,0.66,152,23.2,0.68,176
212,Taeniopygia_guttata,Taeniopygia_guttata,RËnning et al. 2007,mm,length,wing length,57.13,1.79,152,56.92,1.63,178
213,Taeniopygia_guttata,Taeniopygia_guttata,RËnning et al. 2007,g,mass,body mass,14.24,1.57,158,14.66,1.6,190
218,Serinus_citrinella,Carduelis_citrinella,Borras et al. 1998,NA,mass,body mass,12.27,0.578791845,134,12.88,1.220491704,76
219,Serinus_citrinella,Carduelis_citrinella,Borras et al. 1998,NA,mass,body mass,12.53,0.504975247,102,12.93,1.04,64
220,Serinus_citrinella,Carduelis_citrinella,Borras et al. 1998,NA,length,wing length,78.29,1.389100428,134,76.39,1.656381599,76
221,Serinus_citrinella,Carduelis_citrinella,Borras et al. 1998,NA,length,wing length,80.59,1.71691584,102,77.91,1.84,64
225,Diomedea_exulans,Diomedea_exulans,Shaffer et al. 2001,mm,length,Culmen,169.6,3.4,20,164.2,4.1,16
226,Diomedea_exulans,Diomedea_exulans,Shaffer et al. 2001,kg,mass,mass,9.44,0.59,20,7.84,0.62,16
230,Phylloscopus_sibilatrix,Phylloscopus_sibilatrix,Tiainen 1982,g,mass,weight,9.77,0.53,22,9.65,0.59,13
231,Phylloscopus_sibilatrix,Phylloscopus_sibilatrix,Tiainen 1982,mm,length,wing length,79.1,1.61,22,75,1.36,21
232,Phylloscopus_trochilus,Phylloscopus_trochilus,Tiainen 1982,g,mass,weight,9.65,0.513,139,8.64,0.487,78
233,Phylloscopus_trochilus,Phylloscopus_trochilus,Tiainen 1982,mm,length,wing length,71.4,1.46,138,65.7,1.46,117
237,Puffinus_assimilis,Puffinus_assimilis,Bull et al. 2004,mm,length,wing length,181.56,6.98,77,182.79,9.04,90
238,Puffinus_carneipes,Puffinus_carneipes,Bull et al. 2004,mm,length,wing length,319.72,7.54,46,319.14,8.27,38
239,Puffinus_creatopus,Puffinus_creatopus,Bull et al. 2004,mm,length,wing length,333.88,8.63,54,332.16,6.87,21
240,Puffinus_gavia,Puffinus_gavia,Bull et al. 2004,mm,length,wing length,206.91,6.37,55,204.94,8.36,66
241,Puffinus_gravis,Puffinus_gravis,Bull et al. 2004,mm,length,wing length,321.54,16.42,56,322.81,11.74,33
242,Puffinus_huttoni,Puffinus_huttoni,Bull et al. 2004,mm,length,wing length,220.89,4.48,34,219.46,4.94,18
243,Puffinus_iherninieri,Puffinus_lherminieri,Bull et al. 2004,mm,length,wing length,198.04,7.52,139,196.11,7.95,134
244,Puffinus_nativitatis,Puffinus_nativitatis,Bull et al. 2004,mm,length,wing length,249.18,7.34,71,246.52,5.75,71
245,Puffinus_opisthomelas,Puffinus_opisthomelas,Bull et al. 2004,mm,length,wing length,239.26,9.21,35,241.01,5.16,23
246,Puffinus_tenuirostris,Puffinus_tenuirostris,Bull et al. 2004,mm,length,wing length,269.43,12.38,78,264.69,13.38,75
247,Puffinus_bulleri,Puffinus_bulleri,Bull et al. 2004,mm,length,wing length,289.07,7.75,43,283.34,10.08,32
248,Puffinus_griseus,Puffinus_griseus,Bull et al. 2004,mm,length,wing length,289.98,16.51,100,292.51,10.86,80
249,Puffinus_newelli,Puffinus_newelli,Bull et al. 2004,mm,length,wing length,235.11,10.69,19,232.53,9.04,38
250,Puffinus_pacificus,Puffinus_pacificus,Bull et al. 2004,mm,length,wing length,293.6,9.4,181,292.36,10.56,172
251,Puffinus_puffinus,Puffinus_puffinus,Bull et al. 2004,mm,length,wing length,237.02,4.72,42,234.11,5.83,27
252,Puffinus_yelkouan,Puffinus_yelkouan,Bull et al. 2004,mm,length,wing length,230.41,7.46,24,234.23,7.02,19
256,Phaethon_rubricauda,Phaethon_rubricauda,Boland et al. 2004,mm,length,wing length,338.5,7.408103671,28,337.6,7.838367177,24
260,Bonasa_sewerzowi,Bonasa_sewerzowi,Sun et al. 2005,g,mass,body mass,322.4,28.6,40,327.4,26.3,55
261,Bonasa_sewerzowi,Bonasa_sewerzowi,Sun et al. 2005,mm,length,body length,381,13.7,31,356.3,13.6,30
262,Bonasa_sewerzowi,Bonasa_sewerzowi,Sun et al. 2005,mm,length,wing length,173.5,5.1,42,168.9,5.4,42
266,Nectarinia_johnstoni,Nectarinia_johnstoni,Evans & Barnard 1995,mm,length,wing length,82.93,1.43,67,74.18,1.27,38
267,Nectarinia_johnstoni,Nectarinia_johnstoni,Evans & Barnard 1995,g,mass,body mass,16.26,0.75,64,14.14,0.9,37
271,Carpodacus_mexicanus,Carpodacus_mexicanus,Badyaev & Hill 2000,mm,length,wing length,80.7,1.99,74,78.3,2.04,70
272,Carpodacus_mexicanus,Carpodacus_mexicanus,Badyaev & Hill 2000,mm,length,wing length,80,1.6,102,77.6,1.64,86
273,Carpodacus_mexicanus,Carpodacus_mexicanus,Badyaev & Hill 2000,mm,length,wing length,79.3,1.81,91,77.3,2.06,91
274,Carpodacus_mexicanus,Carpodacus_mexicanus,Badyaev & Hill 2000,mm,length,wing length,81,2.15,76,79.4,1.5,53
275,Carpodacus_mexicanus,Carpodacus_mexicanus,Badyaev & Hill 2000,mm,length,wing length,80.6,1.52,60,77.9,1.01,59
276,Carpodacus_mexicanus,Carpodacus_mexicanus,Badyaev & Hill 2000,mm,length,wing length,80.1,1.96,88,77.9,1.89,88
277,Carpodacus_mexicanus,Carpodacus_mexicanus,Badyaev & Hill 2000,mm,length,wing length,79.7,1.91,90,77.1,2.02,90
281,Carpodacus_mexicanus,Carpodacus_mexicanus,Badyaev & Hill 2000,g,mass,body mass,19.5,1.26,74,19.4,1.22,70
282,Carpodacus_mexicanus,Carpodacus_mexicanus,Badyaev & Hill 2000,g,mass,body mass,20.6,1,102,20.4,1.06,86
283,Carpodacus_mexicanus,Carpodacus_mexicanus,Badyaev & Hill 2000,g,mass,body mass,21.7,1.38,91,21.6,1.4,91
284,Carpodacus_mexicanus,Carpodacus_mexicanus,Badyaev & Hill 2000,g,mass,body mass,19.4,1.36,76,19.2,1.32,53
285,Carpodacus_mexicanus,Carpodacus_mexicanus,Badyaev & Hill 2000,g,mass,body mass,21.3,1.37,60,20.7,0.87,59
286,Carpodacus_mexicanus,Carpodacus_mexicanus,Badyaev & Hill 2000,g,mass,body mass,21.5,1.24,88,22.1,1.46,88
287,Carpodacus_mexicanus,Carpodacus_mexicanus,Badyaev & Hill 2000,g,mass,body mass,20.5,1.41,90,20.2,1.36,90
291,Phalacocorax_atriceps,Phalacrocorax_atriceps,Svagelj & Quintana 2007,g,mass,weight,2323,168,93,1972,123,95
292,Phalacocorax_atriceps,Phalacrocorax_atriceps,Svagelj & Quintana 2008,g,mass,weight,2306,118,46,1955,115,57
296,Pyrrhocorax_graculus,Pyrrhocorax_graculus,Delestrade 2001,mm,length,wing length,271.1,6,172,256.1,6.9,141
297,Pyrrhocorax_graculus,Pyrrhocorax_graculus,Delestrade 2001,g,mass,body mass,226,16.2,176,197,16.8,144
299,Stercorarius_skua,Catharacta_skua,Phillips et al. 2002,mm,length,wing length,412.4,6.9,101,424.3,7.6,101
300,Stercorarius_skua,Catharacta_skua,Phillips et al. 2002,g,mass,body mass,1765,92,98,1973,117,98
302,Archilochus_colubris,Archilochus_colubris,Stiles et al. 2005,mm,length,wing length,3.92,0.081,15,4.46,0.117,12
303,Archilochus_colubris,Archilochus_colubris,Stiles et al. 2005,g,mass,body mass,2.84,0.18,15,3.15,0.15,12
305,Calypte_anna,Calypte_anna,Stiles et al. 2005,mm,length,wing length,4.95,0.078,14,5.03,0.077,10
306,Calypte_anna,Calypte_anna,Stiles et al. 2005,g,mass,body mass,4.31,0.21,14,3.94,0.23,10
308,Jacana_jacana,Jacana_jacana,Emlen & Wrege 2004,mm,length,wing length,116,3.5,120,130.8,3.9,66
309,Jacana_jacana,Jacana_jacana,Emlen & Wrege 2004,g,mass,body mass,87.5,7.4,300,129.3,13.1,145
311,Macronectes_halli,Macronectes_halli,Gonzalis-Solis 2004,mm,length,wing length,526,8.8740795,71,130.8,3.9,77
312,Macronectes_halli,Macronectes_halli,Gonzalis-Solis 2004,g,mass,body mass,87.5,8.8740795,71,129.3,13.1,77
314,Passer_domesticus,Passer_domesticus,Jensen et al. 2008,mm,length,wing length,80.49,1.676,533,78,1.62,495
315,Passer_domesticus,Passer_domesticus,Jensen et al. 2008,g,mass,body mass,31.94,1.838,536,32.51,2.278,494
317,Sula_sula,Sula_sula,Lormee et al 2005,mm,length,Culmen length,78.9,2.418677324,65,81.06,2.680932674,66
319,Falco_columbarius,Falco_columbarius,Warkentin et al. 1992,g,mass,body mass,166.9,11.1,46,255.5,17.1,25
320,Falco_columbarius,Falco_columbarius,Warkentin et al. 1992,mm,length,total length,271.6,6.8,47,302.6,8.1,25
321,Falco_columbarius,Falco_columbarius,Warkentin et al. 1992,mm,length,wing chord,199.4,4,47,221.9,4,25
323,Falco_columbarius,Falco_columbarius,Wiklund 1996,mm,length,wing length,265.8,5.47,101,294.7,6.5,86
324,Falco_columbarius,Falco_columbarius,Wiklund 1996,g,length,total length,267.7,5.14,90,294.8,4.85,70
326,Tyto_alba,Tyto_alba,Massemin et al. 1997,g,mass,body mass,286.9,27.93385043,30,305.8,24.24871131,48
328,Charadrius_semipalmatus,Charadrius_semipalmatus,Teather & Nol 1997,mm,length,wing length,123.7,2.844942882,153,125.57,2.769566753,145
329,Charadrius_semipalmatus,Charadrius_semipalmatus,Teather & Nol 1997,g,mass,body mass,46.07,2.449489743,150,47.76,2.511234756,143
331,Catharacta_skua,Catharacta_skua,Catry et al. 1999,mm,length,wing chord,416.8,7.1,112,427.4,7.1,127
332,Catharacta_skua,Catharacta_skua,Catry et al. 1999,mm,length,head length,109.9,1.68,112,111.5,1.82,127
333,Catharacta_skua,Catharacta_skua,Catry et al. 1999,g,mass,body mass,1271,69.4,112,1409,75,125
335,Stercorarius_parasiticus,Stercorarius_parasiticus,Catry et al. 1999,mm,length,wing chord,320.3,5,44,327.2,5.9,53
336,Stercorarius_parasiticus,Stercorarius_parasiticus,Catry et al. 1999,mm,length,head length,76.1,1.55,43,77.4,1.53,53
337,Stercorarius_parasiticus,Stercorarius_parasiticus,Catry et al. 1999,g,mass,body mass,405,26.8,32,466.8,30.2,42
339,Calidris_mauri,Calidris_mauri,Sandercock 1998,mm,length,culemn length,22.4,1,98,26.4,1.1,98
340,Calidris_mauri,Calidris_mauri,Sandercock 1998,mm,length,wing length,97.5,2.5,98,101.1,2.6,98
342,Calidris_pusilla,Calidris_pusilla,Sandercock 1998,mm,length,wing length,97,2.5,95,99.1,2.7,106
344,Branta_canadensis,Branta_canadensis,Massemin et al. 1997,mm,length,culmen length,53.5,2.439016195,88,49.3,2.817836049,58
346,Chionis_minor,Chionis_minor,Bried & Jouventin 1997,mm,length,wing length,246,4.9,30,234,4.4,29
347,Chionis_minor,Chionis_minor,Bried & Jouventin 1997,mm,length,wing length,218,5.9,24,207,5.2,28
351,Calidris_marittima,Calidris_maritima,Dierschke,mm,length,wing length,137.2,2.3,135,143,2.7,47
352,Calidris_marittima,Calidris_maritima,Dierschke,mm,length,wing length,125.8,2.5,49,129.7,3.3,18
353,Calidris_marittima,Calidris_maritima,Dierschke,mm,length,wing length,129.3,2.3,79,134.6,2.6,29
356,Accipter_cooperii,Accipiter_cooperii,Marsh & Storer 1981,mm,length,wing length,31.4,0.870689382,21,35.7,1.175755077,24
358,Xanthocephalus_xanthocephalus,Xanthocephalus_xanthocephalus,Richter 1983,g,mass,weight,85.6,7.462405778,11,49,3.95,25
359,Xanthocephalus_xanthocephalus,Xanthocephalus_xanthocephalus,Richter 1983,mm,length,Culmen length,23,0.969948452,12,19.8,0.883345912,27
362,Cinclus_cinclus,Cinclus_cinclus,Campos et al. 2005,NA,length,wing length,92.47,2.719632328,44,84.61,2.03,49
363,Cinclus_cinclus,Cinclus_cinclus,Campos et al. 2005,NA,length,wing length,93.16,1.665382839,15,85.05,1.608011194,17
364,Cinclus_cinclus,Cinclus_cinclus,Campos et al. 2005,NA,length,wing length,96.2,2.16374675,18,88.8,1.829262146,22
368,Loxia_curvirostra,Loxia_curvirostra,Alonso et al. 2006,NA,length,wing length,97.1,2,102,94.5,2,80
369,Loxia_curvirostra,Loxia_curvirostra,Alonso et al. 2006,NA,length,wing length,94.9,2.8,79,92.1,2.7,61
370,Loxia_curvirostra,Loxia_curvirostra,Alonso et al. 2006,NA,length,wing length,95.3,2,33,93.4,2,23
373,Pachyptila_belcheri,Pachyptila_belcheri,Genevois et al. 1995,NA,length,head length,61.7,1.2,154,60.5,1.3,127
374,Pachyptila_belcheri,Pachyptila_belcheri,Genevois et al. 1995,NA,length,wing length,183.7,3.9,154,183,3.9,127
375,Pachyptila_belcheri,Pachyptila_belcheri,Genevois et al. 1995,NA,mass,body weight,144.7,15.2,154,145,15.5,127
378,Volatinia_jacarina,Volatinia_jacarina,Carvalho et al. 2007,NA,length,wing length,51,1.8,88,48.9,1.4,58
379,Volatinia_jacarina,Volatinia_jacarina,Carvalho et al. 2007,NA,mass,body weight,10.7,1,84,11.4,1.1,58
382,Vanellus_cinereus,Vanellus_cinereus,Wakisaka et al. 2006,NA,length,total length,341.7,12.1,14,336.3,12.1,12
383,Vanellus_cinereus,Vanellus_cinereus,Wakisaka et al. 2006,NA,length,wing length,236.9,7.5,14,235.5,4.6,12
384,Vanellus_cinereus,Vanellus_cinereus,Wakisaka et al. 2006,NA,mass,body weight,280.1,15.9,13,266.6,19.7,10
386,Diomedea_nigripes,Phoebastria_nigripes,Frings & Frings 1961,NA,mass,body weight,3,0.178885438,123,3,0.164316767,104
387,Diomedea_nigripes,Phoebastria_nigripes,Frings & Frings 1961,NA,length,head length,61.3164557,1.410128855,79,58,1.375251583,93
389,Diomedea_immutabilis,Phoebastria_immutabilis,Frings & Frings 1961,kg,mass,body weight,3,0.151657509,152,3,0.18973666,54
390,Diomedea_immutabilis,Phoebastria_immutabilis,Frings & Frings 1961,mm,length,head width,59.29457364,1.475395628,129,56,1.344602544,112
393,Miliaria_calandra,Miliaria_calandra,Campos et al. 2005,g,length,wing length,101.5,2.23,48,92.7,2.54,25
394,Miliaria_calandra,Miliaria_calandra,Campos et al. 2005,g,length,wing length,102.7,2.7,53,92.5,1.96,10
395,Miliaria_calandra,Miliaria_calandra,Campos et al. 2005,g,length,wing length,100.1,1.8,68,90.3,2,202
396,Miliaria_calandra,Miliaria_calandra,Campos et al. 2005,g,length,wing length,101.3,2.97,52,93,3.91,51
399,Sturnus_unicolor,Sturnus_unicolor,Lezana et al. 2000,mm,length,wing length,132,2.6,107,128,4.4,122
400,Sturnus_unicolor,Sturnus_unicolor,Lezana et al. 2000,g,mass,body weight,84.4,6.47,65,78,5.4,90
403,Aphrastura_spinicauda,Aphrastura_spinicauda,Moreno et al. 2007,NA,mass,body weight,11.3,2.090598001,26,10.3,1.561697794,29
404,Aphrastura_spinicauda,Aphrastura_spinicauda,Moreno et al. 2007,NA,length,wing length,55,2.650037736,27,55,2.100214275,29
407,Milvus_migrans,Milvus_migrans,Sergio et al. 2007,NA,mass,body weight,796.1,94.31553425,38,914.7,95.69514094,51
408,Milvus_migrans,Milvus_migrans,Sergio et al. 2007,NA,length,wing length,445.1,13.56171081,38,447.3,14.28285686,51
411,Phylidonyris_novaehollandiae,Phylidonyris_novaehollandiae,Myers et al 2010,mm,length,wing length,79.8,2.39947911,47,73.4,2.099142682,34
412,Phylidonyris_novaehollandiae,Phylidonyris_novaehollandiae,Myers et al 2010,NA,length,wing length,79.1,2.645751311,175,74.1,2.907988996,116
414,Phylidonyris_novaehollandiae,Phylidonyris_novaehollandiae,Myers et al 2010,mg,mass,body mass,20.7,1.439687466,47,18.2,1.10788086,34
415,Phylidonyris_novaehollandiae,Phylidonyris_novaehollandiae,Myers et al 2010,mg,mass,body mass,22,1.984313483,175,19.6,1.830956034,116
418,Sula_dactylatra,Sula_dactylatra,Weimerskirch et al. 2009,NA,mass,body weight,1555,84.8,26,1744.9,152.2,22
419,Sula_dactylatra,Sula_dactylatra,Weimerskirch et al. 2009,NA,length,wing length,424.3,10.6,25,431.7,8.5,24
422,Sula_leucogaster,Sula_leucogaster,Lewis et al. 2005,NA,mass,body weight,1077,97,12,1491,76,13
423,Sula_leucogaster,Sula_leucogaster,Lewis et al. 2005,NA,length,wing length,415,11,12,427,11,13
426,Sula_sula,Sula_sula,Lewis et al. 2005,NA,mass,body weight,1035,70,16,1182,86,15
427,Sula_sula,Sula_sula,Lewis et al. 2005,NA,length,wing length,405,10,16,417,11,15
430,Dendrocopos_leucotos,Dendrocopos_leucotos,Stenberg & Hogstad 2004,NA,mass,body weight,106.4,4.5,55,100.2,4.9,56
431,Dendrocopos_leucotos,Dendrocopos_leucotos,Stenberg & Hogstad 2004,NA,length,wing length,145.1,2.8,58,142.8,2.3,56
