"site1_sta1" "site1_sta2" "site2_sta1" "site2_sta2" "site2_sta3" "site2_sta4" "site2_sta5" "site2_sta6" "site2_sta7" "site3_sta1" "site3_sta2" "site4_sta1" "site4_sta2" "site5_sta1" "site5_sta2" "site5_sta3" "site5_sta4" "site6_sta1" "site6_sta2" "site7_sta1" "site7_sta2" "site8_sta1" "site8_sta2" "site8_sta3" "site9_sta1" "site9_sta2" "site9_sta3" "site9_sta4" "site10_sta1" "site10_sta2" "site11_sta1" "site11_sta2" "site11_sta3" "site11_sta4" "site11_sta5"
"site4_sta1" 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 0 4 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
"site4_sta2" 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 4 0 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
"site5_sta1" 423 417 10000 10000 10000 10000 10000 10000 10000 152 138 10000 10000 0 8 9 14 10000 10000 382 373 10000 10000 10000 10000 10000 10000 10000 283 270 10000 10000 10000 10000 10000
"site5_sta2" 415 409 10000 10000 10000 10000 10000 10000 10000 144 130 10000 10000 8 0 1 6 10000 10000 374 365 10000 10000 10000 10000 10000 10000 10000 275 262 10000 10000 10000 10000 10000
"site5_sta3" 414 408 10000 10000 10000 10000 10000 10000 10000 143 129 10000 10000 9 1 0 5 10000 10000 373 364 10000 10000 10000 10000 10000 10000 10000 274 261 10000 10000 10000 10000 10000
"site5_sta4" 409 403 10000 10000 10000 10000 10000 10000 10000 138 124 10000 10000 14 6 5 0 10000 10000 368 359 10000 10000 10000 10000 10000 10000 10000 269 256 10000 10000 10000 10000 10000
"site6_sta1" 10000 10000 329 328 328 323 318 318 316 10000 10000 10000 10000 10000 10000 10000 10000 0 7 10000 10000 10000 10000 10000 105 102 88 97 10000 10000 23 39 42 72 63
"site6_sta2" 10000 10000 336 335 335 330 325 325 323 10000 10000 10000 10000 10000 10000 10000 10000 7 0 10000 10000 10000 10000 10000 112 109 95 104 10000 10000 16 32 35 65 56
"site7_sta1" 41 35 10000 10000 10000 10000 10000 10000 10000 230 244 10000 10000 382 374 373 368 10000 10000 0 9 10000 10000 10000 10000 10000 10000 10000 99 112 10000 10000 10000 10000 10000
"site7_sta2" 50 44 10000 10000 10000 10000 10000 10000 10000 221 235 10000 10000 373 365 364 359 10000 10000 9 0 10000 10000 10000 10000 10000 10000 10000 90 103 10000 10000 10000 10000 10000
"site8_sta1" 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 0 3 19 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
"site8_sta2" 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 3 0 16 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
"site8_sta3" 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 19 16 0 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
"site9_sta1" 10000 10000 224 223 223 218 213 213 211 10000 10000 10000 10000 10000 10000 10000 10000 105 112 10000 10000 10000 10000 10000 0 3 17 8 10000 10000 128 144 147 177 168
"site9_sta2" 10000 10000 227 226 226 221 216 216 214 10000 10000 10000 10000 10000 10000 10000 10000 102 109 10000 10000 10000 10000 10000 3 0 14 5 10000 10000 125 141 144 174 165
"site9_sta3" 10000 10000 241 240 240 235 230 230 228 10000 10000 10000 10000 10000 10000 10000 10000 88 95 10000 10000 10000 10000 10000 17 14 0 9 10000 10000 111 127 130 160 151
"site9_sta4" 10000 10000 232 231 231 226 221 221 219 10000 10000 10000 10000 10000 10000 10000 10000 97 104 10000 10000 10000 10000 10000 8 5 9 0 10000 10000 120 136 139 169 160
"site10_sta1" 140 134 10000 10000 10000 10000 10000 10000 10000 131 145 10000 10000 283 275 274 269 10000 10000 99 90 10000 10000 10000 10000 10000 10000 10000 0 13 10000 10000 10000 10000 10000
"site10_sta2" 153 147 10000 10000 10000 10000 10000 10000 10000 118 132 10000 10000 270 262 261 256 10000 10000 112 103 10000 10000 10000 10000 10000 10000 10000 13 0 10000 10000 10000 10000 10000
"site11_sta1" 10000 10000 352 351 351 346 341 341 339 10000 10000 10000 10000 10000 10000 10000 10000 23 16 10000 10000 10000 10000 10000 128 125 111 120 10000 10000 0 16 19 49 40
"site11_sta2" 10000 10000 368 367 367 362 357 357 355 10000 10000 10000 10000 10000 10000 10000 10000 39 32 10000 10000 10000 10000 10000 144 141 127 136 10000 10000 16 0 3 17 26
"site11_sta3" 10000 10000 371 370 370 365 360 360 358 10000 10000 10000 10000 10000 10000 10000 10000 42 35 10000 10000 10000 10000 10000 147 144 130 139 10000 10000 19 3 0 14 23
"site11_sta4" 10000 10000 401 400 400 395 390 390 388 10000 10000 10000 10000 10000 10000 10000 10000 72 65 10000 10000 10000 10000 10000 177 174 160 169 10000 10000 49 17 14 0 9
"site11_sta5" 10000 10000 392 391 391 386 381 381 379 10000 10000 10000 10000 10000 10000 10000 10000 63 56 10000 10000 10000 10000 10000 168 165 151 160 10000 10000 40 26 23 9 0
