study_id,obs,exp_obs,control,class,genus,species,sex,iridescent,col_var,col_component,quality_measure,region,n,r
p27,e053,obs,1,reptilia,Gallotia,Gallotia_galloti,female,0,hue,chromatic,parasite,cheek,23,-0.14
p27,e054,obs,0,reptilia,Gallotia,Gallotia_galloti,male,0,chroma,chromatic,condition,cheek,17,0.75
p27,e055,obs,0,reptilia,Gallotia,Gallotia_galloti,female,0,chroma,chromatic,condition,cheek,23,0.51
p27,e056,obs,0,reptilia,Gallotia,Gallotia_galloti,male,0,hue,chromatic,condition,cheek,17,0.54
p27,e057,obs,0,reptilia,Gallotia,Gallotia_galloti,female,0,hue,chromatic,condition,cheek,23,0.41
p27,e058,obs,0,reptilia,Gallotia,Gallotia_galloti,male,0,chroma,chromatic,parasite,cheek,17,-0.58
p27,e059,obs,0,reptilia,Gallotia,Gallotia_galloti,female,0,chroma,chromatic,parasite,cheek,23,0.01
p27,e060,obs,0,reptilia,Gallotia,Gallotia_galloti,male,0,hue,chromatic,parasite,cheek,17,0.3
p27,e061,obs,0,reptilia,Gallotia,Gallotia_galloti,female,0,hue,chromatic,parasite,cheek,23,0.01
p272,e062,obs,0,aves,Circus,Circus_pygargus,male,0,chroma,chromatic,condition,cere,9,0.35
p272,e063,obs,0,aves,Circus,Circus_pygargus,male,0,hue,chromatic,condition,cere,9,0.88
p28,e064,obs,0,aves,Geothlypis,Geothlypis_trichas,male,0,brightness,achromatic,condition,bib,42,0.34
p28,e065,obs,0,aves,Geothlypis,Geothlypis_trichas,male,0,brightness,achromatic,condition,bib,39,-0.47
p290,e066,obs,0,aves,Tachycineta,Tachycineta_bicolor,male,1,brightness,achromatic,age,dorsum,35,0.22
p290,e067,obs,0,aves,Tachycineta,Tachycineta_bicolor,male,1,chroma,chromatic,age,dorsum,35,0.03
p290,e068,obs,0,aves,Tachycineta,Tachycineta_bicolor,male,1,hue,achromatic,age,dorsum,35,0.35
p290,e069,obs,0,aves,Tachycineta,Tachycineta_bicolor,male,1,chroma,chromatic,age,dorsum,35,-0.32
p293,e070,obs,0,reptilia,Lacerta,Lacerta_viridis,male,0,brightness,achromatic,parasite,throat,17,0.52
p293,e071,obs,0,reptilia,Lacerta,Lacerta_viridis,male,0,chroma,chromatic,parasite,throat,12,-0.06
p293,e072,obs,0,reptilia,Lacerta,Lacerta_viridis,male,0,chroma,chromatic,parasite,throat,13,-0.1
p293,e073,obs,0,reptilia,Lacerta,Lacerta_viridis,male,0,chroma,chromatic,parasite,belly,15,-0.2
p305,e074,exp,0,aves,Meleagris,Meleagris_gallopavo,male,1,pca,zcombined,parasite,wing coverts,14,0.4781
p305,e075,exp,0,aves,Meleagris,Meleagris_gallopavo,male,1,pca,zcombined,parasite,breast,14,0.5
p305,e076,exp,0,aves,Meleagris,Meleagris_gallopavo,male,1,pca,zcombined,parasite,wing coverts,14,0.79
p305,e077,exp,0,aves,Meleagris,Meleagris_gallopavo,male,1,pca,zcombined,parasite,breast,14,0.61
p333,e078,obs,0,aves,Coracias,Coracias_garrulus,zcombined,0,pca,zcombined,condition,head,74,0.07
p333,e079,obs,0,aves,Coracias,Coracias_garrulus,zcombined,0,pca,zcombined,condition,head,77,0.34
p333,e080,obs,0,aves,Coracias,Coracias_garrulus,zcombined,0,pca,zcombined,condition,scapular,75,0.04
p336,e081,obs,0,arachnida,Habronattus,Habronattus_pyrrithrix,male,0,hue,chromatic,condition,face,57,0.38
p336,e082,obs,0,arachnida,Habronattus,Habronattus_pyrrithrix,male,0,chroma,chromatic,condition,face,57,0.28
p336,e083,obs,0,arachnida,Habronattus,Habronattus_pyrrithrix,male,0,brightness,achromatic,condition,face,57,0.06
p336,e084,obs,0,arachnida,Habronattus,Habronattus_pyrrithrix,male,0,hue,chromatic,condition,leg,57,0.26
p336,e085,obs,0,arachnida,Habronattus,Habronattus_pyrrithrix,male,0,chroma,chromatic,condition,leg,57,0.23
p336,e086,exp,0,arachnida,Habronattus,Habronattus_pyrrithrix,male,0,hue,chromatic,condition,face,14,0.38
p336,e087,exp,0,arachnida,Habronattus,Habronattus_pyrrithrix,male,0,chroma,chromatic,condition,face,14,0.29
p336,e088,exp,0,arachnida,Habronattus,Habronattus_pyrrithrix,male,0,brightness,achromatic,condition,leg,14,-0.04
p336,e089,exp,0,arachnida,Habronattus,Habronattus_pyrrithrix,male,0,hue,chromatic,condition,face,14,0.12
p336,e090,exp,0,arachnida,Habronattus,Habronattus_pyrrithrix,male,0,chroma,chromatic,condition,face,14,-0.06
p336,e091,exp,0,arachnida,Habronattus,Habronattus_pyrrithrix,male,0,brightness,achromatic,condition,leg,14,0.0564
p362,e092,obs,0,aves,Sialia,Sialia_sialis,male,0,pca,zcombined,age,rump,27,-0.3095
p362,e093,obs,0,aves,Sialia,Sialia_sialis,male,0,pca,zcombined,age,rump,27,-0.3768
p362,e094,obs,0,aves,Sialia,Sialia_sialis,male,0,pca,zcombined,age,tail,32,-0.336
p362,e095,obs,0,aves,Sialia,Sialia_sialis,male,0,pca,zcombined,age,rump,9,-0.1304
p362,e096,obs,0,aves,Sialia,Sialia_sialis,male,0,pca,zcombined,age,rump,9,-0.3707
p362,e097,obs,0,aves,Sialia,Sialia_sialis,male,0,pca,zcombined,age,tail,9,-0.5008
p363,e098,exp,1,insecta,Eurema,Eurema_hecabe,male,1,brightness,achromatic,condition,forewing,572,0.1121
p363,e099,exp,1,insecta,Eurema,Eurema_hecabe,male,1,hue,chromatic,condition,forewing,572,0.0205
p363,e100,exp,1,insecta,Eurema,Eurema_hecabe,male,1,brightness,achromatic,condition,forewing,453,0.27
p363,e101,exp,1,insecta,Eurema,Eurema_hecabe,male,1,hue,chromatic,condition,forewing,453,0.07
p363,e102,exp,1,insecta,Eurema,Eurema_hecabe,male,1,brightness,achromatic,condition,forewing,453,0.18
p363,e103,exp,1,insecta,Eurema,Eurema_hecabe,male,1,hue,chromatic,condition,forewing,453,0.03
p367,e104,obs,0,aves,Lagopus,Lagopus_lagopus,male,0,brightness,achromatic,age,comb,39,-0.53
p367,e105,obs,0,aves,Lagopus,Lagopus_lagopus,male,0,hue,chromatic,age,comb,39,0.04
p367,e106,obs,0,aves,Lagopus,Lagopus_lagopus,female,0,brightness,achromatic,age,comb,30,-0.5
p367,e107,obs,0,aves,Lagopus,Lagopus_lagopus,female,0,hue,chromatic,age,comb,30,0.02
p367,e108,obs,0,aves,Lagopus,Lagopus_lagopus,male,0,brightness,achromatic,parasite,comb,70,0.41
p367,e109,obs,0,aves,Lagopus,Lagopus_lagopus,male,0,hue,chromatic,parasite,comb,70,0.01
p367,e110,obs,0,aves,Lagopus,Lagopus_lagopus,female,0,brightness,achromatic,parasite,comb,49,0.26
p367,e111,obs,0,aves,Lagopus,Lagopus_lagopus,female,0,hue,chromatic,parasite,comb,49,0.01
p372,e112,exp,0,aves,Cyanistes,Cyanistes_caeruleus,female,0,chroma,chromatic,condition,crown,10,-0.019
p372,e113,exp,0,aves,Cyanistes,Cyanistes_caeruleus,male,0,chroma,chromatic,condition,crown,9,0.01
p372,e114,exp,0,aves,Cyanistes,Cyanistes_caeruleus,zcombined,0,brightness,achromatic,condition,crown,19,0.04
p372,e115,exp,0,aves,Cyanistes,Cyanistes_caeruleus,zcombined,0,hue,chromatic,condition,crown,19,0.0836
p372,e116,exp,0,aves,Cyanistes,Cyanistes_caeruleus,female,0,brightness,achromatic,condition,cheek,10,-0.23
p372,e117,exp,0,aves,Cyanistes,Cyanistes_caeruleus,male,0,brightness,achromatic,condition,cheek,9,-0.07
p396,e118,exp,0,aves,Molothrus,Molothrus_ater,male,1,hue,chromatic,condition,breast,15,0.34
p396,e119,exp,0,aves,Molothrus,Molothrus_ater,male,1,chroma,chromatic,condition,breast,15,0.45
p396,e120,exp,0,aves,Molothrus,Molothrus_ater,male,1,brightness,achromatic,condition,breast,15,0.36
p410,e121,exp,1,aves,Tetrao,Tetrao_tetrix,male,0,chroma,chromatic,immune,wing,9,0.45
p410,e122,exp,1,aves,Tetrao,Tetrao_tetrix,male,0,brightness,achromatic,immune,wing,9,0.63
p410,e123,exp,1,aves,Tetrao,Tetrao_tetrix,male,0,chroma,chromatic,immune,wing,9,0.85
p415,e124,obs,0,aves,Ptilonorhynchus,Ptilonorhynchus_violaceus,male,1,brightness,achromatic,condition,rump,10,0.67
p415,e125,obs,0,aves,Ptilonorhynchus,Ptilonorhynchus_violaceus,male,1,brightness,achromatic,parasite,rump,10,0.7
p415,e126,obs,0,aves,Ptilonorhynchus,Ptilonorhynchus_violaceus,male,1,brightness,achromatic,condition,rump,10,0.51
p446,e127,obs,0,aves,Volatinia,Volatinia_jacarina,male,1,brightness,achromatic,condition,wing,12,0.74
p451,e128,obs,0,aves,Sialia,Sialia_sialis,male,0,pca,zcombined,condition,tail,83,0.23
p451,e129,obs,0,aves,Sialia,Sialia_sialis,female,0,pca,zcombined,condition,tail,120,0.19
p451,e130,obs,0,aves,Sialia,Sialia_sialis,male,0,pca,zcombined,immune,tail,69,0.31
p48,e131,exp,0,insecta,Colias,Colias_eurytheme,male,1,brightness,achromatic,condition,wing,47,0.31
p48,e132,exp,0,insecta,Colias,Colias_eurytheme,male,1,hue,chromatic,condition,wing,47,0.02
p48,e133,exp,0,insecta,Colias,Colias_eurytheme,male,1,brightness,achromatic,condition,wing,47,0.38
p48,e134,exp,0,insecta,Colias,Colias_eurytheme,male,1,hue,chromatic,condition,wing,47,0.06
p529,e135,obs,1,insecta,Eurema,Eurema_hecabe,male,1,brightness,achromatic,condition,forewing,304,0.49
p529,e136,obs,1,insecta,Eurema,Eurema_hecabe,female,1,brightness,achromatic,condition,forewing,280,0.38
p529,e137,obs,1,insecta,Eurema,Eurema_hecabe,male,1,hue,chromatic,condition,forewing,304,0.54
p529,e138,obs,1,insecta,Eurema,Eurema_hecabe,female,1,hue,chromatic,condition,forewing,280,0.01
p529,e139,exp,1,insecta,Eurema,Eurema_hecabe,male,1,brightness,achromatic,condition,forewing,100,0.11
p529,e140,exp,1,insecta,Eurema,Eurema_hecabe,female,1,brightness,achromatic,condition,forewing,123,0.336
p529,e141,exp,1,insecta,Eurema,Eurema_hecabe,male,1,hue,chromatic,condition,forewing,100,-0.011
p529,e142,exp,1,insecta,Eurema,Eurema_hecabe,female,1,hue,chromatic,condition,forewing,123,-0.032
p551,e143,exp,0,aves,Melopsittacus,Melopsittacus_undulatus,male,0,brightness,achromatic,immune,breast,40,0.08
p551,e144,exp,0,aves,Melopsittacus,Melopsittacus_undulatus,male,0,chroma,chromatic,immune,breast,40,0.45
p551,e145,exp,0,aves,Melopsittacus,Melopsittacus_undulatus,male,0,hue,chromatic,immune,breast,40,0.04
p62,e146,obs,0,aves,Tachycineta,Tachycineta_bicolor,female,1,brightness,zcombined,age,breast,20,0.46
p682,e147,obs,0,aves,Aptenodytes,Aptenodytes_patagonicus,male,0,brightness,achromatic,condition,beak,31,0.282
p682,e148,obs,0,aves,Aptenodytes,Aptenodytes_patagonicus,female,0,brightness,achromatic,condition,beak,30,-0.47
p682,e149,obs,0,aves,Aptenodytes,Aptenodytes_patagonicus,male,0,hue,chromatic,immune,beak,31,0.354
p682,e150,obs,0,aves,Aptenodytes,Aptenodytes_patagonicus,female,0,hue,chromatic,immune,beak,30,0.53
p72,e151,obs,0,aves,Luscinia,Luscinia_svecica,male,1,brightness,achromatic,age,throat,15,-0.2237
p72,e152,obs,0,aves,Luscinia,Luscinia_svecica,male,1,chroma,chromatic,age,throat,15,0.001
p72,e153,obs,0,aves,Luscinia,Luscinia_svecica,male,1,hue,chromatic,age,throat,15,0.1721
p72,e154,obs,0,aves,Luscinia,Luscinia_svecica,male,1,brightness,achromatic,condition,throat,27,0.13
p72,e155,obs,0,aves,Luscinia,Luscinia_svecica,male,1,chroma,chromatic,condition,throat,27,-0.14
p72,e156,obs,0,aves,Luscinia,Luscinia_svecica,male,1,hue,chromatic,condition,throat,27,0.09
p742,e157,obs,0,aves,Tachycineta,Tachycineta_bicolor,female,0,brightness,achromatic,parasite,breast,14,0.55
p742,e158,obs,0,aves,Tachycineta,Tachycineta_bicolor,male,0,pca,zcombined,parasite,breast,14,0.11
p923,e159,obs,0,arachnida,Cosmophasis,Cosmophasis_umbratica,male,1,brightness,achromatic,age,abdomen,24,-0.1
p923,e160,obs,0,arachnida,Cosmophasis,Cosmophasis_umbratica,male,1,brightness,achromatic,age,carapace,23,-0.1
p923,e161,obs,0,arachnida,Cosmophasis,Cosmophasis_umbratica,male,1,hue,chromatic,age,abdomen,25,0.14
p923,e162,obs,0,arachnida,Cosmophasis,Cosmophasis_umbratica,male,1,hue,chromatic,age,carapace,25,0.07
p923,e163,exp,0,arachnida,Cosmophasis,Cosmophasis_umbratica,male,1,brightness,achromatic,condition,abdomen,10,0.86
p923,e164,exp,0,arachnida,Cosmophasis,Cosmophasis_umbratica,male,1,brightness,achromatic,condition,carapace,10,0.16
p923,e165,exp,0,arachnida,Cosmophasis,Cosmophasis_umbratica,male,1,hue,chromatic,condition,abdomen,10,0.04
p923,e166,exp,0,arachnida,Cosmophasis,Cosmophasis_umbratica,male,1,hue,chromatic,condition,carapace,10,0.28
p94,e167,obs,0,aves,Hirundo,Hirundo_rustica,male,1,brightness,achromatic,condition,dorsum,81,-0.029
p94,e168,obs,0,aves,Hirundo,Hirundo_rustica,male,1,chroma,chromatic,condition,dorsum,81,0.022
p94,e169,obs,0,aves,Hirundo,Hirundo_rustica,male,1,chroma,chromatic,condition,dorsum,81,-0.064
p94,e170,obs,0,aves,Hirundo,Hirundo_rustica,male,1,chroma,chromatic,condition,dorsum,74,-0.214
p94,e171,obs,0,aves,Hirundo,Hirundo_rustica,male,1,chroma,chromatic,condition,dorsum,74,-0.166
p94,e172,obs,0,aves,Hirundo,Hirundo_rustica,male,1,chroma,chromatic,condition,dorsum,74,-0.151
p94,e173,obs,0,aves,Hirundo,Hirundo_rustica,male,1,chroma,chromatic,age,dorsum,50,-0.0301
p94,e174,obs,0,aves,Hirundo,Hirundo_rustica,male,1,chroma,chromatic,age,dorsum,50,-0.2746
p94,e175,obs,0,aves,Hirundo,Hirundo_rustica,male,1,chroma,chromatic,age,dorsum,50,0.0616
p94,e176,obs,0,aves,Hirundo,Hirundo_rustica,female,1,chroma,chromatic,age,dorsum,46,-0.1842
p94,e177,obs,0,aves,Hirundo,Hirundo_rustica,female,1,chroma,chromatic,age,dorsum,46,-0.1602
p94,e178,obs,0,aves,Hirundo,Hirundo_rustica,female,1,chroma,chromatic,age,dorsum,46,0.0383
p94,e179,obs,0,aves,Hirundo,Hirundo_rustica,male,1,chroma,chromatic,age,dorsum,50,0.0246
p94,e180,obs,0,aves,Hirundo,Hirundo_rustica,male,1,chroma,chromatic,age,dorsum,50,-0.0244
p999,e181,obs,0,reptilia,Lacerta,Lacerta_viridis,male,0,chroma,chromatic,condition,throat,67,-0.17
p999,e182,obs,0,reptilia,Lacerta,Lacerta_viridis,male,0,brightness,chromatic,parasite,throat,67,0.25
p999,e183,obs,0,reptilia,Lacerta,Lacerta_viridis,male,0,chroma,chromatic,condition,throat,67,0.001
p999,e184,obs,0,reptilia,Lacerta,Lacerta_viridis,male,0,brightness,achromatic,parasite,throat,67,0.001
p519,e185,obs,0,aves,Poecile,Poecile_atricapillus,zcombined,0,chroma,chromatic,parasite,throat,20,0.355
p519,e186,obs,0,aves,Poecile,Poecile_atricapillus,zcombined,0,brightness,achromatic,parasite,throat,20,0.461
