"study","group","intervention","detailed.intervention","phase","duration","n.all","n","deaths","infarcts","type","population","period","age","male","hemoglobin"
"49653/136","Control","Sulfonylurea + Insulin","Sulfonylurea + Insulin",3,26,143,143,0,0,"Additional phase 2, 3, and 4 efficacy trials","Type 2 DM with chronic renal failure on Su, insulin, or both","July 1999-June 2001",66.3,60.8,8.3
"49653/145","Rosiglitazone","Rosiglitazone + Sulfonylurea","Rosiglitazone + Gliclazide",3,26,231,231,1,1,"Additional phase 2, 3, and 4 efficacy trials","Type 2 DM","Oct. 1999-Nov. 2000",61.1,57.3,8.5
"49653/145","Control","Sulfonylurea","Gliclazide",3,26,242,242,0,0,"Additional phase 2, 3, and 4 efficacy trials","Type 2 DM","Oct. 1999-Nov. 2000",61.9,62.7,8.6
"49653/147","Rosiglitazone","Rosiglitazone + Sulfonylurea","Rosiglitazone + Sulfonylurea",3,26,89,89,0,1,"Additional phase 2, 3, and 4 efficacy trials","Indo-Asian patients with type 2 DM","July 1999-Aug. 2000",54.3,20.2,9.2
"49653/147","Control","Sulfonylurea","Sulfonylurea",3,26,88,88,0,0,"Additional phase 2, 3, and 4 efficacy trials","Indo-Asian patients with type 2 DM","July 1999-Aug. 2000",54.1,25.3,9.1
"49653/162","Rosiglitazone","Rosiglitazone + Sulfonylurea","Rosiglitazone + Glyburide",3,26,168,168,1,1,"Additional phase 2, 3, and 4 efficacy trials","Type 2 DM","Nov. 2000-April 2002",60,55.1,7.9
"49653/162","Control","Sulfonylurea","Glyburide",3,26,172,172,0,0,"Additional phase 2, 3, and 4 efficacy trials","Type 2 DM","Nov. 2000-April 2002",59.9,61.8,8
"49653/234","Rosiglitazone","Rosiglitazone + Sulfonylurea","Rosiglitazone + Glimepiride",3,26,116,116,0,0,"Additional phase 2, 3, and 4 efficacy trials","Type 2 DM","Jan. 2001-Feb. 2002",61.7,50.5,8.15
"49653/234","Control","Sulfonylurea","Glimepiride",3,26,61,61,0,0,"Additional phase 2, 3, and 4 efficacy trials","Type 2 DM","Jan. 2001-Feb. 2002",65,60,7.9
"49653/330","Rosiglitazone","Rosiglitazone","Rosiglitazone",3,52,1181,1172,1,1,"Additional phase 2, 3, and 4 efficacy trials","Chronic psoriasis","Jan. 2003-Oct. 2004",44.7,64.6666666666667,NA
"49653/330","Control","Placebo","Placebo",3,52,382,377,0,0,"Additional phase 2, 3, and 4 efficacy trials","Chronic psoriasis","Jan. 2003-Oct. 2004",44.5,63,NA
"49653/331","Rosiglitazone","Rosiglitazone","Rosiglitazone",3,52,706,706,1,0,"Additional phase 2, 3, and 4 efficacy trials","Chronic psoriasis","Jan. 2003-Oct. 2004",45.05,63.05,NA
"49653/331","Control","Placebo","Placebo",3,52,325,325,0,0,"Additional phase 2, 3, and 4 efficacy trials","Chronic psoriasis","Jan. 2003-Oct. 2004",46.4,58.3,NA
"49653/137","Rosiglitazone","Rosiglitazone + Metformin","Rosiglitazone + Metformin",3,26,204,204,0,1,"Additional phase 2, 3, and 4 efficacy trials","Type 2 DM","April 2000-March 2004",60,63.4,NA
"49653/137","Control","Sulfonylurea + Metformin","Glyburide + Metformin",3,26,185,185,1,2,"Additional phase 2, 3, and 4 efficacy trials","Type 2 DM","April 2000-March 2004",58.8,68.9,NA
"712753/002","Rosiglitazone","Rosiglitazone + Metformin","Rosiglitazone + Metformin",3,24,288,288,1,1,"Additional phase 2, 3, and 4 efficacy trials","Type 2 DM poorly controlled","July 2003-June 2004",58.1,58.3,7.4
"712753/002","Control","Metformin","Metformin",3,24,280,280,0,0,"Additional phase 2, 3, and 4 efficacy trials","Type 2 DM poorly controlled","July 2003-June 2004",57.6,56.8,7.5
"712753/003","Rosiglitazone","Rosiglitazone + Metformin","Rosiglitazone + Metformin",3,32,254,254,0,1,"Additional phase 2, 3, and 4 efficacy trials","Mild type 2 DM","June 2003-Dec. 2004",58.9,54.7,7.2
"712753/003","Control","Metformin","Metformin",3,32,272,272,0,0,"Additional phase 2, 3, and 4 efficacy trials","Mild type 2 DM","June 2003-Dec. 2004",59,55.5,7.2
"712753/007","Rosiglitazone","Rosiglitazone + Metformin","Rosiglitazone + Metformin",3,32,314,314,0,1,"Additional phase 2, 3, and 4 efficacy trials","Type 2 DM without previous drug therapy","Oct. 2003-Dec. 2004",50.1,57.4,8.9
"712753/007","Control","Metformin","Metformin",3,32,154,154,0,0,"Additional phase 2, 3, and 4 efficacy trials","Type 2 DM without previous drug therapy","Oct. 2003-Dec. 2004",50.6,58.5,8.8
"712753/009","Rosiglitazone","Rosiglitazone + Metformin + Insulin","Rosiglitazone + Metformin + Insulin",3,24,162,162,0,0,"Additional phase 2, 3, and 4 efficacy trials","Type 2 DM with insulin","Oct. 2003-Nov. 2004",57.2,51.8,8.7
"712753/009","Control","Insulin","Insulin",3,24,160,160,0,0,"Additional phase 2, 3, and 4 efficacy trials","Type 2 DM with insulin","Oct. 2003-Nov. 2004",56.9,53.1,8.8
"49653/132","Rosiglitazone","Rosiglitazone + Sulfonylurea","Rosiglitazone + Sulfonylurea",2,24,442,442,1,1,"Additional phase 2, 3, and 4 efficacy trials","Patients in China with type 2 DM","April 1999-Feb. 2000",58.95,44.5,9.8
"49653/132","Control","Sulfonylurea","Sulfonylurea",2,24,112,112,0,0,"Additional phase 2, 3, and 4 efficacy trials","Patients in China with type 2 DM","April 1999-Feb. 2000",58.8,45.7,9.6
"AVA100193","Rosiglitazone","Rosiglitazone","Rosiglitazone",2,24,394,394,1,1,"Additional phase 2, 3, and 4 efficacy trials","Mild-to-moderate Alzheimer's disease","Jan. 2004-May 2005",70.6666666666667,40.6666666666667,NA
"AVA100193","Control","Placebo","Placebo",2,24,124,124,0,0,"Additional phase 2, 3, and 4 efficacy trials","Mild-to-moderate Alzheimer's disease","Jan. 2004-May 2005",72,36.9,NA
"DREAM","Rosiglitazone","Rosiglitazone","Rosiglitazone",3,156,2635,2635,12,15,"Recently published large, prospective, randomized trials","Impaired glucose tolerance or fasting glucose","July 2001-Aug. 2003",54.6,41.7,104.5
"DREAM","Control","Placebo","Placebo",3,156,2634,2634,10,9,"Recently published large, prospective, randomized trials","Impaired glucose tolerance or fasting glucose","July 2001-Aug. 2003",54.8,39.9,104.5
"ADOPT","Rosiglitazone","Rosiglitazone","Rosiglitazone",3,208,1456,1456,2,27,"Recently published large, prospective, randomized trials","Recently diagnosed type 2 DM","April 2000-June 2002",56.3,55.7,7.4
"ADOPT","Control","Metformin + Sulfonylurea","Metformin + Glyburide",3,208,2895,2895,5,41,"Recently published large, prospective, randomized trials","Recently diagnosed type 2 DM","April 2000-June 2002",57.15,58.7,7.4
"49653/369","Rosiglitazone","Rosiglitazone","Rosiglitazone",4,26,NA,25,0,0,"All zero","Type 2 DM","Jan. 2003-Oct. 2003",NA,NA,NA
"49653/369","Control","Sulfonylurea","Glibenclamide",4,26,NA,24,0,0,"All zero","Type 2 DM","Jan. 2003-Oct. 2003",NA,NA,NA
"49653/282","Rosiglitazone","Rosiglitazone + Metformin","Rosiglitazone + Metformin",4,24,NA,70,0,0,"All zero","Type 2 DM","June 2001-Nov. 2002",NA,NA,NA
"49653/282","Control","Sulfonylurea + Metformin","Glyburide + Metformin",4,24,NA,75,0,0,"All zero","Type 2 DM","June 2001-Nov. 2002",NA,NA,NA
"49653/044","Rosiglitazone","Rosiglitazone + Metformin","Rosiglitazone + Metformin",3,26,NA,101,0,0,"All zero","Type 2 DM poorly controlled on Met","Jan. 1998-Dec. 1999",NA,NA,NA
"49653/044","Control","Placebo + Metformin","Placebo + Metformin",3,26,NA,51,0,0,"All zero","Type 2 DM poorly controlled on Met","Jan. 1998-Dec. 1999",NA,NA,NA
"49653/325","Rosiglitazone","Rosiglitazone + Sulfonylurea","Rosiglitazone + Glimepiride",3,24,NA,196,0,0,"All zero","Type 2 DM poorly controlled on non-TZD","March 2003-June 2004",NA,NA,NA
"49653/325","Control","Placebo + Sulfonylurea","Placebo + Glimepiride",3,24,NA,195,0,0,"All zero","Type 2 DM poorly controlled on non-TZD","March 2003-June 2004",NA,NA,NA
"49653/096","Rosiglitazone","Rosiglitazone + Sulfonylurea","Rosiglitazone + Glyburide",3,26,NA,232,0,0,"All zero","Type 2 DM poorly controlled on glyburide","April 1997-March 1998",NA,NA,NA
"49653/096","Control","Placebo + Sulfonylurea","Placebo + Glyburide",3,26,NA,115,0,0,"All zero","Type 2 DM poorly controlled on glyburide","April 1997-March 1998",NA,NA,NA
"797620/004","Rosiglitazone","Rosiglitazone + Sulfonylurea","Rosiglitazone + Glimepiride",3,28,NA,676,0,0,"All zero","Type 2 DM","Dec. 2003-Dec. 2004",NA,NA,NA
"797620/004","Control","Sulfonylurea","Glimepiride",3,28,NA,225,0,0,"All zero","Type 2 DM","Dec. 2003-Dec. 2004",NA,NA,NA
