study               ref  year  country          female  white   mage  duration  med             jadad   vantulder  tgrp  cgrp  outcome  type    nti     mti  sdti  nci    mci   sdci
"Nørregaard et al." 58   1995  Denmark          NA      NA      48    8         citalopram      4       6          t19   c19   fatigue  change   21    0.50  2.20   21   0.10   2.00
"Nørregaard et al." 58   1995  Denmark          NA      NA      48    8         citalopram      4       6          t19   c19   sleep    change   21   -1.00  2.90   21  -0.10   2.50
"Nørregaard et al." 58   1995  Denmark          NA      NA      48    8         citalopram      4       6          t19   c19   mood     change   21   -1.00  6.10   21  -0.90   7.90
"Nørregaard et al." 58   1995  Denmark          NA      NA      48    8         citalopram      4       6          t19   c19   qol      change   21    0.00  0.40   21   0.00   0.40
"Patkar et al."     59   2007  "United States"  94      NA      47.9  12        paroxetine      5       9          t20   c20   pain     change   38  -12.20 18.50   48  -8.80  16.60
"Russell et al."    64   2008  "United States"  94.8    84.2    51.0  28        duloxetine      4       8          t21   c21   pain     change   79   -2.22  2.49  144  -1.43   2.52
"Russell et al."    64   2008  "United States"  94.8    84.2    51.0  28        duloxetine      4       8          t21   c21   fatigue  change   79   -1.79  3.91  144  -1.69   4.08
"Russell et al."    64   2008  "United States"  94.8    84.2    51.0  28        duloxetine      4       8          t21   c21   qol      change   79  -14.77 16.71  144 -10.42  17.52
"Russell et al."    64   2008  "United States"  94.8    84.2    51.0  28        duloxetine      4       8          t22   c21   pain     change  150   -1.98  2.57  144  -1.43   2.52
"Russell et al."    64   2008  "United States"  94.8    84.2    51.0  28        duloxetine      4       8          t22   c21   fatigue  change  150   -1.83  4.16  144  -1.69   4.08
"Russell et al."    64   2008  "United States"  94.8    84.2    51.0  28        duloxetine      4       8          t22   c21   qol      change  150  -12.28 17.64  144 -10.42  17.52
"Russell et al."    64   2008  "United States"  94.8    84.2    51.0  28        duloxetine      4       8          t23   c21   pain     change  147   -2.26  2.55  144  -1.43   2.52
"Russell et al."    64   2008  "United States"  94.8    84.2    51.0  28        duloxetine      4       8          t23   c21   fatigue  change  147   -2.12  4.00  144  -1.69   4.08
"Russell et al."    64   2008  "United States"  94.8    84.2    51.0  28        duloxetine      4       8          t23   c21   qol      change  147  -13.86 17.10  144 -10.42  17.52
"Vitton et al."     60   2004  "United States"  97      47      84    12        milnacipran     3       7          t24   c24   pain     change   97   -2.30  3.00   28  -0.90   2.90
"Vitton et al."     60   2004  "United States"  97      47      84    12        milnacipran     3       7          t24   c24   sleep    change   97   -1.30  3.10   28  -0.50   2.90
