"Short_Title","Full_Citation","Year","PRPublication","Source_Type","Preregistered","Moderator_Group","Context","Gender","Color_Contrast","Color_Form","Photo_Type","Photo_Similarity","DV_Type","DV_Items","DV_Scale","DV_ScaleBottom","DV_ScaleTop","Location","Continent","Participants","Participant_Notes","Design","Eth_Majority","Eth_Majority_Detail","Eth_Stim","Eth_Match","Red_Age","Control_Age","Color_Red","Color_Control","Red_Original","Color_Match","Presentation_Control","Stimuli_Presentation","Red_N","Red_M","Red_SD","Control_N","Control_M","Control_SD","SD_diff","RM_r","Control_Attractiveness","Notes","Total.SampleSize","pooled","yi","vi"
"Pazda et al., 2017 - Exp 1","Pazda, A., Thorstenson & Elliot, A. (2017).  Unpublished data.",2017,"No","Unpublished/Online","Not Pre-Registered","No","Romantic","Males","Green","Clothing","Full Body","Same between conditions","Single Item",1,"1-9",1,9,"USA","North America","Students","Lab study","Within Subjects",NA,NA,"White",NA,19.76,NA,"red LCh(42.00, 57.92, 348.89), green LCh(41.50, 56.71, 92.17)",NA,"No","Yes","Yes","Screen",115,7.81,1.21,115,7.58,1.41,NA,0.84,0.8225,NA,115,1.31381124976155,0.173908512267354,0.00291410508973498
"Pazda et al., 2017 - Exp 2","Pazda, A., Thorstenson & Elliot, A. (2017).  Unpublished data.",2017,"No","Unpublished/Online","Pre-Registered","No","Romantic","Males","Green","Clothing","Full Body","Same between conditions","Single Item",1,"1-9",1,9,"USA","North America","Online","Mturk","Within Subjects","White",NA,"White","Matched",37.43,NA,"red LCh(42.00, 57.92, 348.89), green LCh(41.50, 56.71, 92.17)",NA,"No","No","No","Screen",228,8.0811,1.28293,228,7.9474,1.39381,NA,0.803,0.868425,NA,228,1.33951776789261,0.0994818394521424,0.00174977332539645
"Berthold, 2013 - Exp 1 - In Group","Berthold, A. (2013). Unpublished data",2013,"No","Unpublished/Online","Not Pre-Registered","No","Romantic","Females","Blue","Background","Bust","Same between conditions","Perceived attractiveness",4,"1-7",1,7,"Germany","Europe","Students","Undergrads","Between Subjects","White","White","White","Matched",25,25,"No Data","No Data","No","No","Yes","Screen",36,2.31,1.29,33,1.73,0.65,NA,NA,0.121666666666667,NA,69,NA,0.554119155377787,0.0603057938660008
"Seibt & Klement, 2015 - Exp 1","Seibt, T., & Klement, V. (2015). The Impact of the Colour Red on Attractiveness Perception. In 4th Advanced Research in Scientific Areas (pp. 20-24). http://doi.org/10.18638/arsa.2015.4.1.799",2015,"No","Conference Proceedings","Not Pre-Registered","No","Romantic","Females","Green","Background",NA,"Same between conditions","Perceived Attractiveness, subscale of Haselton und Gangestad (2006)",NA,"1-9",1,9,"Germany","Europe","Students","Undergrads and Grads","Between Subjects",NA,NA,NA,NA,26.7,26.7,"RGB(255.0.0)","RGB(0.139.0)","No","No","No","Screen",54,3.19,0.53,31,3.07,0.55,NA,NA,0.25875,NA,85,NA,0.221307565727859,0.051064683261991
"Buechner et al., 2015 - Exp 1 - Prideful Pose","Buechner, V. L., Maier, M. A., Lichtenfeld, S., & Elliot, A. J. (2015). Emotion Expression and Color: Their Joint Influence on Perceived Attractiveness and Social Position. Current Psychology, 34(2), 422-433. http://doi.org/10.1007/s12144-014-9266-x",2015,"Yes","Journal","Not Pre-Registered","No","Romantic","Females","Blue","Dot","Bust","Same between conditions","Perceived attractiveness",3,"1-9",1,9,"Germany","Europe","Students","High School","Between Subjects","White","White","White","Matched",16.88,16.88,"LCh(50.9, 59.7, 25.7)","LCh(49.2, 60.2, 278.2)","Yes","Yes","Yes","Paper",21,4.3,1.65,29,3.21,1.53,NA,NA,0.27625,NA,50,NA,0.678552706558135,0.086706143995511
"Seibt & Klement, 2015 - Exp 1","Seibt, T., & Klement, V. (2015). The Impact of the Colour Red on Attractiveness Perception. In 4th Advanced Research in Scientific Areas (pp. 20-24). http://doi.org/10.18638/arsa.2015.4.1.799",2015,"No","Conference Proceedings","Not Pre-Registered","No","Romantic","Males","Green","Background",NA,"Same between conditions","Perceived Attractiveness, subscale of Haselton und Gangestad (2006)",NA,"1-9",1,9,"Germany","Europe","Students","Undergrads and Grads","Between Subjects",NA,NA,NA,NA,26.7,26.7,"RGB(255.0.0)","RGB(0.139.0)","No","No","No","Screen",12,3.4,0.43,14,3.3,0.54,NA,NA,0.2875,NA,26,NA,0.196565831898276,0.15550494565171
"Pollet, 2013 - Exp 1","Pollet T. (2013).  Unpublished data",2013,"No","Unpublished/Online","Not Pre-Registered","No","Romantic","Females","Blue","Clothing","Full Body","Same between conditions","Single item",1,"1-7",1,7,"Netherlands","Europe","Students",NA,"Between Subjects","White","Primarily dutch nationality","White","Matched",26.6,28.4,"No Data","No Data","No","No","No","Screen",26,3.1538,1.222859,23,2.956522,1.186219,NA,NA,0.326087,"Only blue control color used as other control colors were not in original",49,NA,0.160974223012991,0.0822042146420694
"Lehmann & Calin-Jageman, 2015 - Class Exp","Lehmann & Calin-Jageman (2017)  Is red really romantic? Direct replications suggest little to no effect of the color red on perceived attractiveness for men and women.  Social Psychology.",2015,"No","Unpublished/Online","Not Pre-Registered","No","Romantic","Females","White","Background","Bust","Same between conditions","Perceived attractiveness",2,"1-9",1,9,"USA","North America","Online","Mturk","Between Subjects","White","White","White","Matched",31.7,36.15,"No Data","No Data","No","No","No","Screen",29,4.34,1.63,28,3.69,1.65,NA,NA,0.33625,NA,57,NA,0.390944055711834,0.071537722007751
"Costello et al., 2017 - Exp 1","Costello J., Groeneboom L. & Pollet T. (2017).  Romantic red: Do red products enhance the attractiveness of the consumer?  Unpublished masters degree manuscript, University of Leiden",2017,"No","Unpublished/Online","Not Pre-Registered","No","Romantic","Males","Blue","Item","Bust","Same between conditions","Single item perceived attractiveness",1,"1-5",1,5,"Netherlands","Europe","Students","Undergrad","Between Subjects","White","White","Asian","Mis-match",22.6,NA,NA,NA,"No","No","Yes","Paper",65,2.25,1.03892,64,2.375,0.95119,NA,NA,0.34375,NA,129,NA,-0.124713272101283,0.0310698998816627
"O'Mara et al., 2016 - Exp 2 - Long Shirt","O'Mara, E. M., Kershaw, C., Receveur, A., Hunt, C., Askar, S., Ballas, T., Farmer, C., O'Koon, B., Stitzel, C., Vavro, C., & Wilhoit, S. (2016), unpublished data. ",2015,"No","Unpublished/Online","Not Pre-Registered","No","Romantic","Males","Blue","Clothing","Bust","Different between conditions","Perceived attractiveness",2,"1-9",1,9,"USA","North America","Students","Undergrads","Between Subjects","White","White","White","Matched",19.26,19.26,NA,NA,"No","No","Yes","Screen",20,4.425,1.369,12,3.79,1.405,NA,NA,0.34875,NA,32,NA,0.447779107518007,0.136466241600984
"Costello et al., 2017 - Exp 2","Costello J., Groeneboom L. & Pollet T. (2017).  Romantic red: Do red products enhance the attractiveness of the consumer?  Unpublished masters degree manuscript, University of Leiden",2017,"No","Unpublished/Online","Not Pre-Registered","No","Romantic","Females","Blue/Green","Item","Head Shot","Same between conditions","Single item perceived attractiveness",1,"1-5",1,5,"Netherlands","Europe","Students","Undergrad","Between Subjects","White","White","White","Matched",21.32,21.06,"No Data","No Data","No","No","Yes","Paper",67,2.597,1.37135,140,2.4929,1.37551,NA,NA,0.373225,"Same filters applied as in Exp 1 (excluded homosexual and preferred not to answer).  Control combines blue and green",207,NA,0.0754771595469356,0.0220819906675557
"Lin, 2014 - Exp 1","Lin, H. (2014). Red-colored products enhance the attractiveness of women. Displays, 35(4), 202-205. http://doi.org/10.1016/j.displa.2014.05.009",2014,"Yes","Journal","Not Pre-Registered","No","Romantic","Males","Blue","Item","Bust","Same between conditions","Single item perceived attractiveness",1,"1-5",1,5,"Taiwan","Asia","Students","Undergrads","Between Subjects","Asian",NA,"Asian","Matched",NA,NA,"No Data","No Data","No","No","Yes","Paper",20,3.5,0.69,20,2.55,0.51,NA,NA,0.3875,"Control condition is blue; silver condition is dropped as it is not an original control color",40,NA,1.5346724436118,0.129440243864768
"O'Mara et al., 2016 - Exp 2 - Tank Top","O'Mara, E. M., Kershaw, C., Receveur, A., Hunt, C., Askar, S., Ballas, T., Farmer, C., O'Koon, B., Stitzel, C., Vavro, C., & Wilhoit, S. (2016), unpublished data. ",2015,"No","Unpublished/Online","Not Pre-Registered","No","Romantic","Males","Blue","Clothing","Bust","Different between conditions","Perceived attractiveness",2,"1-9",1,9,"USA","North America","Students","Undergrads","Between Subjects","White","White","White","Matched",19.26,19.26,NA,NA,"No","No","Yes","Screen",17,3.911,1.09,12,4.33,1.512,NA,NA,0.41625,NA,29,NA,-0.318438178736903,0.143905188153327
"Seibt, 2015 - Exp 1","Seibt, T. (2015). Romantic Red Effect in the Attractiveness Perception. In Hassacc (pp. 31-34). http://doi.org/10.18638/hassacc.2015.3.1.186",2015,"No","Conference Proceedings","Not Pre-Registered","No","Romantic","Males","Green","Background",NA,"Same between conditions","Perceived Attractiveness",NA,"1-5",1,5,"Germany","Europe","Students","Undergrads and Grads","Between Subjects",NA,NA,NA,NA,25.5,25.5,"No Data","No Data","No","No","No","Screen",46,2.8,0.49,41,2.7,0.52,NA,NA,0.425,NA,87,NA,0.196523397581383,0.0463513366693879
"Blech, 2015 - Class Exp","Blech, C. (2015).  Unpublished data from a class experiment",2015,"No","Unpublished/Online","Not Pre-Registered","No","Romantic","Females","White","Clothing","Bust","Same between conditions","Perceived attractiveness",4,"1-9",1,9,"Germany","Europe","Adults",NA,"Between Subjects","White","White","White","Matched",31.4,31.4,NA,NA,"No","No","No","Screen",37,3.95,1.29,37,4.45,1.5,NA,NA,0.43125,NA,74,NA,-0.353673739511261,0.0548992237433776
"Bigelow et al., 2013 - Exp 1","Bigelow, M.G., Taylor, G. & Underwood, M. (2013). Context-moderated effect of color on physiological and self-report measures of emotional response. UNC Asheville Journal, Undergraduate Research Program, Asheville, NC",2013,"Yes","Journal","Not Pre-Registered","No","Romantic","Females","Blue","Background","Head Shot","Same between conditions","Single item",1,"1-9",1,9,"USA","North America","Students","Undergrads","Between Subjects",NA,NA,NA,NA,NA,NA,"Lab(37.43/59.24/47.63)","Lab(36.68/34.86/87.99)","No","No","Yes","Screen",6,5.22,1.77,8,4.56,2.09,NA,NA,0.445,NA,14,NA,0.314679799615141,0.295203215819732
"Hesslinger et al. 2015 - Exp 2","Hesslinger, V. M., Goldbach, L., Carbon, C.-C., Allgemeine, A., Psychologie, E., & Note, A. (2015). Men in red: A reexamination of the red-attractiveness effect. Psychonomic Bulletin & Review, 55(4), 1-6. http://doi.org/10.3758/s13423-015-0866-8",2015,"Yes","Journal","Not Pre-Registered","No","Romantic","Females","White","Background","Full Body","Same between conditions","Perceived attractiveness, German translation",3,"1-9",1,9,"Germany","Europe","Students","Undergrads","Between Subjects","White","White","White","Matched",20.2,20.2,"CIE-Lab(50, 51, 30)","No Data","Yes","No","Yes","Paper",16,4.98,0.7,16,4.63,0.79,NA,NA,0.45375,"Age includes both male and female participants.",32,NA,0.457105187146594,0.128264768001818
"O'Mara & Trujillo, 2015 - Exp 1 - Masculine Face","O'Mara, E. M., & Trujillo, A. (2015), unpublished data. ",2015,"No","Unpublished/Online","Not Pre-Registered","No","Romantic","Females","White","Background","Head Shot","Same between conditions","Perceived attractiveness",1,"1-9",1,9,"USA","North America","Students","Undergrads","Between Subjects","White","White","White","Matched",19.1,19.1,NA,NA,"No","No","Yes","Screen",21,6.11,1.3,25,4.78,1.38,NA,NA,0.4725,NA,46,NA,0.972438777304118,0.0978977125712729
"Lehmann & Calin-Jageman, 2017 - Exp 1","Lehmann & Calin-Jageman (2017)  Is red really romantic? Direct replications suggest little to no effect of the color red on perceived attractiveness for men and women.  Social Psychology.",2017,"Yes","Journal","Pre-Registered","No","Romantic","Females","White","Background","Bust","Same between conditions","Perceived attractiveness",2,"1-9",1,9,"USA","North America","Students","Undergrads","Between Subjects","Latino","Mixed","White/Latino","Matched",20.41,21.22,"LCh(51.3, 58.2, 29.5)","No Data","Yes","No","Yes","Paper",56,4.67,2.05,60,4.89,1.8,NA,NA,0.48625,NA,116,NA,-0.113551226990538,0.0345793865977365
"Pazda et al., 2012 - Exp 2","Pazda, A. D., Elliot, A. J., & Greitemeyer, T. (2012). Sexy red: Perceived sexual receptivity mediates the red-attraction relation in men viewing woman. Journal of Experimental Social Psychology, 48(3), 787-790. http://doi.org/10.1016/j.jesp.2011.12.009",2012,"Yes","Journal","Not Pre-Registered","No","Romantic","Males","Green","Clothing","Bust","Same between conditions","Perceived attractiveness",2,"1-9",1,9,"Austria","Europe","Students","Undergrads","Between Subjects","White","White","White","Matched",23.5,23.5,"LCh(40.6, 40.4, 20.1)","LCh(40.3, 41.2, 146.8)","No","Yes","Yes","Paper",27,6.07,1.17,22,5,2.13,NA,NA,0.5,NA,49,NA,0.630940886089439,0.0865536886317797
"Gueguen, 2012 - Exp 1","Gueguen, N. (2012). Color and Women Attractiveness: When Red Clothed Women Are Perceived to Have More Intense Sexual Intent. The Journal of Social Psychology, 152(3), 261-265. http://doi.org/10.1080/00224545.2011.605398",2012,"Yes","Journal","Not Pre-Registered","No","Romantic","Males","Blue/Green/White","Clothing","Bust","Same between conditions","Perceived attractiveness",1,"1-9",1,9,"France","Europe","Students","Undergrads","Between Subjects",NA,NA,NA,NA,19.2,19.2,"No Data","No Data","No","No","Yes","Paper",30,5.95,1.24,90,5.04,1.21920739280348,NA,NA,0.505,"Control is average of  blue, white, and green",120,NA,0.738515655348159,0.0467169668327541
"O'Mara et al., 2016 - Exp 1 - Long Shirt","O'Mara, E. M., Kershaw, C., Receveur, A., Hunt, C., Askar, S., Ballas, T., Farmer, C., O'Koon, B., Stitzel, C., Vavro, C., & Wilhoit, S. (2016), unpublished data. ",2015,"No","Unpublished/Online","Not Pre-Registered","No","Romantic","Males","White","Clothing","Bust","Different between conditions","Perceived attractiveness",2,"1-9",1,9,"USA","North America","Online","Mturk","Between Subjects","White","White","White","Matched",34.56,34.56,NA,NA,"No","No","No","Screen",28,6.07,2.14,35,5.12,1.89,NA,NA,0.515,NA,63,NA,0.468077285677595,0.0660245741695818
"O'Mara & Trujillo, 2015 - Exp 2 - Masculine Face","O'Mara, E. M., & Trujillo, A. (2015), unpublished data. ",2015,"No","Unpublished/Online","Not Pre-Registered","No","Romantic","Females","White","Background","Head Shot","Same between conditions","Perceived attractiveness",1,"1-9",1,9,"USA","North America","Online","Mturk","Between Subjects","White","White","White","Matched",28.23,28.23,NA,NA,"No","No","No","Screen",24,4.875,1.84,21,5.23,1.609,NA,NA,0.52875,NA,45,NA,-0.200857425455687,0.0897339776786108
"Blech, 2014 - Exp 1","Blech, C. (2014, August 4). Replication of Elliot et al. (2010). Red, rank, and romance in women viewing men. Retrieved from osf.io/tx2u5",2014,"No","Unpublished/Online","Not Pre-Registered","No","Romantic","Females","White","Background","Head Shot","Same between conditions","Perceived attractiveness, German translation",4,"1-9",1,9,"Germany","Europe","Students","Undergrads","Between Subjects","White","White","Latino","Mis-match",NA,NA,"No Data","No Data","No","No","No","Screen",71,5.3627,1.43,78,5.2468,1.47847,NA,NA,0.53085,"Not part of CREP because Used white as control condition, dropped yellow as not an original control color, age not included because separated into categories (<25, 26-40, >=41)",149,NA,0.0792169975572382,0.0269260780261958
"Sullivan et al., 2016 - Exp 1","Sullivan, J., Amaral Lavoie, E., Bays, R. B., Fontana, S., Goodkind, R., Johnson, R., ... Lavoie, M. (2016, April 4). Replication of Elliot et al., 2010: Red, Rank, and Romance. Retrieved from osf.io/pm7fx ",2015,"No","Unpublished/Online","Not Pre-Registered","No","Romantic","Females","Gray","Background","Bust","Same between conditions","Perceived attractiveness",3,"1-9",1,9,"USA","North America","Students","Undergrads","Between Subjects","White","White","Latino","Mis-match",19.96,19.45,"No Data","No Data","No","No","Yes","Screen",49,5.60204081632653,1.37302734191008,53,5.26100628930818,1.42156372082044,NA,NA,0.532625786163522,"Two-year class project posted on OSF",102,NA,0.242027150953396,0.039563230645562
"Elliot et al., 2010 - Exp 3","Elliot, A. J., Niesta Kayser, D., Greitemeyer, T., Lichtenfeld, S., Gramzow, R. H., Maier, M. A., & Liu, H. (2010). Red, rank, and romance in women viewing men. Journal of Experimental Psychology: General, 139(3), 399-417. http://doi.org/10.1037/a0019689",2010,"Yes","Journal","Not Pre-Registered","No","Romantic","Females","Gray","Background","Bust","Same between conditions","Perceived attractiveness",3,"1-9",1,9,"USA","North America","Students","Undergrads","Between Subjects","White","White","Latino","Mis-match",19.64,19.64,"LCh(50.0, 59.6, 31.3)","LCh(50.0, -, 69.1)","Yes","Yes","Yes","Paper",16,6.69,1.22,17,5.27,2.04,NA,NA,0.53375,"df doesn't match sample size",33,NA,0.817996240317769,0.131461678641674
"O'Mara et al., 2016 - Exp 1 - Tank Top","O'Mara, E. M., Kershaw, C., Receveur, A., Hunt, C., Askar, S., Ballas, T., Farmer, C., O'Koon, B., Stitzel, C., Vavro, C., & Wilhoit, S. (2016), unpublished data. ",2015,"No","Unpublished/Online","Not Pre-Registered","No","Romantic","Males","White","Clothing","Bust","Different between conditions","Perceived attractiveness",2,"1-9",1,9,"USA","North America","Online","Mturk","Between Subjects","White","White","White","Matched",34.56,34.56,NA,NA,"No","No","No","Screen",34,5.529,1.957,35,5.3285,2.11,NA,NA,0.5410625,NA,69,NA,0.0973664424562643,0.0580518905535181
"Sullivan et al., 2016 - Exp 2","Sullivan, J., Amaral Lavoie, E., Bays, R. B., Fontana, S., Goodkind, R., Johnson, R., ... Lavoie, M. (2016, April 4). Replication of Elliot et al., 2010: Red, Rank, and Romance. Retrieved from osf.io/pm7fx ",2016,"No","Unpublished/Online","Not Pre-Registered","No","Romantic","Females","Gray","Background","Bust","Same between conditions","Perceived attractiveness",3,"1-9",1,9,"USA","North America","Students","Undergrads","Between Subjects","White","White","Latino","Mis-match",NA,NA,"No Data","No Data","No","No","Yes","Screen",38,4.846491228,1.64872394875253,27,5.37037037037037,1.38160483083098,NA,NA,0.546296296296296,"Age recorded as dichotomy (younger then 20, older than 20) so not included",65,NA,-0.335221330490664,0.064217236821613
"Lehmann & Calin-Jageman, 2017 - Exp 2","Lehmann & Calin-Jageman (2017)  Is red really romantic? Direct replications suggest little to no effect of the color red on perceived attractiveness for men and women.  Social Psychology.",2017,"Yes","Journal","Pre-Registered","No","Romantic","Females","Gray","Background","Bust","Same between conditions","Perceived attractiveness",2,"1-9",1,9,"USA","North America","Online","Mturk","Between Subjects","White","White","White/Latino","Matched",36.05,38.32,"No Data","No Data","No","No","No","Screen",114,5.24,1.58,130,5.38,1.85,NA,NA,0.5475,NA,244,NA,-0.0807119902604848,0.0164775867491884
"Pazda et al., 2014 - Exp 1","Pazda, A. D., Elliot, A. J., & Greitemeyer, T. (2014). Perceived sexual receptivity and fashionableness: Separate paths linking red and black to perceived attractiveness. Color Research & Application, 39(2), 208-212. http://doi.org/10.1002/col.21804",2014,"Yes","Journal","Not Pre-Registered","No","Romantic","Males","White","Clothing","Full Body","Same between conditions","Perceived attractiveness",2,"1-9",1,9,"Not specified","Unknown","Online","Mturk","Between Subjects","White","White (170 white, 142 Asian)","White","Matched",24.5,24.5,"No Data","No Data","No","No","No","Screen",109,6.03,1.78,125,5.46,1.77,NA,NA,0.5575,NA,234,NA,0.320148258863176,0.0173933181395395
"Elliot et al., 2010 - Exp 4","Elliot, A. J., Niesta Kayser, D., Greitemeyer, T., Lichtenfeld, S., Gramzow, R. H., Maier, M. A., & Liu, H. (2010). Red, rank, and romance in women viewing men. Journal of Experimental Psychology: General, 139(3), 399-417. http://doi.org/10.1037/a0019689",2010,"Yes","Journal","Not Pre-Registered","No","Romantic","Females","Green","Clothing","Bust","Same between conditions","Mehrabian & Blum's Perceived attractiveness",4,"1-9",1,9,"China","Asia","Students","Undergrads","Between Subjects","Chinese","Chinese","Chinese","Matched",20.6,20.6,"LCh(51.3, 51.7, 30.1)","LCh(51.5, 51.6, 136.6)","Yes","Yes","Yes","Paper",27,6.32,1.09,28,5.5,1.5,NA,NA,0.5625,NA,55,NA,0.614729049605834,0.076186702791589
