"study" "cold" "scale.rn" "scale.sn" "drug" "tnt" "tnc" "outcome" "mt" "sdt" "mc" "sdc" "xt" "xc" "nt" "nc"
"50" 7 "natural" "0-10" "0-8" "doxylamine" 21 21 "rnic2" 3.431 2.436 1.965 1.813 NA NA 20 18
"51" 7 "natural" "0-10" "0-8" "doxylamine" 21 21 "rngoal1" NA NA NA NA 10 3 21 21
"52" 7 "natural" "0-10" "0-8" "doxylamine" 21 21 "rngoal2" NA NA NA NA 14 7 20 18
"53" 7 "natural" "0-10" "0-8" "doxylamine" 21 21 "snic1" 1.439 1.815 0.998 1.137 NA NA 21 21
"54" 7 "natural" "0-10" "0-8" "doxylamine" 21 21 "snic2" 1.894 2.383 1.299 1.385 NA NA 18 13
"55" 7 "natural" "0-10" "0-8" "doxylamine" 21 21 "sngoal1" NA NA NA NA 19 16 21 21
"56" 7 "natural" "0-10" "0-8" "doxylamine" 21 21 "sngoal2" NA NA NA NA 20 15 20 18
"57" 8 "natural" "0-10" "0-8" "doxylamine" 13 8 "rnic1" 2.687 1.607 1.625 2.089 NA NA 13 8
"58" 8 "natural" "0-10" "0-8" "doxylamine" 13 8 "rnic2" 3.115 1.504 2.344 1.897 NA NA 13 8
"59" 8 "natural" "0-10" "0-8" "doxylamine" 13 8 "rngoal1" NA NA NA NA 10 2 13 8
"60" 8 "natural" "0-10" "0-8" "doxylamine" 13 8 "rngoal2" NA NA NA NA 11 3 13 8
"61" 8 "natural" "0-10" "0-8" "doxylamine" 13 8 "snic1" 0.115 0.965 0.286 1.252 NA NA 13 8
"62" 8 "natural" "0-10" "0-8" "doxylamine" 13 8 "snic2" 0.353 0.977 0.531 1.175 NA NA 13 8
"63" 8 "natural" "0-10" "0-8" "doxylamine" 13 8 "sngoal1" NA NA NA NA 12 6 13 8
"64" 8 "natural" "0-10" "0-8" "doxylamine" 13 8 "sngoal2" NA NA NA NA 13 7 13 8
"65" 9 "natural" "0-4" "0-4" "doxylamine" 195 193 "rnic1" 0.49 0.895 0.264 0.828 NA NA 194 193
"66" 9 "natural" "0-4" "0-4" "doxylamine" 195 193 "rnic2" 0.869 0.879 0.702 0.93 NA NA 195 193
"67" 9 "natural" "0-4" "0-4" "doxylamine" 195 193 "rngoal1" NA NA NA NA 47 29 194 193
"68" 9 "natural" "0-4" "0-4" "doxylamine" 195 193 "rngoal2" NA NA NA NA 62 44 195 193
"69" 9 "natural" "0-4" "0-4" "doxylamine" 195 193 "snic1" 0.717 0.927 0.663 0.894 NA NA 166 175
"70" 9 "natural" "0-4" "0-4" "doxylamine" 195 193 "snic2" 1.147 0.882 0.949 0.939 NA NA 167 175
"71" 9 "natural" "0-4" "0-4" "doxylamine" 195 193 "sngoal1" NA NA NA NA 92 83 166 175
"72" 9 "natural" "0-4" "0-4" "doxylamine" 195 193 "sngoal2" NA NA NA NA 126 110 167 175
