"study"	"treatment"	"control"	"yi"	"sei"	"vi"	"m1i"	"sd1i"	"n1i"	"m2i"	"sd2i"	"n2i"	"instrument"	"time.week"	"sessions"	"country"	"mean.age"	"percent.women"	"rob"
"42"	"Botella, 2010"	"cbt (ush)"	"wlc"	0.543963563265617	0.275864921665082	0.0761014550052819	39.88	10.8	30	45.33	8.63	25	"fne-b"	9	NA	"europe"	24.4	79.2	"high"
"43"	"Botella, 2010"	"cbt (ind)"	"wlc"	1.28498973283122	0.321907488026954	0.103624430847824	39.32	12.97	22	56.8	13.72	25	"fpsq"	9	NA	"europe"	24.4	79.2	"high"
"44"	"Botella, 2010"	"cbt (ush)"	"wlc"	1.14736111310677	0.292657916998193	0.0856486563817212	39.7	15.45	30	56.8	13.72	25	"fpsq"	9	NA	"europe"	24.4	79.2	"high"
"45"	"Botella, 2010"	"cbt (ind)"	"wlc"	0.454010511654868	0.296180287854784	0.0877227629137428	8.29	5.14	22	11.28	7.45	25	"sads"	9	NA	"europe"	24.4	79.2	"high"
"46"	"Botella, 2010"	"cbt (ush)"	"wlc"	0.538923689772771	0.275772367745285	0.0760503988118408	7.67	5.81	30	11.28	7.45	25	"sads"	9	NA	"europe"	24.4	79.2	"high"
"47"	"Bouchard, 2017"	"cbt (in vivo)"	"wlc"	1.01844870474071	0.329062465780374	0.10828210638546	18.9	7.2	22	25.2	4.5	20	"fne"	14	14	"north america"	34.5	72.9	"high"
"48"	"Bouchard, 2017"	"cbt (vr)"	"wlc"	1.04700894203357	0.352559469860403	0.124298179788248	18.1	8.5	17	25.2	4.5	20	"fne"	14	14	"north america"	34.5	72.9	"high"
"49"	"Bouchard, 2017"	"cbt (in vivo)"	"wlc"	0.92574500304369	0.325658019816484	0.106053145870793	56	26.9	22	79.3	22	20	"lsas-sr"	14	14	"north america"	34.5	72.9	"high"
"50"	"Bouchard, 2017"	"cbt (vr)"	"wlc"	1.19036422028559	0.358923143296666	0.128825822793959	51.8	23.3	17	79.3	22	20	"lsas-sr"	14	14	"north america"	34.5	72.9	"high"
"51"	"Bouchard, 2017"	"cbt (in vivo)"	"wlc"	0.965162204719442	0.327070197632672	0.106974914179475	35.4	17.4	22	49.6	10.2	20	"sias"	14	14	"north america"	34.5	72.9	"high"
"52"	"Bouchard, 2017"	"cbt (vr)"	"wlc"	1.60990361618454	0.381326554287899	0.145409941005082	29.8	13.9	17	49.6	10.2	20	"sias"	14	14	"north america"	34.5	72.9	"high"
"53"	"Bouchard, 2017"	"cbt (in vivo)"	"wlc"	1.06592567176517	0.330916826203104	0.109505945864335	22.4	15.7	22	38.9	14.6	20	"sps"	14	14	"north america"	34.5	72.9	"high"
"54"	"Bouchard, 2017"	"cbt (vr)"	"wlc"	1.40897205760484	0.369928624801604	0.136847187447606	19.2	12.5	17	38.9	14.6	20	"sps"	14	14	"north america"	34.5	72.9	"high"
"55"	"Carlbring, 2007"	"cbt"	"wlc"	0.734662478268107	0.273977982797239	0.0750639350576442	8.2	7.9	29	14.5	9	28	"bai"	9	9	"europe"	32.6	64.9	"some concerns"
"56"	"Carlbring, 2007"	"cbt"	"wlc"	0.93315391934963	0.27937266022423	0.0780490832807631	21.6	12.8	29	33.3	11.9	28	"lsas-sr-avoidence"	9	9	"europe"	32.6	64.9	"some concerns"
"57"	"Carlbring, 2007"	"cbt"	"wlc"	0.966150354094803	0.280382237429475	0.0786141990659586	24.2	12	29	36.1	12.3	28	"lsas-sr-f/a"	9	9	"europe"	32.6	64.9	"some concerns"
"58"	"Carlbring, 2007"	"cbt"	"wlc"	1.29084026835807	0.291928528815034	0.0852222659361102	27.1	11.1	29	43.6	14	28	"sias"	9	9	"europe"	32.6	64.9	"some concerns"
"59"	"Carlbring, 2007"	"cbt"	"wlc"	1.11174109209358	0.285205407378895	0.0813421243981615	20	15	29	37.7	16.4	28	"sps"	9	9	"europe"	32.6	64.9	"some concerns"
"60"	"Carlbring, 2007"	"cbt"	"wlc"	1.31472178284106	0.292887972619481	0.0857833645051499	20.3	9.1	29	32.3	8.9	28	"spsq"	9	9	"europe"	32.6	64.9	"some concerns"
"61"	"Clark, 2006"	"cbt"	"wlc"	2.57175211338203	0.42601847251199	0.181491738921449	1.27	0.98	21	3.68	0.85	20	"adis-fa"	14	14	"europe"	32	44	"some concerns"
"62"	"Clark, 2006"	"exposure + applied relaxation"	"wlc"	1.28793793075804	0.344462651629593	0.11865451836769	2.15	1.4	21	3.68	0.85	20	"adis-fa"	14	14	"europe"	32	44	"some concerns"
"63"	"Clark, 2006"	"cbt"	"wlc"	1.7835479169884	0.371427892806649	0.137958679554788	3.19	3.93	21	13.5	7.05	20	"bai"	14	14	"europe"	32	44	"some concerns"
"64"	"Clark, 2006"	"exposure + applied relaxation"	"wlc"	0.936626123801249	0.329763425064925	0.10874391651055	7.48	5.5	21	13.5	7.05	20	"bai"	14	14	"europe"	32	44	"some concerns"
"65"	"Clark, 2006"	"cbt"	"wlc"	1.54602343385908	0.357672540458344	0.127929646197926	12.9	8.88	21	24.4	5.12	20	"fne"	14	14	"europe"	32	44	"some concerns"
"66"	"Clark, 2006"	"exposure + applied relaxation"	"wlc"	0.730803565931729	0.32309716246112	0.104391776390427	18.95	8.91	21	24.4	5.12	20	"fne"	14	14	"europe"	32	44	"some concerns"
"67"	"Clark, 2006"	"cbt"	"wlc"	2.46546391687365	0.417973965633849	0.174702235947686	28	17.71	21	77.21	21.36	20	"lsas"	14	14	"europe"	32	44	"some concerns"
"68"	"Clark, 2006"	"exposure + applied relaxation"	"wlc"	0.856949199489885	0.327004099916716	0.106931681362342	52.32	33.89	21	77.21	21.36	20	"lsas"	14	14	"europe"	32	44	"some concerns"
"69"	"Clark, 2006"	"cbt"	"wlc"	2.35387528063976	0.409734626696373	0.167882464314016	18.19	10.01	21	46.25	13.23	20	"sias"	14	14	"europe"	32	44	"some concerns"
"70"	"Clark, 2006"	"exposure + applied relaxation"	"wlc"	0.908863536887802	0.328776801220661	0.10809418502089	32.57	16.08	21	46.25	13.23	20	"sias"	14	14	"europe"	32	44	"some concerns"
"71"	"Clark, 2006"	"cbt"	"wlc"	2.06850168193213	0.389715716766027	0.151878339894458	56.53	34.92	21	122.81	27.26	20	"spai sps"	14	14	"europe"	32	44	"some concerns"
"72"	"Clark, 2006"	"exposure + applied relaxation"	"wlc"	0.698043182856473	0.322177237178186	0.103798172155769	96.11	45.14	21	122.81	27.26	20	"spai sps"	14	14	"europe"	32	44	"some concerns"
"73"	"Clark, 2006"	"cbt"	"wlc"	2.01671661800799	0.386258434017225	0.149195577849439	8.95	6.03	21	32.4	15.12	20	"sps"	14	14	"europe"	32	44	"some concerns"
"74"	"Clark, 2006"	"exposure + applied relaxation"	"wlc"	0.762921360754221	0.324037284422453	0.105000161695878	20.24	16.1	21	32.4	15.12	20	"sps"	14	14	"europe"	32	44	"some concerns"
"75"	"Clark, 2006"	"cbt"	"wlc"	2.15810328908277	0.39582934078473	0.156680867026074	1.8	1.41	21	4.45	0.94	20	"spwss"	14	14	"europe"	32	44	"some concerns"
"76"	"Clark, 2006"	"exposure + applied relaxation"	"wlc"	1.26917659415756	0.343578428331902	0.11804613641502	3.08	1.16	21	4.45	0.94	20	"spwss"	14	14	"europe"	32	44	"some concerns"
"77"	"Clark, 2023"	"cbt(gsh)"	"wlc"	2.10981603203765	0.303831406124323	0.0923135233474833	-1.24	0.84	34	0.64	0.92	34	"social anxiety composite clark"	14	8	"europe"	32.2	52	"low"
"78"	"Clark, 2023"	"cbt(ind)"	"wlc"	2.40484152541321	0.319897647156717	0.102334504656403	-1.71	1.01	34	0.64	0.92	34	"social anxiety composite clark"	14	14	"europe"	32.2	52	"low"
"79"	"Craske, 2014"	"3rd"	"wlc"	0.648691586924099	0.280168702533901	0.0784945018795295	-1	1.09901322594582	29	-0.3	1.02040816326531	25	"composite craske"	12	12	"north america"	28.4	45.98	"high"
"80"	"Craske, 2014"	"cbt"	"wlc"	0.837521056998606	0.27661522031431	0.0765159801095343	-1.1	0.879269792837453	33	-0.3	1.02040816326531	25	"composite craske"	12	12	"north america"	28.4	45.98	"high"
"81"	"Craske, 2014"	"3rd"	"wlc"	0.63281769674081	0.279822380105983	0.0783005644081773	77.4	34.61892	29	99.5	34.18	25	"adis-fa"	12	12	"north america"	28.4	45.98	"high"
"82"	"Craske, 2014"	"cbt"	"wlc"	0.969741969352077	0.280414919309658	0.0786325269714421	64.5	36.64	33	99.5	34.18	25	"adis-fa"	12	12	"north america"	28.4	45.98	"high"
"83"	"Davidson, 2004"	"cbt"	"other ctr"	0.522191308815482	0.224197291772723	0.0502644256382235	20.6	9.9	48	26.7	13.5	36	"bsps"	14	14	"north america"	36.8	50	"high"
"84"	"Davidson, 2004"	"cbt"	"other ctr"	0.617449248872498	0.22566044594666	0.0509226368648455	77.1	28.7	48	94.8	28	36	"spai"	14	14	"north america"	36.8	50	"high"
"85"	"Furmark, 2009"	"cbt (biblio)"	"wlc"	0.787425854390884	0.232273774241352	0.0539511062003225	48.5	27.46	40	70.25	27.25	40	"lsas-sr"	9	9	"europe"	36.1	67.5	"some concerns"
"86"	"Furmark, 2009"	"cbt (internet)"	"wlc"	0.782827528695741	0.23217470672345	0.05390509444212	50.98	21.12	40	70.25	27.25	40	"lsas-sr"	9	9	"europe"	36.1	67.5	"some concerns"
"87"	"Furmark, 2009"	"cbt (biblio)"	"wlc"	0.479781405782349	0.226863068015628	0.0514668516294635	38.25	15.84	40	46.58	18.45	40	"sias"	9	9	"europe"	36.1	67.5	"some concerns"
"88"	"Furmark, 2009"	"cbt (internet)"	"wlc"	0.45621202930193	0.226553024017111	0.0513262726912977	39.03	14.03	40	46.58	18.45	40	"sias"	9	9	"europe"	36.1	67.5	"some concerns"
"89"	"Furmark, 2009"	"cbt (biblio)"	"wlc"	0.591521817293792	0.228538118429874	0.0522296715754671	25.9	16.32	40	35.6	16.16	40	"sps"	9	9	"europe"	36.1	67.5	"some concerns"
"90"	"Furmark, 2009"	"cbt (internet)"	"wlc"	0.691293540075501	0.230315565844552	0.0530452598702962	25.6	12.22	40	35.6	16.16	40	"sps"	9	9	"europe"	36.1	67.5	"some concerns"
"91"	"Furmark, 2009"	"cbt (biblio)"	"wlc"	0.667203886877555	0.229862394003552	0.0528367201770442	21.93	11.32	40	29.73	11.83	40	"spsq"	9	9	"europe"	36.1	67.5	"some concerns"
"92"	"Furmark, 2009"	"cbt (internet)"	"wlc"	0.734479869058181	0.231165806732539	0.0534376302023056	22.1	8.47	40	29.73	11.83	40	"spsq"	9	9	"europe"	36.1	67.5	"some concerns"
"93"	"Gallego, 2011"	"cbt"	"wlc"	0.383797609374175	0.421532060954073	0.177689278412188	34.75	7.44	12	38.09	9.32	11	"fne-b"	6	NA	"europe"	39.3	68.3	"high"
"94"	"Gallego, 2011"	"cbt"	"wlc"	1.01138496646666	0.436682869739603	0.190691928724015	106.38	20.99	13	127.36	18.81	11	"prcs"	6	NA	"europe"	39.3	68.3	"high"
"95"	"Gallego, 2011"	"cbt"	"wlc"	0.583080870021901	0.466475532399071	0.217599422326997	43	8.94	12	37.5	9.18	8	"psseq"	6	NA	"europe"	39.3	68.3	"high"
"96"	"Gallego, 2011"	"cbt"	"wlc"	-0.311162917882905	0.450154250308563	0.202638849070864	12.3	2.26	10	11.4	3.2	10	"sads"	6	NA	"europe"	39.3	68.3	"high"
"97"	"Goldin, 2012"	"cbt"	"wlc"	0.454395716253578	0.23398321760768	0.0547481461220429	58.7	26.7	38	69.4	19.2	37	"lsas-sr"	16	16	"north america"	33.5	46.1	"high"
"98"	"Goldin, 2016"	"3rd"	"wlc"	1.01747760544285	0.250802720417206	0.0629020045686712	54.8	18.6	36	76.2	22.8	36	"lsas-sr"	12	12	"north america"	32.7	55.6	"high"
"99"	"Goldin, 2016"	"cbt"	"wlc"	1.3577111756186	0.261985884073667	0.0686366034538609	49	16.3	36	76.2	22.8	36	"lsas-sr"	12	12	"north america"	32.7	55.6	"high"
"100"	"Gruber, 2001"	"cbt (cacbgt)"	"wlc"	0.761824455339468	0.367469316465792	0.135033698543836	45.4	8.4	15	51.8	8	17	"fne"	12	12	"north america"	41.7	51.85	"high"
"101"	"Gruber, 2001"	"cbt (cbgt)"	"wlc"	1.09353589357024	0.388054926263381	0.150586625797278	40.7	11.8	14	51.8	8	17	"fne"	12	8	"north america"	41.7	51.85	"high"
"102"	"Gruber, 2001"	"cbt (cacbgt)"	"wlc"	0.645518325620877	0.36378862112947	0.132342160863281	96.2	18.8	15	111.3	25.8	17	"spai"	12	12	"north america"	41.7	51.85	"high"
"103"	"Gruber, 2001"	"cbt (cbgt)"	"wlc"	1.25459681600289	0.396254538414388	0.157017659214	75.6	29.9	14	111.3	25.8	17	"spai"	12	8	"north america"	41.7	51.85	"high"
"104"	"Gruber, 2001"	"cbt (cacbgt)"	"wlc"	0.670311755122415	0.364525194199484	0.132878617206172	22.1	14.7	15	31.5	12.7	17	"sps"	12	12	"north america"	41.7	51.85	"high"
"105"	"Gruber, 2001"	"cbt (cbgt)"	"wlc"	1.09226600740323	0.387994105148544	0.150539425630019	17.7	11.8	14	31.5	12.7	17	"sps"	12	8	"north america"	41.7	51.85	"high"
"106"	"He, 2021"	"3rd"	"wlc"	1.81247723007985	0.258349384449433	0.0667444044454009	54.627906976744	15.255012066006	43	81.428571428571	14.008956816271	42	"lsas-sr"	12	12	"asia"	26.6	55.3	"high"
"107"	"Heimberg, 1998"	"cbt"	"other ctr"	0.996693109641836	0.286434269727899	0.0820445908745548	3.4	0.88	28	4.32	0.94	27	"adis-r"	12	12	"north america"	34.9	49.6	"high"
"108"	"Heimberg, 1998"	"cbt"	"other ctr"	0.543305418981526	0.274795833568196	0.0755127501464396	21.41	4.32	28	23.91	4.75	27	"fne"	12	12	"north america"	34.9	49.6	"high"
"109"	"Heimberg, 1998"	"cbt"	"other ctr"	0.408556620700359	0.272603836685098	0.0743128517754356	14.65	3.99	28	16.32	4.07	27	"fq-sp"	12	12	"north america"	34.9	49.6	"high"
"110"	"Heimberg, 1998"	"cbt"	"other ctr"	2.68202179846077	0.37422501907903	0.1400443649047	3.37	0.35	28	4.42	0.42	27	"fq-sr"	12	12	"north america"	34.9	49.6	"high"
"111"	"Heimberg, 1998"	"cbt"	"other ctr"	0.0864140852544646	0.269853998501236	0.0728211805071051	10.92	4.33	28	11.3	4.34	27	"lsas-pa"	12	12	"north america"	34.9	49.6	"high"
"112"	"Heimberg, 1998"	"cbt"	"other ctr"	0.276244899496574	0.271044677761305	0.0734652173427297	13.41	3.78	28	14.53	4.21	27	"lsas-pf"	12	12	"north america"	34.9	49.6	"high"
"113"	"Heimberg, 1998"	"cbt"	"other ctr"	0.355088043031316	0.271902328557936	0.0739308762752278	9.93	4.83	28	11.72	5.11	27	"lsas-sa"	12	12	"north america"	34.9	49.6	"high"
"114"	"Heimberg, 1998"	"cbt"	"other ctr"	0.245537976100265	0.27076803297251	0.0733153276798023	11.98	4.85	28	13.27	5.5	27	"lsas-sf"	12	12	"north america"	34.9	49.6	"high"
"115"	"Heimberg, 1998"	"cbt"	"other ctr"	0.403508453758598	0.272533486672557	0.0742745013579008	15.28	5.24	28	17.31	4.65	27	"sads"	12	12	"north america"	34.9	49.6	"high"
"116"	"Heimberg, 1998"	"cbt"	"other ctr"	-0.101585065224717	0.269903431442072	0.0728478623042053	1.1	0.44	28	1.04	0.7	27	"scl90anx"	12	12	"north america"	34.9	49.6	"high"
"117"	"Heimberg, 1998"	"cbt"	"other ctr"	0	0.269724531237562	0.0727513227513226	0.59	0.46	28	0.59	0.63	27	"scl90phob"	12	12	"north america"	34.9	49.6	"high"
"118"	"Heimberg, 1998"	"cbt"	"other ctr"	0.374444126593541	0.27214514086572	0.0740629776968226	3.78	0.66	28	4.05	0.76	27	"severity"	12	12	"north america"	34.9	49.6	"high"
"119"	"Heimberg, 1998"	"cbt"	"other ctr"	0.0846009769096353	0.269848623864124	0.0728182798013615	39.35	13.18	28	40.49	13.39	27	"sias"	12	12	"north america"	34.9	49.6	"high"
"120"	"Heimberg, 1998"	"cbt"	"other ctr"	-0.167571583051743	0.270211055326603	0.0730140144207165	25.84	10	28	24.33	7.55	27	"sps"	12	12	"north america"	34.9	49.6	"high"
"121"	"Himle, 2014"	"cbt"	"cau"	0.953346203593956	0.277517090564038	0.0770157355551285	11.34	9.54	29	24.72	17.1	29	"bai"	4	12	"north america"	43.6	32.8	"some concerns"
"122"	"Himle, 2014"	"cbt"	"cau"	0.285438504168895	0.263983286096794	0.0696871753384618	39.01	13.57	29	43.07	14.48	29	"fne-b"	4	12	"north america"	43.6	32.8	"some concerns"
"123"	"Himle, 2014"	"cbt"	"cau"	0.713052141539904	0.271051664161762	0.0734690046448606	66.72	29.02	29	90.62	36.67	29	"lsas"	4	12	"north america"	43.6	32.8	"some concerns"
"124"	"Himle, 2014"	"cbt"	"cau"	0.68392049462548	0.270385914557258	0.0731085427909649	7.79	2.81	29	9.66	2.58	29	"mini-spin"	4	12	"north america"	43.6	32.8	"some concerns"
"125"	"Himle, 2014"	"cbt"	"cau"	1.14836411193628	0.283982621400391	0.0806461292574378	1.31	0.81	29	2.17	0.66	29	"scid spss"	4	12	"north america"	43.6	32.8	"some concerns"
"126"	"Himle, 2014"	"cbt"	"cau"	0.864591158710943	0.274930143541598	0.0755865838278037	13.21	7.1	29	19.76	7.83	29	"wrsa"	4	12	"north america"	43.6	32.8	"some concerns"
"127"	"Hope, 1995"	"cbt"	"wlc"	0.99228105697774	0.447172627058568	0.199963358390461	35.5	12.7	13	51.2	18.1	10	"fah-avoid"	12	12	"north america"	34.3	50	"high"
"128"	"Hope, 1995"	"exposure"	"wlc"	1.06850841372729	0.480746075257825	0.231116788875802	33.1	14.1	10	51.2	18.1	10	"fah-avoid"	12	12	"north america"	34.3	50	"high"
"129"	"Hope, 1995"	"cbt"	"wlc"	1.20963840436212	0.459524474160661	0.211162742352632	44.9	12.4	13	60.9	13.2	10	"fah-fear"	12	12	"north america"	34.3	50	"high"
"130"	"Hope, 1995"	"exposure"	"wlc"	1.98024689667779	0.553963314044308	0.306875353306953	33.4	13.4	10	60.9	13.2	10	"fah-fear"	12	12	"north america"	34.3	50	"high"
"131"	"Hope, 1995"	"cbt"	"wlc"	1.4032152621073	0.472226905557489	0.222998250332402	18.7	7.4	13	27.3	2.9	10	"fne"	12	12	"north america"	34.3	50	"high"
"132"	"Hope, 1995"	"exposure"	"wlc"	1.90507258191025	0.5467311492713	0.298914949583516	17.8	6.1	10	27.3	2.9	10	"fne"	12	12	"north america"	34.3	50	"high"
"133"	"Hope, 1995"	"cbt"	"wlc"	1.36149147445261	0.469360149776365	0.220298950198092	13.5	6.3	13	22.9	7.1	10	"fq-sp"	12	12	"north america"	34.3	50	"high"
"134"	"Hope, 1995"	"exposure"	"wlc"	1.0343954689121	0.478708314563585	0.229161650432308	15.6	6.4	10	22.9	7.1	10	"fq-sp"	12	12	"north america"	34.3	50	"high"
"135"	"Hope, 1995"	"cbt"	"wlc"	0.549566336180051	0.428941091354992	0.183990459852812	18.5	12	13	23.8	3.1	10	"sads"	12	12	"north america"	34.3	50	"high"
