,species,animal,reference,unit,Trait,trait_details,male_mean,male_SD,male_n,female_mean,female_SD,female_n
112,Microtus_oeconmus_macfarlani,Microtus_oeconomus,Boonstra et al. 1993,NA,length,body lenght,111.7,5.9,24,111.3,9.2,18
114,Clethrionomys_rutilus_dawsoni,Clethrionomys_rutilus,Boonstra et al. 1993,NA,length,body lenght,101.6,4.5,220,102.6,7.1,169
118,Tamias_amoenus,Tamias_amoenus,Schulte-Hostedde et al. 2002,mm,length,body length,122.48,3.4,57,127.39,3.76,37
120,Tamias_amoenus,Tamias_amoenus,Schulte-Hostedde et al. 2002,mm,length,skull length,36.29,0.59,57,36.82,0.45,37
122,Tamias_amoenus,Tamias_amoenus,Schulte-Hostedde et al. 2002,mm,length,skull width,18.14,0.71,57,18.53,0.64,37
124,Microtus_cabrerae,Microtus_cabrerae,Ventura et al. 1988,mm,length,body length,116.1,12.29,13,116.4,12.1,11
127,Halichoerus_grypus,Halichoerus_grypus,Beck et al. 2003,kg,mass,mass,200.8,34.2928564,24,141,19.4648401,37
128,Halichoerus_grypus,Halichoerus_grypus,Beck et al. 2003,kg,mass,mass,227.4,24.69493875,14,167,20,16
129,Halichoerus_grypus,Halichoerus_grypus,Beck et al. 2003,kg,mass,mass,303.7,36.51136809,28,208.1,23.45548976,26
133,Delphinus_delphis,Delphinus_delphis,Murphy 2006,mm,length,Condylobasal length,450.2,13.79,24,432.7,9.88,23
134,Delphinus_delphis,Delphinus_delphis,Murphy 2006,mm,length,body length,2134,102.1,40,2036,94.6,37
138,Stenella_attenuata_graffmani,Stenella_attenuata,Sanvicente-A_orve 2004,mm,length,total length ,1996.7,169.9,15,1898.6,119.4,14
143,Microtus_oeconomus,Microtus_oeconomus,Aars & Ims 2002,NA,mass,body mass,36,6.5,52,28.2,4.5,111
146,Clethrionomys_gapperi,Clethrionomys_gapperi,Bondrup-Nielsen & Ims 1990,mm,length,length,95.3,5.6,72,102.8,4.8,59
148,Clethrionomys_glareolus,Clethrionomys_glareolus,Bondrup-Nielsen & Ims 1990,mm,length,length,102.1,3.7,61,111.1,5.1,32
149,Clethrionomys_glareolus,Clethrionomys_glareolus,Bondrup-Nielsen & Ims 1991,mm,length,length,97.4,4.6,49,99.2,5.9,58
150,Clethrionomys_glareolus,Clethrionomys_glareolus,Bondrup-Nielsen & Ims 1992,mm,length,length,105.8,3.7,56,110.3,3.6,46
153,Microtus_californicus,Microtus_californicus,Bondrup-Nielsen & Ims 1990,mm,length,length,123.1,7.8,98,114,7.6,126
155,Microtus_californicus,Microtus_californicus,Bondrup-Nielsen & Ims 1990,g,mass,weigth,43.2,5.9,97,33.6,3.8,68
157,Microtus_ochrogaster,Microtus_ochrogaster,Bondrup-Nielsen & Ims 1990,g,mass,weigth,41.6,6.5,157,41.7,6.4,81
159,Myopus_schisticolor,Myopus_schisticolor,Bondrup-Nielsen & Ims 1990,mm,length,length,107.7,4.8,102,109.5,4.2,63
164,Ursus_arctos,Ursus_arctos,Slödek 1991,mm,length,skull length,338.72,21.45,176,300.26,12.49,61
168,Oryzomys_albigularis,Oryzomys_albigularis,Moscarella et al. 2001,mm,length,head-body length,129.24,7.332121112,21,122.65,5.566192595,17
173,Heliophobius_argenteocinereus,Heliophobius_argenteocinereus,Sumbera et al. 2003,g,mass,weight,190.1,58.1,70,162.1,47.2,74
174,Heliophobius_argenteocinereus,Heliophobius_argenteocinereus,Sumbera et al. 2003,mm,length,body length,155.3,17.8,64,148.8,15,62
175,Heliophobius_argenteocinereus,Heliophobius_argenteocinereus,Sumbera et al. 2003,mm,length,hind foot length,29.8,2.6,64,28.7,2.4,62
180,Inia_geoffrensis,Inia_geoffrensis,Martin & da Silva 2006,cm,length,body length,213.5,7.495438613,24,199.8,8.184008798,45
181,Inia_geoffrensis,Inia_geoffrensis,Martin & da Silva 2006,kg,mass,body mass,154.2,18.69690884,84,99.6,14.1543103,45
184,Mungos_mungos,Mungos_mungo,Otali & Gilchrist 2004,g,mass,body mass,1515.9,169.4934955,50,1393.6,147.2898449,34
185,Mungos_mungos,Mungos_mungo,Otali & Gilchrist 2004,g,mass,body mass,1405.4,169.5168098,82,1303.4,147.3103866,35
189,Myotis_evotis,Myotis_evotis,Solick & Barclay 2006,cm,length,forearm length,37.5,1.134856819,159,38.2,1.212559277,87
190,Myotis_evotis,Myotis_evotis,Solick & Barclay 2006,cm,length,forearm length,37.24,1.587450787,112,38.11,1.335514882,91
193,Myotis_evotis,Myotis_evotis,Solick & Barclay 2006,g,mass,mass,3.25,0.608276253,37,6.82,0.622253967,32
194,Myotis_evotis,Myotis_evotis,Solick & Barclay 2006,g,mass,mass,6.27,0.65,25,6.92,0.56,16
198,Rhinolophus_hipposideros,Rhinolophus_hipposideros,Dietz et al. 2006,mm,length,forearm length,37.2,0.72,30,38.5,0.6,18
200,Rhinolophus_blasii,Rhinolophus_blasii,Dietz et al. 2006,mm,length,forearm length,46.2,1.02,60,47.2,0.88,169
202,Rhinolophus_euryale,Rhinolophus_euryale,Dietz et al. 2006,mm,length,forearm length,47.4,0.91,399,47.9,0.98,512
204,Rhinolophus_mehelyi,Rhinolophus_mehelyi,Dietz et al. 2006,mm,length,forearm length,51.2,0.98,189,51.5,0.99,521
205,Rhinolophus_mehelyi,Rhinolophus_mehelyi,Dietz et al. 2006,mm,length,forearm length,50.5,0.69,27,50.7,0.69,27
208,Rhinolophus_ferrumequinum,Rhinolophus_ferrumequinum,Dietz et al. 2006,mm,length,forearm length,57,1.37,117,58.3,1.28,1010
212,Dipodomys_ingens,Dipodomys_ingens,Randall et al. 2001,g,mass,weight,127,9.717710636,11,122,9.419214405,11
213,Dipodomys_ingens,Dipodomys_ingens,Randall et al. 2001,g,mass,weight,125,7.760902009,11,124,9.883541875,11
217,Tursiops_truncatus,Tursiops_truncatus,Tolley et al. 1995,cm,length,total length,265.6,8.5,19,249.7,6.9,32
220,Dipodomys_simulans,Dipodomys_agilis,Sullivan & Best 1997 ,cm,length,body length,115,6.6,851,113.4,5.4,736
223,Hypogeomys_antimena,Hypogeomys_antimena,Sommer 1997,NA,length,Hindfoot length,7.31,0.24,18,7.32,0.18,24
224,Hypogeomys_antimena,Hypogeomys_antimena,Sommer 1997,NA,length,Head length,7.9,0.29,19,8,0.21,25
227,Cynopterus_sphinx,Cynopterus_sphinx,Storz et al. 2001,g,length,forearm length,74.3,2.123676058,37,73.9,2.123676058,249
228,Cynopterus_sphinx,Cynopterus_sphinx,Storz et al. 2001,g,length,forearm length,71.7,1.876166304,16,71.6,1.876166304,48
229,Cynopterus_sphinx,Cynopterus_sphinx,Storz et al. 2001,g,length,forearm length,69.7,2.039607805,14,69.9,2.039607805,26
230,Cynopterus_sphinx,Cynopterus_sphinx,Storz et al. 2001,g,length,forearm length,68.4,2.541653005,11,69.2,2.541653005,19
231,Cynopterus_sphinx,Cynopterus_sphinx,Storz et al. 2001,g,length,forearm length,68.2,1.802775638,20,69.7,1.802775638,11
232,Cynopterus_sphinx,Cynopterus_sphinx,Storz et al. 2001,g,length,forearm length,67.5,2.097617696,122,68,2.097617696,154
235,Ctenomys_australis,Ctenomys_australis,Zenuto & Busch 1998,g,mass,body mass,367,69.2,32,288,50.1,43
236,Ctenomys_australis,Ctenomys_australis,Zenuto & Busch 1998,mm,length,total length,221,15.1,32,206,12.9,43
238,Glossophaga_morenoi,Glossophaga_morenoi,Lãpez-Gonzölez & Polaco 1998,mm,length,skull length,21.25,0.31,24,21.42,0.38,20
239,Glossophaga_morenoi,Glossophaga_morenoi,Lãpez-Gonzölez & Polaco 1998,mm,length,radius length,32.69,0.86,24,33.25,0.9,20
241,Glossophaga_leachii,Glossophaga_leachii,Lãpez-Gonzölez & Polaco 1998,mm,length,skull length,20.65,0.33,15,20.91,0.26,20
242,Glossophaga_leachii,Glossophaga_leachii,Lãpez-Gonzölez & Polaco 1998,mm,length,radius length,34.95,0.99,15,35.63,1.07,20
247,Clethrionomys_gapperi,Clethrionomys_gapperi,Bondrup-Nielsen & Ims 1990,mm,length,body length,95.3,5.6,72,102.8,4.8,59
251,Pan_troglodytes,Pan_troglodytes,Tague 1995,mm,length,Femur length,301,15.5,28,292,15.2,28
252,Gorilla_gorilla,Gorilla_gorilla,Tague 1995,NA,length,Femur length,383,15.8,30,314,9.7,29
253,Pongo_pygmaeus,Pongo_pygmaeus,Tague 1995,NA,length,Femur length,293,12.7,11,253,9.9,22
254,Hylobates_lar,Hylobates_lar,Tague 1995,NA,length,Femur length,205.2,8.2,28,203.3,7.6,30
255,Macaca_mulatta,Macaca_mulatta,Tague 1995,NA,length,Femur length,196,7.6,30,169,7.3,30
256,Presbytis_cristata,Trachypithecus_cristatus,Tague 1995,NA,length,Femur length,177.1,7.7,15,172,4.8,20
257,Presbytis_rubicunda,Presbytis_rubicunda,Tague 1995,NA,length,Femur length,200.7,4.1,17,195.2,4.9,15
258,Saguinus_oedipus,Saguinus_oedipus,Tague 1995,NA,length,Femur length,67.9,2.1,27,68.2,1.9,26
259,Saimiri_sciureus,Saimiri_sciureus,Tague 1995,mm,length,Femur length,86.4,4.2,26,84.8,3.5,25
260,Saimiri_sciureus,Saimiri_sciureus,Tague 1995,mm,length,Femur length,90.1,4.3,30,84.2,3.4,30
262,Macaca_mulatta,Macaca_mulatta,Turnquist & Kessler 1989,mm,length,body length,573,20,55,522,24,65
263,Macaca_mulatta,Macaca_mulatta,Turnquist & Kessler 1989,mm,length,body length,588,22,35,536,19,40
266,Saguinus_oedipus,Saguinus_oedipus,Cheverud et al 1994,g,mass,body mass,451.4,62.1,181,473,57.3,171
269,Ozotoceros_bezoarticus,Ozotoceros_bezoarticus,Gonzales et al 2002,mm,length,skull length,208.2,7.6,21,205.3,3.5,10
272,Neotoma_magister,Neotoma_floridana,Hayes & Richmond 1993,mm,length,skull length,54,2,116,53.3,1.8,83
274,Neotoma_floridana,Neotoma_floridana,Hayes & Richmond 1993,mm,length,skull length,49.4,1.9,130,48.4,1.7,112
276,Tamias_senex,Tamias_senex,Sutton & Patterson 2000,mm,length,hind foot,35.7,1.52,81,35.9,1.18,129
277,Tamias_senex,Tamias_senex,Sutton & Patterson 2000,mm,length,hind foot,36.6,2.01,18,36.9,1.97,33
280,Tamias_senex,Tamias_senex,Sutton & Patterson 2000,mm,length,skull legth,37.8,0.9,81,38,0.79,129
281,Tamias_senex,Tamias_senex,Sutton & Patterson 2000,mm,length,skull legth,39.4,0.88,18,39.5,0.89,33
284,Tamias_senex,Tamias_senex,Sutton & Patterson 2000,mm,length,body length,138.7,7.27,81,142.4,8.4,129
285,Tamias_senex,Tamias_senex,Sutton & Patterson 2000,mm,length,body length,151.8,6.82,18,148.5,10.63,33
288,Tamias_siskiyou,Tamias_siskiyou,Sutton & Patterson 2000,mm,length,hind foot,36.2,1.34,98,36.6,1.26,114
289,Tamias_siskiyou,Tamias_siskiyou,Sutton & Patterson 2000,mm,length,hind foot,35.8,1.34,25,36.4,1.26,44
292,Tamias_siskiyou,Tamias_siskiyou,Sutton & Patterson 2000,mm,length,skull legth,38.2,1.04,98,38.6,0.93,114
293,Tamias_siskiyou,Tamias_siskiyou,Sutton & Patterson 2000,mm,length,skull legth,38.6,1.85,25,38.8,1.09,44
296,Tamias_siskiyou,Tamias_siskiyou,Sutton & Patterson 2000,mm,length,body length,141.9,6.71,98,145.9,7.8,114
297,Tamias_siskiyou,Tamias_siskiyou,Sutton & Patterson 2000,mm,length,body length,146.4,8.49,25,146.4,6.77,44
300,Microtus_breweri,Microtus_breweri,Heske & Ostfeld 1990,mm,length,body length,129.1,6.6,25,123.3,5.9,23
302,Microtus_longicaudus,Microtus_longicaudus,Heske & Ostfeld 1990,mm,length,body length,119.4,4.9,15,119.5,7.7,23
303,Microtus_longicaudus,Microtus_longicaudus,Heske & Ostfeld 1990,mm,length,body length,126.2,7.9,10,125.7,6.7,12
306,Microtus_murei,Microtus_miurus,Heske & Ostfeld 1990,mm,length,body length,123.3,4.9,44,115.9,5.7,38
308,Microtus_californicus,Microtus_californicus,Heske & Ostfeld 1990,NA,length,body length,142.2,4.9,15,135.9,5.1,16
309,Microtus_californicus,Microtus_californicus,Heske & Ostfeld 1990,mm,length,body length,100.4,5.9,17,98.9,5.2,12
312,Microtus_montanus,Microtus_montanus,Heske & Ostfeld 1990,mm,length,body length,120.6,6,37,119.4,6.4,30
314,Microtus_ochrogaster,Microtus_ochrogaster,Heske & Ostfeld 1990,mm,length,body length,124,7.9,28,123.2,8.1,42
316,Microtus_oeconomus,Microtus_oeconomus,Heske & Ostfeld 1990,mm,length,body length,118.9,8.6,42,113.6,7.1,37
317,Microtus_oeconomus,Microtus_oeconomus,Heske & Ostfeld 1990,mm,length,body length,98.7,6.6,24,95.1,4.4,11
320,Microtus_pennsylvanicus,Microtus_pennsylvanicus,Heske & Ostfeld 1990,mm,length,body length,118.5,8.6,37,119.3,8.5,42
321,Microtus_pennsylvanicus,Microtus_pennsylvanicus,Heske & Ostfeld 1990,mm,length,body length,120,9.2,20,121.2,6.5,17
324,Microtus_pinetorum,Microtus_pinetorum,Heske & Ostfeld 1990,mm,length,body length,106.1,5.3,26,107.8,5.6,20
325,Microtus_townsendii,Microtus_townsendii,Heske & Ostfeld 1990,mm,length,body length,135.7,10,19,136.5,7.2,10
326,Microtus_xanthognathus,Microtus_xanthognathus,Heske & Ostfeld 1990,mm,length,body length,159.1,10.9,14,153.1,8.4,34
328,Microtus_gapperi,Clethrionomys_gapperi,Heske & Ostfeld 1990,mm,length,body length,95.9,3.9,13,99.5,5.4,10
329,Microtus_gapperi,Clethrionomys_gapperi,Heske & Ostfeld 1990,mm,length,body length,97.9,5.6,15,100.5,6.3,11
332,Microtus_rutilus,Clethrionomys_rutilus,Heske & Ostfeld 1990,mm,length,body length,100.3,3.6,10,107.6,8.1,11
333,Microtus_rutilus,Clethrionomys_rutilus,Heske & Ostfeld 1990,mm,length,body length,110.9,3.9,31,114.5,4.3,23
337,Noctilio_albiventris,Noctilio_albiventris,Davis 1976,mm,length,skull size,20.7,0.37,11,19.9,0.27,11
338,Noctilio_albiventris,Noctilio_albiventris,Davis 1976,mm,length,skull size,18.8,0.4,10,18.1,0.19,10
339,Noctilio_albiventris,Noctilio_albiventris,Davis 1976,mm,length,skull size,19.1,0.29,13,18.3,0.23,13
342,Noctilio_albiventris,Noctilio_albiventris,Davis 1976,mm,length,forearm,66,1.13,11,66.2,1.51,11
343,Noctilio_albiventris,Noctilio_albiventris,Davis 1976,mm,length,forearm,58.7,1,10,57.8,1.11,10
344,Noctilio_albiventris,Noctilio_albiventris,Davis 1976,mm,length,forearm,60.4,1.3,13,59.6,1.15,13
347,Noctilio_albiventris,Noctilio_albiventris,Davis 1976,mm,length,metacarpal,59.3,1.62,11,58.9,1.07,11
348,Noctilio_albiventris,Noctilio_albiventris,Davis 1976,mm,length,metacarpal,53.5,1.2,10,52.8,1.31,10
349,Noctilio_albiventris,Noctilio_albiventris,Davis 1976,mm,length,metacarpal,55.9,0.91,13,54.6,1.02,13
353,Dipodomys_ordii,Dipodomys_ordii,Schmidtly 1971,mm,length,body length,112.5,7.21,45,111.2,6.26,40
354,Dipodomys_ordii,Dipodomys_ordii,Schmidtly 1971,mm,length,body length,110.7,6.39,33,110.2,6.1,33
355,Dipodomys_ordii,Dipodomys_ordii,Schmidtly 1971,mm,length,body length,112.6,5.39,50,110.6,5.24,31
356,Dipodomys_ordii,Dipodomys_ordii,Schmidtly 1971,mm,length,body length,109.6,7.53,50,110.9,9.16,36
359,Dipodomys_ordii,Dipodomys_ordii,Schmidtly 1971,mm,length,hind foot,40.5,1.85,50,39.8,1.56,41
360,Dipodomys_ordii,Dipodomys_ordii,Schmidtly 1971,mm,length,hind foot,38.8,2.08,32,39,1.67,29
361,Dipodomys_ordii,Dipodomys_ordii,Schmidtly 1971,mm,length,hind foot,38.7,1.47,50,37.5,1.55,32
362,Dipodomys_ordii,Dipodomys_ordii,Schmidtly 1971,mm,length,hind foot,37.9,2.1,49,36.8,1.92,37
365,Dipodomys_ordii,Dipodomys_ordii,Schmidtly 1971,mm,length,skull length,39.8,0.68,49,39.9,0.67,34
366,Dipodomys_ordii,Dipodomys_ordii,Schmidtly 1971,mm,length,skull length,39.2,0.65,30,39.5,0.7,26
367,Dipodomys_ordii,Dipodomys_ordii,Schmidtly 1971,mm,length,skull length,39.6,1,50,39,0.75,31
368,Dipodomys_ordii,Dipodomys_ordii,Schmidtly 1971,mm,length,skull length,39.1,1.11,35,39.2,0.83,28
371,Ursus_maritimus,Ursus_maritimus,Bechshèft et al. 2008,mm,length,skull length,358.4,17.3,56,322.6,10.5,46
372,Ursus_maritimus,Ursus_maritimus,Bechshèft et al. 2008,mm,length,skull length,369.2,18.5,78,327.4,12.4,52
376,Pteronotus_parnelli,Pteronotus_parnellii,Guti_rrez & Molinari2008,mm,length,body length,95.8,4.1,45,97,9.3,45
377,Pteronotus_parnelli,Pteronotus_parnellii,Guti_rrez & Molinari2008,mm,length,body length,90.9,4.7,55,90.1,4.3,42
380,Pteronotus_parnelli,Pteronotus_parnellii,Guti_rrez & Molinari2008,mm,length,hind foot length,24.3,2.3,60,24,2.4,55
381,Pteronotus_parnelli,Pteronotus_parnellii,Guti_rrez & Molinari2008,mm,length,hind foot length,22.2,2.1,60,22.6,1.8,44
384,Pteronotus_parnelli,Pteronotus_parnellii,Guti_rrez & Molinari2008,mm,mass,mass,23.7,3.6,22,23.5,2.6,24
385,Pteronotus_parnelli,Pteronotus_parnellii,Guti_rrez & Molinari2008,mm,mass,mass,19,1.8,33,17.9,1.9,30
388,Pteronotus_parnelli,Pteronotus_parnellii,Guti_rrez & Molinari2008,mm,length,forearm length,62.4,1.7,60,62.4,2.1,57
389,Pteronotus_parnelli,Pteronotus_parnellii,Guti_rrez & Molinari2008,mm,length,forearm length,59.3,1.6,65,60,1.5,45
393,Galemys_pyrenaicus,Galemys_pyrenaicus,Lãpez-Fuster et al. 2006,mm,length,skull length,33.8,0.55,12,33.5,0.96,12
394,Galemys_pyrenaicus,Galemys_pyrenaicus,Lãpez-Fuster et al. 2006,mm,length,skull length,34.9,0.6,46,34.5,0.7,37
395,Galemys_pyrenaicus,Galemys_pyrenaicus,Lãpez-Fuster et al. 2006,mm,length,skull length,34.3,0.8,28,34,0.95,25
398,Myotis_daubentoni,Myotis_daubentoni,Gaisler & Zukal 2004,mm,length,body length,48.1,3.62,55,48.9,2.97,61
399,Myotis_daubentoni,Myotis_daubentoni,Gaisler & Zukal 2004,mm,length,fore arm,37.1,1.1,65,38,1.19,76
400,Myotis_daubentoni,Myotis_daubentoni,Gaisler & Zukal 2004,mm,length,skull length,14.3,0.37,58,14.5,0.39,82
404,Myotis_lucifugus,Myotis_lucifugus,Gaisler & Zukal 2004,mm,length,body length,50.6,3.1,54,53.1,4.12,61
405,Myotis_lucifugus,Myotis_lucifugus,Gaisler & Zukal 2004,mm,length,fore arm,37.7,1.45,56,37.3,1.09,76
406,Myotis_lucifugus,Myotis_lucifugus,Gaisler & Zukal 2004,mm,length,skull length,14.5,0.31,55,14.4,0.29,82
410,Enhydra_lutris,Enhydra_lutris,Hattori et al. 2003,mm,length,skull length,14.6,0.38,326,14.4,0.53,25
414,Spermophilus_citellus,Spermophilus_citellus,Millesi et al. 1999,mm,length,skull length,51.5,2.5,45,49,1.5,64
415,Spermophilus_citellus,Spermophilus_citellus,Millesi et al. 1999,mm,length,skull length,52.5,2,20,49.5,2.5,30
419,Lutra_lutra,Lutra_lutra,Pertoldi et al. 1998,mm,length,skull length,116.5,3.521363372,25,109.8,3.504283094,22
420,Lutra_lutra,Lutra_lutra,Pertoldi et al. 1998,mm,length,skull length,109.8,4.079215611,20,110.7,1.661324773,10
424,Nyctereutes_procyonoides,Nyctereutes_procyonoides,Hidaka et al. 1998,mm,length,skull size,110,3.54,34,108.8,3.79,44
427,Capreolus_capreolus,Capreolus_capreolus,Aragon et al. 1998,mm,length,skull size,198.8,4.3,49,196.3,4.1,14
428,Capreolus_capreolus,Capreolus_capreolus,Aragon et al. 1998,mm,length,skull size,204.9,3.6,10,202.1,4.1,14
429,Capreolus_capreolus,Capreolus_capreolus,Aragon et al. 1998,mm,length,skull size,193.7,5.4,13,190.2,5,20
430,Capreolus_capreolus,Capreolus_capreolus,Aragon et al. 1998,mm,length,skull size,198.2,6.7,10,194,7.2,44
434,Microcebus_murinus,Microcebus_murinus,Jenkins & Albrecht 1991,mm,length,skull length,31.6,0.8,96,32.1,0.86,97
438,Procyon_lotor,Procyon_lotor,Lutz 1995,mm,length,body length,587,42.8,116,547,44.8,111
439,Procyon_lotor,Procyon_lotor,Lutz 1995,mm,length,hindfoot length,103,5.4,91,99,5,89
442,Homo_sapiens,Homo_sapiens,Danborno & Elukpo 2008,mm,length,height,1737.3,71.3,250,1600,62.2,150
444,Homo_sapiens,Homo_sapiens,Parker et al. 1998,mm,length,height,1709,79,2826,1582,66,3741
446,Homo_sapiens,Homo_sapiens,Liao et al. 1996,mm,length,height,1739.9,71.1,5296,1612.9,63.5,7735
449,Homo_sapiens,Homo_sapiens,Moffat et al. 1980,mm,length,height,1770,62.3,63,1640,69.1,69
450,Homo_sapiens,Homo_sapiens,Moffat et al. 1980,mm,length,height,1772,64.5,135,1626,62.9,133
451,Homo_sapiens,Homo_sapiens,Moffat et al. 1980,mm,length,height,1755,63,117,1620,85.8,101
452,Homo_sapiens,Homo_sapiens,Moffat et al. 1980,mm,length,height,1750,86.9,92,1613,59.8,100
453,Homo_sapiens,Homo_sapiens,Moffat et al. 1980,mm,length,height,1736,55.9,71,1596,45.8,94
456,Homo_sapiens,Homo_sapiens,Ben-Noun & Laor 2006,mm,length,height,1720,64,65,1592,71,86
457,Homo_sapiens,Homo_sapiens,Ben-Noun & Laor 2006,NA,length,height,1693,67,70,1585,61,107
460,Homo_sapiens,Homo_sapiens,Ding et al. 2003,mm,length,height,1760,66,158,1699,55,214
464,Homo_sapiens,Homo_sapiens,Kotler et al. 1999,mm,length,height,1762,66,153,1643,61,214
465,Homo_sapiens,Homo_sapiens,Kotler et al. 1999,mm,length,height,1764,67,95,1634,60,107
466,Homo_sapiens,Homo_sapiens,Kotler et al. 1999,mm,length,height,1684,68,297,1605,61,272
468,Homo_sapiens,Homo_sapiens,Chumlea et al 2002,mm,length,height,1793,65,224,1659,61,214
472,Homo_sapiens,Homo_sapiens,Bachrach et al 1999,mm,length,height,1743,70,63,1619,64,69
473,Homo_sapiens,Homo_sapiens,Bachrach et al 1999,mm,length,height,1747,73,47,1620,57,50
474,Homo_sapiens,Homo_sapiens,Bachrach et al 1999,mm,length,height,1756,55,40,1633,60,51
475,Homo_sapiens,Homo_sapiens,Bachrach et al 1999,mm,length,height,1722,88,35,1636,67,57
