Author,Year,Title,DOI,DTIC.link,SA.measure.type,Sample.size,Sample.size.stats,es.z,vi.z,SampleID,Outcome,Comments
Lo et al. ,2016,Explicit or implicit situation awareness? Measuring the situation awareness of train traffic controllers,10.1016/j.trf.2016.09.006,NA,SAGAT,20,20,-0.741416144,0.058823529,Lo et al. 2016b,45,Main study
Lo et al. ,2016,Explicit or implicit situation awareness? Measuring the situation awareness of train traffic controllers,10.1016/j.trf.2016.09.006,NA,MARS,9,9,-0.647522845,0.166666667,Lo et al. 2016a,46,Pilot
Lo et al. ,2016,Explicit or implicit situation awareness? Measuring the situation awareness of train traffic controllers,10.1016/j.trf.2016.09.006,NA,SAGAT,20,20,-0.536060337,0.058823529,Lo et al. 2016b,47,Main study
Lo et al. ,2016,Explicit or implicit situation awareness? Measuring the situation awareness of train traffic controllers,10.1016/j.trf.2016.09.006,NA,SAGAT,20,20,-0.536060337,0.058823529,Lo et al. 2016b,48,Main study: High platform consistency (few trains deviated from planned platform) is good perf
Lo et al. ,2016,Explicit or implicit situation awareness? Measuring the situation awareness of train traffic controllers,10.1016/j.trf.2016.09.006,NA,MARS,9,9,0.447692024,0.166666667,Lo et al. 2016a,49,Pilot
Lo et al. ,2016,Explicit or implicit situation awareness? Measuring the situation awareness of train traffic controllers,10.1016/j.trf.2016.09.006,NA,SAGAT,20,20,-0.42364893,0.058823529,Lo et al. 2016b,50,Main study
Lo et al. ,2016,Explicit or implicit situation awareness? Measuring the situation awareness of train traffic controllers,10.1016/j.trf.2016.09.006,NA,SAGAT,9,9,0.331647109,0.166666667,Lo et al. 2016a,51,Pilot
Lo et al. ,2016,Explicit or implicit situation awareness? Measuring the situation awareness of train traffic controllers,10.1016/j.trf.2016.09.006,NA,MARS,9,9,0.3884231,0.166666667,Lo et al. 2016a,52,Pilot
Lo et al. ,2016,Explicit or implicit situation awareness? Measuring the situation awareness of train traffic controllers,10.1016/j.trf.2016.09.006,NA,SAGAT,20,20,-0.42364893,0.058823529,Lo et al. 2016b,53,Main study
Lo et al. ,2016,Explicit or implicit situation awareness? Measuring the situation awareness of train traffic controllers,10.1016/j.trf.2016.09.006,NA,SAGAT,20,20,-0.472230804,0.058823529,Lo et al. 2016b,54,Main study
Lo et al. ,2016,Explicit or implicit situation awareness? Measuring the situation awareness of train traffic controllers,10.1016/j.trf.2016.09.006,NA,SAGAT,9,9,0.758173745,0.166666667,Lo et al. 2016a,55,Pilot. Need to code experiments separately
Lo et al. ,2016,Explicit or implicit situation awareness? Measuring the situation awareness of train traffic controllers,10.1016/j.trf.2016.09.006,NA,MARS,9,9,-0.792813632,0.166666667,Lo et al. 2016a,56,Pilot
Lo et al. ,2016,Explicit or implicit situation awareness? Measuring the situation awareness of train traffic controllers,10.1016/j.trf.2016.09.006,NA,MARS,9,9,-0.829114038,0.166666667,Lo et al. 2016a,57,Pilot
Lo et al. ,2016,Explicit or implicit situation awareness? Measuring the situation awareness of train traffic controllers,10.1016/j.trf.2016.09.006,NA,SAGAT,20,20,-1.098612289,0.058823529,Lo et al. 2016b,58,Main study
Lo et al. ,2016,Explicit or implicit situation awareness? Measuring the situation awareness of train traffic controllers,10.1016/j.trf.2016.09.006,NA,SAGAT,9,9,0.129999665,0.166666667,Lo et al. 2016a,59,Pilot
Lo et al. ,2016,Explicit or implicit situation awareness? Measuring the situation awareness of train traffic controllers,10.1016/j.trf.2016.09.006,NA,SAGAT,9,9,0.726904199,0.166666667,Lo et al. 2016a,60,Pilot
Lo et al. ,2016,Explicit or implicit situation awareness? Measuring the situation awareness of train traffic controllers,10.1016/j.trf.2016.09.006,NA,MARS,9,9,-0.396194151,0.166666667,Lo et al. 2016a,61,Pilot
Lo et al. ,2016,Explicit or implicit situation awareness? Measuring the situation awareness of train traffic controllers,10.1016/j.trf.2016.09.006,NA,MARS,9,9,0.507990155,0.166666667,Lo et al. 2016a,62,Pilot
Lo et al. ,2016,Explicit or implicit situation awareness? Measuring the situation awareness of train traffic controllers,10.1016/j.trf.2016.09.006,NA,MARS,9,9,-0.16713243,0.166666667,Lo et al. 2016a,63,Pilot
Lo et al. ,2016,Explicit or implicit situation awareness? Measuring the situation awareness of train traffic controllers,10.1016/j.trf.2016.09.006,NA,SAGAT,20,20,0.145618712,0.058823529,Lo et al. 2016b,64,Main study
Lo et al. ,2016,Explicit or implicit situation awareness? Measuring the situation awareness of train traffic controllers,10.1016/j.trf.2016.09.006,NA,SAGAT,20,20,0.358596718,0.058823529,Lo et al. 2016b,65,Main study
Lo et al. ,2016,Explicit or implicit situation awareness? Measuring the situation awareness of train traffic controllers,10.1016/j.trf.2016.09.006,NA,SAGAT,20,20,0.209309628,0.058823529,Lo et al. 2016b,66,Main study
Lo et al. ,2016,Explicit or implicit situation awareness? Measuring the situation awareness of train traffic controllers,10.1016/j.trf.2016.09.006,NA,SAGAT,20,20,0.063669033,0.058823529,Lo et al. 2016b,67,Main study
Lo et al. ,2016,Explicit or implicit situation awareness? Measuring the situation awareness of train traffic controllers,10.1016/j.trf.2016.09.006,NA,SAGAT,20,20,0.379237543,0.058823529,Lo et al. 2016b,68,Main study
Loft ,2016,The Impact of Uncertain Contact Location on Situation Awareness and Performance in Simulated Submarine Track Management,10.1177/0018720816652754,NA,SPAM,50,50,0.223656109,0.021276596,Loft 2016,69,Table 2
Loft ,2016,The Impact of Uncertain Contact Location on Situation Awareness and Performance in Simulated Submarine Track Management,10.1177/0018720816652754,NA,SPAM,50,50,0.223656109,0.021276596,Loft 2016,70,Table 2
Loft ,2016,The Impact of Uncertain Contact Location on Situation Awareness and Performance in Simulated Submarine Track Management,10.1177/0018720816652754,NA,SPAM,50,50,0.202732554,0.021276596,Loft 2016,71,Table 2
Loft ,2016,The Impact of Uncertain Contact Location on Situation Awareness and Performance in Simulated Submarine Track Management,10.1177/0018720816652754,NA,SPAM,50,50,-0.161386696,0.021276596,Loft 2016,72,Table 2
Loft ,2016,The Impact of Uncertain Contact Location on Situation Awareness and Performance in Simulated Submarine Track Management,10.1177/0018720816652754,NA,SPAM,50,50,0.151140436,0.021276596,Loft 2016,73,Table 2
Loft ,2016,The Impact of Uncertain Contact Location on Situation Awareness and Performance in Simulated Submarine Track Management,10.1177/0018720816652754,NA,SPAM,50,50,0.140925576,0.021276596,Loft 2016,74,Table 2
Loft ,2016,The Impact of Uncertain Contact Location on Situation Awareness and Performance in Simulated Submarine Track Management,10.1177/0018720816652754,NA,SPAM,50,50,0.110446916,0.021276596,Loft 2016,75,Table 2
Loft ,2016,The Impact of Uncertain Contact Location on Situation Awareness and Performance in Simulated Submarine Track Management,10.1177/0018720816652754,NA,SPAM,50,50,-0.100335348,0.021276596,Loft 2016,76,Table 2
Loft ,2016,The Impact of Uncertain Contact Location on Situation Awareness and Performance in Simulated Submarine Track Management,10.1177/0018720816652754,NA,SPAM,50,50,0.090244188,0.021276596,Loft 2016,77,Table 2
Loft ,2016,The Impact of Uncertain Contact Location on Situation Awareness and Performance in Simulated Submarine Track Management,10.1177/0018720816652754,NA,SPAM,50,50,0.020002667,0.021276596,Loft 2016,78,Table 2
Loft ,2016,The Impact of Uncertain Contact Location on Situation Awareness and Performance in Simulated Submarine Track Management,10.1177/0018720816652754,NA,SPAM,50,50,0.020002667,0.021276596,Loft 2016,79,Table 2
Loft ,2016,The Impact of Uncertain Contact Location on Situation Awareness and Performance in Simulated Submarine Track Management,10.1177/0018720816652754,NA,SPAM,50,50,-0.100335348,0.021276596,Loft 2016,80,"Table 2, Only coded Experiment 1 b/c Experiment 2 is teams"
Loft ,2016,The Impact of Uncertain Contact Location on Situation Awareness and Performance in Simulated Submarine Track Management,10.1177/0018720816652754,NA,SPAM,50,50,0.120581028,0.021276596,Loft 2016,81,Table 2
Loft ,2016,The Impact of Uncertain Contact Location on Situation Awareness and Performance in Simulated Submarine Track Management,10.1177/0018720816652754,NA,SPAM,50,50,0.120581028,0.021276596,Loft 2016,82,Table 2
Loft ,2016,The Impact of Uncertain Contact Location on Situation Awareness and Performance in Simulated Submarine Track Management,10.1177/0018720816652754,NA,SPAM,50,50,0.140925576,0.021276596,Loft 2016,83,Table 2
Loft ,2016,The Impact of Uncertain Contact Location on Situation Awareness and Performance in Simulated Submarine Track Management,10.1177/0018720816652754,NA,SPAM,50,50,0.181982689,0.021276596,Loft 2016,84,Table 2
Loft ,2016,The Impact of Uncertain Contact Location on Situation Awareness and Performance in Simulated Submarine Track Management,10.1177/0018720816652754,NA,SPAM,50,50,0.298566264,0.021276596,Loft 2016,85,Table 2
Loft ,2016,The Impact of Uncertain Contact Location on Situation Awareness and Performance in Simulated Submarine Track Management,10.1177/0018720816652754,NA,SPAM,50,50,0.376885901,0.021276596,Loft 2016,86,Table 2
Loft ,2016,The Impact of Uncertain Contact Location on Situation Awareness and Performance in Simulated Submarine Track Management,10.1177/0018720816652754,NA,SPAM,50,50,0.741416144,0.021276596,Loft 2016,87,Table 2
Loft ,2016,The Impact of Uncertain Contact Location on Situation Awareness and Performance in Simulated Submarine Track Management,10.1177/0018720816652754,NA,SPAM,50,50,0.758173745,0.021276596,Loft 2016,88,Table 2
Lukosch,2016,The role of awareness for complex planning task performance: A microgaming study.,10.4018/IJGBL.2016040102,NA,SART,142,107,0.332761588,0.009615385,Lukosch2016,89,"Missing data, sample size w/complete data N = 107 (p. 8)"
Matthews,2002,Assessing Situation Awareness in Field Training Exercises,NA,http://www.dtic.mil/dtic/tr/fulltext/u2/a408560.pdf,MARS,16,16,0.050041729,0.076923077,Matthews2002,90,Table 4
Matthews,2002,Assessing Situation Awareness in Field Training Exercises,NA,http://www.dtic.mil/dtic/tr/fulltext/u2/a408560.pdf,MARS,16,16,0.202732554,0.076923077,Matthews2002,91,Table 4
Matthews,2002,Assessing Situation Awareness in Field Training Exercises,NA,http://www.dtic.mil/dtic/tr/fulltext/u2/a408560.pdf,MARS,16,16,0.213171347,0.076923077,Matthews2002,92,Table 4
Matthews,2002,Assessing Situation Awareness in Field Training Exercises,NA,http://www.dtic.mil/dtic/tr/fulltext/u2/a408560.pdf,MARS,16,16,0.234189467,0.076923077,Matthews2002,93,Table 4
Matthews,2002,Assessing Situation Awareness in Field Training Exercises,NA,http://www.dtic.mil/dtic/tr/fulltext/u2/a408560.pdf,SABARS,15,15,0.244774113,0.083333333,Matthews2002,94,Table 5
Matthews,2002,Assessing Situation Awareness in Field Training Exercises,NA,http://www.dtic.mil/dtic/tr/fulltext/u2/a408560.pdf,SABARS,15,15,0.276863823,0.083333333,Matthews2002,95,Table 5
Matthews,2002,Assessing Situation Awareness in Field Training Exercises,NA,http://www.dtic.mil/dtic/tr/fulltext/u2/a408560.pdf,SABARS,15,15,0.549306144,0.083333333,Matthews2002,96,Table 5
Matthews,2002,Assessing Situation Awareness in Field Training Exercises,NA,http://www.dtic.mil/dtic/tr/fulltext/u2/a408560.pdf,SABARS,15,15,0.907644983,0.083333333,Matthews2002,97,Table 5
O'Brien,2007,Situational awareness ability and cognitive skills training in a complex real-world task.,10.1080/00140130701276640,NA,SAGAT,28,18,0.545314107,0.066666667,O'Brien2007,98,Mean errors for separation conflict (low number of conflicts is good perf)
O'Brien,2007,Situational awareness ability and cognitive skills training in a complex real-world task.,10.1080/00140130701276640,NA,SAGAT,28,18,0.50750636,0.066666667,O'Brien2007,99,hand-off errors; missed approaches; and separation conflicts + minutes delayed
O'Brien,2007,Situational awareness ability and cognitive skills training in a complex real-world task.,10.1080/00140130701276640,NA,SAGAT,28,18,0.574970116,0.066666667,O'Brien2007,100,"Terminal Radar Approach Control simulation. Pearson df = N - 2. Reported df is 16. So N = 18 (diff N than num of participants, 28). WOMBAT (SA ability) is also a measure of working memory, not included "
O'Brien,2007,Situational awareness ability and cognitive skills training in a complex real-world task.,10.1080/00140130701276640,NA,SAGAT,28,18,0.739759773,0.066666667,O'Brien2007,101,NA
O'Brien,2007,Situational awareness ability and cognitive skills training in a complex real-world task.,10.1080/00140130701276640,NA,SAGAT,28,18,-0.2596117,0.066666667,O'Brien2007,102,Added
O'Brien,2007,Situational awareness ability and cognitive skills training in a complex real-world task.,10.1080/00140130701276640,NA,SAGAT,28,18,0.222492073,0.066666667,O'Brien2007,103,Added
O'Brien,2007,Situational awareness ability and cognitive skills training in a complex real-world task.,10.1080/00140130701276640,NA,SAGAT,28,18,0.062968779,0.066666667,O'Brien2007,104,NA
O'Brien,2007,Situational awareness ability and cognitive skills training in a complex real-world task.,10.1080/00140130701276640,NA,SAGAT,28,18,-0.108912099,0.066666667,O'Brien2007,105,Added
O'Brien,2007,Situational awareness ability and cognitive skills training in a complex real-world task.,10.1080/00140130701276640,NA,SAGAT,28,18,-0.207467906,0.066666667,O'Brien2007,106,Added
O'Brien,2007,Situational awareness ability and cognitive skills training in a complex real-world task.,10.1080/00140130701276640,NA,SAGAT,28,18,-0.018400681,0.066666667,O'Brien2007,107,NA
O'Brien,2007,Situational awareness ability and cognitive skills training in a complex real-world task.,10.1080/00140130701276640,NA,SAGAT,28,18,0.054906665,0.066666667,O'Brien2007,108,NA
O'Brien,2007,Situational awareness ability and cognitive skills training in a complex real-world task.,10.1080/00140130701276640,NA,SAGAT,28,18,0.13455597,0.066666667,O'Brien2007,109,NA
O'Brien,2007,Situational awareness ability and cognitive skills training in a complex real-world task.,10.1080/00140130701276640,NA,SAGAT,28,18,-0.166309568,0.066666667,O'Brien2007,110,NA
O'Brien,2007,Situational awareness ability and cognitive skills training in a complex real-world task.,10.1080/00140130701276640,NA,SAGAT,28,18,0.340247448,0.066666667,O'Brien2007,111,NA
O'Brien,2007,Situational awareness ability and cognitive skills training in a complex real-world task.,10.1080/00140130701276640,NA,SAGAT,28,18,0.228931984,0.066666667,O'Brien2007,112,NA
Riley,2004,Situation awareness and attention allocation measures for quantifying telepresence experiences in teleoperation,10.1002/hfm.10050,NA,SAGAT,24,24,0.243872194,0.047619048,Riley2004,113,NA
Riley,2004,Situation awareness and attention allocation measures for quantifying telepresence experiences in teleoperation,10.1002/hfm.10050,NA,SAGAT,24,24,0.179466442,0.047619048,Riley2004,114,"Added. Inferred generic null, added. L1, L2, and L3 are listed as response measures (p. 7-8 pdf)"
Riley,2004,Situation awareness and attention allocation measures for quantifying telepresence experiences in teleoperation,10.1002/hfm.10050,NA,SAGAT,24,24,0.22709988,0.047619048,Riley2004,115,Added
Riley,2004,Situation awareness and attention allocation measures for quantifying telepresence experiences in teleoperation,10.1002/hfm.10050,NA,SAGAT,24,24,0.235518515,0.047619048,Riley2004,116,Added
Salmon,2009,Measuring Situation Awareness in complex systems: Comparison of measures study,10.1016/j.ergon.2008.10.010,NA,SART,20,20,-0.120581028,0.058823529,Salmon2009,117,Overall stat; Table 2
Salmon,2009,Measuring Situation Awareness in complex systems: Comparison of measures study,10.1016/j.ergon.2008.10.010,NA,SART,20,20,-0.120581028,0.058823529,Salmon2009,118,Table 2
Salmon,2009,Measuring Situation Awareness in complex systems: Comparison of measures study,10.1016/j.ergon.2008.10.010,NA,SART,20,20,0.120581028,0.058823529,Salmon2009,119,Table 2. High SART demand is bad SA
Salmon,2009,Measuring Situation Awareness in complex systems: Comparison of measures study,10.1016/j.ergon.2008.10.010,NA,SART,20,20,-0.120581028,0.058823529,Salmon2009,120,Table 2
Salmon,2009,Measuring Situation Awareness in complex systems: Comparison of measures study,10.1016/j.ergon.2008.10.010,NA,SAGAT,20,20,0.306226146,0.058823529,Salmon2009,121,Table 2
Salmon,2009,Measuring Situation Awareness in complex systems: Comparison of measures study,10.1016/j.ergon.2008.10.010,NA,SAGAT,20,20,0.405916575,0.058823529,Salmon2009,122,Table 2
Salmon,2009,Measuring Situation Awareness in complex systems: Comparison of measures study,10.1016/j.ergon.2008.10.010,NA,SAGAT,20,20,0.79636554,0.058823529,Salmon2009,123,"Overall stat; Table 2, Spearman's Rho"
Salmon,2009,Measuring Situation Awareness in complex systems: Comparison of measures study,10.1016/j.ergon.2008.10.010,NA,SAGAT,20,20,0.849867036,0.058823529,Salmon2009,124,Table 2
Saus,2006,The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study,10.1207/s15327876mp1803s_2,NA,SARS,40,40,0.100335348,0.027027027,Saus2006,125,Table 2
Saus,2006,The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study,10.1207/s15327876mp1803s_2,NA,SABARS,40,40,0.110446916,0.027027027,Saus2006,126,Table 2
Saus,2006,The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study,10.1207/s15327876mp1803s_2,NA,SARS,40,40,0.140925576,0.027027027,Saus2006,127,Table 2
Saus,2006,The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study,10.1207/s15327876mp1803s_2,NA,SARS,40,40,0.161386696,0.027027027,Saus2006,128,Table 2
Saus,2006,The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study,10.1207/s15327876mp1803s_2,NA,SARS,40,40,0.161386696,0.027027027,Saus2006,129,Table 2
Saus,2006,The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study,10.1207/s15327876mp1803s_2,NA,SABARS,40,40,0.171666664,0.027027027,Saus2006,130,Table 2
Saus,2006,The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study,10.1207/s15327876mp1803s_2,NA,SARS,40,40,0.192337169,0.027027027,Saus2006,131,Table 2
Saus,2006,The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study,10.1207/s15327876mp1803s_2,NA,SABARS,40,40,0.213171347,0.027027027,Saus2006,132,Table 2
Saus,2006,The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study,10.1207/s15327876mp1803s_2,NA,SABARS,40,40,0.234189467,0.027027027,Saus2006,133,Overall stat; Table 2
Saus,2006,The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study,10.1207/s15327876mp1803s_2,NA,SABARS,40,40,0.234189467,0.027027027,Saus2006,134,Table 2
Saus,2006,The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study,10.1207/s15327876mp1803s_2,NA,SABARS,40,40,0.266108407,0.027027027,Saus2006,135,Table 3
Saus,2006,The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study,10.1207/s15327876mp1803s_2,NA,SARS,40,40,0.276863823,0.027027027,Saus2006,136,Overall stat; Table 2
Saus,2006,The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study,10.1207/s15327876mp1803s_2,NA,SARS,40,40,0.287682072,0.027027027,Saus2006,137,Table 2
