"Article","Amniotes","animal","Type","Parameters","Statistics","Estimate","df","df.1","SE","Correlation","Direction","Adjusted","Formula","N","Maternal","Offspring","Propagule","Reproduction..0...itero..1...semel.","Environment","Comments","Author","Date","Species","Data.Extraction","Phylum","Class","Order","Family","Genus","X","r","Zr"
13,"N","Crinia_georgiana","r",NA,-0.961,NA,NA,NA,NA,"-0.961","+","Y",NA,33,"Fecundity","Volume","Egg","0","Wild","","Dziminski, M.A. & Roberts, J.D.","2006","Crinia_georgiana",1,"Chordata","Amphibia","Anura","Myobatrachidae","Crinia",NA,-0.961,-1.95882409003335
14,"N","Crinia_georgiana","r",NA,-0.56,NA,NA,NA,NA,"-0.56","+","Y",NA,36,"Fecundity","Volume","Egg","0","Wild","","Dziminski, M.A., Vercoe, P.E. & Roberts, J.D. ","2009","Crinia_georgiana",1,"Chordata","Amphibia","Anura","Myobatrachidae","Crinia",NA,-0.56,-0.632833186665638
131,"Y","Crocodylus_moreletii","r",NA,0.55,NA,NA,NA,NA,"","+","Y",NA,15,"Fecundity","Mass","Egg","0","Wild","","Platt, S., Rainwater, T., Thorbjarnarson, J. & McMurry, S.","2008","Crocodylus_moreletii",2,"Chordata","Reptilia","Crocodilia","Crocodylidae","Crocodylus",NA,0.55,0.618381313574464
149,"Y","Crocodylus_intermedius","r",NA,0.22,NA,NA,NA,NA,"","+","Y",NA,53,"Fecundity","Mass","Egg","0","Captive","","Thorbjarnarson, J. B. & Hernandez, G.","1993","Crocodylus_intermedius",2,"Chordata","Reptilia","Crocodilia","Crocodylidae","Crocodylus",NA,0.22,0.223656109021832
103,"Y","Cyclura_cychlura","r",NA,-0.12,NA,NA,NA,NA,"","-","Y",NA,78,"Fecundity","Mass","Egg","0","Wild","Cyclura_cychlura_inornata","Iverson, J. B., Hines, K. N. & Valiulis, J. M.","2004","Cyclura_cychlura",2,"Chordata","Reptilia","Squamata","Iguanidae","Cyclura",NA,-0.12,-0.120581028408444
112,"Y","Cyclura_cychlura","r",NA,-0.25,NA,NA,NA,NA,"","-","Y",NA,34,"Fecundity","Mass","Egg","0","Wild","Cyclura_cychlura_cychlura","Knapp, C. R., Iverson, J. B. & Owens, A. K.","2006","Cyclura_cychlura",2,"Chordata","Reptilia","Squamata","Iguanidae","Cyclura",NA,-0.25,-0.255412811882995
112,"Y","Cyclura_cychlura","r",NA,-0.09,NA,NA,NA,NA,"","-","Y",NA,73,"Fecundity","Mass","Egg","0","Wild","Cyclura_cychlura_inornata","Knapp, C. R., Iverson, J. B. & Owens, A. K.","2006","Cyclura_cychlura",2,"Chordata","Reptilia","Squamata","Iguanidae","Cyclura",NA,-0.09,-0.0902441878561468
15,"N","Daphnia_magna","r",NA,-0.18,NA,NA,NA,NA,"-0.18","+","Y",NA,215,"Fecundity","Length","Offspring","0","Captive","","Ebert, D.","1993","Daphnia_magna",1,"Arthropoda","Branchiopoda","Cladocera","Daphniidae","Daphnia",NA,-0.18,-0.181982688600706
113,"Y","Darevskia_praticola","r",NA,-0.37,NA,NA,NA,NA,"","-","Y",NA,12,"Fecundity","Volume","Egg","0","Captive","","Ljubisavljevic, K., Dzukic, G. & Kalezic, M. L.","2008","Darevskia_praticola",2,"Chordata","Reptilia","Squamata","Lacertidae","Darevskia",NA,-0.37,-0.388423099718296
72,"N","Diplocentrus_lindo","r",NA,-0.6,NA,NA,NA,NA,"","-","Y",NA,11,"Fecundity","Mass","Offspring","0","Captive","","Brown, C. A.","2003","Diplocentrus_lindo",2,"Arthropoda","Arachnida","Scorpiones","Diplocentridae","Diplocentrus",NA,-0.6,-0.693147180559945
72,"N","Diplocentrus_peloncillensis","r",NA,0.04,NA,NA,NA,NA,"","+","Y",NA,6,"Fecundity","Mass","Offspring","0","Captive","","Brown, C. A.","2003","Diplocentrus_peloncillensis",2,"Arthropoda","Arachnida","Scorpiones","Diplocentridae","Diplocentrus",NA,0.04,0.0400213538367683
33,"N","Elasmucha_dorsalis","r",NA,-0.448,NA,NA,NA,NA,"-0.448","+","Y",NA,22,"Fecundity","Mass","Egg","0","Wild","","Kudo, S.","2001","Elasmucha_dorsalis",1,"Arthropoda","Insecta","Hemiptera","Acanthosomatidae","Elasmucha",NA,-0.448,-0.482195263334283
33,"N","Elasmucha_putoni","r",NA,-0.802,NA,NA,NA,NA,"-0.802","+","Y",NA,20,"Fecundity","Mass","Egg","0","Wild","","Kudo, S.","2001","Elasmucha_putoni",1,"Arthropoda","Insecta","Hemiptera","Acanthosomatidae","Elasmucha",NA,-0.802,-1.10419270373687
33,"N","Elasmucha_putoni","r",NA,-0.283,NA,NA,NA,NA,"-0.283","+","Y",NA,28,"Fecundity","Mass","Egg","0","Captive","","Kudo, S.","2001","Elasmucha_putoni",1,"Arthropoda","Insecta","Hemiptera","Acanthosomatidae","Elasmucha",NA,-0.283,-0.290940262008008
34,"N","Elasmucha_signoreti","r",NA,-0.038,NA,NA,NA,NA,"-0.038","+","Y",NA,24,"Fecundity","Mass","Egg","0","Wild","","Kudo, S.","2006","Elasmucha_signoreti",1,"Arthropoda","Insecta","Hemiptera","Acanthosomatidae","Elasmucha",NA,-0.038,-0.0380183065300638
147,"N","Epidalea_calamita","r",NA,-0.131,NA,NA,NA,NA,"","-","Y",NA,94,"Fecundity","Diameter","Egg","0","Captive","","Tejedo, M.","1992","Epidalea_calamita",2,"Chordata","Amphibia","Anura","Bufonidae","Epidalea",NA,-0.131,-0.131757175425364
166,"N","Epidalea_calamita","r",NA,-0.357,NA,NA,NA,NA,"","-","Y",NA,167,"Fecundity","Diameter","Egg","0","Wild","","Marangoni, F., Tejedo, M. & Gomez-Mestre, I.","2008","Epidalea_calamita",2,"Chordata","Amphibia","Anura","Bufonidae","Epidalea",NA,-0.357,-0.373443467798625
140,"N","Eretmodus_cyanostictus","r",NA,-0.43,NA,NA,NA,NA,"","-","Y",NA,10,"Fecundity","Mass","Egg","0","Captive","","Segers, F. H. I .D. & Taborsky, B.","2012","Eretmodus_cyanostictus",2,"Chordata","Actinopterygii","Perciformes","Cichlidae","Eretmodus",NA,-0.43,-0.459896681212679
139,"Y","Eulamprus_tympanum","r2",2,0.03,NA,NA,NA,NA,"","-","Y",NA,45,"Fecundity","Mass","Egg","0","Captive","1989","Schwarzkopf, L.","1992","Eulamprus_tympanum",2,"Chordata","Reptilia","Squamata","Scincidae","Eulamprus",NA,-0.173205080756888,-0.174968992536788
139,"Y","Eulamprus_tympanum","r2",2,0.16,NA,NA,NA,NA,"","-","Y",NA,48,"Fecundity","Mass","Egg","0","Captive","","Schwarzkopf, L.","1992","Eulamprus_tympanum",2,"Chordata","Reptilia","Squamata","Scincidae","Eulamprus",NA,-0.350238014308365,-0.365715021407709
178,"N","Galaxias_anomalus","r",NA,-0.675,NA,NA,NA,NA,"","","Y",NA,25,"Fecundity","Diameter","Egg","0","Wild","","Jones","Unpublished","Galaxias_anomalus",2,"Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias",NA,-0.675,-0.819871630964715
178,"N","Galaxias_depressiceps","r",NA,-0.399,NA,NA,NA,NA,"","","Y",NA,19,"Fecundity","Diameter","Egg","0","Wild","","Jones","Unpublished","Galaxias_depressiceps",2,"Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias",NA,-0.399,-0.422459020065137
178,"N","Galaxias_eldoni","r",NA,-0.48,NA,NA,NA,NA,"","","Y",NA,22,"Fecundity","Diameter","Egg","0","Wild","","Jones","Unpublished","Galaxias_eldoni",2,"Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias",NA,-0.48,-0.522984277591344
178,"N","Galaxias_pullus","r",NA,-0.388,NA,NA,NA,NA,"","","Y",NA,17,"Fecundity","Diameter","Egg","0","Wild","","Jones","Unpublished","Galaxias_pullus",2,"Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias",NA,-0.388,-0.409443429277212
178,"N","Galaxias_gollumoides","r",NA,-0.621,NA,NA,NA,NA,"","","Y",NA,18,"Fecundity","Diameter","Egg","0","Wild","","Jones","Unpublished","Galaxias_gollumoides",2,"Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias",NA,-0.621,-0.726631158326625
178,"N","Galaxias_southern","r",NA,-0.002,NA,NA,NA,NA,"","","Y",NA,20,"Fecundity","Diameter","Egg","0","Wild","","Jones","Unpublished","Galaxias_southern",2,"Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias",NA,-0.002,-0.00200000266667306
178,"N","Galaxias_D.","r",NA,-0.841,NA,NA,NA,NA,"","","Y",NA,8,"Fecundity","Diameter","Egg","0","Wild","","Jones","Unpublished","Galaxias_D.",2,"Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias",NA,-0.841,-1.22457998950642
178,"N","Galaxias_vulgaris","r",NA,-0.758,NA,NA,NA,NA,"","","Y",NA,15,"Fecundity","Diameter","Egg","0","Wild","","Jones","Unpublished","Galaxias_vulgaris",2,"Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias",NA,-0.758,-0.991497176044218
16,"N","Gambusia_holbrooki","r",NA,-0.61,NA,NA,NA,NA,"-0.61","+","Y",NA,240,"Fecundity","Mass","Egg","0","Wild","","Edwards, T.M., Miller, H.D. & Guillette Jr., L.J.","2006","Gambusia_holbrooki",1,"Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","Gambusia",NA,-0.61,-0.708921359427408
64,"N","Gambusia_affinis","r",NA,-0.103,NA,NA,NA,NA,"-0.103","+","Y",NA,23,"Fecundity","Mass","Egg","0","Captive","","Lim, J.N.",NA,"Gambusia_affinis",1,"Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","Gambusia",NA,-0.103,-0.103366578597353
24,"N","Gammarus_minus","r",NA,-0.58,NA,NA,NA,NA,"-0.58","+","Y",NA,40,"Fecundity","Mass","Egg","0","Captive","W","Glazier, D.S.","2000","Gammarus_minus",1,"Arthropoda","Malacostraca","Amphiipoda","Gammaridae","Gammarus",NA,-0.58,-0.662462707371799
24,"N","Gammarus_minus","r",NA,-0.189,NA,NA,NA,NA,"-0.189","+","Y",NA,41,"Fecundity","Mass","Egg","0","Captive","G","Glazier, D.S.","2000","Gammarus_minus",1,"Arthropoda","Malacostraca","Amphiipoda","Gammaridae","Gammarus",NA,-0.189,-0.191299921287684
24,"N","Gammarus_minus","r",NA,-0.333,NA,NA,NA,NA,"-0.333","+","Y",NA,38,"Fecundity","Mass","Egg","0","Captive","EL","Glazier, D.S.","2000","Gammarus_minus",1,"Arthropoda","Malacostraca","Amphiipoda","Gammaridae","Gammarus",NA,-0.333,-0.346198637131542
24,"N","Gammarus_minus","r",NA,-0.029,NA,NA,NA,NA,"-0.029","+","Y",NA,40,"Fecundity","Mass","Egg","0","Captive","E","Glazier, D.S.","2000","Gammarus_minus",1,"Arthropoda","Malacostraca","Amphiipoda","Gammaridae","Gammarus",NA,-0.029,-0.0290081337713623
24,"N","Gammarus_minus","r",NA,-0.241,NA,NA,NA,NA,"-0.241","+","Y",NA,45,"Fecundity","Mass","Egg","0","Captive","B","Glazier, D.S.","2000","Gammarus_minus",1,"Arthropoda","Malacostraca","Amphiipoda","Gammaridae","Gammarus",NA,-0.241,-0.245835503904489
24,"N","Gammarus_minus","r",NA,0.024,NA,NA,NA,NA,"0.024","+","Y",NA,45,"Fecundity","Mass","Egg","0","Captive","C","Glazier, D.S.","2000","Gammarus_minus",1,"Arthropoda","Malacostraca","Amphiipoda","Gammaridae","Gammarus",NA,0.024,0.0240046095931803
24,"N","Gammarus_minus","r",NA,-0.218,NA,NA,NA,NA,"-0.218","+","Y",NA,35,"Fecundity","Mass","Egg","0","Captive","P","Glazier, D.S.","2000","Gammarus_minus",1,"Arthropoda","Malacostraca","Amphiipoda","Gammaridae","Gammarus",NA,-0.218,-0.221555353862266
24,"N","Gammarus_minus","r",NA,-0.135,NA,NA,NA,NA,"-0.135","+","Y",NA,44,"Fecundity","Mass","Egg","0","Captive","LH","Glazier, D.S.","2000","Gammarus_minus",1,"Arthropoda","Malacostraca","Amphiipoda","Gammaridae","Gammarus",NA,-0.135,-0.135829211491812
24,"N","Gammarus_minus","r",NA,-0.118,NA,NA,NA,NA,"-0.118","+","Y",NA,43,"Fecundity","Mass","Egg","0","Captive","K","Glazier, D.S.","2000","Gammarus_minus",1,"Arthropoda","Malacostraca","Amphiipoda","Gammaridae","Gammarus",NA,-0.118,-0.118552298854127
24,"N","Gammarus_minus","r",NA,-0.045,NA,NA,NA,NA,"-0.045","+","Y",NA,46,"Fecundity","Mass","Egg","0","Captive","BR","Glazier, D.S.","2000","Gammarus_minus",1,"Arthropoda","Malacostraca","Amphiipoda","Gammaridae","Gammarus",NA,-0.045,-0.0450304119590906
114,"Y","Iberolacerta_horvathi","r",NA,-0.55,NA,NA,NA,NA,"","-","Y",NA,16,"Fecundity","Volume","Egg","0","Captive","","Ljubisavljevic, K., Glasnovic, P., Kalan, K. & Krystufek, B.","2012","Iberolacerta_horvathi",2,"Chordata","Reptilia","Squamata","Lacertidae","Iberolacerta",NA,-0.55,-0.618381313574463
167,"Y","Iberolacerta_monticola","r",NA,-0.36,NA,NA,NA,NA,"","-","Y",NA,54,"Fecundity","Mass","Egg","0","Captive","Lacerta_monticola_cantabrica","Rua, M. & P., Galan","2002","Iberolacerta_monticola",2,"Chordata","Reptilia","Squamata","Lacertidae","Iberolacerta",NA,-0.36,-0.37688590118819
170,"Y","Iberolacerta_aranica","r2",2,0.77,NA,NA,NA,NA,"","-","Y",NA,69,"Fecundity","Mass","Egg","0","Captive","","Arribas, O. & Galan, P.","2005","Iberolacerta_aranica",2,"Chordata","Reptilia","Squamata","Lacertidae","Iberolacerta",NA,-0.873516057683145,-1.34772841362395
170,"Y","Iberolacerta_aurelioi","r2",2,0.61,NA,NA,NA,NA,"","-","Y",NA,11,"Fecundity","Mass","Egg","0","Captive","","Arribas, O. & Galan, P.","2005","Iberolacerta_aurelioi",2,"Chordata","Reptilia","Squamata","Lacertidae","Iberolacerta",NA,-0.715891053163818,-0.899165004490113
170,"Y","Iberolacerta_bonnali","r2",2,0.72,NA,NA,NA,NA,"","-","Y",NA,9,"Fecundity","Mass","Egg","0","Captive","","Arribas, O. & Galan, P.","2005","Iberolacerta_bonnali",2,"Chordata","Reptilia","Squamata","Lacertidae","Iberolacerta",NA,-0.791622805802528,-1.07576360624421
58,"Y","Kinosternon_subrubrum","r",NA,-0.04,NA,NA,NA,NA,"-0.04","+","Y",NA,635,"Fecundity","Diameter","Egg","0","Wild","Width","Wilkinson, L.R. & Gibbons, J.W.","2005","Kinosternon_subrubrum",1,"Chordata","Reptilia","Testudines","Kinosternidae","Kinosternon",NA,-0.04,-0.0400213538367682
99,"Y","Kinosternon_hirtipes","r",NA,-0.46,NA,NA,NA,NA,"","-","Y",NA,11,"Fecundity","Mass","Egg","0","Wild","","Iverson, J. B., Barthelmess, E. L., Smith, G. R. & Derivera, C. E.","1991","Kinosternon_hirtipes",2,"Chordata","Reptilia","Testudines","Kinosternidae","Kinosternon",NA,-0.46,-0.497311287572031
38,"Y","Lacerta_schreiberi","r",NA,-0.04,NA,NA,NA,NA,"-0.04","+","Y",NA,26,"Fecundity","Mass","Egg","0","Wild","","Marco, A. & V. Pe_rez-Mellado, V.","1998","Lacerta_schreiberi",1,"Chordata","Reptilia","Squamata","Lacertidae","Lacerta",NA,-0.04,-0.0400213538367682
172,"Y","Lacerta_schreiberi","r",NA,-0.201,NA,NA,NA,NA,"","-","Y",NA,25,"Fecundity","Mass","Egg","0","Wild","","Marco, V. & Martin, J.","1994","Lacerta_schreiberi",2,"Chordata","Reptilia","Squamata","Lacertidae","Lacerta",NA,-0.201,-0.203774438156855
19,"Y","Lamprophis_fuliginosus","r",NA,-0.728,NA,NA,NA,NA,"-0.728","+","Y",NA,15,"Fecundity","Mass","Egg","0","Captive","","Ford, N.B. & Seigel, R.A.","2006","Lamprophis_fuliginosus",1,"Chordata","Reptilia","Squamata","Scincidae","Lampropholis",NA,-0.728,-0.924458941534002
89,"Y","Lampropholis_delicata","r",NA,-0.21,NA,NA,NA,NA,"","-","Y",NA,151,"Fecundity","Volume","Egg","0","Captive","","Forsman, A. & Shine, R.","1995","Lampropholis_delicata",2,"Chordata","Reptilia","Squamata","Scincidae","Lampropholis",NA,-0.21,-0.21317134656486
150,"N","Lernanthropus_cynoscicola","r",NA,-0.061,NA,NA,NA,NA,"","-","Y",NA,54,"Fecundity","Volume","Egg","0","Wild","","Timi, J. T., Lanfranchi, A. L. & Poulin, R.","2005","Lernanthropus_cynoscicola",2,"Arthropoda","Maxillopoda","Siphonostomatoida ","Lernanthropidae","Lernanthropus",NA,-0.061,-0.0610758297028601
37,"Y","Liasis_fuscus","path coeff",NA,-0.78,NA,NA,NA,NA,"-0.78","+","Y",NA,55,"Fecundity","Mass","Egg","0","Wild","1991","Madsen, T. & Shine, R.","1996","Liasis_fuscus",1,"Chordata","Reptilia","Squamata","Pythonidae","Liasis",NA,-0.78,-1.04537054846688
37,"Y","Liasis_fuscus","path coeff",NA,-0.36,NA,NA,NA,NA,"-0.36","+","Y",NA,56,"Fecundity","Mass","Egg","0","Wild","1992","Madsen, T. & Shine, R.","1996","Liasis_fuscus",1,"Chordata","Reptilia","Squamata","Pythonidae","Liasis",NA,-0.36,-0.37688590118819
109,"Y","Microlophus_delanonis","r",NA,0.18,NA,NA,NA,NA,"","+","Y",NA,321,"Fecundity","Mass","Egg","0","Wild","","Jordan, M. A. & Snell, H. L.","2002","Microlophus_delanonis",2,"Chordata","Reptilia","Squamata","Tropiduridae","Microlophus",NA,0.18,0.181982688600706
31,"Y","Naja_atra","r",NA,-0.26,NA,NA,NA,NA,"-0.26","+","Y",NA,152,"Fecundity","Mass","Egg","0","Wild","","Ji, X. & Wang, Z.W.","2005","Naja_atra",1,"Chordata","Reptilia","Squamata","Elapidae","Naja",NA,-0.26,-0.266108406873654
