"article" "author" "year" "species" "amniotes" "environment" "reprounit" "ri" "ni"
44 "Glazier, D.S." "2000" "Gammarus_minus" "no" "wild" "single" 0.218 35
44 "Glazier, D.S." "2000" "Gammarus_minus" "no" "wild" "single" 0.225 40
44 "Glazier, D.S." "2000" "Gammarus_minus" "no" "wild" "single" 0.281 44
44 "Glazier, D.S." "2000" "Gammarus_minus" "no" "wild" "single" 0.248 36
44 "Glazier, D.S." "2000" "Gammarus_minus" "no" "wild" "single" 0.317 45
44 "Glazier, D.S." "2000" "Gammarus_minus" "no" "wild" "single" 0.042 43
44 "Glazier, D.S." "2000" "Gammarus_minus" "no" "wild" "single" 0.284 38
44 "Glazier, D.S." "2000" "Gammarus_minus" "no" "wild" "single" -0.087 38
44 "Glazier, D.S." "2000" "Gammarus_minus" "no" "wild" "single" -0.123 44
44 "Glazier, D.S." "2000" "Gammarus_minus" "no" "wild" "single" 0.266 37
44 "Glazier, D.S." "2000" "Gammarus_minus" "no" "wild" "single" 0.367 44
45 "Green, B.S & Chambers, R.C." "2007" "Microgadus_tomcod" "no" "wild" "single" -0.36 9
45 "Green, B.S & Chambers, R.C." "2007" "Microgadus_tomcod" "no" "wild" "single" 0.15 14
46 "Gregerson, F, Haugen, T.O. & Larsen, O.N." "2006" "Salmo_trutta" "no" "wild" "single" 0.59 149
47 "Huang, W.B., Chiu, T.S. & Shih, C.T." "1999" "Acanthopagrus_schlegelii" "no" "captive" "single" 0.749 16
47 "Huang, W.B., Chiu, T.S. & Shih, C.T." "1999" "Acanthopagrus_schlegelii" "no" "captive" "single" 0.592 14
48 "Kudo, S." "2001" "Sastragala_scutellata" "no" "wild" "single" 0.69 28
48 "Kudo, S." "2001" "Elasmucha_dorsalis" "no" "wild" "single" 0.493 28
49 "Ito, K." "1997" "Haminoea_callidegenita" "no" "wild" "single" 0.379 19
50 "Ilano, A.S., Fujinaga, K. & Nakao, S." "2004" "Buccinum_isaotakii" "no" "wild" "single" 0.883 15
52 "Lislevand, T., Byrkjedal, I., Borge, T. & S_tre, G.P." "2005" "Vanellus_vanellus" "yes" "wild" "single" 0.269 40
53 "Macip-Rios, R., Robleda, P.B., Casas-Andreu, Arias-Cisneros, M.L & Sustauta-Rodrigues, V.H." "2012" "Kinosternon_integrum" "yes" "wild" "single" 0.34 57
54 "Marshall, D.S. & Keough, M.J." "2003" "Ciona_intestinalis" "no" "wild" "single" 0.417 20
54 "Marshall, D.S. & Keough, M.J." "2003" "Styela_plicata" "no" "wild" "single" 0.48 15
54 "Marshall, D.S. & Keough, M.J." "2003" "Pyura_fissa" "no" "wild" "single" 0.846 6
54 "Marshall, D.S. & Keough, M.J." "2003" "Uniophora_granifera" "no" "wild" "single" 0.738 13
55 "Moland, E., Olsen, E.M. & Stenseth, N.C." "2010" "Homarus_gammarus" "no" "wild" "single" 0.623 45
57 "Nasution, S., Roberts, D., Farnsworth, K., Parker, G.A. & Elwood, R.W." "2010" "Buccinum_undatum" "no" "captive" "single" 0.807 39
58 "Parker, T.H." "2005" "Gallus_gallus" "yes" "captive" "single" 0.617 71
59 "Goodman, B.A." "2006" "Carlia_rubrigularis" "yes" "wild" "single" 0.45 67
59 "Goodman, B.A." "2006" "Carlia_rubrigularis" "yes" "wild" "single" 0.39 67
62 "Higashitani, T., Takatsu, T., Nakaya, M., Joh, M. & Takahashi, T." "2007" "Pseudopleuronectes_yokohamae" "no" "wild" "single" 0.2 129
63 "Ji, X. & Du, W.G., Qu, Y.F. & Lin, L.H." "2009" "Naja_atra" "yes" "wild" "single" 0.352 50
64 "Kim, J.Y. & Thorp, R.W." "2001" "Megachile_apicalis" "no" "captive" "single" 0.48 28
64 "Kim, J.Y. & Thorp, R.W." "2001" "Megachile_apicalis" "no" "captive" "single" 0.21 23
65 "Kudo S" "2006" "Elasmucha_signoreti" "no" "wild" "single" 0.57 24
67 "Madsen, T. & Shine, R." "1992" "Vipera_berus" "yes" "wild" "single" 0.33 31
68 "Madsen, T. & Shine, R." "1996" "Liasis_fuscus" "yes" "wild" "single" 0.79 56
68 "Madsen, T. & Shine, R." "1996" "Liasis_fuscus" "yes" "wild" "single" 0.34 56
70 "McKee, D." "1997" "Daphnia_magna" "no" "wild" "single" 0.02 320
71 "Morag, N., Bouskila, A., Rapp, O., Segoli, M., Keasae, T. & Harari, A.R." "2011" "Copidosoma_koehleri" "no" "captive" "single" -0.173 44
72 "Ojanguren, A.F., Reyes-Gavilin, F.G. & Braa, F." "1996" "Salmo_trutta" "no" "captive" "single" 0.809 14
72 "Ojanguren, A.F., Reyes-Gavilin, F.G. & Braa, F." "1996" "Salmo_trutta" "no" "captive" "single" 0.906 14
74 "Radder, R.S. & Shanbhag, B.A." "2004" "Calotes_versicolor" "yes" "wild" "single" 0.31 25
76 "Rowe, J.W." "1995" "Chrysemys_picta" "yes" "wild" "single" 0.62 24
76 "Rowe, J.W." "1995" "Chrysemys_picta" "yes" "wild" "single" 0.74 33
77 "Sato, T. & Suzuki, N" "2010" "Birgus_latro" "no" "wild" "single" 0.389 30
78 "Sinervo, B." "1990" "Sceloporus_occidentalis" "yes" "wild" "single" 0.21 455
78 "Sinervo, B." "1990" "Sceloporus_occidentalis" "yes" "wild" "single" -0.09 305
78 "Sinervo, B." "1990" "Sceloporus_occidentalis" "yes" "wild" "single" 0.43 192
78 "Sinervo, B." "1990" "Sceloporus_occidentalis" "yes" "wild" "single" 0.32 392
81 "Weatherhead, P.J., Brown, G.P., Prosser, M.R. & Kissner, K.J." "1999" "Nerodia_sipedon" "yes" "wild" "single" 0.1 75
82 "Wilkinson, L.R. & Gibbons, J.W." "2005" "Kinosternon_subrubrum" "yes" "wild" "single" 0.433 635
82 "Wilkinson, L.R. & Gibbons, J.W." "2005" "Sternotherus_odoratus" "yes" "wild" "single" 0.39 46
82 "Wilkinson, L.R. & Gibbons, J.W." "2005" "Pseudemys_floridana" "yes" "wild" "single" 0.568 79
83 "Hendry, A.P., Day, T. & Cooper, A.B." "2001" "Oncorhynchus_nerka" "no" "captive" "life" 0.435 1755
83 "Hendry, A.P., Day, T. & Cooper, A.B." "2001" "Oncorhynchus_nerka" "no" "captive" "life" 0.62 202
83 "Hendry, A.P., Day, T. & Cooper, A.B." "2001" "Oncorhynchus_kisutch" "no" "captive" "life" 0.563 495
83 "Hendry, A.P., Day, T. & Cooper, A.B." "2001" "Oncorhynchus_masou" "no" "wild" "life" 0.51 153
83 "Hendry, A.P., Day, T. & Cooper, A.B." "2001" "Oncorhynchus_nerka" "no" "wild" "life" 0.699 586
84 "Valentinsson, D." "2002" "Buccinum_undatum" "no" "wild" "single" 0.1 27
85 "Walker, S.E., Rypstra, A.L. & Marshall, S.D." "2003" "Hogna_helluo" "no" "captive" "single" -0.095 17
86 "Brown, G.P. & Shine, R." "2005" "Tropidonophis_mairii" "yes" "wild" "single" 0.64 318
87 "Stelzer, C.P." "2002" "Synchaeta_pectinata" "no" "captive" "single" 0.44 55
88 "Ji, X. & Wang, Z.W." "2005" "Naja_atra" "yes" "wild" "single" 0.504 150
89 "Noriyuki, S., Kishi, S. & Nishida, T." "2010" "Ypthima_multistriata" "no" "wild" "single" 0.05 22
89 "Noriyuki, S., Kishi, S. & Nishida, T." "2010" "Ypthima_multistriata" "no" "wild" "single" 0.287 20
90 "Wederkind, C., Strahm, D. & Schochrer, L." "1998" "Schistocephalus_solidus" "no" "captive" "single" 0.53 40
90 "Wederkind, C., Strahm, D. & Schochrer, L." "1998" "Schistocephalus_solidus" "no" "captive" "single" 0.34 22
91 "Luiselli, L., Capula, M. & Shine, R." "1996" "Coronella_austriaca" "yes" "wild" "single" 0.5 28
92 "Newbrey, J.L. & Reed, W.L." "2009" "Xanthocephalus_xanthocephalus" "yes" "wild" "single" 0.417 26
92 "Newbrey, J.L. & Reed, W.L." "2009" "Xanthocephalus_xanthocephalus" "yes" "wild" "single" -0.316 13
93 "Fox, C.W." "1997" "Stator_limbatus" "no" "captive" "single" 0.027 30
93 "Fox, C.W." "1997" "Stator_limbatus" "no" "captive" "single" 0.336 30
95 "Herbinnger, C.M., Doyle, R.W., Pitman, E.R., Paquet, D., Mesa, K.A., Morris, D.B., Wright, J.M. & Cook, D." "1995" "Oncorhynchus_mykiss" "no" "captive" "single" 0.133 10
96 "Koskela, E., Huitu, O, Koivula, M., Korpimpski, E & Mappes, T." "2004" "Microtus_agrestis" "yes" "wild" "single" 0.182 77
96 "Koskela, E., Huitu, O, Koivula, M., Korpimpski, E & Mappes, T." "2004" "Microtus_agrestis" "yes" "wild" "single" 0.42 86
97 "Rollison, N." NA "Chelydra_serpentina" "yes" "wild" "single" 0.332 23
97 "Rollison, N." NA "Glyptemys_inscupta" "yes" "wild" "single" 0.479 25
98 "Shibata, F. & Kawamichi, T." "2009" "Apodemus_argenteus" "yes" "wild" "single" 0.114 43
99 "Rowe, J.W., Coval, K.A. & Campbell, K.C." "2003" "Chrysemys_picta" "yes" "wild" "single" 0.43 144
100 "Uller, T. & Olsson, M." "2010" "Ctenophorus_fordi" "yes" "wild" "life" 0.41 95
101 "Rollison, N., Brooks, R.J." "2008" "Chrysemys_picta" "yes" "wild" "single" 0.502 87
103 "Heath, D.D., Fox, C.W. & Heath, J.W." "1999" "Oncorhynchus_tshawytscha" "no" "captive" "life" 0.68 60
103 "Heath, D.D., Fox, C.W. & Heath, J.W." "1999" "Oncorhynchus_tshawytscha" "no" "captive" "life" 0.636 80
105 "Dziminski, M.A., Vercoe, P.E. & Roberts, J.D. " "2006" "Crinia_georgiana" "no" "wild" "single" 0.799 33
106 "Lampert, W." "1993" "Daphnia_magna" "no" "captive" "single" 0.572 37
107 "Zuniga-Vega, J.J., Suarez-Rodriguez, M., Espinosa-Perez, H. & Johnson, J.B." "2011" "Poecilia_butleri" "no" "wild" "single" 0.086 220
108 "Cox, R.M., Duryea, M.C., Najarro, M. & Calsbeek, R." "2010" "Anolis_sagrei" "yes" "captive" "single" -0.055 119
108 "Cox, R.M., Duryea, M.C., Najarro, M. & Calsbeek, R." "2010" "Anolis_sagrei" "yes" "captive" "single" 0.084 133
112 "Halstead, B.J., Wylie, G.D., Casazza, M.L. & Coates, P.S." "2011" "Thamnophis_gigas" "yes" "wild" "single" 0.163 11
113 "Lim, J.N." NA "Gambusia_affinis" "no" "captive" "single" -0.311 32
114 "Arcos-Garcia, J. L., Martinez, G. D. M., Gama, R. B., Barros, O. V. E. & Morales, G. E. L." "2010" "Iguana_iguana" "yes" "captive" "single" 0.17 137
115 "Bager, A., De Freitas, T. R. O. & Krause, L." "2007" "Trachemys_dorbignyi" "yes" "wild" "single" 0.476 30
119 "Bauerfeind, S. S. & Fischer, K." "2008" "Pararge_aegeria" "no" "captive" "single" -0.07 51
119 "Bauerfeind, S. S. & Fischer, K." "2008" "Lycaena_tityrus" "no" "captive" "single" 0.05 60
119 "Bauerfeind, S. S. & Fischer, K." "2008" "Pieris_napi" "no" "captive" "single" -0.08 139
119 "Bauerfeind, S. S. & Fischer, K." "2008" "Papilio_machaon" "no" "captive" "single" 0.3 216
119 "Bauerfeind, S. S. & Fischer, K." "2008" "Araschnia_levana" "no" "captive" "single" 0.47 48
120 "Bidwell, M. T. & Dawson, R. D." "2005" "Tachycineta_bicolor" "yes" "wild" "single" 0.13 21
122 "Blomqvist, D. & Johansson, O. C." "1995" "Vanellus_vanellus" "yes" "wild" "single" 0.503 41
123 "Bradshaw, W. E., Holzapfel, C. M. & Oneill, T." "1993" "Wyeomyia_smithii" "no" "captive" "single" 0.011 41
124 "Brana, F., Bea, A. & Arrayago, M. J." "1991" "Iberolacerta_monticola" "yes" "captive" "single" 0.58 12
124 "Brana, F., Bea, A. & Arrayago, M. J." "1991" "Podarcis_muralis" "yes" "captive" "single" 0.72 9
125 "Brooks, R. J., Shilton, C. M., Brown, G. P. & Quinn, N. W. S." "1992" "Clemmys_insculpta" "yes" "wild" "single" 0.47 15
127 "Brown, C. A., Sanford, B. M. & Swerdon, R. R." "2003" "Pirata_sedentarius" "no" "captive" "single" 0.283 16
127 "Brown, C. A., Sanford, B. M. & Swerdon, R. R." "2003" "Pirata_sedentarius" "no" "captive" "single" -0.465 6
127 "Brown, C. A., Sanford, B. M. & Swerdon, R. R." "2003" "Pirata_sedentarius" "no" "captive" "single" -0.045 18
128 "Brown, C. A." "2004" "Centruroides_exilicauda" "no" "captive" "single" -0.324 18
128 "Brown, C. A." "2004" "Centruroides_exilicauda" "no" "captive" "single" 0.084 14
128 "Brown, C. A." "2004" "Vaejovis_sp" "no" "captive" "single" 0.1 18
128 "Brown, C. A." "2004" "Diplocentrus_peloncillensis" "no" "captive" "single" 0.283 6
128 "Brown, C. A." "2004" "Pseudouroctonus_apacheanus" "no" "captive" "single" 0.51 4
131 "Castilla, A. M., Barbadillo, L. J. & Bauwens, D." "1992" "Acanthodactylus_erythrurus" "yes" "captive" "single" 0.901 14
132 "Castilla, A. M. & Bauwens, D." "2000a" "Podarcis_atrata" "yes" "captive" "single" 0.084 82
133 "Castilla, A. M. & Bauwens, D." "2000b" "Podarcis_lilfordi" "yes" "captive" "single" 0.192 11
134 "Castro-Franco, R., Bustos-Zagal, M. G. & Mendez-De la Cruz, F. R." "2011" "Ctenosaura_pectinata" "yes" "captive" "single" 0.183 28
136 "Clark, D. R., Bunck, C. M. & Hall, R. J." "1997" "Diadophis_punctatus" "yes" "captive" "single" 0.15 47
137 "Clark, P. J., Ewert, M. A. & Nelson, C. E." "2001" "Sternotherus_odoratus" "yes" "wild" "single" 0.564 70
139 "Congdon, J. D. & Sels, R. C. V." "1991" "Emydoidea_blandingii" "yes" "wild" "single" 0.226 215
141 "Daza, J. M. & Paez, V. P." "2007" "Trachemys_callirostris" "yes" "wild" "single" 0.356 54
144 "Doughty, P." "1996" "Gehyra_dubia" "yes" "captive" "single" 0.45 20
144 "Doughty, P." "1996" "Gehyra_variegata" "yes" "captive" "single" 0.26 27
144 "Doughty, P." "1996" "Oedura_lesueurii" "yes" "captive" "single" 0.2 20
146 "Du, W. G., Ji, X. & Shine, R." "2005" "Takydromus_septentrionalis" "yes" "captive" "single" 0.1 89
147 "Du, Y., Lin, C. X., Lin, L. H., Qiu, Q. B. & Ji, X." "2011" "Leiolepis_reevesii" "yes" "captive" "single" 0.213 200
148 "Dufva, R." "1996" "Parus_major" "yes" "wild" "single" 0.37 73
151 "Formanowicz, D. R. & Shaffer, L. R." "1993" "Centruroides_vittatus" "no" "captive" "single" 0.051 34
153 "Fox, S. F. & McCoy, J. K." "2000" "Uta_stansburiana" "yes" "captive" "single" 0.245 22
154 "Fuller, R. C." "1998" "Etheostoma_caeruleum" "no" "captive" "single" 0.537 19
155 "Galan, P." "1997" "Podarcis_bocagei" "yes" "wild" "single" 0.597 42
156 "Galan, P." "2007" "Podarcis_hispanica" "yes" "captive" "single" 0.48 34
159 "Guill, J. M. & Heins, D. C." "1996" "Etheostoma_zonale" "no" "captive" "single" 0.272 46
159 "Guill, J. M. & Heins, D. C." "2000" "Etheostoma_zonale" "no" "captive" "single" 0.628 21
160 "Heins, D. C." "1991" "Notropis_longirostris" "no" "wild" "single" 0.928 33
160 "Heins, D. C." "1991" "Notropis_longirostris" "no" "wild" "single" 0.423 15
160 "Heins, D. C." "1991" "Notropis_longirostris" "no" "wild" "single" 0.197 20
160 "Heins, D. C." "1991" "Notropis_longirostris" "no" "wild" "single" 0.191 21
160 "Heins, D. C." "1991" "Notropis_longirostris" "no" "wild" "single" 0.182 17
160 "Heins, D. C." "1991" "Notropis_longirostris" "no" "wild" "single" 0.067 24
160 "Heins, D. C." "1991" "Notropis_longirostris" "no" "wild" "single" 0.171 10
160 "Heins, D. C." "1991" "Etheostoma_simoterum" "no" "wild" "single" 0.91 9
162 "Heins, D. C., Baker, J. A., Toups, M. A. & Birden, E. L." "2010" "Gasterosteus_aculeatus" "no" "wild" "single" 0.143 19
162 "Heins, D. C., Baker, J. A., Toups, M. A. & Birden, E. L." "2010" "Gasterosteus_aculeatus" "no" "wild" "single" 0.094 60
162 "Heins, D. C., Baker, J. A., Toups, M. A. & Birden, E. L." "2010" "Gasterosteus_aculeatus" "no" "wild" "single" 0.143 193
162 "Heins, D. C., Baker, J. A., Toups, M. A. & Birden, E. L." "2010" "Gasterosteus_aculeatus" "no" "wild" "single" 0.403 160
163 "Hendrickx, F. & Maelfait, J. P." "2003" "Pirata_piraticus" "no" "captive" "single" 0.02 28
164 "Herreras, M. V., Montero, F. E., Marcogliese, D. J., Raga, J. A. & Balbuena, J. A." "2007" "Anisakis_simplex" "no" "wild" "single" 0.42 50
165 "Herrmann, P. A. & Herrmann, H. W." "2005" "Chamaeleo_montium" "yes" "captive" "single" 0.32 49
172 "Iverson, J. B., Higgins, H., Sirulnik, A. & Griffiths, C." "1997" "Chelydra_serpentina" "yes" "wild" "single" 0.58 21
173 "Iverson, J. B., Barthelmess, E. L., Smith, G. R. & Derivera, C. E." "1991" "Kinosternon_hirtipes" "yes" "wild" "single" 0.52 20
174 "Iverson, J. B. & Smith, G. R." "1993" "Chrysemys_picta" "yes" "wild" "single" 0.71 203
175 "Iverson, J. B. & Moler, P. E." "1997" "Apalone_ferox" "yes" "wild" "single" 0.21 41
176 "Iverson, J. B." "2002" "Sternotherus_carinatus" "yes" "wild" "single" 0.63 41
177 "Iverson, J. B., Hines, K. N. & Valiulis, J. M." "2004" "Cyclura_cychlura" "yes" "wild" "single" 0.02 74
178 "Iverson, J. B." "2010" "Kinosternon_scorpioides" "yes" "wild" "single" 0.59 9
179 "Iverson, J. B., Young, C. A., Akre, T. S. B. & Griffiths, C. M." "2012" "Pituophis_catenifer" "yes" "wild" "single" 0.27 39
180 "Ji, X., Qiu, Q. B. & Diong, C. H." "2002" "Calotes_versicolor" "yes" "captive" "single" 0.173 20
181 "Jones, R. L." "2006" "Graptemys_oculifera" "yes" "wild" "single" 0.314 23
182 "Jonsson, N. & Jonsson, B." "1999" "Salmo_trutta" "no" "captive" "single" 0.814 98
182 "Jonsson, N. & Jonsson, B." "1999" "Salmo_trutta" "no" "captive" "single" 0.693 22
182 "Jonsson, N. & Jonsson, B." "1999" "Salmo_trutta" "no" "captive" "single" 0.164 150
183 "Jordan, M. A. & Snell, H. L." "2002" "Microlophus_delanonis" "yes" "wild" "single" 0.155 325
184 "Kamosawa, M. & Ota, H." "1996" "Ramphotyphlops_braminus" "yes" "captive" "single" -0.328 19
185 "Kaplan, R. H. & King, E. G." "1997" "Bombina_orientalis" "no" "captive" "single" 0.153 25
185 "Kaplan, R. H. & King, E. G." "1997" "Bombina_orientalis" "no" "captive" "single" -0.056 44
185 "Kaplan, R. H. & King, E. G." "1997" "Bombina_orientalis" "no" "captive" "single" 0.375 13
185 "Kaplan, R. H. & King, E. G." "1997" "Bombina_orientalis" "no" "captive" "single" 0.458 35
185 "Kaplan, R. H. & King, E. G." "1997" "Bombina_orientalis" "no" "captive" "single" 0.284 26
185 "Kaplan, R. H. & King, E. G." "1997" "Bombina_orientalis" "no" "captive" "single" 0.091 32
185 "Kaplan, R. H. & King, E. G." "1997" "Bombina_orientalis" "no" "captive" "single" 0.246 91
185 "Kaplan, R. H. & King, E. G." "1997" "Bombina_orientalis" "no" "captive" "single" 0.231 76
185 "Kaplan, R. H. & King, E. G." "1997" "Bombina_orientalis" "no" "captive" "single" 0.319 240
185 "Kaplan, R. H. & King, E. G." "1997" "Bombina_orientalis" "no" "captive" "single" 0.285 292
186 "Kennett, R." "1999" "Chelodina_rugosa" "yes" "wild" "single" 0.27 69
186 "Kennett, R." "1999" "Elseya_dentata" "yes" "wild" "single" 0.245 21
188 "Kiefer, M. C., Van Sluys, M. & Rocha, C. F. D." "2008" "Tropidurus_torquatus" "yes" "wild" "single" 0.513 76
189 "King, R. B." "1993" "Storeria_dekayi" "yes" "captive" "single" 0.5 25
190 "Knapp, C. R., Iverson, J. B. & Owens, A. K." "2006" "Cyclura_cychlura" "yes" "wild" "single" 0.48 32
190 "Knapp, C. R., Iverson, J. B. & Owens, A. K." "2006" "Cyclura_cychlura" "yes" "wild" "single" 0.032 70
192 "Lardies, M. A. & Wehrtmann, I. S." "1997" "Betaeus_emarginatus" "no" "captive" "single" 0.663 38
194 "Lichtenbelt, W. D. V. & Albers, K. B." "1993" "Iguana_iguana" "yes" "captive" "single" 0.28 68
194 "Lichtenbelt, W. D. V. & Albers, K. B." "1993" "Iguana_iguana" "yes" "captive" "single" 0.38 28
195 "Lin, L. H., Mao, F., Chen, C. & Ji, X." "2012" "Ptyas_korros" "yes" "captive" "single" 0.326 77
196 "Lin, Z. H., Ji, X., Luo, L. G. & Ma, X. M." "2005" "Deinagkistrodon_acutus" "yes" "captive" "single" 0.464 16
197 "Litzgus, J. D., Bolton, F. & Schulte-Hostedde, A. I." "2008" "Clemmys_guttata" "yes" "wild" "single" 0.726 11
