table id trial                          ai   n1i    ci   n2i
12a 5.10 "BHAT"                         64  1916    89  1921
12a 5.11 "Julian"                       25   873    14   583
12a 5.12 "Australian/Swedish"           NA    NA    NA    NA
12a 5.13 "Manger Cats"                   7   290    11   293
12a 5.14 "EIS"                          25   858    24   883
12a 5.15 "Rehnqvist"                     9   154    21   147
12a 5.16 "Ciba-Geigy"                   NA    NA    NA    NA
12b 5.1  "Reynolds"                      0    39     0    39
12b 5.2  "Wilhelmsson"                   4   114     3   116
12b 5.3  "Ahlmark"                       4    69     2    93
12b 5.4  "Multicentre Int"              73  1533    76  1520
12b 5.5  "Baber"                        18   355    21   365
12b 5.6  "Rehnqvist"                     1    59     2    52
12b 5.7  "Norwegian Multicentre"        32   945    42   939
12b 5.8  "Taylor"                       27   632    23   471
12b 5.9  "Hansteen"                     14   278    14   282
12b 5.10 "BHAT"                         74  1916    99  1921
12b 5.11 "Julian"                       39   873    38   583
12b 5.12 "Australian/Swedish"           NA    NA    NA    NA
12b 5.13 "Manger Cats"                   2   290     5   293
12b 5.14 "EIS"                          32   858    21   883
12b 5.15 "Rehnqvist"                    16   154    10   147
12b 5.16 "Ciba-Geigy"                   NA    NA    NA    NA
