"study.id"	"effect.size.id"	"species"	"species.id"	"subphylum"	"phylum"	"assortment.trait"	"trait.dimensions"	"field.collection"	"publication.year"	"pooled.data"	"spatially.pooled.data"	"temporally.pooled.data"	"ri"	"ni"
"Arnqvist 1996"	54	"Aquarius remigis"	"Aquarius_remigis_ott436657"	"Insecta"	"Arthropoda"	"body length"	"uni"	"yes"	1996	"no"	"no"	"no"	-0.03	12
"Arnqvist 1996"	55	"Aquarius remigis"	"Aquarius_remigis_ott436657"	"Insecta"	"Arthropoda"	"body length"	"uni"	"yes"	1996	"no"	"no"	"no"	0.12	14
"Arnqvist 1996"	56	"Aquarius remigis"	"Aquarius_remigis_ott436657"	"Insecta"	"Arthropoda"	"body length"	"uni"	"yes"	1996	"no"	"no"	"no"	0.05	26
"Arnqvist 1996"	57	"Aquarius remigis"	"Aquarius_remigis_ott436657"	"Insecta"	"Arthropoda"	"body length"	"uni"	"yes"	1996	"no"	"no"	"no"	-0.16	12
"Arnqvist 1996"	58	"Aquarius remigis"	"Aquarius_remigis_ott436657"	"Insecta"	"Arthropoda"	"body length"	"uni"	"yes"	1996	"no"	"no"	"no"	0.36	21
"Arnqvist 1996"	59	"Aquarius remigis"	"Aquarius_remigis_ott436657"	"Insecta"	"Arthropoda"	"body length"	"uni"	"yes"	1996	"no"	"no"	"no"	0.29	20
"Arnqvist 1996"	60	"Aquarius remigis"	"Aquarius_remigis_ott436657"	"Insecta"	"Arthropoda"	"body length"	"uni"	"yes"	1996	"no"	"no"	"no"	0.1	29
"Arnqvist 1996"	61	"Aquarius remigis"	"Aquarius_remigis_ott436657"	"Insecta"	"Arthropoda"	"body length"	"uni"	"yes"	1996	"no"	"no"	"no"	0.05	44
"Arnqvist 1996"	62	"Aquarius remigis"	"Aquarius_remigis_ott436657"	"Insecta"	"Arthropoda"	"body length"	"uni"	"yes"	1996	"no"	"no"	"no"	0.02	16
"Arnqvist 1996"	63	"Aquarius remigis"	"Aquarius_remigis_ott436657"	"Insecta"	"Arthropoda"	"body length"	"uni"	"yes"	1996	"no"	"no"	"no"	-0.2	15
"Arnqvist 1996"	64	"Aquarius remigis"	"Aquarius_remigis_ott436657"	"Insecta"	"Arthropoda"	"body length"	"uni"	"yes"	1996	"no"	"no"	"no"	-0.1	38
"Arnqvist 1996"	65	"Aquarius remigis"	"Aquarius_remigis_ott436657"	"Insecta"	"Arthropoda"	"body length"	"uni"	"yes"	1996	"no"	"no"	"no"	0.4	24
"Arntzen 1999"	66	"Bufo bufo"	"Bufo_bufo_ott889350"	"Amphibia"	"Chordata"	"snout-urostyle length"	"uni"	"yes"	1999	"no"	"no"	"no"	0.35	49
"Arntzen 1999"	67	"Bufo bufo"	"Bufo_bufo_ott889350"	"Amphibia"	"Chordata"	"snout-urostyle length"	"uni"	"yes"	1999	"no"	"no"	"no"	0.32	25
"Arntzen 1999"	68	"Bufo bufo"	"Bufo_bufo_ott889350"	"Amphibia"	"Chordata"	"snout-urostyle length"	"uni"	"yes"	1999	"no"	"no"	"no"	0.18	22
"Arntzen 1999"	69	"Bufo bufo"	"Bufo_bufo_ott889350"	"Amphibia"	"Chordata"	"snout-urostyle length"	"uni"	"yes"	1999	"no"	"no"	"no"	-0.05	64
"Avaca et al. 2012"	70	"Buccinanops globulosus"	"Buccinanops_globulosus_ott440289"	"Gastropoda"	"Lophotrochozoa"	"shell length"	"uni"	"yes"	2012	"yes"	"no"	"yes"	0.47	104
"Avaca et al. 2012"	71	"Buccinanops globulosus"	"Buccinanops_globulosus_ott440289"	"Gastropoda"	"Lophotrochozoa"	"shell length"	"uni"	"yes"	2012	"no"	"no"	"no"	0.464	53
"Avaca et al. 2012"	72	"Buccinanops globulosus"	"Buccinanops_globulosus_ott440289"	"Gastropoda"	"Lophotrochozoa"	"shell length"	"uni"	"yes"	2012	"no"	"no"	"no"	0.817	10
"Avaca et al. 2012"	73	"Buccinanops globulosus"	"Buccinanops_globulosus_ott440289"	"Gastropoda"	"Lophotrochozoa"	"shell length"	"uni"	"yes"	2012	"no"	"no"	"no"	0.3	40
"Awata and Kohda 2004"	74	"Julidochromis ornatus"	"Julidochromis_ornatus_ott97293"	"Teleostei"	"Chordata"	"body length"	"uni"	"yes"	2004	"yes"	"yes"	"yes"	0.33	55
"Baeza and Diaz-Valdes 2011"	75	"Ascidonia flavomaculata"	"Ascidonia_flavomaculata_ott4665759"	"Crustacea"	"Arthropoda"	"carapace length"	"uni"	"yes"	2011	"no"	"no"	"no"	0.084	9
"Baeza and Diaz-Valdes 2011"	76	"Ascidonia flavomaculata"	"Ascidonia_flavomaculata_ott4665759"	"Crustacea"	"Arthropoda"	"carapace length"	"uni"	"yes"	2011	"no"	"no"	"no"	0.221	20
"Baeza et al. 2011"	77	"Pontonia mexicana"	"Pontonia_mexicana_ott1068125"	"Crustacea"	"Arthropoda"	"carapace length"	"uni"	"yes"	2011	"no"	"no"	"no"	0.29	74
"Baeza et al. 2013"	78	"Paranchistus pycnodontae"	"Paranchistus_pycnodontae_ott5090016"	"Crustacea"	"Arthropoda"	"carapace length"	"uni"	"yes"	2013	"yes"	"yes"	"no"	0.61	21
"Baeza et al. 2013"	79	"Paranchistus pycnodontae"	"Paranchistus_pycnodontae_ott5090016"	"Crustacea"	"Arthropoda"	"propodus length"	"uni"	"yes"	2013	"yes"	"yes"	"no"	0.49	29
"Baldwin and Damon 1973"	80	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"ear length"	"uni"	"yes"	1973	"no"	"no"	"no"	0.23	49
"Baldwin and Damon 1973"	81	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"nose height"	"uni"	"yes"	1973	"no"	"no"	"no"	0.19	49
"Baldwin and Damon 1973"	82	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"body height"	"uni"	"yes"	1973	"no"	"no"	"no"	0.12	49
"Baldwin and Damon 1973"	83	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"weight"	"uni"	"yes"	1973	"no"	"no"	"no"	0.01	49
"Baldwin and Damon 1973"	84	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"nose height"	"uni"	"yes"	1973	"no"	"no"	"no"	0.3	49
"Baldwin and Damon 1973"	85	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"weight"	"uni"	"yes"	1973	"no"	"no"	"no"	0.02	49
"Baldwin and Damon 1973"	86	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"ear length"	"uni"	"yes"	1973	"no"	"no"	"no"	0.02	49
"Baldwin and Damon 1973"	87	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"body height"	"uni"	"yes"	1973	"no"	"no"	"no"	-0.1	49
"Baldwin and Damon 1973"	88	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"ear length"	"uni"	"yes"	1973	"no"	"no"	"no"	0.15	50
"Baldwin and Damon 1973"	89	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"weight"	"uni"	"yes"	1973	"no"	"no"	"no"	0.11	50
"Baldwin and Damon 1973"	90	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"nose height"	"uni"	"yes"	1973	"no"	"no"	"no"	0.08	50
"Baldwin and Damon 1973"	91	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"body height"	"uni"	"yes"	1973	"no"	"no"	"no"	-0.05	50
"Baldwin and Damon 1973"	92	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"ear length"	"uni"	"yes"	1973	"no"	"no"	"no"	0.31	64
"Baldwin and Damon 1973"	93	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"nose height"	"uni"	"yes"	1973	"no"	"no"	"no"	0.15	64
"Baldwin and Damon 1973"	94	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"body height"	"uni"	"yes"	1973	"no"	"no"	"no"	0.12	64
"Baldwin and Damon 1973"	95	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"weight"	"uni"	"yes"	1973	"no"	"no"	"no"	0.08	64
"Barquero and Hilfe 2017"	96	"Engystomops putulosus"	"Engystomops_pustulatus_ott262685"	"Amphibia"	"Chordata"	"snout-vent length"	"uni"	"yes"	2017	"no"	"no"	"no"	-0.086	34
"Baruch et al. 2017"	97	"Phloeosinus armatus"	"Phloeosinus_armatus_ott3409670"	"Insecta"	"Arthropoda"	"pronotal width"	"uni"	"yes"	2017	"yes"	"no"	"yes"	0.318	125
"Basto-Riascos et al. 2017"	98	"Espadarana prosoblepon"	"Espadarana_prosoblepon_ott226407"	"Amphibia"	"Chordata"	"snout-vent length"	"uni"	"yes"	2017	"yes"	"no"	"yes"	0.293	10
"Bastos and Haddad 1996"	99	"Dendropsophus elegans"	"Dendropsophus_elegans_ott108403"	"Amphibia"	"Chordata"	"snout-vent length"	"uni"	"yes"	1996	"yes"	"no"	"yes"	0.42	51
"Bastos and Haddad 1996"	100	"Dendropsophus elegans"	"Dendropsophus_elegans_ott108403"	"Amphibia"	"Chordata"	"weight"	"uni"	"yes"	1996	"yes"	"no"	"yes"	0.19	51
"Bastos-Pereira and Bueno 2016"	101	"Hyalella longistila"	"Hyalella_longistilus_ott2983719"	"Crustacea"	"Arthropoda"	"cephalothorax length"	"uni"	"yes"	2016	"yes"	"no"	"yes"	0.988	37
"Baur 1992"	102	"Arianta arbustorum"	"Arianta_arbustorum_styriaca_ott69183"	"Gastropoda"	"Lophotrochozoa"	"shell volume"	"tri"	"yes"	1992	"no"	"no"	"no"	0.245	35
"Baur 1992"	103	"Helix pomatia"	"Helix_pomatia_ott349693"	"Gastropoda"	"Lophotrochozoa"	"shell volume"	"tri"	"yes"	1992	"no"	"no"	"no"	0.19	83
"Baxter 1997"	104	"Salvelinus confluentus"	"Salvelinus_confluentus_ott688321"	"Teleostei"	"Chordata"	"body length"	"uni"	"yes"	1997	"yes"	"yes"	"yes"	0.37	64
"Beaulieu et al. 2010"	105	"Pygoscelis adeliae"	"Pygoscelis_adeliae_ott494357"	"Aves"	"Chordata"	"weight"	"uni"	"yes"	2010	"yes"	"no"	"yes"	0.03	18
"Becker et al. 2012"	106	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"body height"	"uni"	"yes"	2012	"yes"	"yes"	"no"	0.51	27
"Becker et al. 2012"	107	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"body height"	"uni"	"yes"	2012	"no"	"no"	"no"	0.23	72
"Beeching and Hopp 1999"	108	"Amatitlania nigrofasciata"	"Amatitlania_nigrofasciata_ott170115"	"Teleostei"	"Chordata"	"standard length"	"uni"	"no"	1999	"no"	"no"	"no"	0.017	17
"Beeching et al. 2004"	109	"Amatitlania nigrofasciata"	"Amatitlania_nigrofasciata_ott170115"	"Teleostei"	"Chordata"	"standard length"	"uni"	"no"	2004	"no"	"no"	"no"	0.47	40
"Bel-Venner et al. 2008"	110	"Zygiella x-notata"	"Zygiella_x-notata_ott504327"	"Chelicerata"	"Arthropoda"	"residual size"	"dimensionless"	"yes"	2008	"no"	"no"	"no"	-0.171	44
"Bel-Venner et al. 2008"	111	"Zygiella x-notata"	"Zygiella_x-notata_ott504327"	"Chelicerata"	"Arthropoda"	"residual size"	"dimensionless"	"yes"	2008	"no"	"no"	"no"	0.488	32
"Benvenuto et al. 2009"	112	"Limnadia badia"	"Limnadia_badia_ott746551"	"Crustacea"	"Arthropoda"	"body length"	"uni"	"yes"	2009	"no"	"no"	"no"	0.82	11
"Bernstein and Bernstein 1999"	113	"Chauliognathus basalis"	"Chauliognathus_basalis_ott3413950"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1999	"no"	"no"	"no"	0.53	10
"Bernstein and Bernstein 1999"	114	"Chauliognathus basalis"	"Chauliognathus_basalis_ott3413950"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1999	"no"	"no"	"no"	0.53	12
"Bernstein and Bernstein 1999"	115	"Chauliognathus basalis"	"Chauliognathus_basalis_ott3413950"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1999	"no"	"no"	"no"	0.04	40
"Bernstein and Bernstein 1999"	116	"Chauliognathus deceptus"	"Chauliognathus_deceptus_ott3413977"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1999	"no"	"no"	"no"	0.42	30
"Bernstein and Bernstein 1999"	117	"Chauliognathus basalis"	"Chauliognathus_basalis_ott3413950"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1999	"no"	"no"	"no"	0.1	40
"Bernstein and Bernstein 1999"	118	"Chauliognathus deceptus"	"Chauliognathus_deceptus_ott3413977"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1999	"no"	"no"	"no"	0.65	28
"Bernstein and Bernstein 1999"	119	"Chauliognathus basalis"	"Chauliognathus_basalis_ott3413950"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1999	"no"	"no"	"no"	0.17	40
"Bernstein and Bernstein 1999"	120	"Chauliognathus deceptus"	"Chauliognathus_deceptus_ott3413977"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1999	"no"	"no"	"no"	0.16	38
"Bernstein and Bernstein 1999"	121	"Chauliognathus basalis"	"Chauliognathus_basalis_ott3413950"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1999	"no"	"no"	"no"	-0.09	40
"Bernstein and Bernstein 1999"	122	"Chauliognathus deceptus"	"Chauliognathus_deceptus_ott3413977"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1999	"no"	"no"	"no"	-0.02	36
"Bernstein and Bernstein 2003"	123	"Chauliognathus lewisi"	"Chauliognathus_lewisi_ott3413978"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	2003	"no"	"no"	"no"	-0.09	44
"Bernstein and Bernstein 2003"	124	"Chauliognathus limbicollis"	"Chauliognathus_limbicollis_ott3413962"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	2003	"no"	"no"	"no"	0.1	45
"Bernstein and Bernstein 2003"	125	"Chauliognathus obscurus"	"Chauliognathus_obscurus_ott3413960"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	2003	"no"	"no"	"no"	0.02	17
"Bernstein and Bernstein 2003"	126	"Chauliognathus werneri"	"Chauliognathus_werneri_ott3413957"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	2003	"no"	"no"	"no"	0.42	15
"Bernstein and Bernstein 2003"	127	"Chauliognathus deceptus"	"Chauliognathus_deceptus_ott3413977"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	2003	"no"	"no"	"no"	0.2	30
"Bernstein and Bernstein 2003"	128	"Chauliognathus deceptus"	"Chauliognathus_deceptus_ott3413977"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	2003	"no"	"no"	"no"	0.03	31
"Bernstein and Bernstein 2003"	129	"Chauliognathus deceptus"	"Chauliognathus_deceptus_ott3413977"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	2003	"no"	"no"	"no"	0.21	95
"Bernstein and Bernstein 2003"	130	"Chauliognathus arizonensis"	"Chauliognathus_arizonensis_ott3413984"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	2003	"no"	"no"	"no"	-0.05	30
"Bernstein and Bernstein 2003"	131	"Chauliognathus arizonensis"	"Chauliognathus_arizonensis_ott3413984"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	2003	"no"	"no"	"no"	0.28	15
"Bernstein and Bernstein 2003"	132	"Chauliognathus arizonensis"	"Chauliognathus_arizonensis_ott3413984"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	2003	"no"	"no"	"no"	-0.14	50
"Bernstein and Bernstein 2003"	133	"Chauliognathus arizonensis"	"Chauliognathus_arizonensis_ott3413984"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	2003	"no"	"no"	"no"	0.25	27
"Bernstein and Bernstein 2003"	134	"Chauliognathus arizonensis"	"Chauliognathus_arizonensis_ott3413984"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	2003	"no"	"no"	"no"	0.04	52
"Bernstein and Bernstein 2003"	135	"Chauliognathus basalis"	"Chauliognathus_basalis_ott3413950"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	2003	"no"	"no"	"no"	0.18	51
"Bernstein and Bernstein 2003"	136	"Chauliognathus scutellaris"	"Chauliognathus_scutellaris_ott3413954"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	2003	"no"	"no"	"no"	-0.11	26
"Bernstein and Bernstein 2003"	137	"Chauliognathus basalis"	"Chauliognathus_basalis_ott3413950"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	2003	"no"	"no"	"no"	0.15	21
