comp_ID,study_ID,dam_ID,animal_ID,Reference,species,strain,manip_type,manip_direction,nom_manip_val,exp,control,manip_parameter,vitmin_eql,adlib_con,adlib_exp,diet_con,diet_exp,dam_diet_start_dPC,dam_diet_end_dPC,diet_label,age_mating,n_con_dam,n_exp_dam,multi_use_con,dam_housing,temperature,photoperiod,litter_size,litter_size_equalized,crossfostered,sex,housing,bodymass_mean_contr,bodymass_SE_contr,bodymass_mean_exp,bodymass_SE_exp,bm_N_contr,bm_N_exp,bm_dPP,offspring_diet,offspring_con_adlib,offspring_diet_level,offspring_diet_end_dPP,post_diet_adlib,response_age_dPP,authors_behaviour_classification,our_behaviour_classification,response_test,time_trial,measure,unit,high_better,night/day,comparison,exp_mean,exp_se,exp_n,con_mean,con_se,con_n,con_ID,percentage,Data_source,measure_comments,SE_imputed,Comments
comp_11,s_01,D_02,A_02,Reyes-Castro et al. (2012a),rats,Wistar,protein,-,50%,10%,20%,protein content,yes,yes,yes,Zeiger_Rodent_RQ22-15,Zeiger_Rodent_RQ22-5_LP_isoc,22,43,lact,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,190,6,10,10,90,20% casein control,yes,Zeiger_Rodent_RQ22-15,21,yes,90,ANXIETY,ANXIETY,EPM,5,Open_arm_dist,m,yes,night,cc-cr,1.69,0.3,8,1.69,0.21,8,con_04,no,Fig. 1,NA,no,details of diet can be found in Zambrano et al. (2005). 
comp_12,s_01,D_03,A_03,Reyes-Castro et al. (2012a),rats,Wistar,protein,-,50%,10%,20%,protein content,yes,yes,yes,Zeiger_Rodent_RQ22-16,Zeiger_Rodent_RQ22-5_LP_isoc,1,43,pre+lact,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,199,10,10,10,90,20% casein control,yes,Zeiger_Rodent_RQ22-16,21,yes,90,ANXIETY,ANXIETY,EPM,5,Open_arm_dist,m,yes,night,cc-rr,0.8,0.19,8,1.69,0.21,8,con_04,no,Fig. 1,NA,no,details of diet can be found in Zambrano et al. (2005). 
comp_13,s_01,D_01,A_01,Reyes-Castro et al. (2012a),rats,Wistar,protein,-,50%,10%,20%,protein content,yes,yes,yes,Zeiger_Rodent_RQ22-17,Zeiger_Rodent_RQ22-5_LP_isoc,1,22,pre,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,200,7,10,10,90,20% casein control,yes,Zeiger_Rodent_RQ22-17,1,yes,90,EXPLORATION,ANXIETY,Open_Field,60,Center zone entries,#,yes,night,cc-rc,32.1,4.46,8,54.84,5.35,8,con_05,no,Fig. 1,NA,no,details of diet can be found in Zambrano et al. (2005). 
comp_14,s_01,D_02,A_02,Reyes-Castro et al. (2012a),rats,Wistar,protein,-,50%,10%,20%,protein content,yes,yes,yes,Zeiger_Rodent_RQ22-18,Zeiger_Rodent_RQ22-5_LP_isoc,22,43,lact,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,190,6,10,10,90,20% casein control,yes,Zeiger_Rodent_RQ22-18,21,yes,90,EXPLORATION,ANXIETY,Open_Field,60,Center zone entries,#,yes,night,cc-cr,39.23,6.24,8,54.84,5.35,8,con_05,no,Fig. 1,NA,no,details of diet can be found in Zambrano et al. (2005). 
comp_15,s_01,D_03,A_03,Reyes-Castro et al. (2012a),rats,Wistar,protein,-,50%,10%,20%,protein content,yes,yes,yes,Zeiger_Rodent_RQ22-19,Zeiger_Rodent_RQ22-5_LP_isoc,1,43,pre+lact,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,199,10,10,10,90,20% casein control,yes,Zeiger_Rodent_RQ22-19,21,yes,90,EXPLORATION,ANXIETY,Open_Field,60,Center zone entries,#,yes,night,cc-rr,41.46,4.46,8,54.84,5.35,8,con_05,no,Fig.2,NA,no,details of diet can be found in Zambrano et al. (2005). 
comp_16,s_01,D_01,A_01,Reyes-Castro et al. (2012a),rats,Wistar,protein,-,50%,10%,20%,protein content,yes,yes,yes,Zeiger_Rodent_RQ22-20,Zeiger_Rodent_RQ22-5_LP_isoc,1,22,pre,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,200,7,10,10,90,20% casein control,yes,Zeiger_Rodent_RQ22-20,1,yes,90,EXPLORATION,ANXIETY,Open_Field,60,Border_zone_entries,#,no,night,cc-rc,32.76,4.04,8,55.64,5.83,8,con_06,no,Fig.2,NA,no,details of diet can be found in Zambrano et al. (2005). 
comp_17,s_01,D_02,A_02,Reyes-Castro et al. (2012a),rats,Wistar,protein,-,50%,10%,20%,protein content,yes,yes,yes,Zeiger_Rodent_RQ22-21,Zeiger_Rodent_RQ22-5_LP_isoc,22,43,lact,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,190,6,10,10,90,20% casein control,yes,Zeiger_Rodent_RQ22-21,21,yes,90,EXPLORATION,ANXIETY,Open_Field,60,Border_zone_entries,#,no,night,cc-cr,39.49,6.28,8,55.64,5.83,8,con_06,no,Fig.2,NA,no,details of diet can be found in Zambrano et al. (2005). 
comp_18,s_01,D_03,A_03,Reyes-Castro et al. (2012a),rats,Wistar,protein,-,50%,10%,20%,protein content,yes,yes,yes,Zeiger_Rodent_RQ22-22,Zeiger_Rodent_RQ22-5_LP_isoc,1,43,pre+lact,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,199,10,10,10,90,20% casein control,yes,Zeiger_Rodent_RQ22-22,21,yes,90,EXPLORATION,ANXIETY,Open_Field,60,Border_zone_entries,#,no,night,cc-rr,41.73,4.49,8,55.64,5.83,8,con_06,no,Fig.2,NA,no,details of diet can be found in Zambrano et al. (2005). 
comp_19,s_01,D_01,A_01,Reyes-Castro et al. (2012a),rats,Wistar,protein,-,50%,10%,20%,protein content,yes,yes,yes,Zeiger_Rodent_RQ22-23,Zeiger_Rodent_RQ22-5_LP_isoc,1,22,pre,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,200,7,10,10,90,20% casein control,yes,Zeiger_Rodent_RQ22-23,1,yes,90,EXPLORATION,ANXIETY,Open_Field,60,Center_zone_time,sec,yes,night,cc-rc,131.85,26.75,8,200.64,26.75,8,con_07,no,Fig.2,NA,no,details of diet can be found in Zambrano et al. (2005). 
comp_20,s_01,D_02,A_02,Reyes-Castro et al. (2012a),rats,Wistar,protein,-,50%,10%,20%,protein content,yes,yes,yes,Zeiger_Rodent_RQ22-24,Zeiger_Rodent_RQ22-5_LP_isoc,22,43,lact,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,190,6,10,10,90,20% casein control,yes,Zeiger_Rodent_RQ22-24,21,yes,90,EXPLORATION,ANXIETY,Open_Field,60,Center_zone_time,sec,yes,night,cc-cr,221.66,43.95,8,200.64,26.75,8,con_07,no,Fig.2,NA,no,details of diet can be found in Zambrano et al. (2005). 
comp_21,s_01,D_03,A_03,Reyes-Castro et al. (2012a),rats,Wistar,protein,-,50%,10%,20%,protein content,yes,yes,yes,Zeiger_Rodent_RQ22-25,Zeiger_Rodent_RQ22-5_LP_isoc,1,43,pre+lact,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,199,10,10,10,90,20% casein control,yes,Zeiger_Rodent_RQ22-25,21,yes,90,EXPLORATION,ANXIETY,Open_Field,60,Center_zone_time,sec,yes,night,cc-rr,171.97,9.56,8,200.64,26.75,8,con_07,no,Fig.2,NA,no,details of diet can be found in Zambrano et al. (2005). 
comp_22,s_01,D_01,A_01,Reyes-Castro et al. (2012a),rats,Wistar,protein,-,50%,10%,20%,protein content,yes,yes,yes,Zeiger_Rodent_RQ22-26,Zeiger_Rodent_RQ22-5_LP_isoc,1,22,pre,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,200,7,10,10,90,20% casein control,yes,Zeiger_Rodent_RQ22-26,1,yes,90,EXPLORATION,ANXIETY,Open_Field,60,Border_zone_time,sec,no,night,cc-rc,3477.71,22.29,8,3410.83,22.29,8,con_08,no,Fig.2,NA,no,details of diet can be found in Zambrano et al. (2005). 
comp_23,s_01,D_02,A_02,Reyes-Castro et al. (2012a),rats,Wistar,protein,-,50%,10%,20%,protein content,yes,yes,yes,Zeiger_Rodent_RQ22-27,Zeiger_Rodent_RQ22-5_LP_isoc,22,43,lact,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,190,6,10,10,90,20% casein control,yes,Zeiger_Rodent_RQ22-27,21,yes,90,EXPLORATION,ANXIETY,Open_Field,60,Border_zone_time,sec,no,night,cc-cr,3388.54,44.58,8,3410.83,22.29,8,con_08,no,Fig.2,NA,no,details of diet can be found in Zambrano et al. (2005). 
comp_24,s_01,D_03,A_03,Reyes-Castro et al. (2012a),rats,Wistar,protein,-,50%,10%,20%,protein content,yes,yes,yes,Zeiger_Rodent_RQ22-28,Zeiger_Rodent_RQ22-5_LP_isoc,1,43,pre+lact,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,199,10,10,10,90,20% casein control,yes,Zeiger_Rodent_RQ22-28,21,yes,90,EXPLORATION,ANXIETY,Open_Field,60,Border_zone_time,sec,no,night,cc-rr,3433.12,0,8,3410.83,22.29,8,con_08,no,Fig.2,NA,no,details of diet can be found in Zambrano et al. (2005). 
comp_25,s_01,D_01,A_01,Reyes-Castro et al. (2012a),rats,Wistar,protein,-,50%,10%,20%,protein content,yes,yes,yes,Zeiger_Rodent_RQ22-29,Zeiger_Rodent_RQ22-5_LP_isoc,1,22,pre,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,200,7,10,10,90,20% casein control,yes,Zeiger_Rodent_RQ22-29,1,yes,90,EXPLORATION,ANXIETY,Open_Field,60,Center_zone_distance,m,yes,night,cc-rc,14.04,1.54,8,23.08,2.69,8,con_09,no,Fig.2,NA,no,details of diet can be found in Zambrano et al. (2005). 
comp_26,s_01,D_02,A_02,Reyes-Castro et al. (2012a),rats,Wistar,protein,-,50%,10%,20%,protein content,yes,yes,yes,Zeiger_Rodent_RQ22-30,Zeiger_Rodent_RQ22-5_LP_isoc,22,43,lact,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,190,6,10,10,90,20% casein control,yes,Zeiger_Rodent_RQ22-30,21,yes,90,EXPLORATION,ANXIETY,Open_Field,60,Center_zone_distance,m,yes,night,cc-cr,15.96,2.88,8,23.08,2.69,8,con_09,no,Fig.2,NA,no,details of diet can be found in Zambrano et al. (2005). 
comp_27,s_01,D_03,A_03,Reyes-Castro et al. (2012a),rats,Wistar,protein,-,50%,10%,20%,protein content,yes,yes,yes,Zeiger_Rodent_RQ22-31,Zeiger_Rodent_RQ22-5_LP_isoc,1,43,pre+lact,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,199,10,10,10,90,20% casein control,yes,Zeiger_Rodent_RQ22-31,21,yes,90,EXPLORATION,ANXIETY,Open_Field,60,Center_zone_distance,m,yes,night,cc-rr,13.85,1.15,8,23.08,2.69,8,con_09,no,Fig.2,NA,no,details of diet can be found in Zambrano et al. (2005). 
comp_28,s_01,D_01,A_01,Reyes-Castro et al. (2012a),rats,Wistar,protein,-,50%,10%,20%,protein content,yes,yes,yes,Zeiger_Rodent_RQ22-32,Zeiger_Rodent_RQ22-5_LP_isoc,1,22,pre,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,200,7,10,10,90,20% casein control,yes,Zeiger_Rodent_RQ22-32,1,yes,90,EXPLORATION,ANXIETY,Open_Field,60,Border_zone_distance,m,no,night,cc-rc,119.36,16.15,8,128.3,6.28,8,con_10,no,Fig.2,NA,no,details of diet can be found in Zambrano et al. (2005). 
comp_29,s_01,D_02,A_02,Reyes-Castro et al. (2012a),rats,Wistar,protein,-,50%,10%,20%,protein content,yes,yes,yes,Zeiger_Rodent_RQ22-33,Zeiger_Rodent_RQ22-5_LP_isoc,22,43,lact,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,190,6,10,10,90,20% casein control,yes,Zeiger_Rodent_RQ22-33,21,yes,90,EXPLORATION,ANXIETY,Open_Field,60,Border_zone_distance,m,no,night,cc-cr,112.18,11.67,8,128.3,6.28,8,con_10,no,Fig.2,NA,no,details of diet can be found in Zambrano et al. (2005). 
comp_30,s_01,D_03,A_03,Reyes-Castro et al. (2012a),rats,Wistar,protein,-,50%,10%,20%,protein content,yes,yes,yes,Zeiger_Rodent_RQ22-34,Zeiger_Rodent_RQ22-5_LP_isoc,1,43,pre+lact,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,199,10,10,10,90,20% casein control,yes,Zeiger_Rodent_RQ22-34,21,yes,90,EXPLORATION,ANXIETY,Open_Field,60,Border_zone_distance,m,no,night,cc-rr,100.51,8.08,8,128.3,6.28,8,con_10,no,Fig.2,NA,no,details of diet can be found in Zambrano et al. (2005). 
comp_31,s_01,D_01,A_01,Reyes-Castro et al. (2012a),rats,Wistar,protein,-,50%,10%,20%,protein content,yes,yes,yes,Zeiger_Rodent_RQ22-35,Zeiger_Rodent_RQ22-5_LP_isoc,1,22,pre,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,200,7,10,10,90,20% casein control,yes,Zeiger_Rodent_RQ22-35,1,yes,90,EXPLORATION,ACTIVITY,Open_Field,60,Total_distance,m,yes,night,cc-rc,133.5,19.36,8,150.83,9.17,8,con_11,no,Fig.2,NA,no,details of diet can be found in Zambrano et al. (2005). 
comp_32,s_01,D_02,A_02,Reyes-Castro et al. (2012a),rats,Wistar,protein,-,50%,10%,20%,protein content,yes,yes,yes,Zeiger_Rodent_RQ22-36,Zeiger_Rodent_RQ22-5_LP_isoc,22,43,lact,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,190,6,10,10,90,20% casein control,yes,Zeiger_Rodent_RQ22-36,21,yes,90,EXPLORATION,ACTIVITY,Open_Field,60,Total_distance,m,yes,night,cc-cr,128.41,15.29,8,150.83,9.17,8,con_11,no,Fig.2,NA,no,details of diet can be found in Zambrano et al. (2005). 
comp_33,s_01,D_03,A_03,Reyes-Castro et al. (2012a),rats,Wistar,protein,-,50%,10%,20%,protein content,yes,yes,yes,Zeiger_Rodent_RQ22-37,Zeiger_Rodent_RQ22-5_LP_isoc,1,43,pre+lact,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,199,10,10,10,90,20% casein control,yes,Zeiger_Rodent_RQ22-37,21,yes,90,EXPLORATION,ACTIVITY,Open_Field,60,Total_distance,m,yes,night,cc-rr,115.16,9.17,8,150.83,9.17,8,con_11,no,Fig.2,NA,no,details of diet can be found in Zambrano et al. (2005). 
comp_43,s_03,D_05,A_05,"Trzcinska, Tonkiss & Galler (1999)",rats,Sprague-Dawley,protein,-,24%,6%,25%,protein content,no,yes,yes,Teklad_isocal_25Casein,Teklad_isocal_6Casein,-35,21,pre,NA,NA,NA,no,NA,22.7,12,8,yes,yes,f,pair,547.1,24.3,513.1,23,36,36,130,control,yes,Rat_Chow_PMI_foods_#5001,21,yes,130,ANXIETY,ANXIETY,Open_Field,5,Center_entries,#,yes,day,6/25-25/25 f,0.78,0.61,5,4.17,1.73,5,con_12,no,Fig. 2,NA,no,"Didn't used stressed animals  called ""experimental"", only ""control"" ones from exp1. Used day 16 only, to avoid learning effect. "
comp_44,s_03,D_05,A_06,"Trzcinska, Tonkiss & Galler (1999)",rats,Sprague-Dawley,protein,-,24%,6%,25%,protein content,no,yes,yes,Teklad_isocal_25Casein,Teklad_isocal_6Casein,-35,21,pre,NA,NA,NA,no,NA,22.7,12,8,yes,yes,m,pair,547.1,24.3,513.1,23,36,36,130,control,yes,Rat_Chow_PMI_foods_#5001,21,yes,130,ANXIETY,ANXIETY,Open_Field,5,Center_entries,#,yes,day,6/25-25/25 m,1.88,0.37,13,1.7,0.58,13,con_13,no,Fig. 2,NA,no,"Didn't used stressed animals  called ""experimental"", only ""control"" ones from exp1. Used day 16 only, to avoid learning effect. "
comp_45,s_03,D_06,A_07,"Trzcinska, Tonkiss & Galler (1999)",rats,Sprague-Dawley,protein,-,24%,6%,25%,protein content,no,yes,yes,Teklad_isocal_25Casein,Teklad_isocal_6Casein,-35,21,pre,NA,NA,NA,no,NA,22.7,12,8,yes,yes,m,pair,547.1,24.3,513.1,23,36,36,130,control,yes,Rat_Chow_PMI_foods_#5001,21,yes,120,ANXIETY,ANXIETY,Forced_swim_test,5,latency_immobility,sec,no,day,6/25-25/25 m,57.8,13.76,14,57.11,11.01,14,con_14,no,Fig.3,NA,no,"Exp 2: used only results from the initial swim test, not from the second one. "
comp_46,s_03,D_06,A_07,"Trzcinska, Tonkiss & Galler (1999)",rats,Sprague-Dawley,protein,-,24%,6%,25%,protein content,no,yes,yes,Teklad_isocal_25Casein,Teklad_isocal_6Casein,-35,21,pre,NA,NA,NA,no,NA,22.7,12,8,yes,yes,m,pair,547.1,24.3,513.1,23,36,36,130,control,yes,Rat_Chow_PMI_foods_#5001,21,yes,120,ANXIETY,ANXIETY,Forced_swim_test,5,Total_immobility,sec,yes,day,6/25-25/25 m,52.53,6.91,14,41.47,4.84,14,con_15,no,Fig.3,NA,no,"Exp 2: used only results from the initial swim test, not from the second one. "
comp_55,s_04,D_09,A_12,"Wiener, Robinson & Levine (1983)",rats,Sprague-Dawley,protein,-,33%,8%,24.48%,protein content,no,yes,yes,Wayne_Lab_Blox_24.48P,TD_69378_Teklad_Mills,14,43,pre+lact,75,10,10,no,single,NA,12,8,yes,no,both,group,NA,NA,NA,NA,40,40,90,control,yes,TD_69378_Teklad_Mills,21,yes,90,ANXIETY,ACTIVITY,Open_Field,3,Sector_crossed,#,yes,day,con_exp_sex pooled,51.4,NA,20,55.68,NA,20,con_16,no,Fig. 1,"sex are pooled in Fig.1, no S.E.M. or S.D. given, researchers cannot be reached for missing info",yes,S.D. from Levine et al. (1973). Same S.D. for exp and control group .
comp_56,s_04,D_09,A_12,"Wiener, Robinson & Levine (1983)",rats,Sprague-Dawley,protein,-,33%,8%,24.48%,protein content,no,yes,yes,Wayne_Lab_Blox_24.48P,TD_69378_Teklad_Mills,14,43,pre+lact,75,10,10,no,single,NA,12,8,yes,no,both,group,NA,NA,NA,NA,40,40,90,control,yes,TD_69378_Teklad_Mills,21,yes,90,ANXIETY,EXPLORATION,Open_Field,3,Rearing,#,yes,day,con_exp_sex pooled,12.23,NA,20,16.73,NA,20,con_17,no,Fig. 1,"sex are pooled in Fig.1, no S.E.M. or S.D. given, researchers cannot be reached for missing info",yes,"S.E.M. from Weinberg, Dallman & Levine (1980). Same S.E.M.  for control and exp groups. "
comp_57,s_04,D_09,A_12,"Wiener, Robinson & Levine (1983)",rats,Sprague-Dawley,protein,-,33%,8%,24.48%,protein content,no,yes,yes,Wayne_Lab_Blox_24.48P,TD_69378_Teklad_Mills,14,43,pre+lact,75,10,10,no,single,NA,12,8,yes,no,both,group,NA,NA,NA,NA,40,40,90,control,yes,TD_69378_Teklad_Mills,21,yes,90,ANXIETY,ANXIETY,Open_Field,3,Time_frozen,%,no,day,con_exp_sex pooled,17.08,NA,20,7.58,NA,20,con_18,yes,Fig. 1,"sex are pooled in Fig.1, no S.E.M. or S.D. given, researchers cannot be reached for missing info",yes,NA
comp_58,s_04,D_09,A_12,"Wiener, Robinson & Levine (1983)",rats,Sprague-Dawley,protein,-,33%,8%,24.48%,protein content,no,yes,yes,Wayne_Lab_Blox_24.48P,TD_69378_Teklad_Mills,14,43,pre+lact,75,10,10,no,single,NA,12,8,yes,no,both,group,NA,NA,NA,NA,40,40,90,control,yes,TD_69378_Teklad_Mills,21,yes,90,ANXIETY,ANXIETY,Open_Field,3,Defaecation,#,no,day,con_exp_sex pooled,3.4,NA,20,3.4,NA,20,con_19,no,Fig. 1,"sex are pooled in Fig.1, no S.E.M. or S.D. given, researchers cannot be reached for missing info",yes,S.D. from Levine et al. (1973). Same S.D. for exp and control group .
comp_71,s_06,D_12,A_15,Nolan et al. (2001),rats,Wistar,protein,-,0%,0%,?,protein free diet,no,yes,yes,Nolan_control,TD_93328_Harland_Teklad,1,22,pre,NA,NA,NA,no,NA,NA,14,NA,yes,yes,m,group,384.1,4.47,337.9,4.2,NA,NA,84,control,yes,Nolan_control,0,yes,122,ANXIETY,ANXIETY,Open_Field,10,Inner_crossings,#,yes,day,con_exp_4mo,0.56,0.41,7,1.09,0.24,7,con_20,no,"Fig. 7 e,f,g,h","no true sample size but range 7-13, researchers cannot be reached for exact sample sizes",no,Extracted data for 4 months only.
comp_72,s_06,D_12,A_15,Nolan et al. (2001),rats,Wistar,protein,-,0%,0%,?,protein free diet,no,yes,yes,Nolan_control,TD_93328_Harland_Teklad,1,22,pre,NA,NA,NA,no,NA,NA,14,NA,yes,yes,m,group,384.1,4.47,337.9,4.2,NA,NA,84,control,yes,Nolan_control,0,yes,122,ANXIETY,ANXIETY,Open_Field,10,Outer_crossings,#,no,day,con_exp_4mo,44.42,9.8,7,31.73,5.19,7,con_21,no,"Fig. 7 e,f,g,h","no true sample size but range 7-13, researchers cannot be reached for exact sample sizes",no,Extracted data for 4 months only.
