"study"	"treatment"	"control"	"week"	"yi"	"vi"	"n1i"	"n2i"	"instrument"	"region"	"mean.age"	"percent.women"	"rob"
"33"	"Arjadi, 2018"	"bat"	"other ctr"	26	0.309684775267175	0.0160614418642846	159	154	"phq-9"	"other"	24.5	81	"low risk"
"34"	"Au, 2022"	"cbt"	"cau"	0	0.160681326671967	0.0238870646896278	84	84	"bdi-2"	"east asia"	NA	NA	"high risk"
"35"	"Au, 2022"	"cbt"	"cau"	12	0.369317143374722	0.0308257036097387	84	84	"bdi-2"	"east asia"	NA	NA	"high risk"
"36"	"Au, 2022"	"cbt"	"cau"	24	0.436368932169142	0.031032721372973	84	84	"bdi-2"	"east asia"	NA	NA	"high risk"
"37"	"Baumeister, 2021"	"cbt"	"cau"	0	-0.0388551845295734	0.0191428322696307	104	105	"hdrs-17"	"europe"	49.9	60	"low risk"
"38"	"Baumeister, 2021"	"cbt"	"cau"	9	0.213812285331136	0.0192493596430076	104	105	"hdrs-17"	"europe"	49.9	60	"low risk"
"39"	"Baumeister, 2021"	"cbt"	"cau"	26	0.143691422811324	0.0191889497433689	104	105	"hdrs-17"	"europe"	49.9	60	"low risk"
"40"	"Baumgartner, 2021"	"cbt"	"wl"	0	0.123793860495972	0.00856343418268065	234	234	"ces-d"	"europe"	42.8	48	"low risk"
"41"	"Baumgartner, 2021"	"cbt"	"wl"	13	0.298164759547708	0.00701321491581451	228	234	"ces-d"	"europe"	42.8	48	"low risk"
"42"	"Baumgartner, 2021"	"cbt"	"wl"	26	0.380853759936515	0.00706173456921007	228	234	"ces-d"	"europe"	42.8	48	"low risk"
"43"	"Beeber, 2010"	"ipt"	"cau"	0	0.267564680037605	0.05695413523281	39	41	"ces-d"	"usa"	26	100	"high risk"
"44"	"Beeber, 2010"	"ipt"	"cau"	22	0.77409980792219	0.0607523250280107	39	41	"ces-d"	"usa"	26	100	"high risk"
"45"	"Beeber, 2010"	"ipt"	"cau"	26	0.572695599984493	0.0587997424851581	39	41	"ces-d"	"usa"	26	100	"high risk"
"46"	"Beeber, 2013"	"ipt"	"other ctr"	0	0.142349784181298	0.0177456339778458	114	112	"hdrs-17"	"usa"	26	100	"some concerns"
"47"	"Beeber, 2013"	"ipt"	"other ctr"	22	0.126	0.0289	114	112	"hdrs-17"	"usa"	26	100	"some concerns"
"48"	"Beeber, 2013"	"ipt"	"other ctr"	26	-0.139	0.024336	114	112	"hdrs-17"	"usa"	26	100	"some concerns"
"49"	"Bengtson, 2023"	"pst"	"cau"	0	0.200415827404736	0.0502559548683661	40	40	"epds"	"other"	29.2	100	"high risk"
"50"	"Bengtson, 2023"	"pst"	"cau"	24	0.519365728074837	0.0530459137741322	40	40	"epds"	"other"	29.2	100	"high risk"
"51"	"Berman, 2022"	"3rd"	"other ctr"	0	-0.40242899522414	0.215781839246576	10	9	"hdrs-17"	"usa"	51	100	"some concerns"
"52"	"Berman, 2022"	"3rd"	"other ctr"	12	1.0215505263382	0.241208288268041	10	9	"hdrs-17"	"usa"	51	100	"some concerns"
"53"	"Berman, 2022"	"3rd"	"other ctr"	25	0.0619121531114062	0.211221660889465	10	9	"hdrs-17"	"usa"	51	100	"some concerns"
"54"	"Berman, 2022"	"3rd"	"other ctr"	38	0.40242899522414	0.215781839246576	10	9	"hdrs-17"	"usa"	51	100	"some concerns"
"55"	"Berman, 2022"	"3rd"	"other ctr"	51	0.309560765557031	0.213874855569966	10	9	"hdrs-17"	"usa"	51	100	"some concerns"
"56"	"Berman, 2022"	"3rd"	"other ctr"	64	0.263126650723476	0.213107916482634	10	9	"hdrs-17"	"usa"	51	100	"some concerns"
"57"	"Bolton, 2003"	"ipt"	"cau"	0	-0.177490179183655	0.0141465553994829	139	145	"hscl-d"	"other"	45.23	51	"high risk"
"58"	"Bolton, 2003"	"ipt"	"cau"	18	1.31674927974785	0.0171596278958404	139	145	"hscl-d"	"other"	45.23	51	"high risk"
"59"	"Bolton, 2003"	"ipt"	"cau"	42	1.60232668482013	0.0245433955632142	139	145	"hscl-d"	"other"	45.23	51	"high risk"
"60"	"Bower, 2021"	"other psy"	"wl"	0	0.199025483983728	0.0242307960441484	85	81	"ces-d"	"usa"	45.4	100	"some concerns"
"61"	"Bower, 2021"	"other psy"	"wl"	7	0.235557454183142	0.0242790569079977	85	81	"ces-d"	"usa"	45.4	100	"some concerns"
"62"	"Bower, 2021"	"other psy"	"wl"	20	0.335	0.024336	85	81	"ces-d"	"usa"	45.4	100	"some concerns"
"63"	"Bower, 2021"	"other psy"	"wl"	33	0.184978646530312	0.0242143990675229	85	81	"ces-d"	"usa"	45.4	100	"some concerns"
"64"	"Buntrock, 2015"	"other psy"	"cau"	0	-0.0201499248759259	0.00985295772066286	202	204	"ces-d"	"europe"	45	74	"some concerns"
"65"	"Buntrock, 2015"	"other psy"	"cau"	6	0.658398329665977	0.0103882973881714	202	204	"ces-d"	"europe"	45	74	"some concerns"
"66"	"Buntrock, 2015"	"other psy"	"cau"	26	0.282390247747456	0.00991409348676427	202	204	"ces-d"	"europe"	45	74	"some concerns"
"67"	"Buntrock, 2015"	"other psy"	"cau"	52	0.31	0.01	202	204	"ces-d"	"europe"	45	74	"some concerns"
"68"	"Burns, 2007"	"other psy"	"cau"	0	-0.116759823374853	0.0331171617942224	61	60	"gds"	"europe"	81.1	77	"some concerns"
"69"	"Burns, 2007"	"other psy"	"cau"	6	0.403554443243698	0.0496379724822389	61	60	"gds"	"europe"	81.1	77	"some concerns"
"70"	"Burns, 2007"	"other psy"	"cau"	26	0.0189260044924226	0.0645410255510323	61	60	"gds"	"europe"	81.1	77	"some concerns"
"71"	"Burns, 2013"	"cbt"	"cau"	0	0	0.111111111111111	18	18	"phq-9"	"europe"	29.15	100	"high risk"
"72"	"Burns, 2013"	"cbt"	"cau"	15	0.896763199626516	0.154099777660656	18	18	"phq-9"	"europe"	29.15	100	"high risk"
"73"	"Burns, 2013"	"cbt"	"cau"	33	0.880689470554638	0.168684039992594	18	18	"phq-9"	"europe"	29.15	100	"high risk"
"74"	"Carpenter, 2008"	"bat"	"other ctr"	24	-0.467134088676844	0.108551167355625	18	20	"bdi-2"	"usa"	40.06	42	"high risk"
"75"	"Carr, 2017"	"cbt"	"cau"	0	-0.313812693371956	0.0494214575017247	40	42	"bdi-2"	"europe"	41	66	"high risk"
"76"	"Carr, 2017"	"cbt"	"cau"	20	0.398629852531653	0.0497969462450945	40	42	"bdi-2"	"europe"	41	66	"high risk"
"77"	"Carr, 2017"	"cbt"	"cau"	33	0.292841472982849	0.0493424027021909	40	42	"bdi-2"	"europe"	41	66	"high risk"
"78"	"Carta, 2012"	"cbt"	"cau"	0	0.198762336933048	0.0630613785800554	42	42	"bdi-1"	"europe"	42.48	66	"high risk"
"79"	"Carta, 2012"	"cbt"	"cau"	26	0.580935979666018	0.0654469455479989	42	42	"bdi-1"	"europe"	42.48	66	"high risk"
"80"	"Casanas, 2012"	"cbt"	"cau"	0	0.222514163828111	0.0174398090270972	119	112	"bdi-1"	"europe"	53.38	89	"high risk"
"81"	"Casanas, 2012"	"cbt"	"cau"	13	0.287004412196639	0.0175114010456429	119	112	"bdi-1"	"europe"	53.38	89	"high risk"
"82"	"Casanas, 2012"	"cbt"	"cau"	26	0.138446629642908	0.0173736941982936	119	112	"bdi-1"	"europe"	53.38	89	"high risk"
"83"	"Casanas, 2012"	"cbt"	"cau"	39	0.152205590663948	0.0173824072405671	119	112	"bdi-1"	"europe"	53.38	89	"high risk"
"84"	"Chen, 2015"	"other psy"	"other ctr"	0	0.0303932151997494	0.0588814087844958	33	35	"bdi-2"	"east asia"	49	74	"some concerns"
"85"	"Chen, 2015"	"other psy"	"other ctr"	12	0.104	0.073984	33	35	"bdi-2"	"east asia"	49	74	"some concerns"
"86"	"Chen, 2015"	"other psy"	"other ctr"	26	0.197	0.077841	33	35	"bdi-2"	"east asia"	49	74	"some concerns"
"87"	"Chesney, 2003"	"other psy"	"other ctr"	0	0.228367246194772	0.0447611511640013	54	51	"ces-d"	"usa"	39	0	"high risk"
"88"	"Chesney, 2003"	"other psy"	"other ctr"	13	0.0321046813368186	0.0444722284844671	54	51	"ces-d"	"usa"	39	0	"high risk"
"89"	"Chesney, 2003"	"other psy"	"other ctr"	26	-0.0676	0.05085025	54	51	"ces-d"	"usa"	39	0	"high risk"
"90"	"Chesney, 2003"	"other psy"	"other ctr"	52	-0.0324	0.05721664	54	51	"ces-d"	"usa"	39	0	"high risk"
"91"	"Chiang, 2015"	"cbt"	"cau"	0	0.275840350406859	0.0652126448831559	41	40	"bdi-2"	"east asia"	46.14	63	"high risk"
"92"	"Chiang, 2015"	"cbt"	"cau"	15	3.59853480478522	0.171686306216221	41	40	"bdi-2"	"east asia"	46.14	63	"high risk"
"93"	"Chiang, 2015"	"cbt"	"cau"	28	4.43056224133494	0.226939128391333	41	40	"bdi-2"	"east asia"	46.14	63	"high risk"
"94"	"Chiang, 2015"	"cbt"	"cau"	41	4.22890512702567	0.212496213934921	41	40	"bdi-2"	"east asia"	46.14	63	"high risk"
"95"	"Chiang, 2015"	"cbt"	"cau"	67	4.82006869510419	0.256740491110362	41	40	"bdi-2"	"east asia"	46.14	63	"high risk"
"96"	"Choi, 2020b"	"bat"	"other ctr"	0	0.0524143922391951	0.0217569363831866	99	98	"hdrs-24"	"usa"	68.7	73	"high risk"
"97"	"Choi, 2020b"	"pst"	"other ctr"	24	0.530802751523964	0.0178790000559253	98	98	"hdrs-24"	"usa"	67.1	70	"high risk"
"98"	"Choi, 2020b"	"pst"	"other ctr"	36	0.611056511137836	0.0181094044683738	98	98	"hdrs-24"	"usa"	67.1	70	"high risk"
"99"	"Christ, 2024"	"other psy"	"cau"	0	-0.412185991394381	0.0267325273480497	74	79	"ids"	"europe"	34	67	"some concerns"
"100"	"Christ, 2024"	"other psy"	"cau"	8	0.0154934524234279	0.0261725336934444	74	79	"ids"	"europe"	34	67	"some concerns"
"101"	"Christ, 2024"	"other psy"	"cau"	14	0.159	0.026244	74	79	"ids"	"europe"	34	67	"some concerns"
"102"	"Christ, 2024"	"other psy"	"cau"	26	0.129	0.026244	74	79	"ids"	"europe"	34	67	"some concerns"
"103"	"Christ, 2024"	"other psy"	"cau"	52	0.072	0.026244	74	79	"ids"	"europe"	34	67	"some concerns"
"104"	"Cooper, 2003"	"sup"	"cau"	0	0.273799362845168	0.0404447517753832	48	52	"epds"	"europe"	27.69	100	"some concerns"
"105"	"Cooper, 2003"	"sup"	"cau"	20	0.397630987621792	0.0317571388049029	47	52	"epds"	"europe"	27.69	100	"some concerns"
"106"	"Cooper, 2003"	"sup"	"cau"	39	-0.0138150916261792	0.0323503222620369	47	52	"epds"	"europe"	27.69	100	"some concerns"
"107"	"Cooper, 2003"	"sup"	"cau"	78	-0.0637647195322117	0.0326314911478198	47	52	"epds"	"europe"	27.69	100	"some concerns"
"108"	"Cooper, 2003"	"sup"	"cau"	261	0.176876588939854	0.0456497537190365	47	52	"epds"	"europe"	27.69	100	"some concerns"
"109"	"Cramer, 2011"	"cbt"	"cau"	0	0.316413770615203	0.0675503274393298	52	21	"phq-9"	"europe"	42.47	100	"high risk"
"110"	"Cramer, 2011"	"cbt"	"cau"	13	0.247551088677597	0.0739330185745342	52	21	"phq-9"	"europe"	42.47	100	"high risk"
"111"	"Cramer, 2011"	"cbt"	"cau"	26	0.160246397184864	0.075059381155679	52	21	"phq-9"	"europe"	42.47	100	"high risk"
"112"	"Dai, 2025"	"cbt"	"cau"	0	0.296005232210694	0.0471311273422674	61	61	"phq-9"	"east asia"	30	100	"some concerns"
"113"	"Dai, 2025"	"cbt"	"cau"	23	-0.34	0.047089	61	61	"phq-9"	"east asia"	30	100	"some concerns"
"114"	"Dai, 2025"	"cbt"	"cau"	36	0	0.046656	61	61	"phq-9"	"east asia"	30	100	"some concerns"
"115"	"Dennis, 2020"	"ipt"	"cau"	0	0.0344880782405607	0.0166002794124298	120	121	"epds"	"usa"	NA	100	"high risk"
"116"	"Dennis, 2020"	"ipt"	"cau"	12	1.07064894780161	0.022445922669088	120	121	"epds"	"usa"	NA	100	"high risk"
"117"	"Dennis, 2020"	"ipt"	"cau"	24	1.08611702682235	0.0227439573949827	120	121	"epds"	"usa"	NA	100	"high risk"
"118"	"Dennis, 2020"	"ipt"	"cau"	36	0.585906724711677	0.0211956925506685	120	121	"epds"	"usa"	NA	100	"high risk"
"119"	"Dindo, 2020"	"3rd"	"other ctr"	0	0.0856803714666433	0.0391699116886384	71	65	"hdrs-17"	"usa"	35.73	83	"some concerns"
"120"	"Dindo, 2020"	"3rd"	"other ctr"	13	0.286062894222611	0.0395369622046957	71	65	"hdrs-17"	"usa"	35.73	83	"some concerns"
"121"	"Dindo, 2020"	"3rd"	"other ctr"	26	0.422941062643631	0.0400151579783234	71	65	"hdrs-17"	"usa"	35.73	83	"some concerns"
"122"	"Dobkin, 2020"	"cbt"	"cau"	0	0.013923889049464	0.0555998313780331	37	35	"bdi-1"	"usa"	65.62	54	"high risk"
"123"	"Dobkin, 2020"	"cbt"	"cau"	13	0.712041004956907	0.0591962617437709	37	35	"bdi-1"	"usa"	65.62	54	"high risk"
"124"	"Dobkin, 2020"	"cbt"	"cau"	39	0.546853300023683	0.0577205730887725	37	35	"bdi-1"	"usa"	65.62	54	"high risk"
"125"	"Dobkin, 2021"	"cbt"	"cau"	0	-0.00800278821093201	0.0444448064088682	45	45	"bdi-1"	"usa"	66.84	0	"low risk"
"126"	"Dobkin, 2021"	"cbt"	"cau"	10	0.893054286653272	0.048951977899787	45	45	"bdi-1"	"usa"	66.84	0	"low risk"
"127"	"Dobkin, 2021"	"cbt"	"cau"	39	0.537439225765794	0.0460769022381306	45	45	"bdi-1"	"usa"	66.84	0	"low risk"
"128"	"Dowrick, 2000"	"pst"	"cau"	0	0.0760877729933092	0.0131126804303659	128	189	"bdi-1"	"europe"	44.9	65	"some concerns"
"129"	"Dowrick, 2000"	"pst"	"cau"	26	0.170676879529677	0.0148036145014571	118	189	"bdi-1"	"europe"	44.9	65	"some concerns"
"130"	"Dowrick, 2000"	"pst"	"cau"	52	-0.0210583612619902	0.0155574052005085	118	189	"bdi-1"	"europe"	44.9	65	"some concerns"
"131"	"Duan, 2025"	"cbt"	"cau"	15	0.193144549977424	0.020886384347324	150	150	"phq-9"	"east asia"	30	100	"low risk"
"132"	"Duan, 2025"	"cbt"	"cau"	22	0.25	0.0361	150	150	"phq-9"	"east asia"	30	100	"low risk"
"133"	"Duan, 2025"	"cbt"	"cau"	35	0.252	0.040804	150	150	"phq-9"	"east asia"	30	100	"low risk"
"134"	"Duarte, 2009"	"cbt"	"cau"	0	-0.300275520397388	0.0476576477934915	46	44	"bdi-1"	"other"	53.23	59	"some concerns"
"135"	"Duarte, 2009"	"cbt"	"cau"	13	0.789682069080616	0.0508531472999125	46	44	"bdi-1"	"other"	53.23	59	"some concerns"
"136"	"Duarte, 2009"	"cbt"	"cau"	39	0.0391714263067794	0.0541041550134209	46	44	"bdi-1"	"other"	53.23	59	"some concerns"
"137"	"Dunn, 2007"	"other psy"	"other ctr"	0	-0.322056375685717	0.0401291992743952	55	56	"bdi-2"	"usa"	54.85	0	"some concerns"
"138"	"Dunn, 2007"	"other psy"	"other ctr"	14	0.23308220842192	0.0533902648862323	55	56	"bdi-2"	"usa"	54.85	0	"some concerns"
"139"	"Dunn, 2007"	"other psy"	"other ctr"	27	0.183468046646389	0.0578116347296853	55	56	"bdi-2"	"usa"	54.85	0	"some concerns"
"140"	"Dunn, 2007"	"other psy"	"other ctr"	40	0.0681849241616859	0.0577570441722043	55	56	"bdi-2"	"usa"	54.85	0	"some concerns"
"141"	"Dunn, 2007"	"other psy"	"other ctr"	66	-0.207100559483822	0.0618424972090794	55	56	"bdi-2"	"usa"	54.85	0	"some concerns"
"142"	"Dwight-Johnson, 2011"	"cbt"	"cau"	0	-0.389672790694812	0.0403711002345235	50	51	"phq-9"	"usa"	39.81	78	"high risk"
"143"	"Dwight-Johnson, 2011"	"cbt"	"cau"	13	1.96366020444155	0.0589900562905681	50	51	"phq-9"	"usa"	39.81	78	"high risk"
"144"	"Dwight-Johnson, 2011"	"cbt"	"cau"	26	4.1493652835585	0.126151257610446	50	51	"phq-9"	"usa"	39.81	78	"high risk"
"145"	"Ebert, 2014"	"pst"	"wl"	0	-0.00541007038297266	0.0266667652276176	75	75	"ces-d"	"europe"	47.1	83	"some concerns"
"146"	"Ebert, 2014"	"pst"	"wl"	6	0.690520130873649	0.0282723198447488	75	75	"ces-d"	"europe"	47.1	83	"some concerns"
"147"	"Ebert, 2014"	"pst"	"wl"	13	0.382	0.027225	75	75	"ces-d"	"europe"	47.1	83	"some concerns"
"148"	"Ebert, 2014"	"pst"	"wl"	26	0.392	0.027225	75	75	"ces-d"	"europe"	47.1	83	"some concerns"
"149"	"Elkin, 1989"	"cbt"	"other ctr"	0	0.0232540178988244	0.0330804477968257	59	62	"hdrs-17"	"usa"	35	70	"high risk"
"150"	"Elkin, 1989"	"ipt"	"other ctr"	16	0.373927332580991	0.0267125317579279	60	62	"hdrs-17"	"usa"	35	70	"high risk"
"151"	"Elkin, 1989"	"ipt"	"other ctr"	72	0.16541653418124	0.0401137755166932	60	62	"hdrs-17"	"usa"	35	70	"high risk"
"152"	"Fann, 2015"	"cbt"	"cau"	0	-0.0218538507184344	0.0793691647122071	18	42	"hdrs-17"	"usa"	45.8	37	"some concerns"
"153"	"Fann, 2015"	"cbt"	"cau"	16	0.09320041506866	0.0464063278412143	29	42	"hdrs-17"	"usa"	45.8	37	"some concerns"
"154"	"Fann, 2015"	"cbt"	"cau"	24	0.0550615080544312	0.0464310360276074	29	42	"hdrs-17"	"usa"	45.8	37	"some concerns"
"155"	"Flygare, 2020"	"cbt"	"other ctr"	0	0.328417673496953	0.0426868969379513	48	47	"bdi-2"	"europe"	42.9	79	"some concerns"
"156"	"Flygare, 2020"	"cbt"	"other ctr"	8	0.227916624481386	0.042387804790594	48	47	"bdi-2"	"europe"	42.9	79	"some concerns"
"157"	"Flygare, 2020"	"cbt"	"other ctr"	26	0.176118090262898	0.0422758520491903	48	47	"bdi-2"	"europe"	42.9	79	"some concerns"
"158"	"Flygare, 2020"	"cbt"	"other ctr"	52	0.0776439860614737	0.0421421779276145	48	47	"bdi-2"	"europe"	42.9	79	"some concerns"
"159"	"Flygare, 2020"	"cbt"	"other ctr"	104	0	0.0421099290780142	48	47	"bdi-2"	"europe"	42.9	79	"some concerns"
"160"	"Folke, 2012"	"3rd"	"cau"	0	-0.111083472306034	0.118245906068857	18	17	"bdi-1"	"europe"	43.24	88	"some concerns"
"161"	"Folke, 2012"	"3rd"	"cau"	6	0.662217786680892	0.124820384845623	18	17	"bdi-1"	"europe"	43.24	88	"some concerns"
"162"	"Folke, 2012"	"3rd"	"cau"	78	0.467377003410839	0.121425244696811	18	17	"bdi-1"	"europe"	43.24	88	"some concerns"
"163"	"Fonagy, 2015"	"dyn"	"cau"	0	-0.0202535336452947	0.0310560143209175	67	62	"bdi-2"	"europe"	44.33	66	"some concerns"
"164"	"Fonagy, 2015"	"dyn"	"cau"	26	0.194	0.046656	67	62	"bdi-2"	"europe"	44.33	66	"some concerns"
"165"	"Fonagy, 2015"	"dyn"	"cau"	52	0.517	0.0484	67	62	"bdi-2"	"europe"	44.33	66	"some concerns"
"166"	"Fonagy, 2015"	"dyn"	"cau"	78	0.424521424880216	0.0422908175878429	67	62	"bdi-2"	"europe"	44.33	66	"some concerns"
"167"	"Fonagy, 2015"	"dyn"	"cau"	104	0.499	0.052441	67	62	"bdi-2"	"europe"	44.33	66	"some concerns"
"168"	"Fonagy, 2015"	"dyn"	"cau"	120	0.249	0.047961	67	62	"bdi-2"	"europe"	44.33	66	"some concerns"
"169"	"Fonagy, 2015"	"dyn"	"cau"	168	0.727	0.051984	67	62	"bdi-2"	"europe"	44.33	66	"some concerns"
"170"	"Freedland, 2009"	"sup"	"cau"	0	0.332595454593576	0.0494969023539851	42	40	"bdi-1"	"usa"	60.65	50	"some concerns"
"171"	"Freedland, 2009"	"sup"	"cau"	13	0.705586888174356	0.0420958229703586	42	35	"bdi-1"	"usa"	60.65	50	"some concerns"
"172"	"Freedland, 2009"	"sup"	"cau"	26	0.16754031838676	0.0395942020448246	42	35	"bdi-1"	"usa"	60.65	50	"some concerns"
"173"	"Freedland, 2009"	"sup"	"cau"	39	0.508652887812689	0.040621458964523	42	35	"bdi-1"	"usa"	60.65	50	"some concerns"
"174"	"Freedland, 2015"	"cbt"	"cau"	0	0.107323828407767	0.0253532599438385	79	79	"bdi-2"	"usa"	55.8	46	"some concerns"
"175"	"Freedland, 2015"	"cbt"	"cau"	13	0.4204958971267	0.0258814306001568	79	79	"bdi-2"	"usa"	55.8	46	"some concerns"
"176"	"Freedland, 2015"	"cbt"	"cau"	26	0.42	0.025921	79	79	"bdi-2"	"usa"	55.8	46	"some concerns"
"177"	"Freedland, 2015"	"cbt"	"cau"	39	0.444	0.025921	79	79	"bdi-2"	"usa"	55.8	46	"some concerns"
"178"	"Freedland, 2015"	"cbt"	"cau"	52	-0.24	0.0256	79	79	"bdi-2"	"usa"	55.8	46	"some concerns"
"179"	"Fuhr, 2019"	"cbt"	"cau"	26	0.307	0.016641	140	140	"phq-9"	"other"	25.18	100	"low risk"
"180"	"Fuhr, 2019"	"cbt"	"cau"	39	0.208968621166916	0.0160361740455288	140	140	"phq-9"	"other"	25.18	100	"low risk"
"181"	"Funderburk, 2021"	"bat"	"cau"	0	0.0136098540882037	0.0285954400337041	68	72	"phq-9"	"usa"	53	9	"low risk"
"182"	"Funderburk, 2021"	"bat"	"cau"	12	0.222642911765677	0.0287737501257978	68	72	"phq-9"	"usa"	53	9	"low risk"
"183"	"Funderburk, 2021"	"bat"	"cau"	24	0.455369761314126	0.0293434791588513	68	72	"phq-9"	"usa"	53	9	"low risk"
"184"	"Garcia, 2023"	"3rd"	"other ctr"	0	-0.226670355085785	0.0671803267701105	29	31	"bdi-2"	"europe"	48.15	75	"some concerns"
"185"	"Garcia, 2023"	"3rd"	"other ctr"	8	0.366978616883053	0.0904830953290543	29	31	"bdi-2"	"europe"	48.15	75	"some concerns"
"186"	"Garcia, 2023"	"3rd"	"other ctr"	26	0.260095355039096	0.101890350271793	29	31	"bdi-2"	"europe"	48.15	75	"some concerns"
"187"	"Garcia, 2023"	"3rd"	"other ctr"	52	0.250054347936937	0.116067185883719	29	31	"bdi-2"	"europe"	48.15	75	"some concerns"
"188"	"Gellis, 2008"	"pst"	"cau"	0	-0.091979383986406	0.0646533064316117	34	35	"hdrs-17"	"usa"	77.4	87	"high risk"
"189"	"Gellis, 2008"	"pst"	"cau"	6	2.78130640804546	0.128563856001517	34	35	"hdrs-17"	"usa"	77.4	87	"high risk"
"190"	"Gellis, 2008"	"pst"	"cau"	20	2.467	0.1156	34	35	"hdrs-17"	"usa"	77.4	87	"high risk"
