Parasite species,Phylum,Class,Family,Host species,Host taxon,CMean,CSD,CN,EMean,ESD,EN,Transmission by predation/vector or not,spontaneous or stimulus response,Behaviour details,Year of publication,Reference,Expected direction of change
Moniliformis moniliformis,Acanthocephala,Archiacanthocephala,Moniliformidae,Periplaneta americana,Insect,205,142,10,230,239,19,Yes,Spontaneous,Distance travelled by females under red light,1992,Gotelli & Moore (1992),Increase
Moniliformis moniliformis,Acanthocephala,Archiacanthocephala,Moniliformidae,Periplaneta americana,Insect,302,262,10,900,763,19,Yes,Spontaneous,Distance travelled by females under white light,1992,Gotelli & Moore (1992),Increase
Moniliformis moniliformis,Acanthocephala,Archiacanthocephala,Moniliformidae,Blattella germanica,Insect,560,400,25,397,177,17,Yes,Spontaneous,Distance travelled by males under red light,1992,Gotelli & Moore (1992),Increase
Moniliformis moniliformis,Acanthocephala,Archiacanthocephala,Moniliformidae,Blattella germanica,Insect,325,425,25,170,330,17,Yes,Spontaneous,Distance travelled by males under white light,1992,Gotelli & Moore (1992),Increase
Moniliformis moniliformis,Acanthocephala,Archiacanthocephala,Moniliformidae,Blattella germanica,Insect,600,350,25,550,400,25,Yes,Spontaneous,Distance travelled by females under red light,1992,Gotelli & Moore (1992),Increase
Moniliformis moniliformis,Acanthocephala,Archiacanthocephala,Moniliformidae,Blattella germanica,Insect,497,510,25,270,350,25,Yes,Spontaneous,Distance travelled by females under white light,1992,Gotelli & Moore (1992),Increase
Moniliformis moniliformis,Acanthocephala,Archiacanthocephala,Moniliformidae,Periplaneta americana,Insect,1.08,0.41,26,1.07,0.35,35,Yes,Spontaneous,Velocity by males under red light,1992,Gotelli & Moore (1992),Decrease
Moniliformis moniliformis,Acanthocephala,Archiacanthocephala,Moniliformidae,Periplaneta americana,Insect,1.43,0.92,21,1.1,0.64,24,Yes,Spontaneous,Velocity by males under white light,1992,Gotelli & Moore (1992),Decrease
Moniliformis moniliformis,Acanthocephala,Archiacanthocephala,Moniliformidae,Periplaneta americana,Insect,0.8,0.2,8,0.98,0.72,18,Yes,Spontaneous,Velocity by females under red light,1992,Gotelli & Moore (1992),Decrease
Moniliformis moniliformis,Acanthocephala,Archiacanthocephala,Moniliformidae,Periplaneta americana,Insect,1.07,0.54,10,1.6,0.62,15,Yes,Spontaneous,Velocity by females under white light,1992,Gotelli & Moore (1992),Decrease
Moniliformis moniliformis,Acanthocephala,Archiacanthocephala,Moniliformidae,Blattella germanica,Insect,1.45,0.73,24,0.92,0.36,16,Yes,Spontaneous,Velocity by males under red light,1992,Gotelli & Moore (1992),Decrease
Moniliformis moniliformis,Acanthocephala,Archiacanthocephala,Moniliformidae,Blattella germanica,Insect,1.42,0.78,17,1.19,0.32,6,Yes,Spontaneous,Velocity by males under white light,1992,Gotelli & Moore (1992),Decrease
Moniliformis moniliformis,Acanthocephala,Archiacanthocephala,Moniliformidae,Blattella germanica,Insect,1.47,0.48,23,1.11,0.34,23,Yes,Spontaneous,Velocity by females under red light,1992,Gotelli & Moore (1992),Decrease
Moniliformis moniliformis,Acanthocephala,Archiacanthocephala,Moniliformidae,Blattella germanica,Insect,1.81,0.36,16,1.26,0.41,14,Yes,Spontaneous,Velocity by females under white light,1992,Gotelli & Moore (1992),Decrease
Moniliformis moniliformis,Acanthocephala,Archiacanthocephala,Moniliformidae,Periplaneta americana,Insect,8.07,18.65,25,16.53,16.55,25,Yes,Response,% time spent in light,1992,Gotelli & Moore (1992),Increase
Moniliformis moniliformis,Acanthocephala,Archiacanthocephala,Moniliformidae,Periplaneta americana,Insect,29.45,17.75,25,46.54,51.2,25,Yes,Response,Freeze time (photokinesis),1992,Gotelli & Moore (1992),Decrease
Moniliformis moniliformis,Acanthocephala,Archiacanthocephala,Moniliformidae,Periplaneta americana,Insect,3.46,1.85,25,3.76,1.65,25,Yes,Response,Directed movement toward light,1992,Gotelli & Moore (1992),Increase
Moniliformis moniliformis,Acanthocephala,Archiacanthocephala,Moniliformidae,Blattella germanica,Insect,34.15,34.14,53,32.73,30.39,33,Yes,Response,% time spent in light,1992,Gotelli & Moore (1992),Increase
Moniliformis moniliformis,Acanthocephala,Archiacanthocephala,Moniliformidae,Blattella germanica,Insect,9.38,9.39,53,13.01,48.54,33,Yes,Response,Freeze time (photokinesis),1992,Gotelli & Moore (1992),Decrease
Moniliformis moniliformis,Acanthocephala,Archiacanthocephala,Moniliformidae,Blattella germanica,Insect,3.87,1.67,53,3.21,4.42,33,Yes,Response,Directed movement toward light,1992,Gotelli & Moore (1992),Increase
Corynosoma constrictum,Acanthocephala,Palaeacanthocephala,Polymorphidae,Hyalella azteca,Crustacean,0,0,12,3570,86.6,12,Yes,Response,Time spent in upper 3 cm of water,1973,Bethel & Holmes (1973),Increase
Polymorphus paradoxus,Acanthocephala,Palaeacanthocephala,Polymorphidae,Gammarus lacustris,Crustacean,16,37.95,10,2615,860.14,10,Yes,Response,Time spent in upper 3 cm of water,1973,Bethel & Holmes (1973),Increase
Polymorphus marilis,Acanthocephala,Palaeacanthocephala,Polymorphidae,Gammarus lacustris,Crustacean,16,37.95,10,282,188.6,6,Yes,Response,Time spent in upper 3 cm of water,1973,Bethel & Holmes (1973),Increase
Lateriporus mathevossianae,Platyhelminthes,Cestoda,Dilepididae,Gammarus lacustris,Crustacean,16,37.95,10,114,138.6,5,Yes,Response,Time spent in upper 3 cm of water,1973,Bethel & Holmes (1973),Increase
Trichinella spiralis,Nematoda,Adenophorea,Trichinellidae,Mus musculus,Mammal,10.5,3.54,8,6.2,5.62,24,Yes,Spontaneous,Distance travelled,1983,Rau (1983),Increase
Trichinella spiralis,Nematoda,Adenophorea,Trichinellidae,Mus musculus,Mammal,37,16.97,8,71,31.45,24,Yes,Spontaneous,Time spent motionless,1983,Rau (1983),Decrease
Trichinella spiralis,Nematoda,Adenophorea,Trichinellidae,Mus musculus,Mammal,11,4.81,8,4.97,6.51,24,Yes,Spontaneous,Exploratory activity (freq. of rearing),1983,Rau (1983),Increase
Moniliformis moniliformis,Acanthocephala,Archiacanthocephala,Moniliformidae,Periplaneta americana,Insect,4.5,0.85,10,3.7,1.57,10,Yes,Response,Orientation toward pheromone,1986,Wilson & Edwards (1986),No change
Moniliformis moniliformis,Acanthocephala,Archiacanthocephala,Moniliformidae,Periplaneta americana,Insect,3.14,1.81,6,5.46,1.79,6,Yes,Spontaneous,Distance travelled,1986,Wilson & Edwards (1986),Increase
Brugia pahangi,Nematoda,Secernentea,Onchocercidae,Aedes aegypti,Insect,76.15,51.28,27,34.56,39.68,27,Yes,Spontaneous,Flight activity,1986,Rowland & Lindsay (1986),No change
Brugia pahangi,Nematoda,Secernentea,Onchocercidae,Aedes aegypti,Insect,17.6,13.61,25,10.73,10.4,25,Yes,Spontaneous,Flight duration,1970,Townson (1970),No change
Syphacia obvelata,Nematoda,Secernentea,Oxyuridae,Mus musculus,Mammal,388.8,69.6,9,339.2,79.06,10,No,Spontaneous,Exploratory activity,1977,McNair & Timmons (1977),No change
Syphacia obvelata,Nematoda,Secernentea,Oxyuridae,Mus musculus,Mammal,430.6,69.6,9,409.6,48.52,5,No,Spontaneous,Exploratory activity,1977,McNair & Timmons (1977),No change
Aspiculuris tetraptera,Nematoda,Secernentea,Heteroxynematidae,Mus musculus,Mammal,388.8,69.6,9,373.1,62.6,10,No,Spontaneous,Exploratory activity,1977,McNair & Timmons (1977),No change
Aspiculuris tetraptera,Nematoda,Secernentea,Heteroxynematidae,Mus musculus,Mammal,430.6,69.6,9,410.7,59.13,10,No,Spontaneous,Exploratory activity,1977,McNair & Timmons (1977),No change
Limnomermis sp.,Nematoda,Adenophorea,Mermithidae,Chironomus anthracinus,Insect,360,45,23,228,24,45,No,Spontaneous,Male flight tone (wing beat freq.),1985,Wulker (1985),No change
Limnomermis sp.,Nematoda,Adenophorea,Mermithidae,Chironomus anthracinus,Insect,205,20,29,220,20,40,No,Spontaneous,Female flight tone (wing beat freq.),1985,Wulker (1985),No change
Pomphorhynchus laevis,Acanthocephala,Palaeacanthocephala,Pomphorhynchidae,Gammarus pulex,Crustacean,6.87,1.5,60,10.53,1.28,60,Yes,Response,Attraction to light areas,1986,Brown & Thompson (1986),Increase
Pomphorhynchus laevis,Acanthocephala,Palaeacanthocephala,Pomphorhynchidae,Gammarus pulex,Crustacean,5.05,0.89,60,10.03,1.57,60,Yes,Response,Attraction to light areas,1986,Brown & Thompson (1986),Increase
Pomphorhynchus laevis,Acanthocephala,Palaeacanthocephala,Pomphorhynchidae,Gammarus pulex,Crustacean,2.07,1.66,60,7.47,1.73,60,Yes,Response,Attraction to open water,1986,Brown & Thompson (1986),Increase
Pomphorhynchus laevis,Acanthocephala,Palaeacanthocephala,Pomphorhynchidae,Gammarus pulex,Crustacean,7.3,2.49,60,5.13,2.51,60,Yes,Response,Attraction to stones/plants substrates,1986,Brown & Thompson (1986),Decrease
Pomphorhynchus laevis,Acanthocephala,Palaeacanthocephala,Pomphorhynchidae,Gammarus pulex,Crustacean,11.53,3.93,60,7.13,1.66,60,Yes,Response,Use of space under rocks,1986,Brown & Thompson (1986),Decrease
Hemiurid (metacercariae),Platyhelminthes,Trematoda,Hemiuridae,Sagitta minima,Chaetognath,51.1,13.13,6733,44,18,6,Yes,Response,Depth in water column (in situ),1979,Pearre (1979),Decrease
Hemiurid (metacercariae),Platyhelminthes,Trematoda,Hemiuridae,Sagitta friderici,Chaetognath,16.5,24.88,1663,10.9,16.9,80,Yes,Response,Depth in water column (in situ),1979,Pearre (1979),Decrease
Hemiurid (metacercariae),Platyhelminthes,Trematoda,Hemiuridae,Sagitta friderici,Chaetognath,24.8,12.74,965,19.1,14.62,58,Yes,Response,Depth in water column (in situ),1979,Pearre (1979),Decrease
Hemiurid (metacercariae),Platyhelminthes,Trematoda,Hemiuridae,Sagitta enflata,Chaetognath,27.5,26.03,401,15.7,20.2,68,Yes,Response,Depth in water column (in situ),1979,Pearre (1979),Decrease
Hemiurid (metacercariae),Platyhelminthes,Trematoda,Hemiuridae,Sagitta enflata,Chaetognath,17.7,68.56,1344,22,11.08,44,Yes,Response,Depth in water column (in situ),1979,Pearre (1979),Decrease
Trichinella pseudospiralis,Nematoda,Adenophorea,Trichinellidae,Falco sparverius,Bird,1.57,3.92,17,0.56,1.51,15,No,Spontaneous,% time spent flying,1988,Saumier et al. (1988),No change
Trichinella pseudospiralis,Nematoda,Adenophorea,Trichinellidae,Falco sparverius,Bird,0.39,0.95,17,0.56,2.17,15,No,Spontaneous,% time spent walking,1988,Saumier et al. (1988),No change
Plagiorhynchus cylindraceus,Acanthocephala,Palaeacanthocephala,Plagiorhynchidae,Armadillidium vulgare,Crustacean,6.11,3.41,19,8.15,3.44,13,Yes,Response,No. visits to humid zone by males,1983,Moore (1983a),Decrease
Plagiorhynchus cylindraceus,Acanthocephala,Palaeacanthocephala,Plagiorhynchidae,Armadillidium vulgare,Crustacean,5.36,3.7,11,8.71,3.51,24,Yes,Response,No. visits to humid zone by females,1983,Moore (1983a),Decrease
Plagiorhynchus cylindraceus,Acanthocephala,Palaeacanthocephala,Plagiorhynchidae,Armadillidium vulgare,Crustacean,419.82,146.52,16,356.23,195.42,11,Yes,Spontaneous,Distance travelled by males,1983,Moore (1983a),Increase
Plagiorhynchus cylindraceus,Acanthocephala,Palaeacanthocephala,Plagiorhynchidae,Armadillidium vulgare,Crustacean,270.6,156.26,8,447.79,177.42,22,Yes,Spontaneous,Distance travelled by females,1983,Moore (1983a),Increase
Plagiorhynchus cylindraceus,Acanthocephala,Palaeacanthocephala,Plagiorhynchidae,Armadillidium vulgare,Crustacean,5,8.27,16,9.45,15.28,11,Yes,Spontaneous,No. times quiescent by males,1983,Moore (1983a),Decrease
Plagiorhynchus cylindraceus,Acanthocephala,Palaeacanthocephala,Plagiorhynchidae,Armadillidium vulgare,Crustacean,12.75,11.44,8,5.14,8.7,22,Yes,Spontaneous,No. times quiescent by females,1983,Moore (1983a),Decrease
Plagiorhynchus cylindraceus,Acanthocephala,Palaeacanthocephala,Plagiorhynchidae,Armadillidium vulgare,Crustacean,39.6,3.7,16,41.1,4.7,11,Yes,Response,% time seen at the edge of the chamber by males,1983,Moore (1983a),Decrease
Plagiorhynchus cylindraceus,Acanthocephala,Palaeacanthocephala,Plagiorhynchidae,Armadillidium vulgare,Crustacean,28.2,3.7,8,43,2.9,22,Yes,Response,% time seen at the edge of the chamber by females,1983,Moore (1983a),Decrease
Plagiorhynchus cylindraceus,Acanthocephala,Palaeacanthocephala,Plagiorhynchidae,Armadillidium vulgare,Crustacean,12.6,10.25,15,4.9,6.42,12,Yes,Response,No. times under shelter by males,1983,Moore (1983a),Decrease
Plagiorhynchus cylindraceus,Acanthocephala,Palaeacanthocephala,Plagiorhynchidae,Armadillidium vulgare,Crustacean,11.6,10.62,10,5.4,7.14,25,Yes,Response,No. times under shelter by females,1983,Moore (1983a),Decrease
Plagiorhynchus cylindraceus,Acanthocephala,Palaeacanthocephala,Plagiorhynchidae,Armadillidium vulgare,Crustacean,9.14,5.35,21,13.57,5.8,14,Yes,Response,No. times on white substrate by males,1983,Moore (1983a),Increase
Plagiorhynchus cylindraceus,Acanthocephala,Palaeacanthocephala,Plagiorhynchidae,Armadillidium vulgare,Crustacean,7.46,5.53,13,11.03,5.35,33,Yes,Response,No. times on white substrate by females,1983,Moore (1983a),Increase
Moniliformis moniliformis,Acanthocephala,Archiacanthocephala,Moniliformidae,Periplaneta americana,Insect,3.8,1.49,11,2.3,1.82,23,Yes,Response,Phototaxis (low score = move toward light),1983,Moore (1983b),Increase
Moniliformis moniliformis,Acanthocephala,Archiacanthocephala,Moniliformidae,Periplaneta americana,Insect,20.3,11.38,7,9,6.3,11,Yes,Response,Time before moving again when placed in arena,1983,Moore (1983b),Decrease
Moniliformis moniliformis,Acanthocephala,Archiacanthocephala,Moniliformidae,Periplaneta americana,Insect,19.3,22.91,8,24.5,24.32,14,Yes,Response,Freezing time following sudden air current,1983,Moore (1983b),Decrease
Moniliformis moniliformis,Acanthocephala,Archiacanthocephala,Moniliformidae,Periplaneta americana,Insect,14.2,5.48,47,16.4,5.82,53,Yes,Spontaneous,Time spent moving,1983,Moore (1983b),Increase
Moniliformis moniliformis,Acanthocephala,Archiacanthocephala,Moniliformidae,Periplaneta brunnea,Insect,112.7,115.8,39,79.7,88,41,Yes,Response,Freezing time efter exposure to light,1991,Carmichael & Moore (1991),Decrease
Moniliformis moniliformis,Acanthocephala,Archiacanthocephala,Moniliformidae,Periplaneta brunnea,Insect,85,34,25,88,22,23,Yes,Response,Photophilia (% time in shade),1991,Carmichael & Moore (1991),Decrease
Moniliformis moniliformis,Acanthocephala,Archiacanthocephala,Moniliformidae,Periplaneta brunnea,Insect,66,38.42,41,66,36.99,38,Yes,Response,% time on dark horizontal surfaces under red light,1991,Carmichael & Moore (1991),Decrease
Moniliformis moniliformis,Acanthocephala,Archiacanthocephala,Moniliformidae,Periplaneta brunnea,Insect,74,70.43,41,64,37.95,40,Yes,Response,% time on dark horizontal surfaces under white light,1991,Carmichael & Moore (1991),Decrease
Moniliformis moniliformis,Acanthocephala,Archiacanthocephala,Moniliformidae,Periplaneta brunnea,Insect,14,32.02,41,12,30.82,38,Yes,Response,% time on dark vertical surfaces under red light,1991,Carmichael & Moore (1991),Decrease
Moniliformis moniliformis,Acanthocephala,Archiacanthocephala,Moniliformidae,Periplaneta brunnea,Insect,18,32,41,15,31.62,40,Yes,Response,% time on dark vertical surfaces under white light,1991,Carmichael & Moore (1991),Decrease
Moniliformis moniliformis,Acanthocephala,Archiacanthocephala,Moniliformidae,Periplaneta brunnea,Insect,6,12.81,41,16.5,18.49,38,Yes,Response,% time on white horizontal surfaces under red light,1991,Carmichael & Moore (1991),Increase
Moniliformis moniliformis,Acanthocephala,Archiacanthocephala,Moniliformidae,Periplaneta brunnea,Insect,3,6.4,41,13,31.62,40,Yes,Response,% time on white horizontal surfaces under white light,1991,Carmichael & Moore (1991),Increase
Moniliformis moniliformis,Acanthocephala,Archiacanthocephala,Moniliformidae,Periplaneta brunnea,Insect,12.5,38.42,41,5,18.49,38,Yes,Response,% time on white vertical surfaces under red light,1991,Carmichael & Moore (1991),Increase
Moniliformis moniliformis,Acanthocephala,Archiacanthocephala,Moniliformidae,Periplaneta brunnea,Insect,5,12.81,41,6,15.81,40,Yes,Response,% time on white vertical surfaces under white light,1991,Carmichael & Moore (1991),Increase
Moniliformis moniliformis,Acanthocephala,Archiacanthocephala,Moniliformidae,Periplaneta brunnea,Insect,238.14,310.99,40,203.14,275.84,38,Yes,Spontaneous,Total distance travelled under red light,1991,Carmichael & Moore (1991),Increase
Moniliformis moniliformis,Acanthocephala,Archiacanthocephala,Moniliformidae,Periplaneta brunnea,Insect,203.96,308.12,38,183.37,306.87,37,Yes,Spontaneous,Total distance travelled under white light,1991,Carmichael & Moore (1991),Increase
Moniliformis moniliformis,Acanthocephala,Archiacanthocephala,Moniliformidae,Periplaneta brunnea,Insect,0.66,1.14,40,0.44,0.81,38,Yes,Spontaneous,Velocity under red light,1991,Carmichael & Moore (1991),Decrease
Moniliformis moniliformis,Acanthocephala,Archiacanthocephala,Moniliformidae,Periplaneta brunnea,Insect,0.68,1.31,38,0.65,1.22,37,Yes,Spontaneous,Velocity under white light,1991,Carmichael & Moore (1991),Decrease
Moniliformis moniliformis,Acanthocephala,Archiacanthocephala,Moniliformidae,Periplaneta brunnea,Insect,0.25,0.37,40,0.3,0.29,38,Yes,Spontaneous,% time active under red light,1991,Carmichael & Moore (1991),Increase
Moniliformis moniliformis,Acanthocephala,Archiacanthocephala,Moniliformidae,Periplaneta brunnea,Insect,0.24,0.3,38,0.24,0.29,37,Yes,Spontaneous,% time active under white light,1991,Carmichael & Moore (1991),Increase
Dispharynx nasuta,Nematoda,Secernentea,Acuariidae,Armadillidium vulgare,Crustacean,134.8,65.14,33,146.7,63.76,33,Yes,Spontaneous,Distance travelled,1986,Moore & Lasswell (1986),Increase
Dispharynx nasuta,Nematoda,Secernentea,Acuariidae,Armadillidium vulgare,Crustacean,30.7,9.65,33,33.3,7.53,33,Yes,Spontaneous,No. times observed moving,1986,Moore & Lasswell (1986),Increase
Dispharynx nasuta,Nematoda,Secernentea,Acuariidae,Armadillidium vulgare,Crustacean,16.5,22.4,33,22.4,27.17,33,Yes,Response,% time seen at the edge of the chamber,1986,Moore & Lasswell (1986),Decrease
Dispharynx nasuta,Nematoda,Secernentea,Acuariidae,Armadillidium vulgare,Crustacean,16.8,10.68,33,13.5,6.89,33,Yes,Response,No. times in high humidity zone,1986,Moore & Lasswell (1986),Decrease
Dispharynx nasuta,Nematoda,Secernentea,Acuariidae,Armadillidium vulgare,Crustacean,10,11.78,33,11.2,8.96,33,Yes,Response,No. times on light substrate,1986,Moore & Lasswell (1986),Increase
Dispharynx nasuta,Nematoda,Secernentea,Acuariidae,Armadillidium vulgare,Crustacean,3.7,5.63,33,11.8,13.16,33,Yes,Response,No. times on lighted side,1986,Moore & Lasswell (1986),Increase
Dispharynx nasuta,Nematoda,Secernentea,Acuariidae,Armadillidium vulgare,Crustacean,7.8,9.75,20,2.5,1.82,18,Yes,Response,No. times under shelter,1986,Moore & Lasswell (1986),Decrease
Schistocephalus solidus,Platyhelminthes,Cestoda,Schistocephalidae,Gasterosteus aculeatus,Fish,111.4,77.4,31,52.5,40.8,21,Yes,Response,Recovery time following simulated predator strike,1983,Giles (1983),Decrease
Sphaerechinorhynchus sp.,Acanthocephala,Palaeacanthocephala,Plagiorhynchidae,Sphenomorphus quoyii,Reptile,272.2,275.2,7,456,366.3,7,No,Spontaneous,Diving time,1985,Daniels (1985),No change
Sphaerechinorhynchus sp.,Acanthocephala,Palaeacanthocephala,Plagiorhynchidae,Sphenomorphus quoyii,Reptile,131,19.9,7,123.6,22.7,6,No,Spontaneous,Swimming time,1985,Daniels (1985),No change
Sphaerechinorhynchus sp.,Acanthocephala,Palaeacanthocephala,Plagiorhynchidae,Sphenomorphus quoyii,Reptile,72.1,17,7,75.5,17.6,6,No,Spontaneous,Swimming time,1985,Daniels (1985),No change
Toxocara canis,Nematoda,Secernentea,Toxocaridae,Mus musculus,Mammal,180.6,19,25,208.4,26.8,25,No,Spontaneous,Male activity (#squares visited/time),1984,Hay & Aitken (1984),No change
Toxocara canis,Nematoda,Secernentea,Toxocaridae,Mus musculus,Mammal,199.5,18.4,25,222.8,18.8,25,No,Spontaneous,Female activity (#squares visited/time),1984,Hay & Aitken (1984),No change
Toxocara canis,Nematoda,Secernentea,Toxocaridae,Mus musculus,Mammal,0.17,0.04,25,0.21,0.05,25,No,Response,Male preference for exposed area,1984,Hay & Aitken (1984),No change
Toxocara canis,Nematoda,Secernentea,Toxocaridae,Mus musculus,Mammal,0.16,0.03,25,0.23,0.05,25,No,Response,Female preference for exposed area,1984,Hay & Aitken (1984),No change
Gasteromermis sp.,Nematoda,Adenophorea,Mermithidae,Baetis bicaudatus,Insect,1.195,0.631605098,197,1.14,0.646741834,99,No,Spontaneous,Distance drifted (daytime),1996,Vance (1996),No change
Gasteromermis sp.,Nematoda,Adenophorea,Mermithidae,Baetis bicaudatus,Insect,1.191,0.543829017,70,1.195,0.6244998,39,No,Spontaneous,Distance drifted (nighttime),1996,Vance (1996),No change
Gasteromermis sp.,Nematoda,Adenophorea,Mermithidae,Baetis bicaudatus,Insect,0.45,0.353270435,78,0.62,0.172046505,74,No,Response,Drift height above substrate,1996,Vance (1996),No change
Gasteromermis sp.,Nematoda,Adenophorea,Mermithidae,Baetis bicaudatus,Insect,0.118,0.536656315,180,0.26,0.487339717,95,No,Spontaneous,Freq. swimming motions (daytime),1996,Vance (1996),No change
Gasteromermis sp.,Nematoda,Adenophorea,Mermithidae,Baetis bicaudatus,Insect,0.002,0.542217668,60,0.255,0.45620719,37,No,Spontaneous,Freq. swimming motions (nighttime),1996,Vance (1996),No change
Moniliformis moniliformis,Acanthocephala,Archiacanthocephala,Moniliformidae,Periplaneta australasiae,Insect,77,27,13,59,30,13,Yes,Spontaneous,% time active under red light,1994,Moore et al. (1994),Increase
Moniliformis moniliformis,Acanthocephala,Archiacanthocephala,Moniliformidae,Periplaneta australasiae,Insect,23,28,13,17,28,13,Yes,Spontaneous,% time active under white light,1994,Moore et al. (1994),Increase
Hymenolepis diminuta,Platyhelminthes,Cestoda,Hymenolepididae,Tribolium confusum,Insect,57.5,18.14607396,42,46.3,18.734994,39,Yes,Spontaneous,Velocity,1996,Robb & Reid (1996),Decrease
Hymenolepis diminuta,Platyhelminthes,Cestoda,Hymenolepididae,Tribolium confusum,Insect,60,78.74007874,62,69,66,36,Yes,Response,Time to get under cover by mated females,1996,Robb & Reid (1996),Decrease
Hymenolepis diminuta,Platyhelminthes,Cestoda,Hymenolepididae,Tribolium confusum,Insect,67,92.17374897,59,94,88.54377448,40,Yes,Response,Time to get under cover by virgin females,1996,Robb & Reid (1996),Decrease
Crassiphiala bulboglossa,Platyhelminthes,Trematoda,Diplostomidae,Fundulus diaphanus,Fish,72,113.137085,50,62,58.09475019,15,Yes,Response,Time spent shoaling,1994,Krause & Godin (1994),Decrease
Plagiorchis elegans,Platyhelminthes,Trematoda,Plagiorchidae,Stagnicola elodes,Mollusc,42,14.69693846,6,44,15.8113883,10,No,Response,"% time near water surface, light, 15 degrees",1994,Lowenberger & Rau (1994),No change
Plagiorchis elegans,Platyhelminthes,Trematoda,Plagiorchidae,Stagnicola elodes,Mollusc,44,14.69693846,6,60,12.64911064,10,No,Response,"% time near water surface, darkness 15 degrees",1994,Lowenberger & Rau (1994),No change
Plagiorchis elegans,Platyhelminthes,Trematoda,Plagiorchidae,Stagnicola elodes,Mollusc,44,9.797958971,6,46.5,9.486832981,10,No,Response,"% time near water surface, light, 20 degrees",1994,Lowenberger & Rau (1994),No change
