StudyNo,EffectID,Author,Year,Journal,Species,Phylum,ExptLifeStage,ManipType,CatchUp,Sex,SexDiff,StageType,AdultDiet,NStartControl,NStartExpt,lnHR,varlnHR
83,25,Zajistchek,2009,FuncEcol,BlackFieldCricket,Invertebrate,Postnatal,Quality,1.Unk,M,Y,Juv,R,62,63,-0.203710658,0.046428627
83,26,Zajistchek,2009,FuncEcol,BlackFieldCricket,Invertebrate,Postnatal,Quality,1.Unk,M,Y,Juv,C,63,62,-0.260623768,0.045635087
40,41,Saasatamoinen,2013,Oecologia,GlanvilleFritillary,Invertebrate,Postnatal,Quantity,1.Unk,F,Y,Juv,C,157,183,-0.116993898,0.016429272
40,42,Saasatamoinen,2013,Oecologia,GlanvilleFritillary,Invertebrate,Postnatal,Quantity,1.Unk,F,Y,Juv,C,157,218,0.037380158,0.014393868
40,45,Saasatamoinen,2013,Oecologia,GlanvilleFritillary,Invertebrate,Postnatal,Quantity,1.Unk,M,Y,Juv,C,276,296,0.047350553,0.009039993
40,46,Saasatamoinen,2013,Oecologia,GlanvilleFritillary,Invertebrate,Postnatal,Quantity,1.Unk,M,Y,Juv,C,276,244,0.304512934,0.009627375
68,49,Saasatamoinen,2010,AmNat,BicyclusAnynana,Invertebrate,Postnatal,Quantity,2.No,F,NA,Juv,C,68,65,0.275172863,0.036987844
68,50,Saasatamoinen,2010,AmNat,BicyclusAnynana,Invertebrate,Postnatal,Quantity,2.No,F,NA,Juv,R,67,63,-0.022128776,0.041033915
68,51,Saasatamoinen,2010,AmNat,BicyclusAnynana,Invertebrate,Postnatal,Quantity,2.No,F,NA,Juv,C,60,63,-0.312385752,0.046351054
68,52,Saasatamoinen,2010,AmNat,BicyclusAnynana,Invertebrate,Postnatal,Quantity,2.No,F,NA,Juv,R,73,63,-0.016182152,0.037613079
107,65,Boggs,2005,Oecologia,SpeyeriaMormonia,Invertebrate,Postnatal,Quantity,1.Unk,F,NA,Juv,C,34,19,0.663057593,0.116879714
63,72,Saasatamoinen,2013,PLoSOne,GlanvilleFritillary,Invertebrate,Postnatal,Quantity,2.No,B,NA,Juv,C,110,111,0.429301606,0.021987196
91,73,Dmitriew,2009,CanJZoo,LadybirdBeetle,Invertebrate,Postnatal,Quantity,2.No,F,Y,Juv,R,60,38,-0.439169659,0.056418914
91,74,Dmitriew,2009,CanJZoo,LadybirdBeetle,Invertebrate,Postnatal,Quantity,3.Yes,F,N,Juv,R,60,28,-0.051730422,0.063126465
91,75,Dmitriew,2009,CanJZoo,LadybirdBeetle,Invertebrate,Postnatal,Quantity,2.No,M,Y,Juv,R,54,22,-0.036307086,0.079279837
91,76,Dmitriew,2009,CanJZoo,LadybirdBeetle,Invertebrate,Postnatal,Quantity,3.Yes,M,N,Juv,R,54,37,0.01151968,0.058705846
114,77,Heidinger,2012,PNAS,ZebraFinch,Vertebrate,Postnatal,Quality,3.Yes,F,N,Juv,C,24,33,-0.132839929,0.099610931
114,78,Heidinger,2012,PNAS,ZebraFinch,Vertebrate,Postnatal,Quality,3.Yes,M,N,Juv,C,19,23,-0.488187328,0.154772909
110,79,Houslay,2015,JEvolBiol,DecoratedCricket,Invertebrate,Postnatal,Quality,1.Unk,F,Y,Juv,C,23,26,-0.003555399,0.104610993
110,80,Houslay,2015,JEvolBiol,DecoratedCricket,Invertebrate,Postnatal,Quality,1.Unk,F,Y,Juv,R,34,22,0.205476404,0.103757241
110,81,Houslay,2015,JEvolBiol,DecoratedCricket,Invertebrate,Postnatal,Quality,1.Unk,M,Y,Juv,C,18,31,-0.259068428,0.135521171
110,82,Houslay,2015,JEvolBiol,DecoratedCricket,Invertebrate,Postnatal,Quality,1.Unk,M,Y ,Juv,R,24,27,-0.519475178,0.120178007
109,67,May,2015,EcolEvol,Drosophila,Invertebrate,Postnatal,Quality,2.No,F,Y,Juv,C,94,95,-0.624879709,0.035024276
109,68,May,2015,EcolEvol,Drosophila,Invertebrate,Postnatal,Quality,2.No,M,Y,Juv,C,85,86,-0.584459264,0.037664578
109,69,May,2015,EcolEvol,Drosophila,Invertebrate,Postnatal,Quality,2.No,F,NA,Juv,C,19,19,-0.23383342,0.152533519
109,70,May,2015,EcolEvol,Drosophila,Invertebrate,Postnatal,Quality,2.No,F,NA,Juv,C,19,18,-0.101135274,0.152352429
109,71,May,2015,EcolEvol,Drosophila,Invertebrate,Postnatal,Quality,2.No,F,NA,Juv,C,19,20,0.056996599,0.130664643
